name	ct	len	pval	p.adj	den
GPR35	4	168	1.94292834532206e-06	0.012228791005457	0.0238095238095238
AC007879.1	2	31	7.37900085190368e-06	0.0464360523610299	0.0645161290322581
RPS26P52	3	127	1.22170766382323e-05	0.0768698462077579	0.0236220472440945
RP11-1070A24.1	2	30	3.21267223750699e-05	0.202109210461564	0.0666666666666667
SALL4P6	2	65	5.0716296672193e-05	0.319005506068094	0.0307692307692308
KB-288A10.19	2	32	6.27123652061634e-05	0.394398064781562	0.0625
LINC00672	3	136	8.04556883242658e-05	0.505905368182983	0.0220588235294118
AC005086.2	1	11	9.82408126468659e-05	0.617639989110846	0.0909090909090909
RP11-321G12.1	2	62	0.000102088389818511	0.64172761839916	0.032258064516129
CTC-529L17.2	3	68	0.000114397652280163	0.718989244580822	0.0441176470588235
RP11-192P3.4	3	93	0.000122138287605322	0.767516999311845	0.032258064516129
RP11-302J23.1	1	15	0.000146303792839975	0.919226730413561	0.0666666666666667
RP11-756K15.2	3	94	0.000155370927175102	0.976040164513994	0.0319148936170213
ITGA5	6	491	0.000156154107925799	0.980803951881943	0.0122199592668024
RP11-308N19.3	1	8	0.000167008560101212	1	0.125
RP11-308N19.4	1	8	0.000167008560101212	1	0.125
ELFN1	2	60	0.000170232786986246	1	0.0333333333333333
RN7SL454P	2	52	0.000205270294735493	1	0.0384615384615385
CTD-2376I20.1	2	81	0.000206433509265747	1	0.0246913580246914
ZEB2-AS1	2	35	0.000252620889573008	1	0.0571428571428571
ZEB2	2	35	0.000252620889573008	1	0.0571428571428571
ZNF578	6	285	0.000256781681686746	1	0.0210526315789474
SMG8	4	248	0.000261356765266285	1	0.0161290322580645
RP11-510I6.3	1	11	0.000265898449350432	1	0.0909090909090909
AC079776.7	2	42	0.000292931653650963	1	0.0476190476190476
RP11-290F5.2	3	206	0.000318881926963277	1	0.0145631067961165
RNU6-1236P	3	96	0.000334674209946373	1	0.03125
KCNT2	1	16	0.000345168912200045	1	0.0625
GAPDHP21	3	58	0.000410960060634569	1	0.0517241379310345
TRAV39	2	34	0.000450359438077808	1	0.0588235294117647
CTB-50E14.4	1	14	0.000453262695349732	1	0.0714285714285714
RP11-16B9.1	4	199	0.000463525076457083	1	0.0201005025125628
LINC00493	4	201	0.000464633943672577	1	0.0199004975124378
RNF175	1	10	0.000482926075542456	1	0.1
ZNF69	4	350	0.000540965571165009	1	0.0114285714285714
