chr	start	stops	name	p-value
chr1	1356824	1356924	ANKRD65|ENST00000520296.1	0.0084301276214227
chr1	1567374	1567474	MMP23B|ENST00000356026.5	0.0084301276214227
chr1	1567442	1567542	MMP23B|ENST00000472264.1	0.0084301276214227
chr1	1567457	1567557	MMP23B|ENST00000512731.1	0.0084301276214227
chr1	1567458	1567558	MMP23B|ENST00000378675.3	0.0084301276214227
chr1	6191799	6191899	CHD5|ENST00000377999.1	0.0169443096936968
chr1	6913008	6913108	CAMTA1|ENST00000470648.1	0.0169443096936968
chr1	6913012	6913112	CAMTA1|ENST00000461580.1	0.0169443096936968
chr1	6913055	6913155	CAMTA1|ENST00000472283.1	0.0169443096936968
chr1	7804874	7804974	CAMTA1|ENST00000490905.1	0.0172549158804964
chr1	7913095	7913195	UTS2|ENST00000361696.5	0.0172549158804964
chr1	10218312	10218412	UBE4B|ENST00000488228.1	0.0177850881219598
chr1	11714254	11714354	FBXO2|ENST00000466919.1	0.0180259421420031
chr1	16344320	16344420	HSPB7|ENST00000463576.1	0.0286147889987062
chr1	17248345	17248445	CROCC|ENST00000375541.5	0.0232556282796137
chr1	17307173	17307273	MFAP2|ENST00000438542.1	0.0232556282796137
chr1	17575493	17575593	PADI3|ENST00000375460.3	0.0232556282796137
chr1	19217385	19217485	ALDH4A1|ENST00000538309.1	0.0204007312847069
chr1	19229218	19229318	ALDH4A1|ENST00000432718.1	0.0204007312847069
chr1	19634999	19635099	AKR7A2|ENST00000481966.1	0.0204007312847069
chr1	21059330	21059430	SH2D5|ENST00000460804.1|ENST00000518294.1	0.0150356837311156
chr1	22778244	22778344	ZBTB40|ENST00000404138.1	0.0210040510836905
chr1	23745729	23745829	TCEA3|ENST00000374602.2	0.0214060624306599
chr1	24165110	24165210	HMGCL|ENST00000374487.2|ENST00000374483.4	0.0150914864184529
chr1	26231980	26232080	STMN1|ENST00000446334.1	0.0159611393879108
chr1	26371942	26372042	SLC30A2|ENST00000498060.1	0.0159611393879108
chr1	26624517	26624617	UBXN11|ENST00000496466.1	0.0159611393879108
chr1	26758707	26758807	DHDDS|ENST00000427245.2	0.0159611393879108
chr1	26758714	26758814	DHDDS|ENST00000527611.1	0.0159611393879108
chr1	26758720	26758820	DHDDS|ENST00000374186.3	0.0159611393879108
chr1	26758730	26758830	DHDDS|ENST00000525682.2|ENST00000236342.7	0.0159611393879108
chr1	26758731	26758831	DHDDS|ENST00000526219.1	0.0159611393879108
chr1	26758733	26758833	DHDDS|ENST00000374185.3	0.0159611393879108
chr1	26758736	26758836	DHDDS|ENST00000487944.1	0.0159611393879108
chr1	26758746	26758846	DHDDS|ENST00000360009.2	0.0159611393879108
chr1	26758757	26758857	DHDDS|ENST00000533087.1	0.0159611393879108
chr1	26758758	26758858	DHDDS|ENST00000531312.1	0.0159611393879108
chr1	26758759	26758859	DHDDS|ENST00000525165.1	0.0159611393879108
chr1	26758762	26758862	DHDDS|ENST00000525326.1|ENST00000525546.1|ENST00000528557.1	0.0159611393879108
chr1	26758777	26758877	DHDDS|ENST00000526278.1	0.0159611393879108
chr1	26758781	26758881	DHDDS|ENST00000436153.2	0.0159611393879108
chr1	26758789	26758889	DHDDS|ENST00000529688.1	0.0159611393879108
chr1	27176753	27176853	ZDHHC18|ENST00000488397.3	0.0163675846525729
chr1	27879815	27879915	AHDC1|ENST00000487743.2	0.0163675846525729
chr1	28503699	28503799	PTAFR|ENST00000373857.3	0.0167063283789672
chr1	32127361	32127461	COL16A1|ENST00000466829.1	0.0173845947874638
chr1	32794981	32795081	HDAC1|ENST00000476391.1	0.0173845947874638
chr1	33282268	33282368	S100PBP|ENST00000530710.1	0.0169484804062884
chr1	34092184	34092284	CSMD2|ENST00000373377.1	0.0337609261398433
chr1	34279820	34279920	CSMD2|ENST00000338325.1	0.0337609261398433
chr1	35644847	35644947	SFPQ|ENST00000466213.1	0.0214285326237617
