gene	len	ct	mu	sigma	region	p-value
C1orf170	2091	0	186.296730124902	0.0236069799037587	reg2	0.0153644566727064
MXRA8	1401	0	186.296730124902	0.0236069799037587	reg2	0.0461194463383033
TMEM240	522	0	186.296730124902	0.0236069799037587	reg2	0.00740153355751547
MIB2	3312	2	186.296730124902	0.0236069799037587	reg2	0.0486705984407026
ACTRT2	1134	0	186.296730124902	0.0236069799037587	reg2	0.0315648335149401
CA6	1306	1	143.457225885518	0.0236069799037587	reg10	0.0301782108573246
MAD2L2	767	0	126.928795504057	0.0236069799037587	reg12	0.0245981465602579
PRAMEF4	1437	1	147.561958630108	0.0236069799037587	reg13	0.00816329998889906
IGSF21	1444	0	131.049422756826	0.0236069799037587	reg19	0.0289673314089701
TAS1R2	2520	0	112.626226067144	0.0236069799037587	reg20	0.0394240833862641
KIF17	3090	0	126.802779934191	0.0236069799037587	reg22	0.0310067580341576
LACTBL1	1641	0	138.09754199662	0.0236069799037587	reg24	0.0113674372538352
C1orf63	935	0	173.590376131772	0.0236069799037587	reg26	0.0191793327424635
FGR	1590	0	141.776251607553	0.0236069799037587	reg28	0.0361411079983651
ATPIF1	411	0	124.98459651806	0.0236069799037587	reg29	0.00313025885735967
GJB4	801	0	121.55012741521	0.0236069799037587	reg36	0.00223875553944649
EIF2B3	1534	1	148.072333824019	0.0236069799037587	reg46	0.0473614515201496
CYP4B1	1539	0	142.118545132135	0.0236069799037587	reg48	0.0477709560216233
BEND5	1266	0	157.411635188594	0.0236069799037587	reg50	0.0454986134298814
KANK4	2988	0	130.306178152106	0.0236069799037587	reg63	0.0363650805132432
LRRC40	1809	0	166.419238132468	0.0236069799037587	reg71	0.0405307162545006
MSH4	2811	1	149.813207237191	0.0236069799037587	reg77	0.0405354154822873
VCAM1	2220	0	154.729426857691	0.0236069799037587	reg102	0.0125432649225789
NGF	726	0	123.458671443359	0.0236069799037587	reg116	0.0300118076556621
SV2A	2233	0	129.713697335162	0.0236069799037587	reg151	0.0132177483660248
KPRP	1740	1	207.056332805153	0.0236069799037587	reg153	0.0116097366001103
LCE6A	243	0	207.056332805153	0.0236069799037587	reg153	0.00645474125227887
PGLYRP4	1122	0	171.025555082368	0.0236069799037587	reg154	0.0343152152483603
TTC24	1749	0	182.758900817329	0.0236069799037587	reg158	0.012146001539927
FCRL1	1352	0	182.758900817329	0.0236069799037587	reg158	0.0302729900666098
OR6Y1	978	1	280.882369556911	0.0236069799037587	reg159	0.00633356035259546
HSPA6	1932	1	151.496258882413	0.0236069799037587	reg162	0.000122583138999512
SELP	2499	1	128.566138396579	0.0236069799037587	reg170	0.0360332308691852
ASTN1	3953	1	145.286483120475	0.0236069799037587	reg177	0.0213261805256269
TEX35	1285	0	111.171897214475	0.0236069799037587	reg179	0.0034081334308651
CACNA1E	7063	0	154.748045543997	0.0236069799037587	reg182	0.0313357279240669
LAMC1	4830	2	123.140317425324	0.0236069799037587	reg184	0.0334511287466564
BRINP3	2301	0	226.426931444669	0.0236069799037587	reg191	0.0258559873089807
IGFN1	11145	1	124.646446604293	0.0236069799037587	reg202	9.21203399739184e-05
PRELP	1149	0	121.005833921352	0.0236069799037587	reg204	0.0496233688917215
CENPF	9345	1	128.415212416928	0.0236069799037587	reg215	0.0184980325985829
USH2A	15701	3	157.37838209183	0.0236069799037587	reg217	0.0141662887088184
LEFTY2	1101	0	116.329593328298	0.0236069799037587	reg227	0.0371021343674525
HEATR1	6439	0	139.359490018257	0.0236069799037587	reg235	0.0334403888280536
ACTN2	2771	1	139.359490018257	0.0236069799037587	reg235	0.0400415326556557
RYR2	15006	3	168.774400365501	0.0236069799037587	reg240	0.00137034904229639
NLRP3	3111	0	194.284844986954	0.0236069799037587	reg248	0.00148632552552026
GCSAML	781	0	194.284844986954	0.0236069799037587	reg248	0.0146969206447547
OR2C3	963	0	194.284844986954	0.0236069799037587	reg248	0.000517838321861129
OR2W3	945	0	194.284844986954	0.0236069799037587	reg248	0.0240138359452545
OR2AJ1	987	0	194.284844986954	0.0236069799037587	reg248	0.00431854190308854
OR2M3	939	0	194.284844986954	0.0236069799037587	reg248	0.0236288203415848
OR2T4	1047	1	194.284844986954	0.0236069799037587	reg248	0.00529358515357295
OR2T3	957	0	194.284844986954	0.0236069799037587	reg248	0.0247938989608348
OR2T34	957	0	194.284844986954	0.0236069799037587	reg248	0.0247938989608348
OR2T11	951	0	194.284844986954	0.0236069799037587	reg248	0.0244021962044785
OR2T27	954	1	194.284844986954	0.0236069799037587	reg248	0.0245976299115597
SUV39H2	1233	0	89.7347260886953	0.0236069799037587	reg1693	0.0435418064520509
OLAH	1069	0	148.476569512279	0.0236069799037587	reg1694	0.00109956694388014
ARMC3	2641	1	152.090264658978	0.0236069799037587	reg1702	0.00691678201826176
C10orf115	285	0	152.090264658978	0.0236069799037587	reg1702	0.00693035903835938
BICC1	3035	0	143.365342789667	0.0236069799037587	reg1739	0.0329611123400807
FAM13C	2001	0	124.884823408212	0.0236069799037587	reg1740	0.00583534049555257
NODAL	1072	0	148.985376189565	0.0236069799037587	reg1751	0.0441639118116884
TBATA	1091	0	148.985376189565	0.0236069799037587	reg1751	0.0455628737017604
CDH23	10835	1	127.211457632676	0.0236069799037587	reg1752	0.0142333340251221
SFTPA1	794	0	177.851755257372	0.0236069799037587	reg1760	0.0137564398379649
DYDC1	585	0	174.611051235657	0.0236069799037587	reg1761	0.0322075212369988
CYP2C18	1473	0	174.473501149141	0.0236069799037587	reg1775	0.0130533609743668
ENTPD1	1622	0	100.954170835971	0.0236069799037587	reg1776	0.0353497196438431
NRAP	5217	2	126.174981698398	0.0236069799037587	reg1794	0.0261017172526749
KCNK18	1155	0	180.499238106565	0.0236069799037587	reg1797	0.00309056832682445
RGS10	578	0	137.299476423763	0.0236069799037587	reg1800	0.0148786857180376
GPR26	1014	1	129.246370872724	0.0236069799037587	reg1803	0.00398156242130144
FOXI2	957	0	130.837929472344	0.0236069799037587	reg1808	0.0398198156389604
FRG2B	840	1	257.901787459992	0.0236069799037587	reg1813	0.0486544951024711
MUC5AC	1871	0	163.507488655022	0.0236069799037587	reg1816	0.0208112552314367
MUC5B	17324	3	163.507488655022	0.0236069799037587	reg1816	0.0265308944433714
BRSK2	2612	0	163.507488655022	0.0236069799037587	reg1816	0.0476507414072771
TNNI2	564	0	163.507488655022	0.0236069799037587	reg1816	0.0132306476971341
OR52R1	1185	0	197.820527838055	0.0236069799037587	reg1818	0.0166024914467146
OR52E4	939	0	204.36848229606	0.0236069799037587	reg1819	0.00165043401398283
OR52L1	990	1	204.36848229606	0.0236069799037587	reg1819	0.0152623795730175
OR56A4	1098	0	204.36848229606	0.0236069799037587	reg1819	0.000344274301765177
NLRP14	3282	1	168.43837346649	0.0236069799037587	reg1821	0.0186707918386973
INSC	1819	0	120.300374673476	0.0236069799037587	reg1829	0.010539700974869
KCNC1	1790	2	142.369044313196	0.0236069799037587	reg1831	0.0192449929506875
CHST1	1236	1	126.931474145271	0.0236069799037587	reg1859	0.012053555680007
OR5F1	945	0	222.324062348058	0.0236069799037587	reg1870	0.0387198447620797
OR5T3	1023	1	222.324062348058	0.0236069799037587	reg1870	0.0469228155965109
OR8H1	936	0	222.324062348058	0.0236069799037587	reg1870	0.0378238812897205
OR5M11	918	2	222.324062348058	0.0236069799037587	reg1870	0.0360637834520833
OR9Q1	933	0	153.098078568289	0.0236069799037587	reg1871	0.0473090285093657
OR10Q1	960	0	153.098078568289	0.0236069799037587	reg1871	0.0497525010543918
GLYAT	1020	0	171.686905251904	0.0236069799037587	reg1872	0.0131767047707222
OR4D11	936	0	171.845870440577	0.0236069799037587	reg1873	0.0496123374848413
MS4A4E	799	0	171.845870440577	0.0236069799037587	reg1873	1.98494708455901e-05
MS4A15	723	0	158.973039627994	0.0236069799037587	reg1874	0.0469063805128352
HRASLS5	840	0	164.349438795207	0.0236069799037587	reg1877	0.0169897373652304
RPS6KA4	2319	0	127.25154405486	0.0236069799037587	reg1878	0.0382091108085499
SPDYC	882	0	127.25154405486	0.0236069799037587	reg1878	0.0318583265302166
DPF2	1218	0	115.63651463667	0.0236069799037587	reg1879	0.0192563998743736
GAL3ST3	1296	0	115.63651463667	0.0236069799037587	reg1879	0.021602711606163
GPR152	1413	0	261.178542813098	0.0236069799037587	reg1881	0.0444334544906809
CCND1	888	0	153.911238304003	0.0236069799037587	reg1882	0.0213261337390629
SHANK2	6284	1	150.055758637333	0.0236069799037587	reg1884	0.02081534266257
PDE2A	3565	2	121.760477057845	0.0236069799037587	reg1886	0.0186028018589681
FAM181B	1281	1	144.950470768454	0.0236069799037587	reg1896	0.0231214732579215
TRIM77	1353	1	180.508230833565	0.0236069799037587	reg1903	0.000515922466498149
TRIM49	1359	0	180.508230833565	0.0236069799037587	reg1903	0.00401463050649135
MTNR1B	1264	0	169.700714151243	0.0236069799037587	reg1906	0.00680402091076213
