gene	len	ct	mu	sigma	region	p-value
RPL22	409	0	121.955120077845	0.0236069799037587	reg7	0.000783800380393179
PTCHD2	4217	3	126.928795504057	0.0236069799037587	reg12	0.0405431485545501
PRAMEF1	1556	0	147.561958630108	0.0236069799037587	reg13	0.00277287723632491
ARID1A	6858	3	141.776251607553	0.0236069799037587	reg28	7.34814539234212e-08
AL109659.1	573	0	141.970732913245	0.0236069799037587	reg49	0.0218717115172589
AIM2	1032	1	185.477688697703	0.0236069799037587	reg160	0.0485915124721563
DUSP27	3477	0	120.501996599568	0.0236069799037587	reg168	0.018539411266804
IGFN1	11145	1	124.646446604293	0.0236069799037587	reg202	0.000250070115951814
GATA3	1335	0	127.754526984794	0.0236069799037587	reg1687	0.0488052068477149
CCAR1	3630	1	123.643902268631	0.0236069799037587	reg1749	0.0408686866464063
AL133481.1	1128	0	177.851755257372	0.0236069799037587	reg1760	0.000364395473493415
PTEN	1212	1	136.093649641646	0.0236069799037587	reg1768	2.99336760190174e-06
MUC2	8501	3	163.507488655022	0.0236069799037587	reg1816	0.00510783798045681
UVRAG	2165	1	124.561253622677	0.0236069799037587	reg1889	0.0346758703956896
MTNR1B	1264	0	169.700714151243	0.0236069799037587	reg1906	0.0386938858459939
DDI1	1191	0	157.935908449979	0.0236069799037587	reg1918	0.0375776689261554
OR10G6	999	1	160.844842549075	0.0236069799037587	reg1937	0.0324113297913103
OR10G9	936	1	160.844842549075	0.0236069799037587	reg1937	0.0427946837801232
AP003062.1	1251	1	201.518924655958	0.0236069799037587	reg1947	0.0247667957512939
TAS2R31	930	0	153.201092382187	0.0236069799037587	reg1960	2.46630798316078e-05
PRB3	1057	0	153.201092382187	0.0236069799037587	reg1960	0.015948491266481
PRB2	1251	0	153.201092382187	0.0236069799037587	reg1960	0.00460731525511413
KRAS	708	0	149.323748212471	0.0236069799037587	reg1974	3.98264381581025e-10
CS	1414	0	114.721539861542	0.0236069799037587	reg2005	0.0443127780835888
RPL6	867	0	133.602760724959	0.0236069799037587	reg2061	0.000273730164366014
PTPN11	1822	0	133.602760724959	0.0236069799037587	reg2061	0.0187750483671032
TRPC4	2949	0	167.913522086317	0.0236069799037587	reg2120	0.0478959142619231
MYH6	5820	0	134.2650737237	0.0236069799037587	reg2220	0.015096105097492
MYH7	5808	4	134.2650737237	0.0236069799037587	reg2220	0.00487135591320282
FOXA1	1419	2	159.887316132944	0.0236069799037587	reg2235	0.0146696131064329
GOLGA6L2	2932	1	302.764219535462	0.0236069799037587	reg2328	0.00136356235237766
IGF1R	4104	1	145.204143608281	0.0236069799037587	reg2403	0.0383690051093855
CREBBP	7368	0	121.441716169422	0.0236069799037587	reg2409	0.00196928589567027
C16orf92	502	0	141.334184490963	0.0236069799037587	reg2436	0.0159610930483372
CBFB	595	0	121.428125842344	0.0236069799037587	reg2473	0.000542541146236575
CDH1	2649	0	121.71180360103	0.0236069799037587	reg2474	7.94462118614308e-09
TP53	1378	0	131.283009751374	0.0236069799037587	reg2503	2.24513738874029e-143
TBC1D29	453	0	134.956964004322	0.0236069799037587	reg2524	2.66525021362832e-05
G6PC	1074	0	144.04784892208	0.0236069799037587	reg2536	0.0235040506510176
SPOP	1125	0	145.455226582743	0.0236069799037587	reg2543	2.56242501398924e-06
RNF43	2654	0	127.260764705044	0.0236069799037587	reg2552	0.0316977097869314
BCAS3	3226	2	119.71472325231	0.0236069799037587	reg2555	0.0237839354296538
PRKAR1A	1266	0	176.535645463655	0.0236069799037587	reg2562	0.00010280252638321
LOXHD1	6963	0	145.649254137526	0.0236069799037587	reg2620	0.000611749106176056
STK11	1583	0	197.921573825692	0.0236069799037587	reg2656	2.43215774913387e-06
ZNF177	2511	0	148.657808473647	0.0236069799037587	reg2664	0.0190126915682453
KEAP1	1875	0	146.466437073444	0.0236069799037587	reg2665	0.000311756807220369
SMARCA4	5058	0	155.120781398141	0.0236069799037587	reg2666	1.37062983228408e-07
ZNF433	2187	0	165.489618058041	0.0236069799037587	reg2667	0.0489914660646578
ZNF799	2050	1	165.489618058041	0.0236069799037587	reg2667	0.000277820620643413
NWD1	4786	1	139.157182880672	0.0236069799037587	reg2671	0.00832200398094846
UNC13A	5461	3	162.894605022942	0.0236069799037587	reg2672	0.0283712860795081
ADD2	2402	2	130.806010920193	0.0236069799037587	reg320	0.0422279193625592
NEU4	1728	0	168.607863646331	0.0236069799037587	reg492	0.0131902186966281
