chr	start	stops	name	p-value
chr1	897860	898010	DHS.MCV-1	0.00764342056245573
chr1	911305	911455	DHS.MCV-8	0.00764342056245573
chr1	930040	930190	DHS.MCV-2	1.07687159551598e-05
chr1	937480	937630	DHS.MCV-3	0.000329199201985956
chr1	953500	953650	DHS.MCV-3	0.00764342056245573
chr1	981745	981895	DHS.MCV-3	0.00764342056245573
chr1	993420	993570	DHS.MCV-5	1.07687159551598e-05
chr1	1001945	1002095	DHS.MCV-35	0.00764342056245573
chr1	1010985	1011135	DHS.MCV-1	0.00764342056245573
chr1	1045240	1045390	DHS.MCV-7	0.00764342056245573
chr1	1063605	1063755	DHS.MCV-4	0.00764342056245573
chr1	1105220	1105370	DHS.MCV-4	0.00764342056245573
chr1	1116145	1116295	DHS.MCV-3	0.00764342056245573
chr1	1139905	1140055	DHS.MCV-1	0.00764342056245573
chr1	1290085	1290235	DHS.MCV-12	0.00764342056245573
chr1	1325740	1325890	DHS.MCV-2	0.00764342056245573
chr1	1471505	1471655	DHS.MCV-16	0.00764342056245573
chr1	1476785	1476935	DHS.MCV-8	0.00764342056245573
chr1	1508900	1509050	DHS.MCV-3	0.00764342056245573
chr1	1530240	1530390	DHS.MCV-5	0.00764342056245573
chr1	1586040	1586190	DHS.MCV-1	0.000329199201985956
chr1	1701620	1701770	DHS.MCV-2	0.00764342056245573
chr1	1704520	1704670	DHS.MCV-1	1.07687159551598e-05
chr1	1707120	1707270	DHS.MCV-9	0.00764342056245573
chr1	1709080	1709230	DHS.MCV-58	0.00764342056245573
chr1	1714680	1714830	DHS.MCV-5	0.00764342056245573
chr1	1780960	1781110	DHS.MCV-1	0.00764342056245573
chr1	1854865	1855015	DHS.MCV-1	0.00764342056245573
chr1	1867260	1867410	DHS.MCV-1	1.07687159551598e-05
chr1	1911340	1911490	DHS.MCV-3	0.00764342056245573
chr1	2070040	2070190	DHS.MCV-4	0.000329199201985956
chr1	2240905	2241055	DHS.MCV-1	0.00764342056245573
chr1	2248425	2248575	DHS.MCV-10	0.00764342056245573
chr1	2287265	2287415	DHS.MCV-8	0.00764342056245573
chr1	2290180	2290330	DHS.MCV-1	0.00764342056245573
chr1	2389245	2389395	DHS.MCV-1	0.00764342056245573
chr1	2463685	2463835	DHS.MCV-1	0.00764342056245573
chr1	2513240	2513390	DHS.MCV-12	0.000329199201985956
chr1	2730125	2730275	DHS.MCV-2	0.00764342056245573
chr1	2846705	2846855	DHS.MCV-3	0.00764342056245573
chr1	2853105	2853255	DHS.MCV-2	0.00764342056245573
chr1	2854465	2854615	DHS.MCV-2	0.000329199201985956
chr1	2899325	2899475	DHS.MCV-4	0.00764342056245573
chr1	2904405	2904555	DHS.MCV-1	0.00764342056245573
chr1	2990940	2991090	DHS.MCV-10	0.00764342056245573
chr1	3062825	3062975	DHS.MCV-1	0.00764342056245573
chr1	3072305	3072455	DHS.MCV-1	0.00764342056245573
chr1	3142165	3142315	DHS.MCV-3	2.84753407829911e-07
chr1	3165005	3165155	DHS.MCV-2	0.00764342056245573
chr1	3166945	3167095	DHS.MCV-2	0.00764342056245573
chr1	3184365	3184515	DHS.MCV-7	0.00764342056245573
chr1	3212060	3212210	DHS.MCV-1	0.00764342056245573
chr1	3285385	3285535	DHS.MCV-2	0.00764342056245573
chr1	3301325	3301475	DHS.MCV-4	0.00764342056245573
chr1	3390785	3390935	DHS.MCV-1	0.00764342056245573
chr1	3418285	3418435	DHS.MCV-2	0.00764342056245573
chr1	3607325	3607475	DHS.MCV-2	0.00764342056245573
chr1	3607905	3608055	DHS.MCV-2	0.00764342056245573
chr1	3740005	3740155	DHS.MCV-5	0.00764342056245573
chr1	3781460	3781610	DHS.MCV-15	0.00764342056245573
chr1	3825020	3825170	DHS.MCV-2	0.00764342056245573
chr1	4004245	4004395	DHS.MCV-2	0.00042524670217604
chr1	4013385	4013535	DHS.MCV-3	0.00904855259518426
chr1	4045125	4045275	DHS.MCV-1	0.00904855259518426
chr1	4055745	4055895	DHS.MCV-1	0.00042524670217604
chr1	4070865	4071015	DHS.MCV-4	0.00904855259518426
chr1	4105425	4105575	DHS.MCV-3	0.00904855259518426
chr1	4119085	4119235	DHS.MCV-12	0.00904855259518426
chr1	4123160	4123310	DHS.MCV-6	0.00904855259518426
chr1	4128485	4128635	DHS.MCV-3	0.00904855259518426
chr1	4145185	4145335	DHS.MCV-1	0.00904855259518426
chr1	4150745	4150895	DHS.MCV-4	0.00904855259518426
chr1	4151405	4151555	DHS.MCV-1	0.00904855259518426
chr1	4181745	4181895	DHS.MCV-1	0.00904855259518426
chr1	4184325	4184475	DHS.MCV-2	0.00042524670217604
chr1	4184745	4184895	DHS.MCV-2	0.00904855259518426
chr1	4249985	4250135	DHS.MCV-1	2.23676362322269e-10
chr1	4334925	4335075	DHS.MCV-1	0.00904855259518426
chr1	4382460	4382610	DHS.MCV-1	0.00904855259518426
chr1	4421225	4421375	DHS.MCV-6	0.00904855259518426
chr1	4427400	4427550	DHS.MCV-2	0.00904855259518426
chr1	4456165	4456315	DHS.MCV-2	0.00904855259518426
chr1	4456945	4457095	DHS.MCV-5	0.00904855259518426
chr1	4482345	4482495	DHS.MCV-2	0.00042524670217604
chr1	4498940	4499090	DHS.MCV-1	0.00904855259518426
chr1	4521645	4521795	DHS.MCV-5	0.00904855259518426
chr1	4544465	4544615	DHS.MCV-1	0.00904855259518426
chr1	4561105	4561255	DHS.MCV-1	4.38400467493168e-07
chr1	4563585	4563735	DHS.MCV-1	0.00904855259518426
chr1	4569805	4569955	DHS.MCV-2	0.00904855259518426
chr1	4582620	4582770	DHS.MCV-1	0.00904855259518426
chr1	4610100	4610250	DHS.MCV-14	0.00904855259518426
chr1	4654545	4654695	DHS.MCV-19	0.00904855259518426
chr1	4662520	4662670	DHS.MCV-7	0.00904855259518426
chr1	4669145	4669295	DHS.MCV-1	0.00904855259518426
chr1	4675805	4675955	DHS.MCV-5	0.00904855259518426
chr1	4683025	4683175	DHS.MCV-3	0.00904855259518426
chr1	4695000	4695150	DHS.MCV-1	0.00904855259518426
chr1	4717025	4717175	DHS.MCV-5	0.00904855259518426
