chr	start	stops	name	p-value
chr10	10034621	10034960	TFP.CTCF	0.0475730363948707
chr10	100589145	100589541	TFP.CEBPB	0.0145078614979022
chr10	100589152	100589522	TFP.CEBPB	0.0110195421024259
chr10	101132087	101132745	TFP.CEBPB	0.00860844996479914
chr10	101132101	101132892	TFP.CEBPB	0.0196354907250117
chr10	101132110	101132956	TFP.CEBPB	0.0261426563023634
chr10	101433038	101433948	TFP.TCF4	0.0427863771174725
chr10	101805659	101806403	TFP.CTCF	0.0321940294378589
chr10	101805665	101806332	TFP.CTCF	0.0237639071183497
chr10	101805674	101806158	TFP.CTCF	0.046219489257333
chr10	101805713	101806188	TFP.SMC3	0.0443872112541134
chr10	101805716	101806171	TFP.RAD21	0.0404287091904546
chr10	101805716	101806204	TFP.RAD21	0.0470437832022639
chr10	101805727	101806227	TFP.CTCF	0.0495528260934708
chr10	101805731	101806229	TFP.CTCF	0.0491309188346113
chr10	101805734	101806167	TFP.CTCF	0.0362602788256387
chr10	101805735	101806215	TFP.CTCF	0.0454012982664604
chr10	101805736	101806189	TFP.RAD21	0.0400416094628541
chr10	101805741	101806233	TFP.CTCF	0.0478741344566677
chr10	101805748	101806211	TFP.CTCF	0.041993130953614
chr10	101805752	101806206	TFP.CTCF	0.0402349579861347
chr10	101805753	101806167	TFP.RAD21	0.0328225291162662
chr10	101805754	101806192	TFP.RAD21	0.0371901793160636
chr10	101805756	101806249	TFP.CTCF	0.0480826633713852
chr10	101805757	101806180	TFP.CTCF	0.0344318608310145
chr10	101805759	101806189	TFP.CTCF	0.0357073405634769
chr10	101901502	101901836	TFP.FOXA1	0.0198973510110292
chr10	101901537	101901817	TFP.FOXA1	0.01074191698181
chr10	103090751	103091650	TFP.TCF4	0.0241403644804829
chr10	103090826	103091539	TFP.HNF4A	0.0489166700585544
chr10	103091040	103091460	TFP.EP300	0.021848333174063
chr10	103091065	103091544	TFP.RXRA	0.0295227607204839
chr10	103091074	103091447	TFP.FOXA1	0.0165360135246161
chr10	1038885	1039221	TFP.CEBPB	0.0105931044933207
chr10	104472222	104472938	TFP.ESR1	0.000420926779613266
chr10	104502620	104504187	TFP.ELF1	0.0451410679508089
chr10	104502730	104504717	TFP.POU2F2	0.0364652295650892
chr10	104687344	104687768	TFP.EGR1	0.0387780507528802
chr10	104695633	104696271	TFP.GATA1	0.00134125967511153
chr10	104730769	104731146	TFP.FOXA1	0.00392369722754221
chr10	104730806	104731187	TFP.FOXA1	0.00410831516532525
chr10	104990616	104991489	TFP.HDAC2	0.0310991184473414
chr10	104990677	104991340	TFP.HNF4A	0.0410530257478286
chr10	104990707	104991336	TFP.EP300	0.03386919052724
chr10	104990718	104991319	TFP.HNF4G	0.0285801941119765
chr10	104990745	104991389	TFP.NR3C1	0.0369346519310988
chr10	104990756	104991402	TFP.EP300	0.0373557360555409
chr10	104990768	104991385	TFP.JUND	0.0315338539647307
chr10	104990773	104991370	TFP.NR3C1	0.0278701129834595
chr10	104990785	104991315	TFP.BCL11A	0.0176077673876801
chr10	104990849	104991422	TFP.RFX5	0.0238441739596284
chr10	104990852	104991361	TFP.JUN	0.0149981223925223
chr10	104990854	104991454	TFP.SMC3	0.0284016168905124
chr10	104990861	104991393	TFP.NR3C1	0.0178708837390355
chr10	104990865	104991408	TFP.JUN	0.0193642729294331
chr10	104990870	104991383	TFP.FOXA1	0.0154739030881705
chr10	105286586	105287059	TFP.STAT1	0.0302417881076727
chr10	10556195	10556507	TFP.MAFK	0.0248980070201421
chr10	10888118	10888452	TFP.MAFK	0.0477280761444868
chr10	109314320	109314731	TFP.EP300	0.0217412680333421
chr10	1096082	1096486	TFP.NRF1	0.0272324864793531
chr10	109625365	109625911	TFP.CTCF	0.00951362186124359
chr10	109625436	109625801	TFP.CTCF	0.000844299747748176
chr10	109625468	109626015	TFP.RAD21	0.00961095157339382
chr10	110199072	110199520	TFP.CTCF	0.0398010953613722
chr10	110600691	110601171	TFP.GATA2	0.00462051694659604
chr10	110983324	110983724	TFP.CTCF	0.0278558656331754
chr10	111829077	111829650	TFP.ESR1	0.00235847482039771
chr10	111829176	111829814	TFP.POU2F2	0.00426164602269112
chr10	111829188	111829688	TFP.ESR1	0.00108348661067468
chr10	111841388	111842242	TFP.FOS	0.0052296756267299
chr10	111841587	111842180	TFP.GATA2	0.001984859797878
chr10	111841599	111842197	TFP.EP300	0.00207997023764711
chr10	111841603	111842243	TFP.JUN	0.00302328552437366
chr10	111841693	111842200	TFP.STAT3	0.000811674074241043
chr10	111841717	111842093	TFP.STAT3	0.000133595673669212
chr10	111841785	111842134	TFP.FOXA1	8.37046247895063e-05
chr10	112201353	112202091	TFP.ELF1	0.0236408762731091
chr10	112201475	112202003	TFP.ELF1	0.00519758286232369
chr10	112201508	112202175	TFP.ZNF263	0.015261620809362
chr10	112424618	112425180	TFP.MYC	0.02254037453001
chr10	112424623	112425110	TFP.MAX	0.0127990752086845
chr10	112424625	112425088	TFP.E2F6	0.0104151576668101
chr10	112424641	112425020	TFP.ELF1	0.0273481573308835
chr10	112424675	112425075	TFP.E2F6	0.0326396770206797
chr10	112424706	112425147	TFP.FOS	0.0445781710108929
chr10	112424709	112425150	TFP.JUND	0.0445781710108929
chr10	112424710	112425167	TFP.JUN	0.049814569385453
chr10	112424713	112425084	TFP.FOSL1	0.0254776492364904
chr10	112424743	112425167	TFP.STAT3	0.0393693540612068
chr10	112424762	112425096	TFP.STAT3	0.0178489744513944
chr10	112424762	112425110	TFP.RFX5	0.0205401285040149
chr10	112424769	112425070	TFP.JUND	0.0124124809945682
chr10	112424772	112425098	TFP.STAT3	0.0164156701910726
chr10	112424772	112425103	TFP.FOS	0.017302663224648
chr10	112424788	112425091	TFP.FOS	0.0127067800904345
chr10	112583629	112583998	TFP.CEBPB	0.0107625859019534
chr10	114344880	114345276	TFP.NR3C1	0.0486468082418154
chr10	114394201	114394537	TFP.EP300	0.0239887828400053
chr10	11453938	11454493	TFP.CTCF	0.031904706067713
chr10	11453947	11454444	TFP.CTCF	0.021164072676643
chr10	11453947	11454523	TFP.CTCF	0.0364787381327273
chr10	11453958	11454505	TFP.CTCF	0.030259211160473
chr10	11453960	11454264	TFP.CTCF	0.0432315354064463
chr10	11453960	11454278	TFP.RAD21	0.0497571097797639
chr10	11453963	11454500	TFP.CTCF	0.028277001124942
chr10	11453964	11454490	TFP.CTCF	0.0261916759310095
chr10	11453968	11454275	TFP.CTCF	0.0445868431075989
chr10	11453972	11454271	TFP.CTCF	0.0410249845884405
chr10	11453975	11454258	TFP.CTCF	0.0344038003701796
chr10	11453975	11454419	TFP.CTCF	0.0136670826075926
chr10	11453976	11454274	TFP.CTCF	0.0405915248966362
chr10	11453980	11454270	TFP.SMC3	0.0372181085613888
chr10	114779222	114780131	TFP.TCF4	0.00457741524678877
chr10	114779348	114779964	TFP.HDAC2	0.000398319252183546
chr10	114779351	114779807	TFP.USF1	5.0521813333633e-05
chr10	114779363	114779939	TFP.HNF4A	0.000254227965286315
chr10	114779369	114779860	TFP.FOXA2	8.49773296213788e-05
chr10	114779403	114779890	TFP.EP300	8.025737730248e-05
chr10	114779403	114779940	TFP.HNF4G	0.000157863690529213
chr10	114779408	114780227	TFP.HNF4A	0.00245030062342833
chr10	114846752	114847596	TFP.USF2	0.0410924196216823
chr10	115631933	115632308	TFP.CTCF	0.00391689953953679
chr10	115632064	115632496	TFP.MAFK	0.00719568457156923
chr10	115632072	115632474	TFP.MAFF	0.00529590490658462
chr10	115632103	115632466	TFP.MAFK	0.00339536798620648
chr10	115632110	115632460	TFP.MAFK	0.00288888243190967
chr10	118031709	118034525	TFP.ZNF263	0.0245854489051482
chr10	118032773	118033661	TFP.YY1	0.00802357535914733
chr10	118032855	118034429	TFP.MYC	0.0288184000831965
chr10	118032874	118034158	TFP.CTCF	0.0228649627919456
chr10	118032906	118033897	TFP.CTCF	0.00521369638563577
chr10	118032969	118034364	TFP.CTCF	0.0144558044639939
chr10	118032975	118033835	TFP.CTCF	0.00214042629112352
chr10	119093836	119094650	TFP.SETDB1	0.0294537665826728
chr10	11943700	11944495	TFP.JUNB	0.0403438908617367
chr10	11943742	11944408	TFP.JUN	0.0179908458593476
chr10	11943743	11944538	TFP.FOSL1	0.0403438908617367
chr10	119648	120297	TFP.YY1	0.000155000813219931
chr10	119659	120306	TFP.E2F1	0.000152641892337534
chr10	119673	120453	TFP.CTCF	0.000272080182230351
chr10	119675	120354	TFP.CTCF	0.000193872481117579
chr10	119684	120363	TFP.CTCF	0.000193872481117579
chr10	119685	120393	TFP.CTCF	0.000162049172746848
chr10	119687	120374	TFP.CTCF	0.000205401810903369
chr10	119698	120374	TFP.CTCF	0.000189679673843439
chr10	119701	120390	TFP.CTCF	0.000139850189407487
chr10	119712	120352	TFP.CTCF	0.0001446028826986
chr10	119725	120394	TFP.CTCF	0.000119125690009703
chr10	119726	120377	TFP.CTCF	0.00015738772944086
chr10	119726	120398	TFP.CTCF	0.00012207041247697
chr10	119733	120391	TFP.CTCF	0.000108801072333402
chr10	119735	120364	TFP.CTCF	0.000132634452334256
chr10	119735	120367	TFP.CTCF	0.000135819704737789
chr10	119739	120369	TFP.CTCF	0.000133689722278737
chr10	119741	120366	TFP.CTCF	0.000128477547419313
chr10	119748	120379	TFP.CTCF	8.64175614712119e-05
chr10	119750	120368	TFP.CTCF	0.000121445884716881
chr10	119752	120359	TFP.RAD21	0.000111001442204449
chr10	119753	120385	TFP.CTCF	8.7175854928354e-05
chr10	119783	120374	TFP.CTCF	9.70663133698088e-05
chr10	119797	120351	TFP.CTCF	7.00217446235944e-05
chr10	119801	120368	TFP.CTCF	7.87502929344651e-05
chr10	119810	120366	TFP.CTCF	7.13130765218381e-05
chr10	119810	120379	TFP.CTCF	4.85885098025994e-05
chr10	119815	120367	TFP.CTCF	6.87486877476154e-05
chr10	119817	120362	TFP.CTCF	6.4434285164976e-05
chr10	119819	120331	TFP.CTCF	4.68520286390384e-05
chr10	119827	120387	TFP.CTCF	4.44219415187606e-05
chr10	119831	120343	TFP.CTCF	4.68520286390384e-05
chr10	119832	120354	TFP.CTCF	5.17243491477135e-05
chr10	119834	120370	TFP.CTCF	5.92004922382008e-05
chr10	119838	120363	TFP.CTCF	5.32605592567725e-05
chr10	119840	120374	TFP.CTCF	5.80838347405198e-05
