chr	start	stops	name	p-value
chr10	113851200	113853100	DRM:ACSL5(;REG)	0.0136250984296317
chr10	134822100	134824800	DRM:TUBGCP2(;)	0.0102218696038721
chr10	64532000	64533100	DRM:EGR2(;)	0.0408880497505083
chr10	74067200	74070800	DRM:ECD(;)	0.0235945048609735
chr10	88362500	88362700	DRM:MMRN2(;)	0.0376793739251205
chr10	91806700	91807700	DRM:IFIT1(;)	0.0240816185070445
chr1	101748800	101749800	DRM:S1PR1(;)	0.0248321487848666
chr1	101748800	101749800	DRM:VCAM1(;)	0.0248321487848666
chr1	109080700	109080900	DRM:KIAA1324(;)	0.0403038683963274
chr11	111191200	111192500	DRM:IL18(;)	0.0242268359741996
chr11	128172200	128173100	DRM:ARHGAP32(;)	0.0198321464097673
chr11	128172200	128173100	DRM:TP53AIP1(;)	0.0198321464097673
chr11	128174900	128175100	DRM:TP53AIP1(;)	0.0461592070766716
chr11	33409000	33412100	DRM:CD59(;REG)	0.0012838346062102
chr11	33409000	33412100	DRM:LMO2(PPI;)	0.0012838346062102
chr1	147217400	147217800	DRM:FMO5(;)	0.00132052505992205
chr1	157399800	157400400	DRM:FCRL5(;)	1.23691237871421e-09
chr1	157622700	157623300	DRM:FCRL5(;)	0.01428332696706
chr11	65223100	65225800	DRM:BATF2(;)	0.0146292232562786
chr11	65223100	65225800	DRM:MAP3K11(;)	0.0146292232562786
chr11	65223100	65225800	DRM:RNASEH2C(;)	0.0146292232562786
chr11	65223100	65225800	DRM:SYVN1(PPI;)	0.0146292232562786
chr1	168720600	168722100	DRM:SELL(;)	0.0428517064977964
chr11	69650100	69650300	DRM:CCND1(PPI;)	0.0320724492937149
chr11	75080100	75080200	DRM:MOGAT2(;)	0.0171939721225837
chr11	76135700	76136300	DRM:PAK1(PPI;)	0.00551703697165461
chr1	192674500	192674600	DRM:TROVE2(;)	0.0387259601037603
chr1	201546700	201548500	DRM:TNNI1(;)	0.0401799143202232
chr1	201546700	201548500	DRM:TNNT2(;)	0.0401799143202232
chr12	109077400	109078400	DRM:TMEM119(;)	0.047441601141567
chr12	25206800	25208200	DRM:LRMP(;)	0.0081227529012631
chr1	22560800	22561000	DRM:ALPL(;)	0.041561725394236
chr1	235170400	235171300	DRM:SLC35F3(;)	0.0140642018607051
chr12	50696900	50698500	DRM:C1QL4(;)	0.044556404851414
chr12	51797000	51797200	DRM:SMAGP(;)	0.0358450760102705
chr12	52466900	52468500	DRM:AC107016.1(;)	0.0489341529545683
chr12	52466900	52468500	DRM:BIN2(;)	0.0489341529545683
chr12	52466900	52468500	DRM:KRT4(;)	0.0489341529545683
chr12	52466900	52468500	DRM:SMAGP(;)	0.0489341529545683
chr12	56831200	56832800	DRM:ERBB3(PPI;)	0.0276227396311359
chr12	56831200	56832800	DRM:MYL6B(;)	0.0276227396311359
chr12	56831200	56832800	DRM:SLC39A5(;)	0.0276227396311359
chr12	56831200	56832800	DRM:STAC3(;)	0.0276227396311359
chr1	27830200	27832300	DRM:IFI6(;REG)	0.0481673835286675
chr1	27830200	27832300	DRM:WDTC1(;)	0.0481673835286675
chr1	31246900	31247500	DRM:FABP3(;)	0.00586767770539052
chr1	32423100	32424300	DRM:TINAGL1(;)	0.0194437605293649
chr13	37708000	37709400	DRM:POSTN(;)	0.023568063929085
chr13	37862300	37862400	DRM:POSTN(;)	0.0419100500954846
chr13	73797300	73797900	DRM:KLF5(;)	0.0126679595799567
chr13	97801100	97801800	DRM:IPO5(;)	0.0297096692715469
chr1	40468600	40470200	DRM:CAP1(PPI;)	0.0426489604281688
chr1	40468600	40470200	DRM:COL9A2(;)	0.0426489604281688
chr14	100545000	100546100	DRM:EVL(;)	0.0133324083653166
chr14	100887100	100887300	DRM:BEGAIN(PPI;)	0.0307927174082321
chr14	103606500	103608200	DRM:KIF26A(;)	0.032547783021804
chr14	105532400	105534600	DRM:GPR132(;REG)	0.0453962189160414
chr14	20645500	20646700	DRM:ANG(;REG)	0.0454976233741467
chr14	20645500	20646700	DRM:NDRG2(;)	0.0454976233741467
chr14	20645500	20646700	DRM:RNASE1(;)	0.0454976233741467
chr14	20645500	20646700	DRM:RNASE4(;REG)	0.0454976233741467
chr14	20980500	20980600	DRM:TOX4(;)	0.0275777571665128
chr1	43504100	43505900	DRM:HYI(;)	0.0034516316737113
chr1	43504100	43505900	DRM:TIE1(;)	0.0034516316737113
chr14	38577400	38578500	DRM:SLC25A21(;)	0.0330347608207545
chr14	52350700	52351700	DRM:FRMD6(;)	0.034328273654832
chr14	57474600	57477400	DRM:EXOC5(PPI;)	0.0471022400692744
chr14	96177000	96177500	DRM:GSC(PPI;)	0.00646330439303898
chr14	96550100	96550300	DRM:PAPOLA(PPI;)	0.0459455722883657
chr15	35311000	35312400	DRM:ACTC1(PPI;)	0.0380360652564781
chr15	40241200	40241500	DRM:DLL4(;)	0.0453242781383231
chr1	55724800	55726500	DRM:DHCR24(;REG)	0.00464392803758572
chr15	66949200	66950500	DRM:SMAD6(PPI;)	0.0349737882340489
chr15	78710300	78712100	DRM:CTSH(;)	0.0450031337315732
chr15	78710300	78712100	DRM:DNAJA4(;)	0.0450031337315732
chr1	5904200	5904400	DRM:GPR153(;)	0.0335981070772824
chr1	5904200	5904400	DRM:HES3(;)	0.0335981070772824
chr15	90849200	90850300	DRM:RHCG(;)	0.016217020961179
chr16	20601000	20601100	DRM:ACSM3(;)	0.0201458070716334
chr16	23252300	23252800	DRM:PRKCB(;)	0.00683268835023039
chr16	54302000	54303100	DRM:FTO(;)	0.027108959647427
chr16	58359700	58359800	DRM:CCL22(;)	0.0180791274405564
chr16	65267500	65267800	DRM:CDH11(;)	0.0111581812234278
chr16	78739600	78741000	DRM:VAT1L(;)	0.0378084801726881
chr16	81554300	81555300	DRM:SDR42E1(;)	0.0101749197828721
