chr	start	stops	name	p-value
chr1	145397792	145398210	Ultra-Sensitive	0.0077466745531171
chr11	62320559	62320996	Ultra-Sensitive	0.014207860411909
chr11	89236917	89237459	Ultra-Sensitive	0.0156717206975252
chr12	132195215	132195716	Ultra-Sensitive	0.0236677272746077
chr1	28975049	28975405	Ultra-Sensitive	0.00992327766897355
chr1	28975064	28975535	Ultra-Sensitive	0.0131074089392092
chr12	9842145	9843002	Ultra-Sensitive	0.0430495492283915
chr15	40401057	40401487	Ultra-Sensitive	0.00992376180871648
chr15	40401067	40401570	Ultra-Sensitive	0.0115985333630785
chr17	56736172	56736756	Ultra-Sensitive	0.0202591660773522
chr17	56736233	56736730	Ultra-Sensitive	0.0172677399025239
chr20	55689930	55691042	Ultra-Sensitive	0.035494210744615
chr2	157257073	157257910	Ultra-Sensitive	0.041284246849669
chr2	157257093	157257909	Ultra-Sensitive	0.0402699167178463
chr2	95880035	95882041	Ultra-Sensitive	0.0404045373047612
chr3	169489806	169490198	Ultra-Sensitive	0.0184179137670782
chr5	135149834	135150444	Ultra-Sensitive	0.024768815766916
chr5	38887096	38887842	Ultra-Sensitive	0.0316416192056119
chr6	28615885	28616261	Ultra-Sensitive	0.0212443943410786
chrX	37934047	37934625	Ultra-Sensitive	0.0312773089312647
