chr	start	stops	name	p-value
chr10	127574461	127576609	Ultra-Sensitive	0.0355289463433142
chr10	127574467	127581831	Ultra-Sensitive	2.6308266322664e-08
chr10	127574470	127581814	Ultra-Sensitive	2.56105984971747e-08
chr10	127574522	127576584	Ultra-Sensitive	0.0330004425967794
chr10	127576746	127577021	Ultra-Sensitive	0.036580558176372
chr10	127577231	127579392	Ultra-Sensitive	0.000273221647251458
chr10	127577618	127578936	Ultra-Sensitive	0.0144416697517266
chr10	127577738	127578935	Ultra-Sensitive	0.0120464591470047
chr10	127579241	127581770	Ultra-Sensitive	0.00548652155095681
chr10	127579243	127581800	Ultra-Sensitive	0.00565395191276375
chr10	127589512	127590467	Ultra-Sensitive	8.09829986373736e-09
chr10	127589562	127590375	Ultra-Sensitive	3.14092882102026e-09
chr10	127589573	127590388	Ultra-Sensitive	3.18673363186786e-09
chr10	127590829	127592238	Ultra-Sensitive	2.23037687868406e-06
chr10	127590874	127592232	Ultra-Sensitive	1.86678889172213e-06
chr10	127590879	127592372	Ultra-Sensitive	1.1014034280272e-07
chr10	127592662	127593451	Ultra-Sensitive	1.32733905594452e-07
chr10	127593784	127594775	Ultra-Sensitive	0.000389164668775146
chr10	127593839	127594688	Ultra-Sensitive	0.000248478810357296
chr10	127595423	127596583	Ultra-Sensitive	2.53151117058938e-08
chr10	127595486	127596425	Ultra-Sensitive	7.33304199435583e-09
chr10	127595893	127596533	Ultra-Sensitive	7.64754276831554e-10
chr10	127597306	127597883	Ultra-Sensitive	0.00296610099186331
chr10	127597358	127599296	Ultra-Sensitive	7.98278346442348e-10
chr10	127597450	127599300	Ultra-Sensitive	1.53999032163854e-08
chr10	127598176	127599289	Ultra-Sensitive	1.98743854316894e-08
chr10	127599573	127601174	Ultra-Sensitive	0.0207576787116559
chr10	127599624	127600941	Ultra-Sensitive	0.0144211027595513
chr10	127599687	127600983	Ultra-Sensitive	0.013992136910148
chr10	127601579	127604618	Ultra-Sensitive	1.33983431731682e-09
chr10	127601605	127602704	Ultra-Sensitive	0.0102477582183619
chr10	127601881	127603431	Ultra-Sensitive	0.0195482881281122
chr10	127603648	127604692	Ultra-Sensitive	1.36608378624578e-08
chr10	127613121	127616024	Ultra-Sensitive	3.12455578718982e-07
chr10	127613302	127616170	Ultra-Sensitive	2.88392279059156e-07
chr10	127614165	127615594	Ultra-Sensitive	0.00111312699051919
chr10	42832076	42832803	Ultra-Sensitive	0.000461595289244714
chr10	70939797	70940047	Ultra-Sensitive	0.0304271865103132
chr10	75255692	75256029	Ultra-Sensitive	0.0465123258989253
chr10	98561166	98561704	Ultra-Sensitive	0.00234556292255355
chr10	98561174	98561711	Ultra-Sensitive	0.00233706023961732
chr10	98561228	98561709	Ultra-Sensitive	0.00188445195728287
chr10	98561229	98561714	Ultra-Sensitive	0.00191523947056246
chr1	143534258	143535518	Ultra-Sensitive	0.0136446502424098
chr1	143534262	143535561	Ultra-Sensitive	0.0144491652317393
chr1	143538897	143540648	Ultra-Sensitive	0.0251626777950108
chr1	143539113	143539631	Ultra-Sensitive	0.00247421626579542
chr1	145055591	145056743	Ultra-Sensitive	0.0115226711664621
chr1	145071351	145071959	Ultra-Sensitive	0.00337956802713724
chr1	145399145	145399510	Ultra-Sensitive	0.0489535425248714
chr1	149298479	149298830	Ultra-Sensitive	0.0444852298631909
chr1	149298479	149298845	Ultra-Sensitive	0.0463405379221082
chr1	149683995	149684376	Ultra-Sensitive	0.0481921586851595
