name	ct	len	pval	p.adj	den
TRPM4	2	486	7.18695479920847e-07	1.65299960381795e-05	0.00411522633744856
RPL10A	1	161	0.000531368973207681	0.011690117410569	0.0062111801242236
MAN2B1	1	383	0.00104592745108141	0.0219644764727095	0.00261096605744125
AC002117.1	1	275	0.00105697231172534	0.0219644764727095	0.00363636363636364
HEXIM2	1	275	0.00105697231172534	0.0219644764727095	0.00363636363636364
SIN3B	1	436	0.00122570224380061	0.022062640388411	0.00229357798165138
H6PD	1	917	0.00181206838443444	0.0308051625353855	0.00109051254089422
ALMS1	1	709	0.00188057063327799	0.0308051625353855	0.00141043723554302
TBCA	1	600	0.00211614689132382	0.0317422033698573	0.00166666666666667
WDR83	1	612	0.00225135595451312	0.0317422033698573	0.00163398692810458
CHMP3	1	732	0.00234916967739636	0.0317422033698573	0.00136612021857923
PTMS	1	1474	0.00240126306326021	0.0317422033698573	0.00067842605156038
RRAS2	1	878	0.00245462212463492	0.0317422033698573	0.00113895216400911
DNASE1L1	1	454	0.00257275160865196	0.0317422033698573	0.00220264317180617
TOR4A	1	1415	0.00263392964968005	0.0317422033698573	0.000706713780918728
C16orf52	1	752	0.00267388315156243	0.0317422033698573	0.00132978723404255
CEP57	1	898	0.00268592813369178	0.0317422033698573	0.00111358574610245
FAM76B	1	898	0.00268592813369178	0.0317422033698573	0.00111358574610245
MPP6	1	1126	0.00362688997354213	0.0317422033698573	0.00088809946714032
CREBRF	1	907	0.00458046562890518	0.0317422033698573	0.00110253583241455
AC007773.2	1	770	0.00555673343834999	0.0317422033698573	0.0012987012987013
DPY19L3	1	770	0.00555673343834999	0.0317422033698573	0.0012987012987013
PTPRM	1	1528	0.026192158700698	0.0317422033698573	0.000654450261780105
