chr	start	stops	name	p-value
chr10	127592662	127593451	Ultra-Sensitive	3.19189105685095e-09
chr10	127597358	127599296	Ultra-Sensitive	0.0438086295973053
chr10	127597450	127599300	Ultra-Sensitive	0.0391317974644011
chr10	127598176	127599289	Ultra-Sensitive	0.0106721950299233
chr10	127613121	127616024	Ultra-Sensitive	4.43964923273789e-05
chr10	127613302	127616170	Ultra-Sensitive	6.01265137165965e-06
chr10	127614165	127615594	Ultra-Sensitive	0.0204958776092867
chr10	42832076	42832803	Ultra-Sensitive	0.0348324124457929
chr1	143534258	143535518	Ultra-Sensitive	0.000400898453962169
chr1	143534262	143535561	Ultra-Sensitive	0.000448951587251497
chr1	143539113	143539631	Ultra-Sensitive	0.00824477453456146
chr1	144533939	144534372	Ultra-Sensitive	0.0058488180569353
chr1	148549781	148551098	Ultra-Sensitive	6.08754496839438e-09
chr11	62608723	62609295	Ultra-Sensitive	1.23533289108321e-14
chr11	62608765	62609333	Ultra-Sensitive	4.00620649980019e-18
chr11	62608794	62609397	Ultra-Sensitive	4.2338122048602e-16
chr11	62608900	62609311	Ultra-Sensitive	3.18956531440349e-14
chr11	65272586	65273789	Ultra-Sensitive	0.018818208556404
chr12	98897817	98898201	Ultra-Sensitive	0.017691250213936
chr13	63624775	63625393	Ultra-Sensitive	0.0203973003199196
chr13	95201809	95202186	Ultra-Sensitive	0.00687720521352916
chr15	43398220	43398373	Ultra-Sensitive	0.025490079080898
chr16	70974629	70975261	Ultra-Sensitive	0.00983340879550791
chr17	57916887	57917128	Ultra-Sensitive	0.0490992183811419
chr18	15409264	15409846	Ultra-Sensitive	9.98219250064827e-23
chr1	822906	823571	Ultra-Sensitive	0.0117294349135451
chr19	4724530	4724938	Ultra-Sensitive	0.00556957153574362
chr19	4724568	4724965	Ultra-Sensitive	0.00528401498406477
chr19	893202	893659	Ultra-Sensitive	0.00794874189339335
chr19	893247	893659	Ultra-Sensitive	0.00651822099117058
chr20	29637065	29638093	Ultra-Sensitive	0.0388431048703597
chr2	133021599	133031935	Ultra-Sensitive	0.00167625910228978
chr2	133021802	133031935	Ultra-Sensitive	0.00143723286401087
chr2	133024872	133035246	Ultra-Sensitive	0.00456687799213987
chr2	133028013	133031929	Ultra-Sensitive	0.00545395453598127
chr3	128879830	128880605	Ultra-Sensitive	0.00133257211084939
chr3	75736720	75738721	Ultra-Sensitive	0.0258173543771129
chr4	190484211	190484650	Ultra-Sensitive	0.0479089531175907
chr4	190532423	190532806	Ultra-Sensitive	0.0375692695522077
chr4	44606	46013	Ultra-Sensitive	0.00415941818369698
chr4	67760	68614	Ultra-Sensitive	0.0158439653894373
chr5	20439216	20439814	Ultra-Sensitive	0.0198474219225647
chr5	26681928	26682468	Ultra-Sensitive	0.0347628574883796
chr7	139025227	139025608	Ultra-Sensitive	0.00483074703211176
chr7	139025237	139025626	Ultra-Sensitive	0.00502834971482096
chr7	57232561	57233633	Ultra-Sensitive	0.00747510009516139
chr8	82754517	82754957	Ultra-Sensitive	0.000606338542046447
chr8	82754579	82754966	Ultra-Sensitive	0.000418852122372656
chr8	82754591	82754962	Ultra-Sensitive	0.000370710646832872
chr8	96281799	96282183	Ultra-Sensitive	0.0134260150209291
chr8	96281816	96282187	Ultra-Sensitive	0.012582801474705
chr9	137029497	137029946	Ultra-Sensitive	0.00565131855139639
chr9	137029516	137029957	Ultra-Sensitive	0.00545910216393103
chr9	35657624	35658292	Ultra-Sensitive	0.000290907538831533
chr9	35657837	35658246	Ultra-Sensitive	0.00267854911359594
