gene	len	ct	mu	sigma	region	p-value
GABRD	1359	0	186.296730124902	0.0236069799037587	reg2	0.0275557747913056
NPHP4	4281	0	121.955120077845	0.0236069799037587	reg7	0.0168510642501188
PTCHD2	4217	3	126.928795504057	0.0236069799037587	reg12	0.0179749572349867
PRAMEF1	1556	0	147.561958630108	0.0236069799037587	reg13	5.40015905445279e-06
HNRNPCL1	882	2	147.561958630108	0.0236069799037587	reg13	0.00792132687939
PRAMEF4	1437	1	147.561958630108	0.0236069799037587	reg13	0.0198788210532183
NBPF1	3420	1	126.977106343659	0.0236069799037587	reg16	0.0011683714276629
PADI3	1995	1	131.049422756826	0.0236069799037587	reg19	0.0292200485667884
HTR1D	1134	0	138.09754199662	0.0236069799037587	reg24	0.0112618687359048
AIM1L	3762	0	121.903507602641	0.0236069799037587	reg27	0.0119962247193546
FKSG48	375	0	134.790771917162	0.0236069799037587	reg34	0.0492616693444779
NASP	2440	2	109.105337094855	0.0236069799037587	reg47	0.000190611806100395
ORC1	2586	0	108.610364237959	0.0236069799037587	reg53	0.033281580461076
CDCP2	1350	0	114.967792193852	0.0236069799037587	reg55	0.0110725773182592
JAK1	3465	3	112.299668882494	0.0236069799037587	reg66	0.000782828876946835
SRSF11	1742	0	166.419238132468	0.0236069799037587	reg71	0.0352411869738816
BCL10	702	0	112.476166566325	0.0236069799037587	reg86	0.00302035287899814
MTMR11	2165	0	129.713697335162	0.0236069799037587	reg151	0.0332738077717585
S100A8	282	0	171.025555082368	0.0236069799037587	reg154	0.0470585090152153
CREB3L4	1211	0	171.025555082368	0.0236069799037587	reg154	0.0190283745781838
SHC1	2035	0	123.170217176847	0.0236069799037587	reg155	0.0270550902647781
MUC1	1515	0	119.774587930762	0.0236069799037587	reg156	0.000923582890514121
OR10Z1	942	0	280.882369556911	0.0236069799037587	reg159	0.0298639877942184
OR6N2	954	0	280.882369556911	0.0236069799037587	reg159	0.0305597279892865
XCL2	345	0	130.499661339689	0.0236069799037587	reg169	0.0440010595532187
EDEM3	2847	0	114.826109487955	0.0236069799037587	reg185	0.0437066931099716
PRG4	4215	2	163.939288669422	0.0236069799037587	reg187	0.00602551674228124
B3GALT2	1269	0	147.426732369916	0.0236069799037587	reg194	0.0157403116476558
LRRN2	2142	0	96.9473593257038	0.0236069799037587	reg205	0.0191222672171985
SRGAP2	3002	2	130.065251769278	0.0236069799037587	reg208	0.00780701706896513
MAPKAPK2	1257	0	130.065251769278	0.0236069799037587	reg208	0.0122166439085456
WNT9A	1098	0	158.752634659966	0.0236069799037587	reg229	0.0137842634594368
FMN2	5204	0	210.089484218703	0.0236069799037587	reg241	0.00606268807503361
OR2L5	939	0	194.284844986954	0.0236069799037587	reg248	0.0150151402074439
OR2M5	939	0	194.284844986954	0.0236069799037587	reg248	0.0150151402074439
CDNF	564	1	89.7347260886953	0.0236069799037587	reg1693	0.049322295903002
KIAA1217	5964	1	111.945237976853	0.0236069799037587	reg1703	0.0315118839078716
ANKRD30A	4383	2	264.070304340907	0.0236069799037587	reg1716	0.00761833815566217
SYT15	1680	0	162.856273615604	0.0236069799037587	reg1724	0.0317373803293412
AGAP6	2061	2	130.281494253691	0.0236069799037587	reg1731	0.0306735227375032
AGAP5	2061	0	141.411178914979	0.0236069799037587	reg1754	0.003508543864005
AL133481.1	1128	0	177.851755257372	0.0236069799037587	reg1760	3.39387336741471e-09
C10orf88	1338	1	129.246370872724	0.0236069799037587	reg1803	0.0135798926198737
C10orf90	2526	0	135.573825015408	0.0236069799037587	reg1806	0.00546876105942538
MUC2	8501	3	163.507488655022	0.0236069799037587	reg1816	4.33261920233062e-06
MUC5B	17324	3	163.507488655022	0.0236069799037587	reg1816	0.0302056446696671
KRTAP5-1	837	0	163.507488655022	0.0236069799037587	reg1816	0.00871833251363029
CCKBR	1672	1	204.36848229606	0.0236069799037587	reg1819	0.0472786260188417
NLRP14	3282	1	168.43837346649	0.0236069799037587	reg1821	0.0195360453061814
OR10A6	945	1	168.43837346649	0.0236069799037587	reg1821	0.0116142558176852
NLRP10	1968	1	168.43837346649	0.0236069799037587	reg1821	0.0448006722356332
OR8K1	960	1	222.324062348058	0.0236069799037587	reg1870	0.020120245815102
