gene	len	ct	mu	sigma	region	p-value
DDI2	1200	0	126.977106343659	0.0236069799037587	reg16	0.000671587068091967
AKR7A3	996	0	112.626226067144	0.0236069799037587	reg20	0.0357514863108954
PLA2G2C	499	0	152.994144706586	0.0236069799037587	reg21	0.0183642158671817
HTR1D	1134	0	138.09754199662	0.0236069799037587	reg24	0.030734695090954
STMN1	597	0	121.903507602641	0.0236069799037587	reg27	0.0165736970096824
CATSPER4	1503	0	121.903507602641	0.0236069799037587	reg27	0.0411944035626561
ARID1A	6858	3	141.776251607553	0.0236069799037587	reg28	0.00187925648209805
C1orf172	1197	0	141.776251607553	0.0236069799037587	reg28	0.0401146735724625
SESN2	1443	0	124.98459651806	0.0236069799037587	reg29	0.000807381600796202
YTHDF2	1740	0	124.98459651806	0.0236069799037587	reg29	0.0475605201842828
SRSF4	1485	0	124.98459651806	0.0236069799037587	reg29	0.0407367966879384
MANEAL	1374	0	171.844576495563	0.0236069799037587	reg38	0.0398702388375069
ZNF684	1259	0	125.421017395614	0.0236069799037587	reg42	0.0280801577226778
ST3GAL3	1452	0	106.857976408975	0.0236069799037587	reg45	0.0401162398598651
CYP4B1	1539	0	142.118545132135	0.0236069799037587	reg48	0.0482531211616641
GLIS1	1863	2	114.967792193852	0.0236069799037587	reg55	0.0443500363711892
NDC1	2025	0	114.967792193852	0.0236069799037587	reg55	0.0481108592993209
DIO1	750	0	114.967792193852	0.0236069799037587	reg55	0.0181004119839728
SSBP3	1218	0	114.967792193852	0.0236069799037587	reg55	0.0292260889983327
RPL5	894	0	130.713887861791	0.0236069799037587	reg94	0.0276232554462166
PRPF38B	1656	1	140.183697090511	0.0236069799037587	reg110	0.0469485420130631
AHCYL1	1593	0	104.104879432171	0.0236069799037587	reg111	0.038338520551426
ECM1	1710	0	129.713697335162	0.0236069799037587	reg151	0.00131996308822209
LCE2D	333	0	207.056332805153	0.0236069799037587	reg153	0.0156447942858944
LELP1	297	0	171.025555082368	0.0236069799037587	reg154	0.010173487702649
PMVK	579	0	123.170217176847	0.0236069799037587	reg155	0.0168434779411341
MUC1	1515	0	119.774587930762	0.0236069799037587	reg156	0.0406853688820359
DUSP27	3477	0	120.501996599568	0.0236069799037587	reg168	0.00468967964539031
SELL	1158	0	128.566138396579	0.0236069799037587	reg170	0.0414820615832359
SUCO	4353	0	138.232786364728	0.0236069799037587	reg173	0.0156863299080342
LHX4	1173	0	142.37754593285	0.0236069799037587	reg181	0.0363113397454552
NCF2	1581	0	123.140317425324	0.0236069799037587	reg184	0.0438494308814635
ADIPOR1	1128	0	157.418291534123	0.0236069799037587	reg203	0.0326919100231507
MAPKAPK2	1257	0	130.065251769278	0.0236069799037587	reg208	0.0495154080705172
ANGEL2	1642	0	131.768901547281	0.0236069799037587	reg214	0.0487326505419059
PSEN2	1446	0	127.830909418127	0.0236069799037587	reg228	0.046262580095881
RHOU	777	0	158.752634659966	0.0236069799037587	reg229	0.0293474586824213
AKT3	1484	0	192.642969589289	0.0236069799037587	reg244	0.03632100422994
KIF26B	6350	2	138.430037845373	0.0236069799037587	reg246	0.00125835376143641
OR1C1	945	0	194.284844986954	0.0236069799037587	reg248	0.0464251128197872
AKR1C4	972	0	130.927976811399	0.0236069799037587	reg1684	0.0409335285140174
PHYHIPL	1203	0	143.365342789667	0.0236069799037587	reg1739	0.0423127862607965
CCAR1	3630	1	123.643902268631	0.0236069799037587	reg1749	0.00470984562728517
KIAA1279	1866	0	123.643902268631	0.0236069799037587	reg1749	0.0499085114047276
