name	ct	len	pval	p.adj	den
ANKRD53	3	111	9.52027355838325e-08	0.000627671635704208	0.027027027027027
DKFZP761J1410	8	2440	1.94177602774737e-07	0.00128001875749106	0.00327868852459016
RP11-102M11.2	6	1094	4.78104900891729e-07	0.00315118940177739	0.00548446069469835
STAG1	6	1107	4.93454022310047e-07	0.00325186200702321	0.00542005420054201
RP4-775C13.1	4	445	1.132523124725e-06	0.00746219486881305	0.00898876404494382
TBC1D12	5	755	1.32212934178533e-06	0.00871018810368174	0.00662251655629139
SLC7A13	4	419	1.43024385212964e-06	0.00942101625397795	0.00954653937947494
SOX15	5	1001	1.50773566187645e-06	0.00992994706911832	0.004995004995005
AKT3	5	1134	2.82269250351241e-06	0.0185874301356292	0.00440917107583774
RP11-436I9.6	2	81	3.64342443914811e-06	0.0239883065073512	0.0246913580246914
RN7SL226P	2	78	3.91336534422138e-06	0.0257616840610093	0.0256410256410256
CBFB	4	796	3.9472685007258e-06	0.0259809212717772	0.0050251256281407
SNORD89	2	62	4.88569371170922e-06	0.0321527503167583	0.032258064516129
FBXW8	4	589	5.14975033727438e-06	0.0338853572192654	0.0067911714770798
TM9SF1	6	1749	5.17549620104862e-06	0.0340495895066989	0.00343053173241852
LL22NC03-22A12.12	2	92	5.48062542604644e-06	0.0360515540525335	0.0217391304347826
NECAP1P1	1	9	5.60520878345461e-06	0.036865458168781	0.111111111111111
GPR53P	2	106	5.97491633180791e-06	0.0392910497979688	0.0188679245283019
XBP1	5	1377	6.51653262717655e-06	0.0428462020236858	0.00363108206245461
RP11-659G9.1	2	60	6.65214874651099e-06	0.0437312258595632	0.0333333333333333
MALAT1	6	1819	7.50118514714071e-06	0.0493052899721559	0.00329851566794942
H3F3AP3	2	63	8.05366053802103e-06	0.0529286570558742	0.0317460317460317
RP11-702L6.4	2	63	8.05366053802103e-06	0.0529286570558742	0.0317460317460317
AC105206.1	2	153	8.99767797346573e-06	0.0591147442856699	0.0130718954248366
PRSS41	2	146	1.00208578627248e-05	0.065827015300239	0.0136986301369863
RP11-304F15.6	3	404	1.33232384061932e-05	0.087507029851877	0.00742574257425743
SLC17A8	2	134	1.38123957679204e-05	0.0907060030079331	0.0149253731343284
CTD-2540B15.11	4	1027	1.44469806275804e-05	0.0948588748006931	0.00389483933787731
PTPRCAP	4	1111	1.50868750407041e-05	0.0990453346422221	0.0036003600360036
KRT18P2	1	9	1.54453961020984e-05	0.101383580014174	0.111111111111111
RP3-414A15.10	3	429	1.7301429969474e-05	0.113549284889658	0.00699300699300699
RP11-638I2.4	4	1320	1.76273380484426e-05	0.115670592273881	0.00303030303030303
KALRN	4	963	1.83076711552932e-05	0.120116630449879	0.00415368639667705
RN7SKP291	1	18	1.92673822575484e-05	0.126394027609518	0.0555555555555556
RAD51AP2	3	258	2.01657488799745e-05	0.132267146903753	0.0116279069767442
ACADS	3	461	2.0499106827665e-05	0.134433142575827	0.00650759219088937
LPHN3	5	1013	2.05483176168864e-05	0.134735318613924	0.00493583415597236
AC027811.1	2	105	2.31821502875151e-05	0.151982177284949	0.019047619047619
OR4N1P	2	121	2.43493398873751e-05	0.159609922961744	0.0165289256198347
PPAPDC3	4	915	2.79984616397e-05	0.183501917586594	0.00437158469945355
RP11-715J22.3	4	949	2.97128985834449e-05	0.194708624417315	0.00421496311907271
RP11-489O18.1	1	20	3.04602476985938e-05	0.199575542921187	0.05
SELL	2	273	3.17873188198092e-05	0.20823872558857	0.00732600732600733
TPM3	7	2675	3.2494971235919e-05	0.21284206159527	0.00261682242990654
