chr	start	stops	name	p-value
chr10	103043500	103046400	DRM:C10orf76(;)	0.0322286937454516
chr10	11709800	11710000	DRM:CUGBP2(;)	0.00154733089591722
chr10	11759700	11760600	DRM:CUGBP2(;)	0.0273581311316006
chr10	118854400	118854800	DRM:GFRA1(;)	0.0172811211454018
chr10	17514900	17516200	DRM:VIM(PPI;)	0.00434220016041388
chr10	62825900	62828000	DRM:RHOBTB1(;)	0.0243869511076572
chr10	6309000	6309700	DRM:CALML5(;)	0.0218103858955038
chr10	7068700	7071800	DRM:ITIH2(;REG)	0.0351373102138262
chr10	91565200	91565900	DRM:IFIT1(;)	0.032204391256116
chr1	103125400	103125700	DRM:COL11A1(;)	0.00246006040444361
chr1	110673400	110673600	DRM:CSF1(;)	0.046050994562545
chr1	110673400	110673600	DRM:DRAM2(;)	0.046050994562545
chr1	110673400	110673600	DRM:SLC16A4(;)	0.046050994562545
chr1	111184100	111184800	DRM:DENND2D(;)	0.00256632084858633
chr11	11757200	11757500	DRM:EIF4G2(;)	0.00292711106013118
chr11	121671000	121673600	DRM:SORL1(;)	0.0335816266614717
chr11	123572900	123573200	DRM:SPA17(;)	0.0113370092147192
chr11	125427000	125427100	DRM:HEPACAM(;)	0.0377940351457112
chr11	26049400	26050800	DRM:ANO3(;)	0.0492900966770256
chr11	33409000	33412100	DRM:CD59(;REG)	0.000672738705302497
chr11	33409000	33412100	DRM:LMO2(PPI;)	0.000672738705302497
chr11	34039400	34039600	DRM:LMO2(PPI;)	0.0444165826747448
chr11	34048900	34050400	DRM:LMO2(PPI;)	0.00546338374696937
chr11	35111000	35112200	DRM:CD44(PPI;)	0.00682445648842089
chr1	150507400	150507600	DRM:SEMA6C(;)	0.000899857209579681
chr1	158132600	158133200	DRM:FCRL5(;)	0.00113154362107741
chr1	160424100	160425400	DRM:DCAF8(;)	0.011089467233705
chr1	160424100	160425400	DRM:PVRL4(;)	0.011089467233705
chr11	61434100	61436000	DRM:FADS1(;REG)	0.01851643739672
chr1	161708300	161709500	DRM:FCGR2B(;)	0.0320918282032255
chr1	161708300	161709500	DRM:PVRL4(;)	0.0320918282032255
chr1	162426900	162427000	DRM:DDR2(;)	2.81642781688694e-06
chr1	162426900	162427000	DRM:RGS5(;)	2.81642781688694e-06
chr1	163369500	163370400	DRM:C1orf110(;)	0.0163407961698686
chr1	163369500	163370400	DRM:DDR2(;)	0.0163407961698686
chr11	69416200	69416400	DRM:MYEOV(;)	0.0482710123210134
chr1	181075800	181075900	DRM:CACNA1E(;)	0.0476658025130604
chr11	85839900	85840400	DRM:SYTL2(;)	0.00676341149852086
chr11	88170300	88170400	DRM:RAB38(;)	0.00140783173806748
chr1	19831400	19831500	DRM:UBR4(;)	0.0284973767941998
chr12	113957200	113958100	DRM:TBX5(;)	0.000295302918390566
chr12	115000500	115000900	DRM:TBX5(;)	0.0212979792906972
chr12	115420600	115420800	DRM:TBX5(;)	0.0057450408385578
chr12	123768500	123768700	DRM:SBNO1(;)	0.0347854669418753
chr12	27971400	27971900	DRM:PTHLH(;)	0.00816711951111588
chr1	234950700	234950800	DRM:GNG4(;)	0.0261144830927296
chr1	243087500	243088500	DRM:CEP170(;)	0.0414599501131056
chr1	243087500	243088500	DRM:MAP1LC3C(;)	0.0414599501131056
chr12	4337200	4337900	DRM:NDUFA9(PPI;)	0.0412811120612392
chr1	246872600	246873900	DRM:CNST(;REG)	0.00725049559349867
chr1	246872600	246873900	DRM:SMYD3(;)	0.00725049559349867
chr1	246872600	246873900	DRM:ZNF124(;)	0.00725049559349867
chr12	49728900	49732700	DRM:C1QL4(;)	0.0370772090782322
chr12	49728900	49732700	DRM:ZNF641(;)	0.0370772090782322
chr12	53366400	53367400	DRM:ITGB7(PPI;)	0.0214821733299282
chr12	54865600	54868800	DRM:HOXC10(;REG)	0.00790540886789846
chr12	56036200	56036800	DRM:MUCL1(;)	0.000173023599610795
chr12	57051300	57051900	DRM:ARHGAP9(;)	0.00910593152914257
chr12	6248100	6248300	DRM:GAPDH(PPI;REG)	0.0404550632126421
chr1	26259100	26261300	DRM:MAN1C1(;)	0.016337413515453
chr1	26259100	26261300	DRM:NR0B2(PPI;REG)	0.016337413515453
chr1	26259100	26261300	DRM:UBXN11(;)	0.016337413515453
chr12	6280600	6280800	DRM:C1R(;)	0.0404550632126421
chr12	6280600	6280800	DRM:C1S(PPI;REG)	0.0404550632126421
chr12	6280600	6280800	DRM:CD4(PPI;)	0.0404550632126421
chr12	6280600	6280800	DRM:GAPDH(PPI;REG)	0.0404550632126421
chr12	6280600	6280800	DRM:GPR162(;)	0.0404550632126421
chr12	6280600	6280800	DRM:NTF3(;)	0.0404550632126421
chr12	6280600	6280800	DRM:PTPN6(PPI;REG)	0.0404550632126421
chr12	6280600	6280800	DRM:TNFRSF1A(PPI;REG)	0.0404550632126421
chr12	63489100	63489700	DRM:USP15(;REG)	0.0229768781059806
chr1	26463800	26464000	DRM:NR0B2(PPI;REG)	0.0456286609402282
chr12	7404300	7404500	DRM:CHD4(PPI;)	0.0404550632126421
chr12	7435300	7435900	DRM:NANOGP1(;)	0.00724647616217292
chr12	7435300	7435900	DRM:NANOG(;REG)	0.00724647616217292
chr12	76059100	76061700	DRM:OSBPL8(;)	0.00686851821813941
chr12	95208700	95213400	DRM:USP44(;)	0.0360566521668585
chr12	96818500	96818700	DRM:USP44(;)	0.0450324084410711
chr13	113000500	113001100	DRM:LAMP1(;REG)	0.0116550856404535
chr13	113000500	113001100	DRM:PCID2(;)	0.0116550856404535
chr1	31245000	31245600	DRM:FABP3(;)	0.00974235909200966
chr1	31249200	31253000	DRM:FABP3(;)	0.0157149591404947
chr1	32291800	32293300	DRM:FABP3(;)	0.0455135158179086
