chr	start	stops	name	p-value
chr1	136960	137110	DHS.MCV-1	8.02064211651943e-08
chr1	237640	237790	DHS.MCV-65	0.0353587071184919
chr1	714020	714170	DHS.MCV-125	0.0353587071184919
chr1	757565	757715	DHS.MCV-1	0.0353587071184919
chr1	790720	790870	DHS.MCV-1	0.0353587071184919
chr1	801140	801290	DHS.MCV-14	0.0353587071184919
chr1	806905	807055	DHS.MCV-1	0.0353587071184919
chr1	812565	812715	DHS.MCV-1	0.0353587071184919
chr1	814465	814615	DHS.MCV-1	0.0353587071184919
chr1	821800	821950	DHS.MCV-2	0.000650527029248027
chr1	838200	838350	DHS.MCV-1	0.000650527029248027
chr1	838940	839090	DHS.MCV-1	8.22517397322842e-06
chr1	839345	839495	DHS.MCV-8	0.0353587071184919
chr1	840060	840210	DHS.MCV-120	0.0353587071184919
chr1	847460	847610	DHS.MCV-10	0.0353587071184919
chr1	849405	849555	DHS.MCV-2	0.0353587071184919
chr1	850365	850515	DHS.MCV-2	0.0353587071184919
chr1	862325	862475	DHS.MCV-1	0.0353587071184919
chr1	874325	874475	DHS.MCV-5	0.0353587071184919
chr1	890325	890475	DHS.MCV-1	0.0353587071184919
chr1	893320	893470	DHS.MCV-1	0.0353587071184919
chr1	913405	913555	DHS.MCV-14	0.0353587071184919
chr1	914520	914670	DHS.MCV-1	0.0353587071184919
chr1	919625	919775	DHS.MCV-81	0.0353587071184919
chr1	932225	932375	DHS.MCV-4	0.0353587071184919
chr1	935100	935250	DHS.MCV-15	0.0353587071184919
chr1	940925	941075	DHS.MCV-29	0.0353587071184919
chr1	955325	955475	DHS.MCV-51	0.0353587071184919
chr1	960625	960775	DHS.MCV-6	0.0353587071184919
chr1	1003965	1004115	DHS.MCV-34	0.0353587071184919
chr1	1004125	1004275	DHS.MCV-42	0.000650527029248027
chr1	1004285	1004435	DHS.MCV-35	0.0353587071184919
chr1	1009820	1009970	DHS.MCV-9	0.0353587071184919
chr1	1017405	1017555	DHS.MCV-1	0.0353587071184919
chr1	1018025	1018175	DHS.MCV-1	0.0353587071184919
chr1	1051560	1051710	DHS.MCV-124	0.0353587071184919
chr1	1105820	1105970	DHS.MCV-14	0.000650527029248027
