chr	start	stops	name	p-value
chr10	112375900	112376900	DRM:NCRNA00081(;)	0.0165295495509678
chr10	113842900	113843700	DRM:ACSL5(;REG)	0.00483901602447544
chr10	11482000	11483300	DRM:CUGBP2(;)	0.00261190152929715
chr10	11719200	11720700	DRM:CUGBP2(;)	0.0193151103594419
chr10	21768300	21769100	DRM:SPAG6(;)	0.0172699286637049
chr10	62825900	62828000	DRM:RHOBTB1(;)	0.019075637989862
chr10	7161100	7162100	DRM:ITIH2(;REG)	0.0212460420796813
chr10	74439400	74440400	DRM:PSAP(;)	9.22658534756832e-05
chr10	88148900	88153500	DRM:C10orf116(;)	0.0237314943686833
chr10	88148900	88153500	DRM:MMRN2(;)	0.0237314943686833
chr11	115845400	115846900	DRM:APOC3(;REG)	0.00194412826836663
chr11	123231800	123234900	DRM:CRTAM(;)	0.0189584634377414
chr11	130992000	130992200	DRM:OPCML(;)	0.0164113010119272
chr11	348200	349000	DRM:IRF7(;)	1.15790889597756e-05
chr11	348200	349000	DRM:PKP3(;)	1.15790889597756e-05
chr1	146966800	146967300	DRM:FMO5(;)	0.0415240094031705
chr11	47890100	47893400	DRM:ACP2(;)	0.00230652147273262
chr11	47890100	47893400	DRM:NR1H3(PPI;REG)	0.00230652147273262
chr11	47890100	47893400	DRM:SPI1(PPI;REG)	0.00230652147273262
chr11	47944400	47946700	DRM:ACP2(;)	0.00192711925742851
chr11	47944400	47946700	DRM:NR1H3(PPI;REG)	0.00192711925742851
chr11	47944400	47946700	DRM:SPI1(PPI;REG)	0.00192711925742851
chr11	47955200	47955700	DRM:ACP2(;)	0.0210232568746216
chr11	47955200	47955700	DRM:NR1H3(PPI;REG)	0.0210232568746216
chr1	151360000	151360700	DRM:MLLT11(;)	0.00852052504102367
chr1	155074700	155075300	DRM:YY1AP1(;)	0.00585390792512679
chr1	157622700	157623300	DRM:FCRL5(;)	0.0345524152093164
chr1	161708300	161709500	DRM:FCGR2B(;)	0.000256817823551982
chr1	161708300	161709500	DRM:PVRL4(;)	0.000256817823551982
chr11	6399400	6399900	DRM:DCHS1(;)	0.00404953500157426
