chr	start	stops	name	p-value
chr10	102372668	102372911	Ultra-conserved	0.0336968498192777
chr1	10851817	10852033	Ultra-conserved	0.0275117844808829
chr11	8317833	8318168	Ultra-conserved	0.043495231286856
chr1	245017602	245017819	Ultra-conserved	4.72739241160792e-06
chr13	98008819	98009070	Ultra-conserved	0.034049719248876
chr16	55223356	55223591	Ultra-conserved	0.0344963948271679
chr2	147134064	147134275	Ultra-conserved	0.000710863785210033
chr2	59133310	59133542	Ultra-conserved	0.0310438630587156
chr2	66298590	66298802	Ultra-conserved	0.0376210814480957
chr3	114575473	114575766	Ultra-conserved	0.0335531639301517
chr4	105346312	105346560	Ultra-conserved	0.0433258209581486
chr5	167332694	167332940	Ultra-conserved	0.0356735323145761
chr5	72210014	72210217	Ultra-conserved	0.0218889611104131
chr5	93227669	93227979	Ultra-conserved	0.0471013224627952
