chr	start	stops	name	p-value
chr10	4218800	4219400	DRM:KLF6(PPI;REG)	0.0273984714838626
chr10	63868400	63870400	DRM:ZNF365(;)	0.00449278736119806
chr10	7525000	7525300	DRM:GATA3(;REG)	0.013490330496212
chr10	7562500	7563300	DRM:GATA3(;REG)	0.0355647515534945
chr11	113493200	113493500	DRM:NCAM1(;)	0.00918384105033207
chr11	117841100	117842000	DRM:MPZL3(;)	0.030011723190753
chr11	119773200	119773900	DRM:ENSG00000254908.1(;)	0.0187308607175072
chr11	119773200	119773900	DRM:THY1(;)	0.0187308607175072
chr11	133529400	133530500	DRM:ACAD8(;)	0.0395709226550735
chr1	154263300	154264600	DRM:C1orf43(;)	0.0374156269267735
chr1	154263300	154264600	DRM:S100A16(;)	0.0374156269267735
chr1	154263300	154264600	DRM:S100A1(PPI;)	0.0374156269267735
chr1	154263300	154264600	DRM:TPM3(PPI;)	0.0374156269267735
chr1	163369500	163370400	DRM:C1orf110(;)	0.0400438799171148
chr1	163369500	163370400	DRM:DDR2(;)	0.0400438799171148
chr11	65226000	65227700	DRM:BATF2(;)	0.0473948177089206
chr11	65226000	65227700	DRM:MAP3K11(;)	0.0473948177089206
chr11	65226000	65227700	DRM:RNASEH2C(;)	0.0473948177089206
chr11	69044200	69045900	DRM:ANO1(;)	0.0474073816101321
chr1	171400800	171401600	DRM:PRRX1(;)	0.029454578961792
chr11	85839900	85840400	DRM:SYTL2(;)	0.0146617317200214
chr11	85847700	85848200	DRM:PICALM(;)	0.0146617317200214
chr11	85847700	85848200	DRM:SYTL2(;)	0.0146617317200214
chr1	193364500	193365000	DRM:B3GALT2(;)	0.029136051976486
chr1	200416900	200418100	DRM:LAD1(;)	0.0489625227338015
chr1	200416900	200418100	DRM:PKP1(;)	0.0489625227338015
chr12	110782400	110783600	DRM:AC002351.1(;)	0.0267353772639513
chr12	114624300	114624900	DRM:TBX5(;)	0.0232698680864228
chr12	117020100	117020900	DRM:TESC(;)	0.0216460828232816
chr12	117330100	117331000	DRM:TESC(;)	0.0243181679011894
chr12	131887900	131888100	DRM:RAN(;)	0.00951730939913443
chr1	226141300	226141400	DRM:ENAH(PPI;)	0.00341064315302473
chr12	28239200	28239800	DRM:PTHLH(;)	0.0284189834230795
chr12	50293700	50294200	DRM:C1QL4(;)	0.0171927204314425
chr12	51481600	51482000	DRM:SMAGP(;)	0.0113459638163673
chr12	52524500	52524900	DRM:GRASP(;)	0.0129492499587686
chr12	5331100	5331800	DRM:NDUFA9(PPI;)	0.0373029070584802
chr12	53811100	53811600	DRM:KRT1(PPI;)	0.0157922704297671
chr12	53811100	53811600	DRM:KRT5(;)	0.0157922704297671
chr12	53811100	53811600	DRM:KRT6A(;)	0.0157922704297671
chr12	53811100	53811600	DRM:KRT6B(;)	0.0157922704297671
chr12	53811100	53811600	DRM:KRT6C(;)	0.0157922704297671
chr12	53811100	53811600	DRM:KRT75(;)	0.0157922704297671
chr12	54678900	54691200	DRM:HOXC10(;REG)	0.00645791708901016
chr12	54859700	54860200	DRM:HOXC10(;REG)	0.0147763242709813
chr1	25500400	25502100	DRM:PDIK1L(;)	0.0443221053017929
chr1	25500400	25502100	DRM:RHD(;)	0.0443221053017929
chr1	25500400	25502100	DRM:SRRM1(PPI;)	0.0443221053017929
chr12	71407900	71408300	DRM:LGR5(;REG)	0.0191185082219388
chr12	8115000	8116600	DRM:C1R(;)	0.0496107139860602
chr12	90685500	90685600	DRM:DCN(PPI;)	0.00470850207844314
chr1	29775000	29775700	DRM:EPB41(PPI;REG)	0.0194170374134204
chr13	114448900	114449800	DRM:GAS6(;)	0.0427622311168686
chr13	78973000	78973900	DRM:SCEL(;)	0.0341605547537423
chr14	100530700	100540200	DRM:CCNK(PPI;)	0.0274915692341708
chr14	100530700	100540200	DRM:DEGS2(;)	0.0274915692341708
chr14	100530700	100540200	DRM:EVL(;)	0.0274915692341708
chr14	102090500	102090800	DRM:RAGE(;)	0.00783656273482185
chr14	52318600	52318900	DRM:FRMD6(;)	0.013256381086187
chr14	78288600	78289600	DRM:ISM2(;)	0.028073026586083
chr1	48319900	48320500	DRM:TAL1(PPI;REG)	0.0217206828315588
chr14	95975500	95975800	DRM:GSC(PPI;)	0.0118974060391634
chr15	25888100	25888600	DRM:SNURF(PPI;)	0.0239428854110696
chr15	64172000	64175600	DRM:CA12(;)	0.00584580303720668
chr15	79743600	79744200	DRM:BCL2A1(;)	0.0189436577827246
chr1	5826800	5827400	DRM:HES3(;)	0.0147442497942754
chr15	89248100	89249400	DRM:MFGE8(;)	0.0396113602185763
chr15	90689600	90689900	DRM:RHCG(;)	0.00704010636493522
chr15	93652400	93653400	DRM:RGMA(;)	0.0309929706583612
chr15	93652400	93653400	DRM:ST8SIA2(;)	0.0309929706583612
chr15	93876500	93877700	DRM:RGMA(;)	0.0370735181836794
chr15	93876500	93877700	DRM:ST8SIA2(;)	0.0370735181836794
chr16	1093800	1095300	DRM:C16orf73(;)	0.0379913746144889
chr16	1093800	1095300	DRM:CRAMP1L(;)	0.0379913746144889
chr16	1093800	1095300	DRM:HBA1(;)	0.0379913746144889
chr16	1093800	1095300	DRM:HBQ1(;)	0.0379913746144889
chr16	1093800	1095300	DRM:HBZ(;)	0.0379913746144889
chr16	1093800	1095300	DRM:MSLN(;)	0.0379913746144889
chr16	14220600	14223100	DRM:NPIP(;)	0.048928476795907
chr16	14220600	14223100	DRM:RRN3(PPI;)	0.048928476795907
chr16	30518100	30518300	DRM:C16orf54(;)	0.00404967909426188
chr16	30518100	30518300	DRM:CORO1A(;)	0.00404967909426188
chr16	30518100	30518300	DRM:DOC2A(;)	0.00404967909426188
chr16	30518100	30518300	DRM:ITGAL(;)	0.00404967909426188
chr16	30518100	30518300	DRM:ITGAX(;)	0.00404967909426188
chr16	30518100	30518300	DRM:MYLPF(;)	0.00404967909426188
chr16	30518100	30518300	DRM:PRRT2(;)	0.00404967909426188
chr16	30518100	30518300	DRM:SPN(;)	0.00404967909426188
chr16	30518100	30518300	DRM:TRIM72(;)	0.00404967909426188
chr16	30698400	30698800	DRM:C16orf93(;)	0.0080826997386872
chr16	30698400	30698800	DRM:CORO1A(;)	0.0080826997386872
chr16	30698400	30698800	DRM:ITGAL(;)	0.0080826997386872
chr16	30698400	30698800	DRM:PRSS36(;)	0.0080826997386872
chr16	30698400	30698800	DRM:SEPT1(;)	0.0080826997386872
chr16	31883500	31883900	DRM:AC133485.1(;)	0.0180286344072572
chr16	31883500	31883900	DRM:ENSG00000256778.1(;)	0.0180286344072572
chr16	33571500	33572300	DRM:ENSG00000256584.1(;)	0.0357271861124189
chr16	33571500	33572300	DRM:ENSG00000256778.1(;)	0.0357271861124189
chr16	50780000	50780500	DRM:NOD2(;)	0.0173331053605848
chr16	50780000	50780500	DRM:SNX20(;)	0.0173331053605848
chr16	54277900	54278800	DRM:FTO(;)	0.0374465747314099
chr16	64649500	64650100	DRM:CDH11(;)	0.0269526127804304
chr16	81811900	81820400	DRM:SDR42E1(;)	0.0335226595475492
chr16	88588500	88588800	DRM:CA5A(;)	0.00925870429705191
chr17	34444900	34446500	DRM:CCL3(;REG)	0.040337865327114
chr17	34444900	34446500	DRM:SLFN13(;)	0.040337865327114
chr17	41542400	41543500	DRM:BRCA1(PPI;REG)	0.0243467207554186
chr17	41542400	41543500	DRM:SLC4A1(;)	0.0243467207554186
chr17	41849000	41851000	DRM:BRCA1(PPI;REG)	0.000989554204508816
chr17	41849000	41851000	DRM:SLC4A1(;)	0.000989554204508816
chr17	42049800	42050600	DRM:BRCA1(PPI;REG)	0.0177670449208486
chr17	57502000	57503400	DRM:CLTC(PPI;)	0.046599309536372
chr17	58116600	58117500	DRM:TMEM49(;REG)	0.022548955884604
chr17	60178500	60179600	DRM:TBX4(;REG)	0.0355383218002069
chr17	62031200	62032500	DRM:CYB561(;)	0.033998042470203
chr17	62169500	62169800	DRM:CYB561(;)	0.00795206837136239
chr17	7776300	7776700	DRM:SOX15(;)	0.013653548370555
chr17	78539200	78539400	DRM:AATK(;)	0.00778844761971581
chr17	78991100	78994100	DRM:ASPSCR1(;REG)	0.00644896287153056
chr17	78991100	78994100	DRM:NOTUM(;)	0.00644896287153056
chr17	79296500	79297200	DRM:CD7(;)	0.026991093170994
chr17	79296500	79297200	DRM:NOTUM(;)	0.026991093170994
chr1	8205600	8206300	DRM:SLC2A5(;)	0.0198780609729679
