chr	start	stops	name	p-value
chr1	136960	137110	DHS.MCV-1	0.00026817787837652
chr1	747440	747590	DHS.MCV-1	0.0350179062412683
chr1	754005	754155	DHS.MCV-7	0.0265622484220887
chr1	775005	775155	DHS.MCV-2	0.0350179062412683
chr1	824105	824255	DHS.MCV-15	0.0256752698404997
chr1	1053420	1053570	DHS.MCV-1	0.0485475509623984
chr1	1183645	1183795	DHS.MCV-1	0.0350179062412683
chr1	2005020	2005170	DHS.MCV-56	0.0141309857184547
chr1	2463325	2463475	DHS.MCV-2	0.0350179062412683
chr1	2776500	2776650	DHS.MCV-4	0.0296914692527138
chr1	3142165	3142315	DHS.MCV-3	0.00729254276053669
chr1	4249985	4250135	DHS.MCV-1	5.02377305063356e-05
chr1	4561105	4561255	DHS.MCV-1	0.0095745867941094
chr1	4662520	4662670	DHS.MCV-7	0.0302669351173274
chr1	4669145	4669295	DHS.MCV-1	0.0477791999465529
chr1	4754245	4754395	DHS.MCV-2	0.000814469574314859
chr1	5220325	5220475	DHS.MCV-2	7.98502810546012e-11
chr1	5340185	5340335	DHS.MCV-1	3.04583066424167e-06
chr1	5360825	5360975	DHS.MCV-1	0.032216649319831
chr1	5447120	5447270	DHS.MCV-2	1.6967565935907e-63
chr1	5484980	5485130	DHS.MCV-20	0.000814469574314859
chr1	5708105	5708255	DHS.MCV-1	0.00274234325779223
chr1	5715405	5715555	DHS.MCV-8	0.00772278300060952
chr1	6054525	6054675	DHS.MCV-1	0.0095745867941094
chr1	6173465	6173615	DHS.MCV-2	0.000814469574314859
chr1	6930320	6930470	DHS.MCV-23	0.000814469574314859
chr1	7170325	7170475	DHS.MCV-16	0.000760146865445734
chr1	7227380	7227530	DHS.MCV-2	0.0111483347834748
chr1	8130480	8130630	DHS.MCV-28	0.0466668278418303
chr1	8891520	8891670	DHS.MCV-23	0.0182912393808952
chr1	8914940	8915090	DHS.MCV-21	0.0182912393808952
chr1	8917525	8917675	DHS.MCV-5	0.0182912393808952
chr1	9075625	9075775	DHS.MCV-1	0.0222635598613541
chr1	9102465	9102615	DHS.MCV-1	0.0158999439775607
chr1	9471200	9471350	DHS.MCV-48	0.00206579015651047
chr1	9722620	9722770	DHS.MCV-1	0.0158999439775607
chr1	10164525	10164675	DHS.MCV-1	0.00172102427350616
chr1	10668705	10668855	DHS.MCV-2	0.000128622112712636
chr1	10781205	10781355	DHS.MCV-1	1.33091412943247e-08
chr1	10848000	10848150	DHS.MCV-1	0.016712421220896
chr1	11433565	11433715	DHS.MCV-1	0.0125198773336618
chr1	11434180	11434330	DHS.MCV-4	6.82012287520761e-05
chr1	11434380	11434530	DHS.MCV-13	0.0125198773336618
chr1	12143260	12143410	DHS.MCV-2	0.0481224614045402
chr1	12305725	12305875	DHS.MCV-1	0.00711002813298967
chr1	12384540	12384690	DHS.MCV-3	0.000547709457589801
chr1	12493860	12494010	DHS.MCV-43	0.00632413905141371
