gene	len	ct	mu	sigma	region	p-value
ZMYM1	3429	0	121.55012741521	0.0236069799037587	reg36	0.00920782574682008
CLDN19	791	0	120.941269110175	0.0236069799037587	reg44	0.00197949516152237
INSRR	3894	2	182.758900817329	0.0236069799037587	reg158	0.018185720994957
ITLN1	942	0	144.517691388577	0.0236069799037587	reg161	0.00221260811868258
ANGPTL1	1476	0	111.171897214475	0.0236069799037587	reg179	0.00513617246653419
H3F3A	501	0	116.329593328298	0.0236069799037587	reg227	0.00109452800843979
MLK4	3162	0	126.933342087627	0.0236069799037587	reg233	0.00792507759805508
SLC43A1	1680	0	153.098078568289	0.0236069799037587	reg1871	0.00443864179849518
LRP5	4962	1	153.911238304003	0.0236069799037587	reg1882	0.0115072267084646
ARAP1	4643	0	121.760477057845	0.0236069799037587	reg1886	0.00804258716296105
MYO7A	6682	2	134.024729865148	0.0236069799037587	reg1890	0.0182585849211394
FAT3	13928	6	169.700714151243	0.0236069799037587	reg1906	0.0457315732770225
B3GAT1	1044	1	201.518924655958	0.0236069799037587	reg1947	0.00331022879549949
KRAS	708	0	149.323748212471	0.0236069799037587	reg1974	5.38094362461655e-06
KRT3	1890	0	132.06440184179	0.0236069799037587	reg2002	0.00447753618768992
PTPN11	1822	0	133.602760724959	0.0236069799037587	reg2061	1.38276932175609e-05
FREM2	9510	2	139.518335681985	0.0236069799037587	reg2121	0.0285901662615312
AK7	2279	0	121.914537490782	0.0236069799037587	reg2293	0.00825728721013087
DLK1	1301	0	190.891916648523	0.0236069799037587	reg2298	0.00336970660989786
AHNAK2	17388	2	168.314761386225	0.0236069799037587	reg2302	0.0487628030167851
IGF1R	4104	1	145.204143608281	0.0236069799037587	reg2403	0.0114863329729234
LRRK1	6164	0	156.425875865111	0.0236069799037587	reg2405	0.0133971958698129
PKMYT1	1965	0	121.441716169422	0.0236069799037587	reg2409	0.004083437818149
CREBBP	7368	0	121.441716169422	0.0236069799037587	reg2409	0.015223217725262
MYH11	5971	0	189.217953889478	0.0236069799037587	reg2421	0.0140877666840156
ABCC1	4626	1	215.663327772524	0.0236069799037587	reg2422	0.00732290546352741
SH2B1	2488	1	161.736578259369	0.0236069799037587	reg2434	0.00324116711307126
BBS2	2166	0	106.144852813019	0.0236069799037587	reg2462	0.0041879122956776
PRPF8	7151	2	180.768862347426	0.0236069799037587	reg2497	0.0202674310193818
NF1	8710	3	144.726206450268	0.0236069799037587	reg2525	0.0151777329663355
KRT33B	1215	1	166.553345875102	0.0236069799037587	reg2535	0.00620078483321302
CDC42EP4	1071	0	132.40355132741	0.0236069799037587	reg2567	0.00100872231369661
TEX19	495	0	232.087500458979	0.0236069799037587	reg2576	0.00197833836946831
ZNF433	2187	0	165.489618058041	0.0236069799037587	reg2667	0.00284942214609565
EMR2	2538	0	164.441817100832	0.0236069799037587	reg2669	0.0059155562904776
ZNF461	1692	0	131.239492403657	0.0236069799037587	reg2693	0.00333144928752318
MAP4K1	2679	0	162.224293823707	0.0236069799037587	reg2694	0.00616604399864958
MEGF8	8589	1	150.74294735291	0.0236069799037587	reg2697	0.0295413746047901
SLC8A2	2766	3	164.799335989595	0.0236069799037587	reg2702	0.00676318619961696
VN1R4	906	1	203.340655363992	0.0236069799037587	reg2708	0.0010519190109242
LILRA5	986	0	258.351698507348	0.0236069799037587	reg2709	0.00489391841427347
LILRA1	1470	1	224.796045749727	0.0236069799037587	reg2710	0.00907302619565049
NLRP13	3158	0	217.794383836988	0.0236069799037587	reg2711	0.0184219044615801
TPO	3204	1	267.553857795363	0.0236069799037587	reg251	0.0110728212704067
MPHOSPH10	2195	0	153.235500629525	0.0236069799037587	reg321	0.00461473855883555
HECW2	4719	2	142.194571859443	0.0236069799037587	reg447	0.0157302708986066
SLC11A1	1692	0	120.100513775952	0.0236069799037587	reg469	0.00435163589322927
PTPRN	2956	1	120.599385521597	0.0236069799037587	reg470	0.0218569048559183
COL6A3	9607	1	143.750623385213	0.0236069799037587	reg488	0.0282831973938752
KLHL30	1737	0	143.750623385213	0.0236069799037587	reg488	0.00517572727521391
KIF1A	5532	1	160.064785054745	0.0236069799037587	reg491	0.0270252007624083
DNMT3B	2598	0	130.776888414933	0.0236069799037587	reg2745	0.00431275869486686
E2F1	1314	0	130.850731904141	0.0236069799037587	reg2746	0.00297146846527221
L3MBTL1	2856	0	140.083659139704	0.0236069799037587	reg2756	0.0107996513942396
MC3R	972	0	222.950090731713	0.0236069799037587	reg2768	0.00411053390188547
ZNF831	5034	2	134.285970214127	0.0236069799037587	reg2771	0.0118551174862217
