chr	start	stops	name	p-value
chr1	980081	982581	AGRN|ENST00000466223.1	0.0234327911651891
chr1	980355	982855	AGRN|ENST00000478677.1	0.0234327911651891
chr1	1219989	1222489	SCNN1D|ENST00000379099.3	0.0234327911651891
chr1	1297157	1299657	MXRA8|ENST00000477278.2	0.0234327911651891
chr1	1341687	1344187	MRPL20|ENST00000493287.1	0.0234327911651891
chr1	1410906	1413406	ATAD3B|ENST00000472194.2	0.0234327911651891
chr1	1411929	1414429	ATAD3B|ENST00000378736.3	0.0234327911651891
chr1	1416365	1418865	ATAD3B|ENST00000485748.1	0.0234327911651891
chr1	1417449	1419949	ATAD3B|ENST00000474481.1	0.0234327911651891
chr1	1445031	1447531	ATAD3A|ENST00000378756.3	0.0234327911651891
chr1	1445055	1447555	ATAD3A|ENST00000378755.5	0.0234327911651891
chr1	1445410	1447910	ATAD3A|ENST00000339113.4|ENST00000536055.1	0.0234327911651891
chr1	1653094	1655594	CDK11A|ENST00000356937.3	0.00707179773014815
chr1	1653318	1655818	CDK11A|ENST00000498810.1	0.00707179773014815
chr1	1935276	1937776	C1orf222|ENST00000270720.7|ENST00000378592.1	0.0234327911651891
chr1	2139172	2141672	C1orf86|ENST00000469733.1	0.0234327911651891
chr1	3816811	3819311	C1orf174|ENST00000486765.1	0.0234327911651891
chr1	3816849	3819349	C1orf174|ENST00000361605.3	0.0234327911651891
chr1	3816857	3819357	C1orf174|ENST00000474140.1	0.0234327911651891
chr1	5928435	5930935	NPHP4|ENST00000378161.1	0.0337023012006553
chr1	6296000	6298500	ICMT|ENST00000343813.5|ENST00000362035.3	0.0032252940388797
chr1	6296032	6298532	ICMT|ENST00000489498.1|ENST00000474756.1	0.0032252940388797
chr1	6445873	6448373	ACOT7|ENST00000377855.2	0.0337023012006553
chr1	6537648	6540148	PLEKHG5|ENST00000489097.1	0.0337023012006553
chr1	6580069	6582569	PLEKHG5|ENST00000377748.1|ENST00000377737.2	0.0032252940388797
chr1	6580121	6582621	PLEKHG5|ENST00000377740.3	0.0032252940388797
chr1	6741097	6743597	DNAJC11|ENST00000451196.1|ENST00000349363.6	0.0032252940388797
chr1	6741356	6743856	DNAJC11|ENST00000542246.1	0.0110354939098483
chr1	7793968	7796468	CAMTA1|ENST00000495233.1	0.0390246353591773
chr1	9086404	9088904	SLC2A7|ENST00000400906.1	0.000192810594739794
chr1	9109319	9111819	SLC2A5|ENST00000536305.1	0.0247718994026569
chr1	10038610	10041110	NMNAT1|ENST00000496751.1	0.0267753515556775
chr1	10288322	10290822	KIF1B|ENST00000377083.1	0.00929421586221709
chr1	10336116	10338616	KIF1B|ENST00000495136.1	0.0267753515556775
chr1	10856705	10859205	CASZ1|ENST00000377022.3	0.0267753515556775
chr1	10856707	10859207	CASZ1|ENST00000344008.5	0.0267753515556775
chr1	11107280	11109780	MASP2|ENST00000400897.3	0.0169854686691452
chr1	11107284	11109784	MASP2|ENST00000480221.1	0.0169854686691452
chr1	11107290	11109790	MASP2|ENST00000400898.3	0.0169854686691452
chr1	11115877	11118377	SRM|ENST00000490101.1	0.0478387687166737
chr1	11141274	11143774	EXOSC10|ENST00000474216.1	0.0478387687166737
chr1	11128981	11131481	EXOSC10|ENST00000490565.1	0.0169854686691452
chr1	11137708	11140208	EXOSC10|ENST00000498576.1	0.0478387687166737
chr1	11140914	11143414	EXOSC10|ENST00000472078.1	0.0169854686691452
chr1	11991762	11994262	PLOD1|ENST00000485046.1	0.0478387687166737
chr1	12077023	12079523	MIIP|ENST00000478749.1|ENST00000235332.4	0.0226449818272893
chr1	12077090	12079590	MIIP|ENST00000436478.2	0.0226449818272893
chr1	12121027	12123527	TNFRSF8|ENST00000514649.1|ENST00000417814.2	0.0226449818272893
chr1	12832484	12834984	PRAMEF12|ENST00000357726.4	0.00181083990306122
chr1	12852340	12854840	PRAMEF1|ENST00000400814.3	0.0226449818272893
chr1	12891264	12893764	PRAMEF11|ENST00000535591.1|ENST00000437584.1	0.00678256084560729
chr1	12946025	12948525	PRAMEF4|ENST00000235349.5	0.00678256084560729
chr1	15253796	15256296	KAZN|ENST00000376028.4|ENST00000400798.2	0.00385017505859365
chr1	15699696	15702196	FHAD1|ENST00000477846.1	0.00385017505859365
chr1	16376318	16378818	CLCNKB|ENST00000431772.1	0.0128073931860245
chr1	17260786	17263286	CROCC|ENST00000467715.1	5.114960227702e-09
chr1	17268120	17270620	CROCC|ENST00000486318.1	0.00015088112874677
chr1	17332209	17334709	ATP13A2|ENST00000510069.1	0.0287219692979054
chr1	17331890	17334390	ATP13A2|ENST00000508222.1	0.0287219692979054
chr1	17332260	17334760	ATP13A2|ENST00000509619.1	0.0287219692979054
chr1	17371372	17373872	SDHB|ENST00000475506.1	0.0287219692979054
chr1	19229047	19231547	ALDH4A1|ENST00000290597.5	0.0112378800454111
chr1	19229022	19231522	ALDH4A1|ENST00000538839.1	0.0112378800454111
chr1	19504239	19506739	UBR4|ENST00000419533.1	0.00329571855553799
