chr	start	stops	name	p-value
chr10	100003912	100004106	UTR:R3HCC1L	0.0459012044704648
chr10	102267202	102267324	UTR:NDUFB8	0.0217919863278383
chr10	102289614	102289757	UTR:NDUFB8	0.0254941918578103
chr10	102756828	102756991	UTR:LZTS2	0.0290068904973402
chr10	104221148	104221207	UTR:TMEM180	0.00878499540843131
chr10	104221169	104221207	UTR:TMEM180	0.00566713976717663
chr10	104225738	104225844	UTR:TMEM180	0.0157271750620124
chr10	104228711	104228954	UTR:TMEM180	0.0356828593916672
chr10	104229348	104229640	UTR:TMEM180	0.0427202500069114
chr10	104849341	104849431	UTR:NT5C2	0.0133694331144229
chr10	106977601	106977723	UTR:SORCS3	0.0319598309988095
chr10	112327448	112327574	UTR:SMC3	0.0270719440438254
chr10	112595733	112599227	UTR:RBM20	0.0429049330135335
chr10	112836789	112837754	UTR:ADRA2A	0.0194328203874223
chr10	116055530	116055803	UTR:AFAP1L2	0.0476224215381642
chr10	118423206	118423683	UTR:C10orf82	0.00531962110241127
chr10	118423309	118423419	UTR:C10orf82	0.000299091234705525
chr10	120101238	120101439	UTR:FAM204A	0.0362485032435191
chr10	120920426	120920481	UTR:SFXN4	0.0100540169543381
chr10	124402911	124403252	UTR:DMBT1	0.00235634914543202
chr10	124913792	124914001	UTR:BUB3	0.0418738165571335
chr10	124913908	124914001	UTR:BUB3	0.0188573394326871
chr10	124913917	124914001	UTR:BUB3	0.0170483056786181
chr10	124913930	124914001	UTR:BUB3	0.0144292830590166
chr10	125505151	125506282	UTR:CPXM2	0.0135770219036067
chr10	135125451	135126666	UTR:ZNF511	0.00515417250354273
chr10	15253641	15254916	UTR:FAM171A1	0.0318825871389863
chr10	19787413	19787575	UTR:C10orf112	0.0457922647661112
chr10	21802406	21804027	UTR:SKIDA1	0.0409647405376951
chr10	23257234	23257291	UTR:ARMC3	0.013233297114754
chr10	24835250	24836627	UTR:KIAA1217	0.0271054559865422
chr10	24835250	24836771	UTR:KIAA1217	0.0324945139919329
