gene	len	ct	mu	sigma	region	BRCA	GACA	LICA	LUAD	MB	PA	PRAD
OR4F5	918	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
AL627309.1	780	0	186.296730124902	0.0236069799037587	reg2	0.117290047042405	1	1	1	1	1	1
OR4F29	939	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
OR4F16	939	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
SAMD11	2145	1	186.296730124902	0.0236069799037587	reg2	0.290047322961109	1	1	0.0958815044949674	1	1	1
NOC2L	2250	0	186.296730124902	0.0236069799037587	reg2	1	0.852360543064231	1	1	1	1	1
KLHL17	1929	3	186.296730124902	0.0236069799037587	reg2	1	0.231158958545674	1	1	1	1	1
PLEKHN1	1992	1	186.296730124902	0.0236069799037587	reg2	0.272526580554226	0.816436376014326	1	1	1	1	1
C1orf170	2091	0	186.296730124902	0.0236069799037587	reg2	1	0.533080718310782	1	0.0153644566727064	1	1	1
HES4	744	1	186.296730124902	0.0236069799037587	reg2	1	1	1	0.163217614189011	1	1	0.129230957136824
ISG15	498	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
AGRN	6207	1	186.296730124902	0.0236069799037587	reg2	0.627209635385199	0.173172854204849	0.407760925562854	1	1	1	0.680450299664225
RNF223	750	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
C1orf159	1327	0	186.296730124902	0.0236069799037587	reg2	1	0.314406563187868	1	1	1	1	1
TTLL10	2055	0	186.296730124902	0.0236069799037587	reg2	1	0.523881236047448	1	1	1	1	0.316904182355889
TNFRSF18	979	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TNFRSF4	834	0	186.296730124902	0.0236069799037587	reg2	1	0.509681348884773	1	1	1	1	1
SDF4	1315	0	186.296730124902	0.0236069799037587	reg2	1	0.310672704095024	1	1	1	1	1
B3GALT6	990	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
FAM132A	909	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
UBE2J2	854	0	186.296730124902	0.0236069799037587	reg2	1	0.51796482445177	1	1	1	1	1
SCNN1D	2489	1	186.296730124902	0.0236069799037587	reg2	1	0.169194596379607	1	1	1	1	1
ACAP3	2505	0	186.296730124902	0.0236069799037587	reg2	1	0.629763601772445	1	0.449191156217852	0.0594001669410482	1	1
PUSL1	912	0	186.296730124902	0.0236069799037587	reg2	0.135712497062887	1	1	1	1	1	1
CPSF3L	2244	0	186.296730124902	0.0236069799037587	reg2	0.301155637376193	0.302767716896924	0.172847629371357	1	1	1	0.340320052558288
GLTPD1	645	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TAS1R3	2559	1	186.296730124902	0.0236069799037587	reg2	1	0.375039911433513	1	1	1	1	1
DVL1	2088	2	186.296730124902	0.0236069799037587	reg2	1	0.532318860430885	1	0.392131299200348	1	1	1
MXRA8	1401	0	186.296730124902	0.0236069799037587	reg2	1	0.337312577796852	1	0.0461194463383033	1	1	1
AURKAIP1	600	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
CCNL2	1585	0	186.296730124902	0.0236069799037587	reg2	1	0.157445729999338	1	1	1	1	1
MRPL20	675	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
ANKRD65	1200	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TMEM88B	492	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
VWA1	1458	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
ATAD3C	1236	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	0.205179666173964
ATAD3B	2055	0	186.296730124902	0.0236069799037587	reg2	1	0.523881236047448	0.159535107542634	1	1	1	0.316904182355889
ATAD3A	2144	0	186.296730124902	0.0236069799037587	reg2	1	0.54639647986506	1	1	1	1	1
TMEM240	522	0	186.296730124902	0.0236069799037587	reg2	1	1	1	0.00740153355751547	1	1	0.092566903621002
SSU72	823	0	186.296730124902	0.0236069799037587	reg2	0.12333462905285	1	1	1	1	1	1
AL645728.1	303	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
C1orf233	681	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
MIB2	3312	2	186.296730124902	0.0236069799037587	reg2	1	1	0.244163860787136	0.0486705984407026	0.0777628312429997	1	1
MMP23B	1514	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
CDK11B	2495	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
SLC35E2B	1218	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
CDK11A	2418	0	186.296730124902	0.0236069799037587	reg2	1	0.871853596288013	1	1	1	1	1
SLC35E2	810	0	186.296730124902	0.0236069799037587	reg2	0.121511637565394	0.154129579962515	1	1	1	1	1
NADK	1988	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
GNB1	1023	0	186.296730124902	0.0236069799037587	reg2	1	0.582560035931518	1	0.217122497815967	1	1	0.173168305554281
CALML6	546	0	186.296730124902	0.0236069799037587	reg2	1	0.373166144657615	1	1	1	1	1
TMEM52	848	0	186.296730124902	0.0236069799037587	reg2	0.126829606052425	1	1	1	1	1	1
C1orf222	3894	0	186.296730124902	0.0236069799037587	reg2	0.462403708861162	0.426934579857137	0.280374200970542	1	1	1	1
GABRD	1359	0	186.296730124902	0.0236069799037587	reg2	1	0.324338704405784	1	1	1	1	0.0275557747913056
PRKCZ	1802	0	186.296730124902	0.0236069799037587	reg2	1	0.455811846484067	1	1	1	1	0.284220738010408
C1orf86	1476	0	186.296730124902	0.0236069799037587	reg2	0.210137034984655	1	1	1	1	1	1
AL590822.2	543	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
SKI	2187	1	186.296730124902	0.0236069799037587	reg2	0.294781648010756	1	1	1	1	1	0.333345956868144
MORN1	1691	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
RER1	701	0	186.296730124902	0.0236069799037587	reg2	1	0.450821546703408	1	1	1	1	1
PEX10	1041	0	186.296730124902	0.0236069799037587	reg2	1	0.0622709427907427	1	1	1	1	1
PLCH2	5098	0	186.296730124902	0.0236069799037587	reg2	1	0.630870563857362	1	0.344661890840452	1	1	0.0733068511954726
PANK4	2322	1	186.296730124902	0.0236069799037587	reg2	1	1	0.0171214237377384	0.424861228177103	1	1	0.0712972437437198
HES5	501	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TNFRSF14	883	0	186.296730124902	0.0236069799037587	reg2	1	0.52972587011238	1	1	1	1	1
FAM213B	761	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
MMEL1	2340	0	186.296730124902	0.0236069799037587	reg2	1	0.593250752553322	1	1	1	1	1
TTC34	1701	1	186.296730124902	0.0236069799037587	reg2	0.237982979669949	0.765210521910473	1	0.333734430763145	1	1	1
ACTRT2	1134	0	186.296730124902	0.0236069799037587	reg2	1	0.25398117573921	1	0.0315648335149401	1	1	0.190011667262529
PRDM16	3858	0	186.296730124902	0.0236069799037587	reg2	0.459323654036457	0.838349086123638	0.278186203354512	0.599197934898506	0.089979715581085	1	1
ARHGEF16	2264	2	186.296730124902	0.0236069799037587	reg2	1	0.13381590868973	1	0.416921516839581	1	1	1
MEGF6	4792	1	186.296730124902	0.0236069799037587	reg2	1	0.39176557857376	0.3328335074714	0.677636551097504	1	1	1
TPRG1L	819	0	186.296730124902	0.0236069799037587	reg2	1	1	1	0.178072983232719	1	1	1
WRAP73	1451	0	186.296730124902	0.0236069799037587	reg2	1	0.352651253961445	1	1	1	1	1
TP73	1950	0	186.296730124902	0.0236069799037587	reg2	1	1	1	0.371936691075854	1	1	1
CCDC27	1971	0	186.296730124902	0.0236069799037587	reg2	1	0.813150034602923	1	1	1	1	1
SMIM1	241	0	186.296730124902	0.0236069799037587	reg2	1	1	0.0201945618274616	1	1	1	1
LRRC47	1752	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
CEP104	2997	0	186.296730124902	0.0236069799037587	reg2	0.380077962226871	0.472173990224034	0.0274541093636983	0.509490286610672	1	1	1
DFFB	1229	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
C1orf174	732	0	186.296730124902	0.0236069799037587	reg2	1	0.465148254282473	1	1	1	1	1
AJAP1	1236	1	121.955120077845	0.0236069799037587	reg7	1	0.321604410558064	1	0.287064815274749	1	1	1
NPHP4	4281	0	121.955120077845	0.0236069799037587	reg7	0.438487496435461	0.905329922647723	1	0.685955724508605	1	1	0.0168510642501188
KCNAB2	2212	0	121.955120077845	0.0236069799037587	reg7	1	0.0609197907460773	0.314220892945606	1	1	1	1
CHD5	5971	1	121.955120077845	0.0236069799037587	reg7	1	0.118401384154403	0.0852324946918064	0.484008693699056	1	1	0.514223114601359
RPL22	409	0	121.955120077845	0.0236069799037587	reg7	1	1.0076486367062e-08	1	1	1	1	1
RNF207	1905	1	121.955120077845	0.0236069799037587	reg7	1	0.829726570326661	1	1	1	1	1
ICMT	922	0	121.955120077845	0.0236069799037587	reg7	1	0.576900032304387	1	1	1	1	1
HES3	561	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
GPR153	1830	1	121.955120077845	0.0236069799037587	reg7	1	0.817526571408964	1	0.393358317394345	1	1	1
ACOT7	1409	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
HES2	620	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
ESPN	2571	1	121.955120077845	0.0236069799037587	reg7	1	1	1	0.50350551285653	1	1	1
TNFRSF25	1281	2	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	0.144387025800057
PLEKHG5	3449	1	121.955120077845	0.0236069799037587	reg7	1	0.226478353208272	0.118921085928019	0.245635661365506	1	1	1
NOL9	2109	1	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	0.226187475977386
TAS1R1	2526	0	121.955120077845	0.0236069799037587	reg7	1	0.680882159017082	0.349884694653404	1	1	1	1
ZBTB48	2067	0	121.955120077845	0.0236069799037587	reg7	0.243642631501273	1	1	1	1	1	1
KLHL21	1917	0	121.955120077845	0.0236069799037587	reg7	1	0.109343630161222	0.278911987723868	0.407498227977559	1	1	1
PHF13	903	0	121.955120077845	0.0236069799037587	reg7	1	1	0.14289145950864	1	1	1	1
THAP3	1077	1	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
DNAJC11	2103	0	121.955120077845	0.0236069799037587	reg7	1	1	0.301383055390757	1	1	1	1
CAMTA1	5261	1	123.81139443237	0.0236069799037587	reg8	0.646226830501578	0.960352544275982	0.597789856166905	0.785535965134848	1	1	0.476079044633289
VAMP3	303	0	123.81139443237	0.0236069799037587	reg8	1	1	1	1	1	1	1
