chr	start	stops	name	p-value
chr10	100194161	100194450	TFP.JUND	0.0485114340952291
chr10	10042825	10043539	TFP.CTCF	0.00883670238200757
chr10	100995170	100996879	TFP.CTBP2	0.0361965335172526
chr10	100995239	100996794	TFP.YY1	0.0305101523584157
chr10	101099426	101099755	TFP.MAFK	0.0409720206387308
chr10	101099430	101099704	TFP.MAFK	0.0342441371082458
chr10	101538062	101538390	TFP.ZZZ3	0.0408501246912536
chr10	101627058	101627302	TFP.FOXA1	0.0305540386094782
chr10	101673537	101673935	TFP.CTCF	0.0493446613568842
chr10	101673547	101673927	TFP.CTCF	0.0471677339959333
chr10	101673564	101673846	TFP.CTCF	0.0352257330111102
chr10	101673564	101673882	TFP.CTCF	0.0396302926110294
chr10	101673566	101673868	TFP.CTCF	0.0376752572913713
chr10	101673577	101673903	TFP.CTCF	0.0406062852165308
chr10	101673601	101673952	TFP.CTCF	0.0436497233697306
chr10	101673691	101674088	TFP.USF1	0.0492238546139618
chr10	101724533	101724913	TFP.CTCF	0.0471677339959333
chr10	101724551	101724933	TFP.CTCF	0.0474098665879042
chr10	101724564	101724906	TFP.CTCF	0.0425552257269575
chr10	101724564	101724919	TFP.CTCF	0.044135755595891
chr10	101724566	101724957	TFP.CTCF	0.0484986840838663
chr10	101724568	101724919	TFP.RAD21	0.0436497233697306
chr10	101724569	101724925	TFP.CTCF	0.0442572241413429
chr10	101724569	101724953	TFP.CTCF	0.0476519361972613
chr10	101724570	101724921	TFP.RAD21	0.0436497233697306
chr10	101724572	101724927	TFP.CTCF	0.044135755595891
chr10	101724572	101724934	TFP.CTCF	0.0449857036828279
chr10	101724577	101724914	TFP.CTCF	0.0419466175398809
chr10	101724590	101724905	TFP.CTCF	0.0392640334164386
chr10	101724592	101724881	TFP.RAD21	0.0360837916662857
chr10	101724602	101724895	TFP.CTCF	0.0365737601324043
chr10	101724603	101724896	TFP.CTCF	0.0365737601324043
chr10	101724604	101724947	TFP.CTCF	0.0426768998668564
chr10	101724605	101724906	TFP.CTCF	0.0375529324031943
chr10	101724606	101724915	TFP.CTCF	0.0385310860296833
chr10	101724610	101724905	TFP.RAD21	0.0368186487573373
chr10	101724615	101724897	TFP.CTCF	0.0352257330111102
chr10	101724626	101724946	TFP.CTCF	0.0398743860021922
chr10	101724633	101724913	TFP.CTCF	0.0349804298176118
chr10	101885111	101885489	TFP.SPI1	0.0469255384045835
chr10	101885112	101885486	TFP.SPI1	0.0464409581566641
chr10	101885113	101885488	TFP.SPI1	0.0465621268570386
chr10	102026721	102027946	TFP.YY1	0.0135706246468172
chr10	102026774	102027776	TFP.WRNIP1	0.0092778362497461
chr10	102026801	102027712	TFP.TAF1	0.00773724412099593
chr10	102026801	102027746	TFP.ATF3	0.00829809611383343
chr10	102026805	102027983	TFP.YY1	0.0126064647698504
