chr	start	stops	name	p-value
chr1	1051623	1054123	C1orf159|ENST00000482816.1	0.0319751740848053
chr1	2484578	2487078	TNFRSF14|ENST00000426449.1	0.0230123729918342
chr1	2484730	2487230	TNFRSF14|ENST00000434817.1	0.0230123729918342
chr1	2484741	2487241	TNFRSF14|ENST00000435221.2	0.0230123729918342
chr1	2484919	2487419	TNFRSF14|ENST00000451778.1	0.0230123729918342
chr1	2485161	2487661	TNFRSF14|ENST00000409119.1	0.00651291843798505
chr1	2485305	2487805	TNFRSF14|ENST00000355716.4	0.00706435882107631
chr1	2485325	2487825	TNFRSF14|ENST00000475523.1	0.0181470961620864
chr1	2485344	2487844	TNFRSF14|ENST00000442392.2	0.0181470961620864
chr1	2485345	2487845	TNFRSF14|ENST00000482074.2	0.0181470961620864
chr1	2485496	2487996	TNFRSF14|ENST00000496064.1	0.0181470961620864
chr1	2485510	2488010	TNFRSF14|ENST00000463471.2	0.0181470961620864
chr1	6580069	6582569	PLEKHG5|ENST00000377748.1|ENST00000377737.2	0.0209486529573737
chr1	6580121	6582621	PLEKHG5|ENST00000377740.3	0.0209486529573737
chr1	6637561	6640061	ZBTB48|ENST00000319084.5	0.0426349291884711
chr1	6637577	6640077	ZBTB48|ENST00000435905.1	0.0426349291884711
chr1	6637608	6640108	ZBTB48|ENST00000377674.4	0.0426349291884711
chr1	6637648	6640148	ZBTB48|ENST00000488936.1	0.0426349291884711
chr1	8011851	8014351	PARK7|ENST00000493373.1	1.75804346383584e-06
chr1	9086404	9088904	SLC2A7|ENST00000400906.1	0.0432111252991606
chr1	12852340	12854840	PRAMEF1|ENST00000400814.3	0.0307084630955793
chr1	12891264	12893764	PRAMEF11|ENST00000535591.1|ENST00000437584.1	2.46766840170779e-06
chr1	12946025	12948525	PRAMEF4|ENST00000235349.5	1.00457130512522e-09
chr1	15253796	15256296	KAZN|ENST00000376028.4|ENST00000400798.2	0.043598834338401
chr1	16763888	16766388	SPATA21|ENST00000466212.1	0.0403514446005233
chr1	16763919	16766419	SPATA21|ENST00000335496.1	0.0403514446005233
chr1	16763911	16766411	SPATA21|ENST00000375577.1	0.0403514446005233
chr1	16764667	16767167	NECAP2|ENST00000337132.5	0.0251720888414531
chr1	16764716	16767216	NECAP2|ENST00000504551.2	0.0251720888414531
chr1	16764719	16767219	NECAP2|ENST00000457722.2|ENST00000406746.1	0.0251720888414531
chr1	16764731	16767231	NECAP2|ENST00000486390.1|ENST00000443980.2	0.0251720888414531
chr1	16764732	16767232	NECAP2|ENST00000504858.1	0.0251720888414531
chr1	16764737	16767237	NECAP2|ENST00000508680.1	0.0251720888414531
chr1	16764738	16767238	NECAP2|ENST00000492095.1	0.0251720888414531
chr1	16764751	16767251	NECAP2|ENST00000459640.1	0.0251720888414531
chr1	16764753	16767253	NECAP2|ENST00000496239.1	0.0251720888414531
chr1	16764767	16767267	NECAP2|ENST00000513161.1	0.0251720888414531
chr1	16902975	16905475	NBPF1|ENST00000287968.8	0.00239649606754444
chr1	17260786	17263286	CROCC|ENST00000467715.1	0.000232466845986529
chr1	17331890	17334390	ATP13A2|ENST00000508222.1	0.0481972749496178
chr1	21012868	21015368	KIF17|ENST00000498225.1	0.00152890783059419
chr1	26394124	26396624	TRIM63|ENST00000374272.3	0.0229588559416441
chr1	27952751	27955251	FGR|ENST00000399173.1|ENST00000468038.1	0.0333416911034423
chr1	27953080	27955580	FGR|ENST00000374003.3	0.0333416911034423
chr1	28177255	28179755	AL109927.1|ENST00000601459.1	0.00285690496575143
chr1	28834089	28836589	RCC1|ENST00000419074.1	0.0244569922431953
chr1	32042854	32045354	TINAGL1|ENST00000498429.1	5.83935134619294e-06
chr1	36107445	36109945	PSMB2|ENST00000373237.3	0.0291103816532775
chr1	44129456	44131956	KDM4A|ENST00000472265.1	0.000612067120192822
chr1	52177175	52179675	OSBPL9|ENST00000484890.1	0.000331204871709838
chr1	54647214	54649714	MRPL37|ENST00000487096.1	3.99677125605797e-05
chr1	54722939	54725439	SSBP3|ENST00000420121.1	0.0152526215499642
chr1	62415480	62417980	INADL|ENST00000307297.7	0.00902354296678293
chr1	62415484	62417984	INADL|ENST00000543708.1	0.00902354296678293
chr1	92371892	92374392	TGFBR3|ENST00000370399.2	0.0257158393335672
chr1	94114378	94116878	BCAR3|ENST00000479503.2	0.0259475822915518
chr1	109164787	109167287	FAM102B|ENST00000483371.1	0.0340125303946941
chr1	109655377	109657877	C1orf194|ENST00000369948.3	0.0368915505124601
chr1	109655369	109657869	C1orf194|ENST00000369945.3|ENST00000460065.2	0.0368915505124601
chr1	109653801	109656301	KIAA1324|ENST00000533147.1	0.0324793483026425
chr1	109654033	109656533	KIAA1324|ENST00000531664.1	0.0324793483026425
chr1	109654051	109656551	KIAA1324|ENST00000534476.1	0.0324793483026425
chr1	109654085	109656585	KIAA1324|ENST00000526264.1	0.0324793483026425
chr1	109654229	109656729	KIAA1324|ENST00000457623.2	0.0368915505124601
chr1	109654277	109656777	KIAA1324|ENST00000529753.1	0.0368915505124601
chr1	109654291	109656791	KIAA1324|ENST00000527996.1	0.0368915505124601
chr1	109654295	109656795	KIAA1324|ENST00000490758.2	0.0368915505124601
chr1	109954907	109957407	PSMA5|ENST00000477897.1	0.0126465366992871
chr1	111420359	111422859	CD53|ENST00000476408.1	0.00476871138367472
chr1	111506701	111509201	LRIF1|ENST00000369763.4	0.00974653558301178
chr1	111506587	111509087	LRIF1|ENST00000485275.2	0.0198579103224606
chr1	114695062	114697562	SYT6|ENST00000607941.1	0.00397106032330436
chr1	114695539	114698039	SYT6|ENST00000609117.1	0.0181843397807888
chr1	114695579	114698079	SYT6|ENST00000608203.1	0.0181843397807888
chr1	114695602	114698102	SYT6|ENST00000609577.1	0.0181843397807888
chr1	114695544	114698044	SYT6|ENST00000608879.1	0.0181843397807888
chr1	116383747	116386247	NHLH2|ENST00000320238.3	0.0396302754205525
chr1	144853294	144855794	PDE4DIP|ENST00000526182.1	0.0378586715878251
chr1	144857849	144860349	PDE4DIP|ENST00000534367.1	0.0217679835092125
chr1	144916293	144918793	PDE4DIP|ENST00000533963.1	0.000323259068552398
chr1	145581214	145583714	PIAS3|ENST00000472114.1	0.0275480908562619
chr1	145610884	145613384	POLR3C|ENST00000334163.3	0.0262423446874733
chr1	145610937	145613437	POLR3C|ENST00000369294.1	0.0146971471846404
chr1	145611025	145613525	POLR3C|ENST00000471254.1	0.0146971471846404
chr1	145610730	145613230	POLR3C|ENST00000466003.1	0.0262423446874733
chr1	153386500	153389000	S100A7A|ENST00000368729.4	0.0219028498645313
chr1	154145153	154147653	TPM3|ENST00000368545.3	0.0397666763879504
chr1	154164534	154167034	TPM3|ENST00000271850.7	0.000167357970457479
chr1	154164687	154167187	TPM3|ENST00000368530.2	0.000167357970457479
chr1	154164424	154166924	TPM3|ENST00000466010.1	0.000167357970457479
chr1	154424085	154426585	IL6R|ENST00000502679.1	0.0126821440553246
chr1	154680702	154683202	KCNN3|ENST00000515643.1	0.0438097365744407
chr1	155160827	155163327	MUC1|ENST00000462317.1	0.0105907353345821
chr1	155160243	155162743	MUC1|ENST00000485118.1	0.00181044228478929
chr1	155160307	155162807	MUC1|ENST00000468978.1	0.00181044228478929
chr1	155271225	155273725	PKLR|ENST00000342741.4	0.0451126560550858
chr1	155290816	155293316	RUSC1|ENST00000497930.1	0.0400616478448156
chr1	155959290	155961790	ARHGEF2|ENST00000495070.2	0.0185036019988208
chr1	158221427	158223927	CD1A|ENST00000289429.5	0.0219139908039856
chr1	160852085	160854585	ITLN1|ENST00000464077.1	0.0372047016733557
chr1	162764476	162766976	HSD17B7|ENST00000484251.1	0.0232012144335642
chr1	169074645	169077145	ATP1B1|ENST00000494797.1	0.0395933957216939
chr1	169074686	169077186	ATP1B1|ENST00000499679.3	0.0395933957216939
chr1	176176629	176179129	RFWD2|ENST00000367669.3	0.0347676267644498
chr1	176176114	176178614	RFWD2|ENST00000308769.8	0.0135631633513707
chr1	176176219	176178719	RFWD2|ENST00000474194.1	0.0135631633513707
chr1	183210069	183212569	LAMC2|ENST00000476255.1	0.0112524758852338
chr1	183915752	183918252	COLGALT2|ENST00000367521.1	0.00973986136102241
chr1	186384009	186386509	C1orf27|ENST00000461662.1	0.00949524906213608
chr1	186649559	186652059	PTGS2|ENST00000367468.5	0.0238821057396686
chr1	186649555	186652055	PTGS2|ENST00000490885.2|ENST00000559800.1	0.0238821057396686
chr1	186649422	186651922	PTGS2|ENST00000559627.1	0.0238821057396686
chr1	196910402	196912902	CFHR2|ENST00000485647.1|ENST00000476712.2	0.00492226540374993
chr1	196910411	196912911	CFHR2|ENST00000367415.5	0.00492226540374993
chr1	196910447	196912947	CFHR2|ENST00000489703.1	0.00492226540374993
chr1	196910457	196912957	CFHR2|ENST00000496448.1	0.00492226540374993
chr1	196910488	196912988	CFHR2|ENST00000473386.1	0.00492226540374993
chr1	200010438	200012938	NR5A2|ENST00000367357.3	0.0220160005985224
chr1	200974718	200977218	KIF21B|ENST00000534043.1	0.0140048244478335
chr1	201179270	201181770	IGFN1|ENST00000412892.1	2.26519228979067e-06
chr1	201179724	201182224	IGFN1|ENST00000473483.1	0.000356109660671391
