gene	len	ct	mu	sigma	region	BRCA	GACA	LICA	LUAD	MB	PA	PRAD
OR4F5	918	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
AL627309.1	780	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
OR4F29	939	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
OR4F16	939	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
SAMD11	2145	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
NOC2L	2250	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
KLHL17	1929	3	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
PLEKHN1	1992	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
C1orf170	2091	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
HES4	744	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
ISG15	498	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
AGRN	6207	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
RNF223	750	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
C1orf159	1327	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	0.999999980421004	1	1
TTLL10	2055	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TNFRSF18	979	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TNFRSF4	834	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
SDF4	1315	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
B3GALT6	990	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
FAM132A	909	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
UBE2J2	854	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
SCNN1D	2489	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
ACAP3	2505	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	0.999999998949141	1	1
PUSL1	912	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
CPSF3L	2244	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	0.999999998949141	1	1
GLTPD1	645	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TAS1R3	2559	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
DVL1	2088	2	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
MXRA8	1401	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
AURKAIP1	600	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
CCNL2	1585	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
MRPL20	675	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	0.999999998949141	1	1
ANKRD65	1200	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TMEM88B	492	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
VWA1	1458	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
ATAD3C	1236	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	0.999999998949141	1	1
ATAD3B	2055	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
ATAD3A	2144	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TMEM240	522	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
SSU72	823	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
AL645728.1	303	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
C1orf233	681	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
MIB2	3312	2	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
MMP23B	1514	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
CDK11B	2495	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
SLC35E2B	1218	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
CDK11A	2418	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
SLC35E2	810	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
NADK	1988	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
GNB1	1023	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
CALML6	546	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TMEM52	848	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
C1orf222	3894	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
GABRD	1359	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
PRKCZ	1802	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
C1orf86	1476	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
AL590822.2	543	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
SKI	2187	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
MORN1	1691	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
RER1	701	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
PEX10	1041	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
PLCH2	5098	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
PANK4	2322	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
HES5	501	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TNFRSF14	883	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
FAM213B	761	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
MMEL1	2340	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TTC34	1701	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
ACTRT2	1134	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
PRDM16	3858	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
ARHGEF16	2264	2	186.296730124902	0.0236069799037587	reg2	1	1	1	1	0.999999998949141	1	1
MEGF6	4792	1	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TPRG1L	819	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
WRAP73	1451	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
TP73	1950	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
CCDC27	1971	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
SMIM1	241	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
LRRC47	1752	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
CEP104	2997	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
DFFB	1229	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
C1orf174	732	0	186.296730124902	0.0236069799037587	reg2	1	1	1	1	1	1	1
AJAP1	1236	1	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
NPHP4	4281	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	0.999999999154212	1	1
KCNAB2	2212	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
CHD5	5971	1	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
RPL22	409	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
RNF207	1905	1	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
ICMT	922	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
HES3	561	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
GPR153	1830	1	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
ACOT7	1409	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
HES2	620	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
ESPN	2571	1	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
TNFRSF25	1281	2	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
PLEKHG5	3449	1	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
NOL9	2109	1	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
TAS1R1	2526	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
ZBTB48	2067	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
KLHL21	1917	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
PHF13	903	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
THAP3	1077	1	121.955120077845	0.0236069799037587	reg7	1	1	1	1	1	1	1
DNAJC11	2103	0	121.955120077845	0.0236069799037587	reg7	1	1	1	1	0.999999999154212	1	1
CAMTA1	5261	1	123.81139443237	0.0236069799037587	reg8	1	1	1	1	1	1	1
VAMP3	303	0	123.81139443237	0.0236069799037587	reg8	1	1	1	1	1	1	1
PER3	3637	0	123.81139443237	0.0236069799037587	reg8	1	1	1	1	1	1	1
UTS2	583	0	123.81139443237	0.0236069799037587	reg8	1	1	1	1	1	1	1
TNFRSF9	809	0	123.81139443237	0.0236069799037587	reg8	1	1	1	1	1	1	1
PARK7	600	2	120.07375764023	0.0236069799037587	reg9	1	1	1	1	1	1	1
ERRFI1	1464	0	120.07375764023	0.0236069799037587	reg9	1	1	1	1	1	1	1
SLC45A1	2349	0	120.07375764023	0.0236069799037587	reg9	1	1	1	1	1	1	1
RERE	4727	1	120.07375764023	0.0236069799037587	reg9	1	1	1	1	1	1	1
ENO1	1305	0	120.07375764023	0.0236069799037587	reg9	1	1	1	1	1	1	1
CA6	1306	1	143.457225885518	0.0236069799037587	reg10	1	1	1	1	0.999999999999851	1	1
SLC2A7	1539	0	143.457225885518	0.0236069799037587	reg10	1	1	1	1	1	1	1
SLC2A5	1786	1	143.457225885518	0.0236069799037587	reg10	1	1	1	1	0.999999999999851	1	1
GPR157	1008	0	143.457225885518	0.0236069799037587	reg10	1	1	1	1	1	1	1
H6PD	2409	0	143.457225885518	0.0236069799037587	reg10	1	1	1	1	1	1	1
SPSB1	822	0	143.457225885518	0.0236069799037587	reg10	1	1	1	1	1	1	1
SLC25A33	966	1	143.457225885518	0.0236069799037587	reg10	1	1	1	1	1	1	1
TMEM201	2020	0	143.457225885518	0.0236069799037587	reg10	1	1	1	1	1	1	1
C1orf200	504	0	143.457225885518	0.0236069799037587	reg10	1	1	1	1	1	1	1
PIK3CD	3337	0	143.457225885518	0.0236069799037587	reg10	1	1	1	1	1	1	1
CLSTN1	2946	1	143.457225885518	0.0236069799037587	reg10	1	1	1	1	0.999999999999851	1	1
CTNNBIP1	246	0	143.457225885518	0.0236069799037587	reg10	1	1	1	1	1	1	1
LZIC	740	0	143.457225885518	0.0236069799037587	reg10	1	1	1	1	1	1	1
NMNAT1	892	0	129.196803187074	0.0236069799037587	reg11	1	1	1	1	1	1	1
RBP7	405	0	129.196803187074	0.0236069799037587	reg11	1	1	1	1	1	1	1
UBE4B	4013	2	129.196803187074	0.0236069799037587	reg11	1	1	1	1	1	1	1
KIF1B	7000	0	129.196803187074	0.0236069799037587	reg11	1	1	1	1	1	1	1
PGD	1452	0	129.196803187074	0.0236069799037587	reg11	1	1	1	1	1	1	1
APITD1-CORT	636	0	129.196803187074	0.0236069799037587	reg11	1	1	1	1	1	1	1
APITD1	636	0	129.196803187074	0.0236069799037587	reg11	1	1	1	1	1	1	1
CORT	468	0	129.196803187074	0.0236069799037587	reg11	1	1	1	1	1	1	1
DFFA	1020	0	129.196803187074	0.0236069799037587	reg11	1	1	1	1	1	1	1
PEX14	1145	0	129.196803187074	0.0236069799037587	reg11	1	1	1	1	1	1	1
CASZ1	5525	0	129.196803187074	0.0236069799037587	reg11	1	1	1	1	1	1	1
C1orf127	2503	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
TARDBP	1424	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	0.99999999844519	1	1
MASP2	2075	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
SRM	1164	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
EXOSC10	2819	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
MTOR	7650	1	126.928795504057	0.0236069799037587	reg12	1	1	1	1	0.99999999844519	1	1
ANGPTL7	1041	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
UBIAD1	1035	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
PTCHD2	4217	3	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
FBXO2	964	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
FBXO44	800	1	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
FBXO6	882	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
MAD2L2	767	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
DRAXIN	1050	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
AGTRAP	707	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
C1orf167	4444	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
MTHFR	2150	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
CLCN6	2966	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
NPPA	456	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
NPPB	405	0	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
KIAA2013	2022	2	126.928795504057	0.0236069799037587	reg12	1	1	1	1	1	1	1
PLOD1	2429	1	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
MFN2	2274	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
MIIP	1174	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
TNFRSF8	1788	1	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
TNFRSF1B	1397	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
VPS13D	13265	4	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
DHRS3	909	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
AADACL4	1224	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
AADACL3	1057	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
C1orf158	585	1	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF12	1452	1	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF1	1556	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF11	1311	1	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
HNRNPCL1	882	2	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF2	1425	1	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF4	1437	1	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF10	1425	1	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF7	1425	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF6	2862	1	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF22	1446	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF3	1446	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF5	1431	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF8	1425	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF9	1437	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF13	1425	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF18	1440	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF16	1425	0	147.561958630108	0.0236069799037587	reg13	1	1	1	1	1	1	1
PRAMEF21	1428	0	110.932850009998	0.0236069799037587	reg15	1	1	1	1	1	1	1
PRAMEF15	1437	0	110.932850009998	0.0236069799037587	reg15	1	1	1	1	1	1	1
PRAMEF14	1425	0	110.932850009998	0.0236069799037587	reg15	1	1	1	1	1	1	1
PRAMEF19	1440	0	110.932850009998	0.0236069799037587	reg15	1	1	1	1	1	1	1
PRAMEF17	1425	1	110.932850009998	0.0236069799037587	reg15	1	1	1	1	1	1	1
PRAMEF20	1428	0	110.932850009998	0.0236069799037587	reg15	1	1	1	1	1	1	1
LRRC38	885	0	110.932850009998	0.0236069799037587	reg15	1	1	1	1	1	1	1
PDPN	773	0	110.932850009998	0.0236069799037587	reg15	1	1	1	1	1	1	1
PRDM2	5219	0	110.932850009998	0.0236069799037587	reg15	1	1	1	1	1	1	1
KAZN	2580	0	126.977106343659	0.0236069799037587	reg16	1	1	1	1	1	1	1
