chr	start	stops	name	p-value
chr10	100184898	100186312	TFP.CTCF	0.00556669997339716
chr10	100184948	100186096	TFP.CTCF	0.00452193650761475
chr10	100185066	100185970	TFP.ELF1	0.003562589988178
chr10	100185091	100186233	TFP.CTCF	0.00449835740805245
chr10	100185113	100186084	TFP.CTCF	0.00382611170687503
chr10	100185179	100186081	TFP.CTCF	0.00355472256699825
chr10	100185198	100186039	TFP.CTCF	0.00331473554893191
chr10	100185200	100186035	TFP.CTCF	0.00329112705968167
chr10	100185200	100186041	TFP.MYC	0.00331473554893191
chr10	100185207	100186030	TFP.CTCF	0.00324390835686887
chr10	100185210	100186051	TFP.CTCF	0.00331473554893191
chr10	100185210	100186235	TFP.CTCF	0.00403845021442352
chr10	100185212	100186064	TFP.CTCF	0.00335801628647671
chr10	100185223	100186134	TFP.CTCF	0.00359012545953499
chr10	100185233	100185989	TFP.CTCF	0.00298022834087276
chr10	100185233	100186041	TFP.CTCF	0.00318488174511902
chr10	100185233	100186042	TFP.CTCF	0.00318881696433915
chr10	100185235	100186031	TFP.CTCF	0.00313765786899194
chr10	100185240	100185929	TFP.CTCF	0.00271647663115143
chr10	100185250	100186067	TFP.CTCF	0.00322029814327755
chr10	100185259	100185900	TFP.CTCF	0.00252747609134777
chr10	100185264	100185974	TFP.CTCF	0.00279915279267584
chr10	100185265	100186194	TFP.CTCF	0.00366092736621512
chr10	100185266	100186078	TFP.CTCF	0.00320062252619511
chr10	100185267	100185962	TFP.CTCF	0.00274009911045477
chr10	100185267	100185990	TFP.CTCF	0.00285032974331724
chr10	100185278	100185940	TFP.CTCF	0.00261016835702071
chr10	100185280	100186057	TFP.CTCF	0.00306288202907567
chr10	100185287	100186003	TFP.CTCF	0.00282277325918711
chr10	100185308	100186042	TFP.CTCF	0.00289363120847186
chr10	100185319	100185991	TFP.CTCF	0.00264954314987925
chr10	100185319	100186130	TFP.CTCF	0.00319668735487714
chr10	100185330	100185874	TFP.CTCF	0.00214542512309405
chr10	100185359	100186050	TFP.CTCF	0.00272435085482026
chr10	100185363	100185891	TFP.CTCF	0.00208239195778051
chr10	100185364	100186023	TFP.CTCF	0.00259835560761007
chr10	100185370	100186040	TFP.CTCF	0.00264166831912225
chr10	100185373	100186143	TFP.CTCF	0.00303533158221462
chr10	100185378	100186019	TFP.CTCF	0.00252747609134777
chr10	100185385	100186039	TFP.CTCF	0.00257866737237603
chr10	100185391	100186060	TFP.CTCF	0.00263773087977872
chr10	100185397	100186064	TFP.CTCF	0.00262985595316128
chr10	100185402	100186015	TFP.CTCF	0.00241720877566699
chr10	100185417	100185886	TFP.CTCF	0.00184992178919164
chr10	100185422	100185963	TFP.CTCF	0.00213360671631535
chr10	100185423	100185866	TFP.CTCF	0.00174745963987608
chr10	100185423	100186050	TFP.CTCF	0.00247234399950497
chr10	100185425	100185867	TFP.CTCF	0.00174351857209719
chr10	100185431	100186017	TFP.CTCF	0.00231086771289888
chr10	100185453	100185877	TFP.RAD21	0.00167257661739891
chr10	100185458	100185889	TFP.RAD21	0.00170016577104977
chr10	101063995	101064671	TFP.HNF4A	0.00176914109926766
chr10	101064116	101064684	TFP.FOXA1	0.00148671331702153
chr10	101064170	101064732	TFP.HDAC2	0.00147102047678011
chr10	101064181	101064623	TFP.TCF4	0.00115711043333103
chr10	101064184	101064682	TFP.FOXA1	0.00130361440727968
chr10	101064191	101064685	TFP.FOXA1	0.00129315057018822
chr10	101064262	101064668	TFP.FOXA2	0.0010629176429987
chr10	101064262	101064684	TFP.SP1	0.00110478223242559
chr10	101064271	101064753	TFP.HNF4A	0.00126175838280679
chr10	101064275	101064720	TFP.HNF4G	0.00116495942045392
chr10	101064283	101064683	TFP.EP300	0.00104721795703463
chr10	101064296	101064621	TFP.MAFK	0.000850950483270309
chr10	101064306	101064734	TFP.JUN	0.00112048098854367
chr10	101064317	101064642	TFP.JUND	0.000850950483270309
chr10	101064323	101064643	TFP.CEBPB	0.000837864575905961
chr10	101064333	101064646	TFP.CEBPB	0.000819544009658331
chr10	104502620	104504187	TFP.ELF1	0.00231481441160145
chr10	104502639	104504068	TFP.ELF1	0.00211117844435722
chr10	104502716	104503961	TFP.YY1	0.00183959736657981
chr10	104502730	104504717	TFP.POU2F2	0.00293431328552653
chr10	104502741	104504005	TFP.YY1	0.00186764458171694
chr10	104640045	104640364	TFP.CEBPB	0.000471682437489716
chr10	104870422	104871454	TFP.MEF2A	0.00152511787616222
chr10	104870821	104871332	TFP.FOXA1	0.000755468835358388
chr10	104870822	104871288	TFP.ZNF263	0.000688963829370463
chr10	104870834	104872094	TFP.SIX5	0.00186173997216076
chr10	104870855	104872006	TFP.TRIM28	0.00170082554247453
chr10	105113010	105113416	TFP.CTCF	0.000747421403688077
chr10	105113040	105113367	TFP.CTCF	0.00060203219497495
chr10	105113066	105113364	TFP.CTCF	0.000548656017387268
chr10	105113072	105113371	TFP.CTCF	0.000550496624009655
chr10	105113100	105113457	TFP.CTCF	0.000657245847278975
