gene	len	ct	mu	sigma	region	fisher_real	fisher_sim
OR4F5	918	1	186.296730124902	0.0236069799037587	reg2	1	1
AL627309.1	780	0	186.296730124902	0.0236069799037587	reg2	0.993483531145952	1
OR4F29	939	0	186.296730124902	0.0236069799037587	reg2	1	1
OR4F16	939	0	186.296730124902	0.0236069799037587	reg2	1	1
SAMD11	2145	1	186.296730124902	0.0236069799037587	reg2	0.928175762408707	1
NOC2L	2250	0	186.296730124902	0.0236069799037587	reg2	0.999999999541925	1
KLHL17	1929	3	186.296730124902	0.0236069799037587	reg2	0.999192340581142	1
PLEKHN1	1992	1	186.296730124902	0.0236069799037587	reg2	0.999063992035852	1
C1orf170	2091	0	186.296730124902	0.0236069799037587	reg2	0.790135828480548	1
HES4	744	1	186.296730124902	0.0236069799037587	reg2	0.903511004274166	1
ISG15	498	0	186.296730124902	0.0236069799037587	reg2	1	1
AGRN	6207	1	186.296730124902	0.0236069799037587	reg2	0.934556498894264	1
RNF223	750	0	186.296730124902	0.0236069799037587	reg2	1	1
C1orf159	1327	0	186.296730124902	0.0236069799037587	reg2	0.999798100701027	1
TTLL10	2055	0	186.296730124902	0.0236069799037587	reg2	0.997464375999857	1
TNFRSF18	979	1	186.296730124902	0.0236069799037587	reg2	1	1
TNFRSF4	834	0	186.296730124902	0.0236069799037587	reg2	0.999993030878898	1
SDF4	1315	0	186.296730124902	0.0236069799037587	reg2	0.999785264749371	1
B3GALT6	990	1	186.296730124902	0.0236069799037587	reg2	1	1
FAM132A	909	0	186.296730124902	0.0236069799037587	reg2	1	1
UBE2J2	854	0	186.296730124902	0.0236069799037587	reg2	0.999994034574001	1
SCNN1D	2489	1	186.296730124902	0.0236069799037587	reg2	0.997607561046838	1
ACAP3	2505	0	186.296730124902	0.0236069799037587	reg2	0.880154886899179	1
PUSL1	912	0	186.296730124902	0.0236069799037587	reg2	0.995499584860745	1
CPSF3L	2244	0	186.296730124902	0.0236069799037587	reg2	0.728122928436883	1
GLTPD1	645	0	186.296730124902	0.0236069799037587	reg2	1	1
TAS1R3	2559	1	186.296730124902	0.0236069799037587	reg2	0.999926145173811	1
DVL1	2088	2	186.296730124902	0.0236069799037587	reg2	0.998814000161938	1
MXRA8	1401	0	186.296730124902	0.0236069799037587	reg2	0.871630283410006	1
AURKAIP1	600	0	186.296730124902	0.0236069799037587	reg2	1	1
CCNL2	1585	0	186.296730124902	0.0236069799037587	reg2	0.997028345820363	1
MRPL20	675	0	186.296730124902	0.0236069799037587	reg2	1	1
ANKRD65	1200	0	186.296730124902	0.0236069799037587	reg2	1	1
TMEM88B	492	0	186.296730124902	0.0236069799037587	reg2	1	1
VWA1	1458	0	186.296730124902	0.0236069799037587	reg2	1	1
ATAD3C	1236	0	186.296730124902	0.0236069799037587	reg2	0.998738460219614	1
ATAD3B	2055	0	186.296730124902	0.0236069799037587	reg2	0.924127699967611	1
ATAD3A	2144	0	186.296730124902	0.0236069799037587	reg2	0.999996546922539	1
TMEM240	522	0	186.296730124902	0.0236069799037587	reg2	0.408038024174339	1
SSU72	823	0	186.296730124902	0.0236069799037587	reg2	0.994241429986047	1
AL645728.1	303	0	186.296730124902	0.0236069799037587	reg2	1	1
C1orf233	681	1	186.296730124902	0.0236069799037587	reg2	1	1
MIB2	3312	2	186.296730124902	0.0236069799037587	reg2	0.45169652251844	1
MMP23B	1514	0	186.296730124902	0.0236069799037587	reg2	1	1
CDK11B	2495	0	186.296730124902	0.0236069799037587	reg2	1	1
SLC35E2B	1218	0	186.296730124902	0.0236069799037587	reg2	1	1
CDK11A	2418	0	186.296730124902	0.0236069799037587	reg2	0.999999999839484	1
SLC35E2	810	0	186.296730124902	0.0236069799037587	reg2	0.89163590181088	1
NADK	1988	0	186.296730124902	0.0236069799037587	reg2	1	1
GNB1	1023	0	186.296730124902	0.0236069799037587	reg2	0.907120878035747	1
CALML6	546	0	186.296730124902	0.0236069799037587	reg2	0.999923793837037	1
TMEM52	848	0	186.296730124902	0.0236069799037587	reg2	0.994633269205034	1
C1orf222	3894	0	186.296730124902	0.0236069799037587	reg2	0.971551910251203	1
GABRD	1359	0	186.296730124902	0.0236069799037587	reg2	0.802215045101342	1
