chr	start	stops	name	p-value
chr1	27998729	27998829	IFI6|ENST00000361157.6	0.000193443969071691
chr1	27998709	27998809	IFI6|ENST00000362020.4	0.000193443969071691
chr1	109234845	109234945	PRPF38B|ENST00000370025.4	0.000385738611892411
chr1	109234846	109234946	PRPF38B|ENST00000370022.5	0.000385738611892411
chr1	109234849	109234949	PRPF38B|ENST00000467302.1	0.000385738611892411
chr1	109234863	109234963	PRPF38B|ENST00000370021.1	0.000385738611892411
chr2	118845928	118846028	INSIG2|ENST00000411929.1	0.000328564454367202
chr2	118845950	118846050	INSIG2|ENST00000471186.1|ENST00000245787.4|ENST00000485520.1	0.000328564454367202
chr2	238395711	238395811	MLPH|ENST00000264605.3	0.000298718795531446
chr2	238395793	238395893	MLPH|ENST00000445024.2	0.000298718795531446
chr2	238395794	238395894	MLPH|ENST00000477222.1|ENST00000468178.1|ENST00000338530.4	0.000298718795531446
chr2	238395818	238395918	MLPH|ENST00000469619.1	0.000298718795531446
chr2	238395819	238395919	MLPH|ENST00000409373.1	0.000298718795531446
chr4	141075338	141075438	MAML3|ENST00000509479.2	0.00028947066313107
chr5	111093767	111093867	NREP|ENST00000509979.1	0.000224642524266203
chr5	111093791	111093891	NREP|ENST00000513100.1	0.000224642524266203
chr6	2971440	2971540	SERPINB6|ENST00000380529.1	0.000291788859730634
chr6	32947219	32947319	BRD2|ENST00000469132.1	0.000151871421832769
chr6	56331846	56331946	DST|ENST00000523597.1	0.000258834226314986
chr6	131481215	131481315	AKAP7|ENST00000543815.1	0.000301112285813314
chr7	50607726	50607826	DDC|ENST00000489162.1	0.000433942615148778
chr7	100081450	100081550	NYAP1|ENST00000300179.2|ENST00000423930.1	0.00017568947314442
chr9	93589670	93589770	SYK|ENST00000375746.1	0.000400423913986686
chr9	140472992	140473092	DPH7|ENST00000470855.1	0.000387718744509308
chr9	140473001	140473101	DPH7|ENST00000481839.1	0.000387718744509308
chr11	18010304	18010404	SERGEF|ENST00000533241.1	0.000278580071409281
chr11	66406306	66406406	RBM4|ENST00000409406.1	0.000283757583949989
chr11	77012732	77012832	GDPD4|ENST00000532155.1	0.000202784980039641
chr11	77012694	77012794	GDPD4|ENST00000527489.1	0.000202784980039641
chr11	77012711	77012811	GDPD4|ENST00000534245.1	0.000202784980039641
chr13	60738121	60738221	DIAPH3|ENST00000400324.4	0.000404078400391262
chr13	60738119	60738219	DIAPH3|ENST00000400330.1	0.000404078400391262
chr16	2255632	2255732	MLST8|ENST00000566835.1	0.000345037614654574
chr16	2255642	2255742	MLST8|ENST00000397124.1	0.000345037614654574
chr16	2255670	2255770	MLST8|ENST00000565250.1	0.000345037614654574
chr16	66637960	66638060	CMTM3|ENST00000562707.1	0.000259146039973647
chr16	85814864	85814964	EMC8|ENST00000595980.1	0.000449877158015148
chr17	55970049	55970149	CUEDC1|ENST00000407144.2	0.000317018171559996
chr17	72878834	72878934	FADS6|ENST00000579663.1	0.000202731697102278
chr18	71982948	71983048	C18orf63|ENST00000579455.1	0.000416563251448172
chr19	51017947	51018047	ASPDH|ENST00000376916.3	0.000260656150041507
chr19	51017916	51018016	ASPDH|ENST00000601287.1	0.000260656150041507
chr19	51017922	51018022	ASPDH|ENST00000597030.1	0.000260656150041507
chr19	51017925	51018025	ASPDH|ENST00000593569.1	0.000260656150041507
chr19	51017921	51018021	ASPDH|ENST00000598657.1	0.000260656150041507
chrX	9734004	9734104	GPR143|ENST00000467482.1	0.000679360353278552
chrX	9734005	9734105	GPR143|ENST00000380929.2	0.000679360353278552
chrX	48334441	48334541	FTSJ1|ENST00000492562.1	0.000671010028072398
chrX	138287168	138287268	FGF13|ENST00000436198.1	0.000763174683885547
chrX	153586605	153586705	FLNA|ENST00000369856.3	0.000702722401904856
