chr	start	stops	name	p-value
chr10	4750600	4750900	DRM:CALML5(;)	0.0350775465015386
chr10	64469500	64470400	DRM:EGR2(;)	0.0100482356265252
chr10	64469500	64470400	DRM:ZNF365(;)	0.0100482356265252
chr10	93462400	93462700	DRM:ANKRD1(;REG)	0.0348925247305058
chr11	111453700	111453800	DRM:C11orf93(;)	0.0109041790199974
chr11	124043600	124043900	DRM:HEPACAM(;)	0.0420549474502545
chr11	125415300	125415600	DRM:HEPACAM(;)	0.0444769599329694
chr11	128159900	128161500	DRM:ARHGAP32(;)	0.0199625326084639
chr11	1552700	1552800	DRM:TOLLIP(PPI;)	0.0162146973003752
chr11	48215600	48215700	DRM:NR1H3(PPI;REG)	0.0138022464982772
chr1	160413500	160413800	DRM:DCAF8(;)	0.0424076712928874
chr1	160413500	160413800	DRM:PVRL4(;)	0.0424076712928874
chr1	161429800	161429900	DRM:ARHGAP30(;)	0.0150327799503711
chr1	161429800	161429900	DRM:CD48(;)	0.0150327799503711
chr1	161429800	161429900	DRM:FCGR2A(;)	0.0150327799503711
chr1	161429800	161429900	DRM:FCGR2B(;)	0.0150327799503711
chr1	161429800	161429900	DRM:FCRLA(;)	0.0150327799503711
chr1	161429800	161429900	DRM:PPOX(;REG)	0.0150327799503711
chr1	161429800	161429900	DRM:SLAMF1(;)	0.0150327799503711
chr1	161429800	161429900	DRM:SLAMF6(;)	0.0150327799503711
chr1	161429800	161429900	DRM:SLAMF7(;)	0.0150327799503711
chr1	181101800	181103500	DRM:CACNA1E(;)	0.0295524245738856
chr1	181286200	181288400	DRM:CACNA1E(;)	0.046970801730468
chr1	209257100	209257300	DRM:G0S2(;)	0.0267722149435142
chr1	209257100	209257300	DRM:IRF6(;)	0.0267722149435142
chr1	209257100	209257300	DRM:LAMB3(;)	0.0267722149435142
chr1	209257100	209257300	DRM:TRAF3IP3(;)	0.0267722149435142
chr12	123820400	123820500	DRM:GPR109A(;)	0.0113410107443669
chr1	213112300	213112600	DRM:VASH2(;)	0.0387418089263825
chr12	131922800	131923800	DRM:RAN(;)	0.0396632575531312
chr12	20922100	20922400	DRM:GYS2(;)	0.0498683405760903
chr12	27362300	27362700	DRM:PTHLH(;)	0.0471598498197137
chr1	231186200	231186800	DRM:AGT(;REG)	0.00219278169331865
chr1	231186200	231186800	DRM:ENSG00000256782.1(;)	0.00219278169331865
chr1	231200600	231201000	DRM:AGT(;REG)	0.0436605607150289
chr12	47820100	47821100	DRM:RAPGEF3(;REG)	0.0123357726773939
chr12	47820100	47821100	DRM:ZNF641(;)	0.0123357726773939
chr12	48335700	48336800	DRM:ZNF641(;)	0.013954149423622
chr12	53261100	53261400	DRM:KRT7(;)	0.0388269412418659
chr12	53748700	53750200	DRM:SOAT2(;)	6.19837163798021e-05
