chr	start	stops	name	p-value
chr1	1326476	1328976	CCNL2|ENST00000480479.1	0.0196477948168311
chr1	1327134	1329634	CCNL2|ENST00000482365.1	0.0196477948168311
chr1	1327029	1329529	CCNL2|ENST00000505849.1	0.0196477948168311
chr1	1326384	1328884	CCNL2|ENST00000480646.1	0.0196477948168311
chr1	2564481	2566981	MMEL1|ENST00000288709.6	0.0013910309764107
chr1	2564429	2566929	MMEL1|ENST00000378412.3	0.0013910309764107
chr1	2564418	2566918	MMEL1|ENST00000511099.1	0.0013910309764107
chr1	2718286	2720786	TTC34|ENST00000401094.6	0.0196477948168311
chr1	3310555	3313055	PRDM16|ENST00000509860.1	0.0196477948168311
chr1	3781727	3784227	DFFB|ENST00000481945.1	0.0196477948168311
chr1	6191799	6194299	CHD5|ENST00000377999.1	0.00971087157296335
chr1	6476691	6479191	HES2|ENST00000471190.1	0.00971087157296335
chr1	10215912	10218412	UBE4B|ENST00000488228.1	0.00124962704044307
chr1	10336116	10338616	KIF1B|ENST00000495136.1	0.0110635558966579
chr1	11081784	11084284	TARDBP|ENST00000480464.1	0.0114701958091138
chr1	12183456	12185956	TNFRSF8|ENST00000413146.2	0.00100456706225953
chr1	12183491	12185991	TNFRSF8|ENST00000479933.2	0.00100456706225953
chr1	16344320	16346820	HSPB7|ENST00000463576.1	0.0380788540317752
chr1	16579922	16582422	FBXO42|ENST00000456164.1	0.0380788540317752
chr1	16580088	16582588	FBXO42|ENST00000444116.1	0.0380788540317752
chr1	17307116	17309616	MFAP2|ENST00000490075.1	0.0224587119468677
chr1	17307173	17309673	MFAP2|ENST00000438542.1	0.0224587119468677
chr1	17307127	17309627	MFAP2|ENST00000476788.1	0.0224587119468677
chr1	18431740	18434240	IGSF21|ENST00000251296.1	0.0224587119468677
chr1	21377487	21379987	EIF4G3|ENST00000264211.8	0.00701836777457299
chr1	21377395	21379895	EIF4G3|ENST00000374935.3	0.00701836777457299
chr1	21377453	21379953	EIF4G3|ENST00000374937.3	0.00701836777457299
chr1	21620917	21623417	ECE1|ENST00000527991.1	0.00701836777457299
chr1	26603167	26605667	SH3BGRL3|ENST00000270792.5	0.000838978511533288
chr1	26604113	26606613	SH3BGRL3|ENST00000319041.6	0.00825919103204757
chr1	31538542	31541042	PUM1|ENST00000424085.2|ENST00000426105.2|ENST00000525948.1|ENST00000524516.1	0.00143406065638153
chr1	31538545	31541045	PUM1|ENST00000257075.5	0.00143406065638153
chr1	31538551	31541051	PUM1|ENST00000373747.3	0.00143406065638153
chr1	31538573	31541073	PUM1|ENST00000525843.1	0.00143406065638153
chr1	31538531	31541031	PUM1|ENST00000440538.2	0.00143406065638153
chr1	31538838	31541338	PUM1|ENST00000373741.4	0.00143406065638153
chr1	31538540	31541040	PUM1|ENST00000423018.2	0.00143406065638153
chr1	31538632	31541132	PUM1|ENST00000373742.2	0.00143406065638153
chr1	31538523	31541023	PUM1|ENST00000526215.1	0.00143406065638153
chr1	31538530	31541030	PUM1|ENST00000480602.1	0.00143406065638153
chr1	33283754	33286254	YARS|ENST00000373477.4	0.00971732685291987
chr1	33282918	33285418	YARS|ENST00000481895.1	0.00971732685291987
chr1	46030721	46033221	AKR1A1|ENST00000473038.1	0.00913672000440396
chr1	46031154	46033654	AKR1A1|ENST00000495913.1	0.00913672000440396
chr1	46031319	46033819	AKR1A1|ENST00000487654.1	0.00913672000440396
chr1	52222796	52225296	OSBPL9|ENST00000475697.1	0.000169618142981065
chr1	52299745	52302245	NRD1|ENST00000473805.1	0.0138320610787526
chr1	52519297	52521797	BTF3L4|ENST00000313334.8	0.0138320610787526
chr1	52519371	52521871	BTF3L4|ENST00000477828.2	0.0138320610787526
chr1	52519443	52521943	BTF3L4|ENST00000489308.2	0.0138320610787526
chr1	52519444	52521944	BTF3L4|ENST00000526132.1	0.0138320610787526
chr1	52519476	52521976	BTF3L4|ENST00000472944.2	0.0138320610787526
chr1	52519486	52521986	BTF3L4|ENST00000524414.1	0.0138320610787526
chr1	52519493	52521993	BTF3L4|ENST00000484036.1	0.0138320610787526
chr1	52519504	52522004	BTF3L4|ENST00000533836.1	0.0138320610787526
chr1	53377327	53379827	ECHDC2|ENST00000543419.1	0.0150088754835515
