chr	start	stops	name	p-value
chr1	1009687	1012187	RNF223|ENST00000453464.2	0.0124959429839332
chr1	1182102	1184602	FAM132A|ENST00000330388.2	0.0124959429839332
chr1	1230388	1232888	ACAP3|ENST00000470659.1	0.0124959429839332
chr1	1284492	1286992	DVL1|ENST00000378891.5	0.0124959429839332
chr1	1284730	1287230	DVL1|ENST00000378888.5	0.0124959429839332
chr1	1284335	1286835	DVL1|ENST00000472445.1	0.0124959429839332
chr1	2461684	2464184	HES5|ENST00000378453.3	0.00150484235467983
chr1	3385671	3388171	ARHGEF16|ENST00000464620.1	0.00150484235467983
chr1	3385688	3388188	ARHGEF16|ENST00000418137.1|ENST00000413250.2	0.00150484235467983
chr1	3386833	3389333	ARHGEF16|ENST00000485984.1	0.00150484235467983
chr1	5927712	5930212	NPHP4|ENST00000460696.1	0.0385856889565624
chr1	5928435	5930935	NPHP4|ENST00000378161.1	0.0385856889565624
chr1	6412309	6414809	ACOT7|ENST00000473466.1	0.0385856889565624
chr1	6507934	6510434	ESPN|ENST00000475479.1	0.0385856889565624
chr1	6518068	6520568	ESPN|ENST00000468561.1	0.00397444367088342
chr1	6545529	6548029	PLEKHG5|ENST00000535355.1	0.0385856889565624
chr1	6637561	6640061	ZBTB48|ENST00000319084.5	0.0385856889565624
chr1	6637577	6640077	ZBTB48|ENST00000435905.1	0.0385856889565624
chr1	6637608	6640108	ZBTB48|ENST00000377674.4	0.0385856889565624
chr1	6637648	6640148	ZBTB48|ENST00000488936.1	0.0385856889565624
chr1	8011851	8014351	PARK7|ENST00000493373.1	2.22845972928375e-09
chr1	8381890	8384390	SLC45A1|ENST00000289877.8	0.0375234641619735
chr1	11141274	11143774	EXOSC10|ENST00000474216.1	0.00443729494815707
chr1	11128981	11131481	EXOSC10|ENST00000490565.1	0.0414476827932888
chr1	11142680	11145180	EXOSC10|ENST00000485606.1	2.51160602350598e-05
chr1	12852340	12854840	PRAMEF1|ENST00000400814.3	0.0066960782231655
chr1	12891264	12893764	PRAMEF11|ENST00000535591.1|ENST00000437584.1	5.08730698185144e-05
chr1	12958101	12960601	PRAMEF10|ENST00000235347.4	0.0066960782231655
chr1	15699696	15702196	FHAD1|ENST00000477846.1	0.0414758597080248
chr1	15705276	15707776	FHAD1|ENST00000495195.1	0.000368732287700319
chr1	15850687	15853187	CASP9|ENST00000400777.3	0.0414758597080248
chr1	15850695	15853195	CASP9|ENST00000474305.2	0.0414758597080248
chr1	15850712	15853212	CASP9|ENST00000440484.1	0.0414758597080248
chr1	15850710	15853210	CASP9|ENST00000546969.1	0.0414758597080248
chr1	16101010	16103510	FBLIM1|ENST00000514156.1	0.00444194266735807
chr1	16101068	16103568	FBLIM1|ENST00000509138.1	0.00444194266735807
chr1	16346089	16348589	HSPB7|ENST00000375718.4	0.0414758597080248
