name	ct	len	pval	p.adj	den
TERT	12	380	6.66133814775094e-16	3.85824705517734e-12	0.0315789473684211
MIR614	8	96	3.21964677141295e-15	1.86449744532524e-11	0.0833333333333333
MIR449B	4	23	1.80723214171508e-11	1.04638741005303e-07	0.173913043478261
LINC00616	5	146	1.80358622481336e-08	0.000104409606554445	0.0342465753424658
TNFRSF8	3	50	2.69612185910262e-08	0.00015605153320486	0.06
OTOS	4	165	7.58439789860788e-08	0.000438909106392438	0.0242424242424242
ARMC12	4	181	1.14271848206116e-07	0.000661176913720585	0.0220994475138122
LINC00229	4	132	1.32478017000892e-07	0.000766385328350161	0.0303030303030303
RP11-157E21.1	3	66	1.38364224189225e-07	0.000800298672710476	0.0454545454545455
RP11-864N7.1	3	73	2.69035001831952e-07	0.00155582941559418	0.0410958904109589
PLXDC1	6	674	2.84615529588805e-07	0.00164564699208247	0.00890207715133531
RP4-777O23.1	3	93	6.24010379923767e-07	0.0036074040063393	0.032258064516129
OVCH2	3	87	7.04698503661838e-07	0.00407315735116542	0.0344827586206897
DHFRP2	3	106	7.63681570425945e-07	0.00441331579549153	0.0283018867924528
RP3-510O8.4	4	302	1.26116202958659e-06	0.00728699420695134	0.0132450331125828
AL137846.1	3	114	1.57414779988763e-06	0.00909385183995082	0.0263157894736842
PDE4C	6	1097	2.12042739577978e-06	0.012247588638024	0.00546946216955333
GLE1	4	342	2.93454128741377e-06	0.0169469759348145	0.0116959064327485
C5orf15	5	672	4.22568259728084e-06	0.0243990913166996	0.00744047619047619
LINC00556	2	46	4.34662459103397e-06	0.0250930637640391	0.0434782608695652
KB-288A10.19	2	32	5.70143476941176e-06	0.0329086814890447	0.0625
MEF2C	5	295	7.35497177639655e-06	0.0424455421215845	0.0169491525423729
IER3	4	428	1.19119184402994e-05	0.0687317694005274	0.00934579439252336
AC002480.5	2	46	1.24225962593316e-05	0.0716659578200841	0.0434782608695652
RNU6ATAC24P	2	77	1.71972297808853e-05	0.0991936213761466	0.025974025974026
CDC20B	4	409	1.89063309609105e-05	0.109032810651571	0.0097799511002445
MIR449C	4	409	1.89063309609105e-05	0.109032810651571	0.0097799511002445
RP11-627G18.2	1	12	1.93334973503934e-05	0.111457612225018	0.0833333333333333
RP11-321G12.1	2	74	1.97006736852856e-05	0.113554683121986	0.027027027027027
L47234.1	2	96	1.97857110103561e-05	0.114025052552682	0.0208333333333333
RP11-69M1.1	2	63	2.47621691500388e-05	0.142679618642524	0.0317460317460317
RP11-142C4.6	3	147	2.94787201549074e-05	0.169826906812421	0.0204081632653061
AC005616.1	3	92	3.14560646913487e-05	0.181186932622168	0.0326086956521739
SDK2	7	1219	3.15208220625918e-05	0.181528414258466	0.00574241181296144
CTB-191K22.6	2	98	3.99241765103309e-05	0.229883408346485	0.0204081632653061
RP11-245J24.1	2	54	4.02762049497296e-05	0.231870111895593	0.037037037037037
PDGFD	5	407	4.29798589741681e-05	0.247392068255312	0.0122850122850123
HES1	5	875	4.91130644861837e-05	0.282645686117987	0.00571428571428571
RP11-181B11.1	2	98	5.23566450392199e-05	0.301260135555671	0.0204081632653061
MNAT1	3	238	6.19429004540262e-05	0.356357506312013	0.0126050420168067
RGAG1	2	96	6.87871588478384e-05	0.395663737692766	0.0208333333333333
SP8	3	221	6.96520874003959e-05	0.400569154639677	0.0135746606334842
ELTD1	2	37	6.9802408117603e-05	0.401363846676217	0.0540540540540541
LAMA2	4	332	7.27376675561109e-05	0.418168850780081	0.0120481927710843
RP5-912I13.1	2	111	7.52740817139275e-05	0.432675421691655	0.018018018018018
HIST1H2BD	5	741	7.62629214980937e-05	0.438283009849544	0.0067476383265857
CDRT4	2	115	7.92509119568185e-05	0.455375740103879	0.0173913043478261
TNRC6C-AS1	2	158	8.18665449782152e-05	0.470323300899846	0.0126582278481013
ACOT8	4	515	8.82663100502112e-05	0.507001684928413	0.00776699029126214
ZSWIM3	4	515	8.82663100502112e-05	0.507001684928413	0.00776699029126214
ATP5B	3	311	8.99041457977923e-05	0.516229605170923	0.00964630225080386
SNORD59A	3	311	8.99041457977923e-05	0.516229605170923	0.00964630225080386
NR1I2	2	94	9.22117979088588e-05	0.52929571999685	0.0212765957446809
RP11-693J15.3	1	15	9.35305749882875e-05	0.536771969857782	0.0666666666666667
RP11-958F21.1	1	13	9.94297747659578e-05	0.570528047607066	0.0769230769230769
AC064834.1	1	13	0.000102870113135811	0.590165839060149	0.0769230769230769
HPS4	5	677	0.000105075786324016	0.602714710354555	0.00738552437223043
ZNF571-AS1	1	15	0.000106081890999365	0.608379644881361	0.0666666666666667
CTD-3064H18.4	1	15	0.000106081890999365	0.608379644881361	0.0666666666666667
IL17RC	3	365	0.000109770738181525	0.629315641994682	0.00821917808219178
RGS9	3	381	0.0001152305022315	0.66050123879096	0.0078740157480315
CRABP1	1	19	0.000122497978062852	0.702035912278205	0.0526315789473684
GRHL2	2	81	0.000128321434391676	0.735281819064304	0.0246913580246914
UBAC2-AS1	4	759	0.00012895859336659	0.738803781397197	0.00527009222661397
OGDH	4	708	0.000142258542648932	0.814856932293083	0.00564971751412429
RP11-344B5.2	2	136	0.000142662099313684	0.817025842769468	0.0147058823529412
PLEKHG2	4	1035	0.000148526901519008	0.850465038097841	0.00386473429951691
SNORD74	1	35	0.000153313672623612	0.877720775770177	0.0285714285714286
RP11-802H3.1	2	43	0.000155798740778867	0.891791992218237	0.0465116279069767
PLA2G4A	1	14	0.00016302569340898	0.932996043379594	0.0714285714285714
RP11-69L16.4	1	29	0.00017345600439822	0.992515257166616	0.0344827586206897
AC008592.7	2	156	0.000177379414306289	1	0.0128205128205128
MT2A	4	826	0.000183314300137405	1	0.00484261501210654
MIR548AQ	2	138	0.000185847486807944	1	0.0144927536231884
RIIAD1	2	188	0.000195210792879319	1	0.0106382978723404
RP11-800A3.2	1	28	0.000199652796550875	1	0.0357142857142857
