chr	start	stops	name	p-value
chr10	22567300	22567400	DRM:SPAG6(;)	0.0222835470606875
chr10	44664000	44664200	DRM:RASSF4(;)	0.0496505805149505
chr10	5526900	5530600	DRM:AKR1C1(;)	0.0436687825836074
chr10	5526900	5530600	DRM:AKR1C3(;)	0.0436687825836074
chr10	64530800	64530900	DRM:EGR2(;)	0.0252340621918093
chr10	7533100	7535500	DRM:GATA3(;REG)	0.0187311549963396
chr11	113499500	113500400	DRM:NCAM1(;)	0.0121956632920189
chr11	113499500	113500400	DRM:NNMT(;REG)	0.0121956632920189
chr11	128173300	128173400	DRM:TP53AIP1(;)	0.0212032736972995
chr11	26049400	26050800	DRM:ANO3(;)	0.000947399437269137
chr11	47958800	47961800	DRM:ACP2(;)	1.39724893211433e-05
chr11	47958800	47961800	DRM:NR1H3(PPI;REG)	1.39724893211433e-05
chr11	47958800	47961800	DRM:SPI1(PPI;REG)	1.39724893211433e-05
chr1	155074700	155075300	DRM:YY1AP1(;)	0.00923056853967252
chr1	157120600	157121400	DRM:RHBG(;)	0.0264835129227432
chr1	160429900	160431100	DRM:DCAF8(;)	0.0401193252601227
chr1	160429900	160431100	DRM:PVRL4(;)	0.0401193252601227
chr1	160444000	160444800	DRM:DCAF8(;)	0.00133789534101522
chr1	160444000	160444800	DRM:PVRL4(;)	0.00133789534101522
chr11	67329200	67330100	DRM:ALDH3B2(;)	0.0155537585936268
chr11	67329200	67330100	DRM:ENSG00000256475.1(;)	0.0155537585936268
chr1	171267500	171268600	DRM:PRRX1(;)	0.032790727613121
chr11	88103900	88104400	DRM:RAB38(;)	0.00920374088824493
chr1	192945600	192947800	DRM:B3GALT2(;)	0.00506993098759195
chr12	105056100	105056300	DRM:SLC41A2(;)	0.0420624098464595
chr12	110782400	110783600	DRM:AC002351.1(;)	0.0160688804899428
chr12	111122100	111128600	DRM:AC002351.1(;)	0.00822538794022589
chr12	113428500	113428700	DRM:OAS2(;)	0.0353143821279161
chr12	115111800	115112900	DRM:TBX5(;)	0.0216004707261711
chr12	130481300	130482600	DRM:RAN(;)	0.015070959467841
chr12	132964500	132964600	DRM:POLE(PPI;)	0.0345491210464778
chr1	225663700	225663900	DRM:DNAH14(;)	0.0490272487851464
chr1	22590900	22591900	DRM:ALPL(;)	0.0146139270003631
chr1	22590900	22591900	DRM:ECE1(;REG)	0.0146139270003631
chr12	39165500	39166500	DRM:ABCD2(;)	0.0302144032831445
chr1	244503800	244503900	DRM:ZNF238(;)	0.0233089017214469
chr12	48421200	48421300	DRM:ARF3(;)	0.0224837637783281
chr12	48421200	48421300	DRM:ZNF641(;)	0.0224837637783281
chr12	56205800	56206000	DRM:SUOX(;)	0.0355015705181218
chr12	56831200	56832800	DRM:ERBB3(PPI;)	0.0348912733660378
chr12	56831200	56832800	DRM:MYL6B(;)	0.0348912733660378
chr12	56831200	56832800	DRM:SLC39A5(;)	0.0348912733660378
chr12	56831200	56832800	DRM:STAC3(;)	0.0348912733660378
chr12	58424700	58424900	DRM:AC137834.2(;)	0.0381530170529354
chr1	26463800	26464000	DRM:NR0B2(PPI;REG)	0.0384436988189004
chr12	85677100	85677800	DRM:ALX1(;)	0.0192732146402912
chr13	27608700	27609700	DRM:TMEM46(;)	0.0157212811909296
chr1	34797200	34797700	DRM:GJB3(;)	0.00624724060524792
chr1	34797200	34797700	DRM:GJB4(;)	0.00624724060524792
chr1	40074700	40074800	DRM:HEYL(;)	0.0236224012003936
chr1	40074700	40074800	DRM:PPT1(;)	0.0236224012003936
chr1	40468600	40470200	DRM:CAP1(PPI;)	0.000704262023165586
chr1	40468600	40470200	DRM:COL9A2(;)	0.000704262023165586
chr14	100396400	100398100	DRM:DEGS2(;)	0.0416557170144762
chr14	100396400	100398100	DRM:EVL(;)	0.0416557170144762
chr14	100888300	100892200	DRM:BEGAIN(PPI;)	0.00709210062292622
chr14	103574400	103575600	DRM:EIF5(PPI;REG)	0.0169938074643883
chr14	104862800	104863000	DRM:GPR132(;REG)	0.0371170541303988
chr14	105823200	105823800	DRM:C14orf80(;)	0.00457500312959629
chr14	105823200	105823800	DRM:CRIP1(;)	0.00457500312959629
chr1	41383600	41385900	DRM:SMAP2(;)	0.0114905901131323
chr14	19890600	19890700	DRM:CCNB1IP1(;REG)	0.0307423649756848
chr14	23195200	23195300	DRM:DHRS2(;REG)	0.0197545757271604
chr14	23963200	23964000	DRM:MYH7(;)	0.0115932470928338
chr14	23963200	23964000	DRM:SDR39U1(;REG)	0.0115932470928338
chr14	23963200	23964000	DRM:THTPA(;REG)	0.0115932470928338
chr14	34370700	34370900	DRM:EGLN3(;)	0.0356588051179102
chr14	77181400	77181600	DRM:ISM2(;)	0.0309863247308363
chr14	89935500	89936300	DRM:CALM1(PPI;REG)	0.012902235285229
chr14	91846400	91846700	DRM:CCDC88C(;)	0.0491953006120847
chr14	95833500	95833800	DRM:SERPINA1(PPI;REG)	0.00170889156012584
chr15	55579400	55579600	DRM:RAB27A(PPI;)	0.0481873334876192
chr15	59072600	59072900	DRM:LIPC(;)	0.0474727658690159
chr15	62455900	62458000	DRM:C2CD4B(;)	0.00663458227429714
chr15	62455900	62458000	DRM:TPM1(PPI;REG)	0.00663458227429714
chr15	63268600	63268800	DRM:C2CD4B(;)	0.0331809666489416
chr15	89987500	89987700	DRM:HAPLN3(;)	0.0448639244443928
chr16	10960700	10960900	DRM:CIITA(;REG)	0.044717979101507
chr16	22630600	22630700	DRM:AC092375.2(;)	0.021408052301506
chr16	2713500	2714900	DRM:PRSS21(;)	0.000100003545391077
chr16	29596600	29596800	DRM:CD19(PPI;)	0.041747543186236
chr16	29596600	29596800	DRM:SEPT1(;)	0.041747543186236
chr16	50192600	50193100	DRM:SNX20(;)	0.00565614722353824
chr16	50874700	50876000	DRM:NKD1(;)	0.0339812729952084
chr16	74834200	74834300	DRM:CHST6(;)	0.0214653947685579
chr16	81863300	81863600	DRM:PLCG2(PPI;)	0.0485987999894648
chr16	81863300	81863600	DRM:SDR42E1(;)	0.0485987999894648
chr16	86312100	86312700	DRM:IRF8(;)	0.0123323785388252
chr16	87177000	87179800	DRM:BANP(;REG)	0.0263993039041673
chr16	89069600	89071400	DRM:DPEP1(;)	0.00564692275423013
chr17	3876800	3878400	DRM:CXCL16(;)	0.0494191188468965
chr17	3876800	3878400	DRM:ENO3(;)	0.0494191188468965
chr17	3876800	3878400	DRM:GLTPD2(;)	0.0494191188468965
chr17	3876800	3878400	DRM:TM4SF5(;)	0.0494191188468965
chr17	40615200	40616500	DRM:BRCA1(PPI;REG)	0.0304328979371207
chr17	46043400	46044300	DRM:HOXB3(;)	0.0166542672813664
chr17	46043400	46044300	DRM:HOXB9(;REG)	0.0166542672813664
chr17	46269700	46270200	DRM:SKAP1(;)	0.00544774960948988
chr17	46269700	46270200	DRM:TBX21(;)	0.00544774960948988
chr17	46588300	46589600	DRM:NPEPPS(;)	0.00305781670183446
chr17	46588300	46589600	DRM:PRR15L(;)	0.00305781670183446
chr17	59508900	59509800	DRM:BCAS3(;REG)	0.023033240157339
chr17	60533900	60534000	DRM:CYB561(;)	0.0245366293788331
chr17	6065400	6066100	DRM:C17orf87(;)	0.0118890518812599
chr17	60717600	60718100	DRM:ACE(;)	0.00719121342005526
chr17	62031200	62032500	DRM:CYB561(;)	0.0349357262018793
chr17	72291800	72293300	DRM:GPRC5C(;REG)	0.00467356892342018
chr17	72291800	72293300	DRM:HN1(;)	0.00467356892342018
chr17	75184100	75185800	DRM:ST6GALNAC2(;)	0.0436083397046891
chr17	75780000	75780800	DRM:C17orf99(;)	0.0119000615354154
chr17	78151500	78153400	DRM:AATK(;)	0.00131369071418095
chr17	80422200	80423500	DRM:CD7(;)	0.0383528782258907
chr17	80422200	80423500	DRM:NOTUM(;)	0.0383528782258907
chr17	80851200	80851300	DRM:C17orf62(;)	0.0231724314952499
chr18	21589200	21592100	DRM:C18orf45(;)	0.0254264314697018
chr18	21589200	21592100	DRM:LAMA3(;)	0.0254264314697018
chr18	55486500	55488100	DRM:ATP8B1(;)	0.00407581280830951
chr18	76481300	76482300	DRM:SALL3(;)	0.037061210292524
chr18	987400	988500	DRM:COLEC12(;)	0.0366758782934252
