chr	start	stops	name	p-value
chr10	102033712	102035221	UTR:BLOC1S2	0.0312173901869004
chr10	102034451	102035221	UTR:BLOC1S2	0.00888705440095786
chr10	102120687	102124591	UTR:SCD	0.000879621609516652
chr10	102747200	102747240	UTR:MRPL43	2.62226418110312e-05
chr10	102747200	102747251	UTR:MRPL43	4.25705084919472e-05
chr10	102747200	102747254	UTR:MRPL43	4.77084896161061e-05
chr10	102747200	102747272	UTR:MRPL43	8.46274564206198e-05
chr10	103901248	103901364	UTR:PPRC1	0.0239684456922489
chr10	104178945	104179171	UTR:FBXL15	0.0364438309683554
chr10	104847773	104849431	UTR:NT5C2	0.0312546357076222
chr10	105153955	105154151	UTR:USMG5	0.0377180558706835
chr10	105211912	105212159	UTR:CALHM2	0.0472942073805649
chr10	112658487	112660120	UTR:BBIP1	0.0462077748931529
chr10	112659922	112660120	UTR:BBIP1	0.0402111372710547
chr10	112659986	112660120	UTR:BBIP1	0.0273958255275875
chr10	115423641	115423805	UTR:NRAP	0.0287313731455726
chr10	115423641	115423886	UTR:NRAP	0.0426122160999531
chr10	115537396	115537485	UTR:PLEKHS1	0.00012533576320043
chr10	115537396	115537489	UTR:PLEKHS1	0.000136788740259803
chr10	118641177	118642017	UTR:ENO4	0.0230209481171414
chr10	118641177	118642038	UTR:ENO4	0.02409349800284
chr10	123659425	123659509	UTR:ATE1	0.0181475947874727
chr10	126676420	126678089	UTR:CTBP2	0.00729833534083053
chr10	126677506	126678089	UTR:CTBP2	0.00832457097920998
chr10	127700949	127705850	UTR:ADAM12	0.0130056507558232
chr10	133757471	133757649	UTR:PPP2R2D	0.0283012606983645
chr10	134219774	134219793	UTR:PWWP2B	0.00306027474682919
chr10	135340299	135340377	UTR:CYP2E1	0.0125029543787511
chr10	135352465	135352620	UTR:CYP2E1	0.0246904499440344
chr10	135352465	135352626	UTR:CYP2E1	0.0256337077202878
chr10	14861248	14861981	UTR:CDNF	0.0133652289010618
chr10	18242119	18242205	UTR:SLC39A12	0.0418417245661324
chr10	24911661	24911763	UTR:ARHGAP21	0.035061172301276
chr10	28346574	28346688	UTR:MPP7	0.000372825640955438
chr10	29975481	29975580	UTR:SVIL	0.0178338063983117
chr10	3110818	3110934	UTR:PFKP	0.0350761831164163
chr10	31133709	31133892	UTR:ZNF438	0.0456094661514876
chr10	31139150	31139296	UTR:ZNF438	0.036560844597032
chr10	36811643	36811682	UTR:NAMPTL	0.0214580412315952
chr10	36811719	36811746	UTR:NAMPTL	0.0149056685166197
chr10	44063346	44063469	UTR:ZNF239	0.0375496376215813
chr10	44063346	44063907	UTR:ZNF239	0.0137065713972834
chr10	47000254	47005643	UTR:GPRIN2	0.00547991561205563
chr10	49764609	49764723	UTR:ARHGAP22	0.0288804787673693
chr10	50154904	50155014	UTR:WDFY4	0.0278815614204811
chr10	50708583	50708742	UTR:ERCC6	0.0400469744829121
chr10	52279590	52279681	UTR:SGMS1	0.0222271032629548
chr10	54053657	54058110	UTR:PRKG1	0.0358847043113226
chr10	60573853	60574074	UTR:BICC1	0.00107780177641318
chr10	6138872	6139028	UTR:RBM17	0.0420901484937202
chr10	61410522	61412532	UTR:SLC16A9	0.00299304300611294
chr10	63422718	63422923	UTR:C10orf107	0.00311858388600972
chr10	6373462	6373565	UTR:AL137145.1	0.0279952492100544
chr10	65140077	65140242	UTR:JMJD1C	0.0373420185993483
chr10	69425298	69425410	UTR:CTNNA3	0.0266053899710295
chr10	69695909	69695992	UTR:HERC4	0.0197860011778222
chr10	70287002	70287173	UTR:SLC25A16	0.0302369729586467
chr10	70287132	70287231	UTR:SLC25A16	0.0176200380290672
chr10	71969950	71970152	UTR:PPA1	0.0476976372738984
chr10	7200585	7205734	UTR:SFMBT2	0.00530681871315529
chr10	73507315	73511012	UTR:C10orf54	0.0210394344112407
chr10	74856523	74856608	UTR:P4HA1	0.0140611492942771
chr10	74856523	74856732	UTR:P4HA1	0.0342158587380587
chr10	74890658	74890957	UTR:NUDT13	0.0485826876520188
chr10	75090934	75091034	UTR:TTC18	0.0199796512035855
chr10	75196563	75198002	UTR:PPP3CB	0.0351071434424849
chr10	75506562	75506762	UTR:SEC24C	0.0395553998129709
chr10	7682716	7682818	UTR:ITIH5	0.029754962824215
chr10	81963994	81964247	UTR:ANXA11	0.0344242086954914
chr10	85981047	85981678	UTR:LRIT2	0.0263852316169624
chr10	86274020	86274162	UTR:CCSER2	0.0380528604264617
chr10	89574356	89574639	UTR:ATAD1	0.0456152484928483
chr10	91174342	91174555	UTR:IFIT5	0.049063477073824
chr10	95347363	95349829	UTR:FFAR4	0.00172627923079536
chr10	97671057	97671116	UTR:C10orf131	0.0110941362874398
chr1	100435534	100435718	UTR:SLC35A3	0.0352418126026484
chr1	10132085	10132272	UTR:UBE4B	0.0329975596985704
chr1	109013218	109013624	UTR:NBPF6	0.00333588618673957
chr1	109013257	109013624	UTR:NBPF6	0.00274064376657958
chr1	109472560	109473980	UTR:CLCC1	0.0354798677711091
chr11	105881644	105881794	UTR:MSANTD4	0.00282178052375133
chr1	11073772	11073968	UTR:TARDBP	0.0350214527213425
chr11	107535920	107536686	UTR:ELMOD1	0.0154885198500158
chr11	107535920	107537505	UTR:ELMOD1	0.00736432158448728
chr1	11082708	11084100	UTR:TARDBP	0.00230776958546345
chr11	111896921	111896948	UTR:DLAT	0.00491072163990994
chr11	113237019	113237109	UTR:TTC12	0.0225408841195247
chr11	113237019	113237114	UTR:TTC12	0.0237779714332561
chr11	118401628	118401912	UTR:TTC36	0.047788497844398
chr11	118401755	118401949	UTR:TMEM25	0.0328998019329945
chr11	118478357	118478414	UTR:PHLDB1	0.00978226400730153
chr11	118964563	118965675	UTR:H2AFX	0.0163486002983277
chr11	119031813	119033360	UTR:ABCG4	0.0344118560016929
chr11	11984652	11986013	UTR:DKK3	0.0464893096308833
chr11	119999376	119999621	UTR:TRIM29	0.0444621340982496
chr11	119999414	119999577	UTR:TRIM29	0.0298081943925298
chr11	120925760	120926017	UTR:TBCEL	0.0471013348489817
chr11	12115542	12115771	UTR:MICAL2	0.0430394895807181
chr11	12115554	12115771	UTR:MICAL2	0.0408314021204384
chr11	12115563	12115694	UTR:MICAL2	0.0248551403717576
chr11	122756465	122756557	UTR:C11orf63	0.0344351588947731
chr11	122756468	122756557	UTR:C11orf63	0.0333314275917386
chr11	123814545	123814580	UTR:OR6T1	0.0132444588279478
chr11	123901262	123901341	UTR:OR10G8	0.029643092792263
chr11	124016649	124018428	UTR:VWA5A	0.017082437147898
chr11	124505693	124506849	UTR:SIAE	0.0474944410280904
chr11	125542377	125542490	UTR:ACRV1	0.0244475679593576
chr11	125542387	125542490	UTR:ACRV1	0.0223086800542325
chr11	128812688	128812822	UTR:TP53AIP1	0.0311700527431545
chr11	134123388	134123494	UTR:ACAD8	0.0489578879476595
chr11	134123454	134123494	UTR:ACAD8	0.0187674657535007
chr1	114301325	114301470	UTR:PHTF1	0.0395850657116258
chr1	114301325	114301503	UTR:PHTF1	0.0483703029000094
chr11	14358546	14358712	UTR:RRAS2	0.0366272028968269
chr1	114516131	114516270	UTR:HIPK1	0.0379789528658565
chr1	114516131	114516503	UTR:HIPK1	0.00506640884690704
chr1	114516131	114520422	UTR:HIPK1	0.00815489974024501
chr1	114516131	114520426	UTR:HIPK1	0.00818527643962742
chr11	14520383	14520531	UTR:PSMA1	0.0327221062101691
chr11	1466523	1466626	UTR:BRSK2	0.0174834023816923
chr11	1491191	1491404	UTR:MOB2	0.0358136024137972
chr1	117699355	117699543	UTR:VTCN1	0.0404954907748703
chr11	17743052	17743678	UTR:MYOD1	0.00826008085025463
chr11	18266774	18266926	UTR:SAA2	0.031960729504264
chr11	18266784	18266926	UTR:SAA2	0.0298901825783334
chr11	18266789	18266926	UTR:SAA2	0.0288532288927823
chr11	18333460	18333571	UTR:HPS5	0.0234429588392314
chr11	18433853	18433955	UTR:LDHC	0.0215630742911265
chr11	18433877	18434009	UTR:LDHC	0.0278151534237339
chr11	1911814	1912084	UTR:C11orf89	0.045175452000083
chr11	196737	197046	UTR:ODF3	0.00136697054246114
chr11	196760	197046	UTR:ODF3	0.001174185193861
chr1	120049940	120050099	UTR:HSD3B1	0.0389261853209585
chr1	120351392	120351486	UTR:REG4	0.0232017415773735
chr11	22647187	22647359	UTR:GAS2	0.0499486429543896
chr11	24750718	24750832	UTR:LUZP2	0.00166735273923749
chr1	1250203	1250342	UTR:CPSF3L	0.0116983500390129
chr11	27676439	27679370	UTR:BDNF	0.0376653361158833
chr11	30900130	30900133	UTR:DCDC5	0.0010289553958221
chr11	31824251	31824382	UTR:PAX6	0.0391986357244289
chr11	32610139	32610153	UTR:EIF3M	0.00415227400493726
chr11	32948254	32948815	UTR:QSER1	0.0125659812901232
chr11	32948702	32948815	UTR:QSER1	0.000557871278850838
chr11	33755040	33755156	UTR:CD59	0.0283246961764147
chr11	35272752	35282443	UTR:SLC1A2	0.0390773058907874
chr11	35272771	35282443	UTR:SLC1A2	0.0387753416978311
chr1	144897996	144903032	UTR:PDE4DIP	0.0294446465937045
chr1	145039609	145040002	UTR:PDE4DIP	0.0497887798402844
chr11	45307758	45307870	UTR:SYT13	0.023020410425676
chr1	145439305	145439507	UTR:TXNIP	0.0259125093451519
chr1	145523344	145523730	UTR:PEX11B	0.0489242778471891
chr11	4674710	4676718	UTR:OR51E1	0.0172413392073907
chr11	47198404	47198633	UTR:ARFGAP2	0.04286960237155
chr1	147245355	147245458	UTR:GJA5	0.0132988358573678
chr1	147245355	147245484	UTR:GJA5	0.0166274377156787
chr11	47267232	47267385	UTR:ACP2	0.0288523586526901
chr11	47270226	47270365	UTR:ACP2	0.0262476619599162
