chr	start	stops	name	p-value
chr1	235900	236050	DHS.MCV-1	0.012618183744319
chr1	811025	811175	DHS.MCV-14	0.012618183744319
chr1	824105	824255	DHS.MCV-15	8.09061597696601e-05
chr1	826045	826195	DHS.MCV-25	0.012618183744319
chr1	839345	839495	DHS.MCV-8	0.012618183744319
chr1	872785	872935	DHS.MCV-2	0.012618183744319
chr1	919385	919535	DHS.MCV-9	0.012618183744319
chr1	941545	941695	DHS.MCV-1	0.012618183744319
chr1	977585	977735	DHS.MCV-3	0.012618183744319
chr1	1010705	1010855	DHS.MCV-10	0.012618183744319
chr1	1056665	1056815	DHS.MCV-9	0.012618183744319
chr1	1071745	1071895	DHS.MCV-10	0.012618183744319
chr1	1130200	1130350	DHS.MCV-5	0.012618183744319
chr1	1148165	1148315	DHS.MCV-9	0.012618183744319
chr1	1150620	1150770	DHS.MCV-29	0.012618183744319
chr1	1166760	1166910	DHS.MCV-62	0.012618183744319
chr1	1189045	1189195	DHS.MCV-1	0.012618183744319
chr1	1291545	1291695	DHS.MCV-4	0.012618183744319
chr1	1312380	1312530	DHS.MCV-1	0.012618183744319
chr1	1321065	1321215	DHS.MCV-4	0.012618183744319
chr1	1355065	1355215	DHS.MCV-3	0.012618183744319
chr1	1356805	1356955	DHS.MCV-13	0.012618183744319
chr1	1377920	1378070	DHS.MCV-3	0.012618183744319
chr1	1484200	1484350	DHS.MCV-4	0.012618183744319
chr1	1549760	1549910	DHS.MCV-72	0.012618183744319
chr1	1563840	1563990	DHS.MCV-8	0.012618183744319
chr1	1567425	1567575	DHS.MCV-40	0.012618183744319
chr1	1614865	1615015	DHS.MCV-1	0.012618183744319
chr1	1708240	1708390	DHS.MCV-1	0.012618183744319
chr1	1717505	1717655	DHS.MCV-2	0.012618183744319
chr1	1788640	1788790	DHS.MCV-11	0.012618183744319
chr1	1795740	1795890	DHS.MCV-2	0.012618183744319
chr1	1807540	1807690	DHS.MCV-5	0.012618183744319
chr1	1822520	1822670	DHS.MCV-124	0.012618183744319
chr1	1833065	1833355	DHS.MCV-12	0.0242497527651352
chr1	1855705	1855855	DHS.MCV-10	0.012618183744319
chr1	1878865	1879015	DHS.MCV-8	0.012618183744319
chr1	1899585	1899735	DHS.MCV-6	0.012618183744319
chr1	1911340	1911490	DHS.MCV-3	0.012618183744319
chr1	1914405	1914555	DHS.MCV-4	0.012618183744319
chr1	1946565	1946715	DHS.MCV-26	0.012618183744319
chr1	1952845	1952995	DHS.MCV-10	0.012618183744319
chr1	1957240	1957390	DHS.MCV-20	0.012618183744319
chr1	1969145	1969295	DHS.MCV-1	0.012618183744319
chr1	2028545	2028695	DHS.MCV-1	0.012618183744319
chr1	2076780	2076930	DHS.MCV-1	0.012618183744319
chr1	2088625	2088775	DHS.MCV-1	0.012618183744319
chr1	2158445	2158595	DHS.MCV-12	0.012618183744319
chr1	2166320	2166470	DHS.MCV-16	0.012618183744319
chr1	2188885	2189035	DHS.MCV-18	0.012618183744319
chr1	2208385	2208535	DHS.MCV-1	0.012618183744319
chr1	2216485	2216635	DHS.MCV-4	0.012618183744319
chr1	2235185	2235335	DHS.MCV-2	0.012618183744319
chr1	2249885	2250035	DHS.MCV-5	0.012618183744319
chr1	2265745	2265895	DHS.MCV-8	0.012618183744319
chr1	2300780	2300930	DHS.MCV-1	0.012618183744319
chr1	2345460	2345610	DHS.MCV-12	0.012618183744319
chr1	2365545	2365695	DHS.MCV-1	0.012618183744319
chr1	2375665	2375815	DHS.MCV-2	0.012618183744319
chr1	2426965	2427115	DHS.MCV-2	0.012618183744319
chr1	2429240	2429390	DHS.MCV-2	0.012618183744319
chr1	2449960	2450110	DHS.MCV-1	0.012618183744319
chr1	2515625	2515775	DHS.MCV-5	0.012618183744319
chr1	2571680	2571830	DHS.MCV-8	0.012618183744319
chr1	2699825	2699975	DHS.MCV-1	0.012618183744319
chr1	2713425	2713575	DHS.MCV-1	0.012618183744319
chr1	2719385	2719535	DHS.MCV-8	0.012618183744319
chr1	2749665	2749815	DHS.MCV-3	0.012618183744319
chr1	2773905	2774055	DHS.MCV-3	0.012618183744319
chr1	2776500	2776650	DHS.MCV-4	8.09061597696601e-05
chr1	2776905	2777055	DHS.MCV-2	0.012618183744319
chr1	2778785	2778935	DHS.MCV-8	0.012618183744319
chr1	2782605	2782755	DHS.MCV-4	0.012618183744319
chr1	2789805	2789955	DHS.MCV-1	0.012618183744319
chr1	2802625	2802775	DHS.MCV-2	0.012618183744319
chr1	2807120	2807270	DHS.MCV-4	0.012618183744319
chr1	2876365	2876515	DHS.MCV-1	0.012618183744319
chr1	2887665	2887915	DHS.MCV-6	0.0209406694411364
chr1	2889265	2889415	DHS.MCV-10	0.012618183744319
chr1	2898485	2898635	DHS.MCV-1	0.012618183744319
chr1	2918725	2918875	DHS.MCV-1	0.012618183744319
chr1	2936085	2936235	DHS.MCV-11	0.012618183744319
chr1	2944845	2944995	DHS.MCV-1	0.012618183744319
chr1	2955225	2955375	DHS.MCV-5	0.012618183744319
chr1	2966605	2966755	DHS.MCV-1	0.012618183744319
chr1	2984045	2984195	DHS.MCV-2	0.012618183744319
chr1	2988525	2988675	DHS.MCV-2	0.012618183744319
chr1	2997240	2997390	DHS.MCV-1	0.012618183744319
chr1	3025980	3026130	DHS.MCV-3	0.012618183744319
chr1	3033225	3033375	DHS.MCV-2	0.012618183744319
chr1	3051725	3051875	DHS.MCV-5	0.012618183744319
chr1	3086205	3086355	DHS.MCV-4	8.09061597696601e-05
chr1	3106900	3107050	DHS.MCV-8	0.012618183744319
chr1	3113300	3113450	DHS.MCV-1	0.012618183744319
chr1	3132360	3132510	DHS.MCV-3	0.012618183744319
chr1	3135840	3135990	DHS.MCV-38	0.012618183744319
chr1	3139865	3140015	DHS.MCV-2	0.012618183744319
