chr	start	stops	name	p-value
chr1	1333746	1333846	CCNL2|ENST00000471930.1	0.00349623059946609
chr1	1341687	1341787	MRPL20|ENST00000493287.1	0.000100788184350341
chr1	6537648	6537748	PLEKHG5|ENST00000489097.1	0.00414985673019895
chr1	16269879	16269979	ZBTB17|ENST00000488008.1	0.0044000297648686
chr1	17371372	17371472	SDHB|ENST00000475506.1	0.000116389104708168
chr1	19217385	19217485	ALDH4A1|ENST00000538309.1	0.00417946905535887
chr1	20097920	20098020	TMCO4|ENST00000462171.1	0.00500515304195163
chr1	21174438	21174538	EIF4G3|ENST00000435383.1	0.00485840866247132
chr1	23670755	23670855	HNRNPR|ENST00000302271.6	0.000174039471688995
chr1	23670774	23670874	HNRNPR|ENST00000427764.2	0.000174039471688995
chr1	23670788	23670888	HNRNPR|ENST00000606561.1	0.000174039471688995
chr1	23670773	23670873	HNRNPR|ENST00000426846.2	0.000174039471688995
chr1	24645712	24645812	GRHL3|ENST00000361548.4	0.000169464057386763
chr1	25571699	25571799	C1orf63|ENST00000491378.1	3.98646197780714e-08
chr1	26506559	26506659	CNKSR1|ENST00000531191.1	0.00506586861070051
chr1	27631405	27631505	WDTC1|ENST00000472249.2	0.00434793913210124
chr1	33282268	33282368	S100PBP|ENST00000530710.1	0.000139970115787605
chr1	33858366	33858466	PHC2|ENST00000468406.1	3.42103438591389e-06
chr1	35643737	35643837	SFPQ|ENST00000485454.1	0.00677999875585252
chr1	41468728	41468828	CTPS1|ENST00000463423.1	0.00416899317776872
chr1	43255380	43255480	C1orf50|ENST00000421630.1	0.00506646490863184
chr1	43610724	43610824	FAM183A|ENST00000410048.1	0.000176595432211609
chr1	52897110	52897210	ZCCHC11|ENST00000494469.1	5.68739361026723e-06
chr1	54304533	54304633	NDC1|ENST00000371429.3	0.00439764753121207
chr1	62175090	62175190	TM2D1|ENST00000472989.1	5.84390391268927e-06
chr1	62271082	62271182	INADL|ENST00000484937.1	1.32226833709597e-07
chr1	62738463	62738563	KANK4|ENST00000371150.1	0.000208712710355623
chr1	63836341	63836441	ALG6|ENST00000603108.1|ENST00000263440.4	6.1281225939656e-06
chr1	64240861	64240961	ROR1|ENST00000482426.1	0.00448732878022878
chr1	67081522	67081622	SGIP1|ENST00000484988.2	0.00591840908206358
chr1	78022830	78022930	AK5|ENST00000531672.1	0.0059034314942668
chr1	78383713	78383813	NEXN|ENST00000342754.5	0.0059034314942668
chr1	78769468	78769568	PTGFR|ENST00000370758.1	0.0059034314942668
chr1	79086030	79086130	IFI44L|ENST00000342282.3	0.0104123967743507
chr1	79086034	79086134	IFI44L|ENST00000459784.1	0.0104123967743507
chr1	79086054	79086154	IFI44L|ENST00000476876.1	0.0104123967743507
chr1	85395527	85395627	MCOLN2|ENST00000530971.1	0.00492972065188092
chr1	95606128	95606228	TMEM56|ENST00000463375.1	0.00421942286420787
chr1	98187210	98187310	DPYD|ENST00000474241.1	0.00601756076546471
chr1	107683342	107683442	NTNG1|ENST00000370068.1	1.08102618886327e-09
chr1	112169991	112170091	RAP1A|ENST00000494982.1	0.00578818301105224
chr1	113009063	113009163	WNT2B|ENST00000256640.5	0.000167105108179439
chr1	145439206	145439306	TXNIP|ENST00000425134.1	4.23683573081704e-05
chr1	147245484	147245584	GJA5|ENST00000271348.2	0.00196894837996787
chr1	149889434	149889534	SV2A|ENST00000369146.3	0.00623736661104782
chr1	149889393	149889493	SV2A|ENST00000369145.1	0.00623736661104782
chr1	150208303	150208403	ANP32E|ENST00000533654.1	0.00623736661104782
chr1	150230389	150230489	CA14|ENST00000483993.2	0.00623736661104782
chr1	150335467	150335567	RPRD2|ENST00000492220.1	0.00623736661104782
chr1	151010775	151010875	BNIPL|ENST00000392802.3	1.39409396396768e-07
chr1	151140244	151140344	SCNM1|ENST00000459799.1	0.0057766428844157
chr1	153363452	153363552	S100A8|ENST00000368732.1	0.0063220203096737
chr1	154540157	154540257	CHRNB2|ENST00000368476.3	0.000194617971089246
chr1	155644865	155644965	YY1AP1|ENST00000488784.1	0.00628786585624739
chr1	156253970	156254070	TMEM79|ENST00000405535.2	0.000244891919732305
chr1	156549419	156549519	TTC24|ENST00000368236.3	0.00633596797590662
chr1	156699208	156699308	RRNAD1|ENST00000484742.1	0.00633596797590662
chr1	157522310	157522410	FCRL5|ENST00000361835.3	0.00633596797590662
chr1	157522283	157522383	FCRL5|ENST00000368191.3	0.00633596797590662
chr1	157773991	157774091	FCRL1|ENST00000489998.1	0.000247735109454537
chr1	163038835	163038935	RGS4|ENST00000367909.6	8.69830188328126e-06
chr1	173545890	173545990	SLC9C2|ENST00000466087.1	2.19735296499398e-09
chr1	174606416	174606516	RABGAP1L|ENST00000474375.1	0.00593236076546503
chr1	176176219	176176319	RFWD2|ENST00000474194.1	0.00875753384398542
chr1	201336936	201337036	TNNT2|ENST00000503459.1	0.00432102359337268
chr1	204889660	204889760	NFASC|ENST00000401399.1	1.42323684568225e-09
chr1	205326039	205326139	KLHDC8A|ENST00000367155.3	0.00469673014837491
chr1	214161760	214161860	PROX1|ENST00000435016.1	0.000295160977551568
chr1	216262481	216262581	USH2A|ENST00000481786.1	0.00868748742189141
chr1	225616519	225616619	LBR|ENST00000338179.2	0.000202028797270824
chr1	226251578	226251678	H3F3A|ENST00000366813.1	0.00478685364453615
chr1	227922078	227922178	JMJD4|ENST00000485807.1	0.000156430538558283
