chr	start	stops	name	p-value
chr1	1051623	1051723	C1orf159|ENST00000482816.1	0.0237176442322355
chr1	1260071	1260171	CPSF3L|ENST00000435064.1	0.0237176442322355
chr1	1260053	1260153	CPSF3L|ENST00000411962.1	0.0237176442322355
chr1	1260050	1260150	CPSF3L|ENST00000450926.2	0.0237176442322355
chr1	1250044	1250144	CPSF3L|ENST00000531292.1	0.0237176442322355
chr1	1260051	1260151	CPSF3L|ENST00000527719.1|ENST00000534345.1	0.0237176442322355
chr1	1260067	1260167	CPSF3L|ENST00000498173.2	0.0237176442322355
chr1	1260047	1260147	GLTPD1|ENST00000343938.4	0.0237176442322355
chr1	1289854	1289954	MXRA8|ENST00000473097.1	0.0237176442322355
chr1	1290396	1290496	MXRA8|ENST00000476718.1	0.0237176442322355
chr1	2004801	2004901	PRKCZ|ENST00000400921.2	0.0237176442322355
chr1	2564481	2564581	MMEL1|ENST00000288709.6	0.0237176442322355
chr1	2564429	2564529	MMEL1|ENST00000378412.3	0.0237176442322355
chr1	6052533	6052633	NPHP4|ENST00000489180.2	0.0271234841228264
chr1	6052531	6052631	NPHP4|ENST00000378156.4	0.0271234841228264
chr1	6052507	6052607	NPHP4|ENST00000378169.3	0.0271234841228264
chr1	6663061	6663161	KLHL21|ENST00000377663.3	0.0271234841228264
chr1	6673645	6673745	PHF13|ENST00000377648.4	0.0271234841228264
chr1	9131786	9131886	SLC2A5|ENST00000484798.1	0.0201286602579922
chr1	9711703	9711803	PIK3CD|ENST00000377346.4	0.000209758970437772
chr1	11333846	11333946	UBIAD1|ENST00000486588.2	0.0304803973164862
chr1	11539123	11539223	PTCHD2|ENST00000423056.2	0.0304803973164862
chr1	14057413	14057513	PRDM2|ENST00000491134.1	0.0349375679254246
chr1	15250526	15250626	KAZN|ENST00000361144.5	0.0238123518420657
chr1	16064178	16064278	SLC25A34|ENST00000489568.1	0.0238123518420657
chr1	16767067	16767167	NECAP2|ENST00000337132.5	0.0238123518420657
chr1	16767116	16767216	NECAP2|ENST00000504551.2	0.0238123518420657
chr1	16767119	16767219	NECAP2|ENST00000457722.2|ENST00000406746.1	0.0238123518420657
chr1	16767131	16767231	NECAP2|ENST00000486390.1|ENST00000443980.2	0.0238123518420657
chr1	16767132	16767232	NECAP2|ENST00000504858.1	0.0238123518420657
chr1	16767137	16767237	NECAP2|ENST00000508680.1	0.0238123518420657
chr1	16767138	16767238	NECAP2|ENST00000492095.1	0.0238123518420657
chr1	17256530	17256630	CROCC|ENST00000492631.1	0.0435529015559683
chr1	17307116	17307216	MFAP2|ENST00000490075.1	0.0435529015559683
chr1	17307127	17307227	MFAP2|ENST00000476788.1	0.0435529015559683
chr1	17549882	17549982	PADI1|ENST00000483501.1	0.0435529015559683
chr1	18807324	18807424	KLHDC7A|ENST00000400664.1	0.0435529015559683
chr1	19404321	19404421	UBR4|ENST00000486515.1	0.0284973767941998
chr1	20834654	20834754	MUL1|ENST00000264198.3	0.0357734945254056
chr1	20878832	20878932	FAM43B|ENST00000332947.4	0.0357734945254056
chr1	20971901	20972001	PINK1|ENST00000400490.2	0.0357734945254056
chr1	23345841	23345941	KDM1A|ENST00000356634.3	0.000375534795641564
chr1	23345886	23345986	KDM1A|ENST00000400181.4	0.0269027001468147
chr1	23345888	23345988	KDM1A|ENST00000542151.1	0.0269027001468147
chr1	23670829	23670929	HNRNPR|ENST00000478691.1	0.0269027001468147
chr1	23670803	23670903	HNRNPR|ENST00000374616.3	0.0269027001468147
chr1	23670815	23670915	HNRNPR|ENST00000374612.1	0.0269027001468147
chr1	23670810	23670910	HNRNPR|ENST00000490652.1	0.0269027001468147
chr1	23744791	23744891	TCEA3|ENST00000492271.1	0.0269027001468147
chr1	24104795	24104895	PITHD1|ENST00000246151.4	0.0232274468558456
chr1	24959457	24959557	SRRM1|ENST00000478890.1	0.0232274468558456
chr1	25573026	25573126	C1orf63|ENST00000566395.1	0.021950682633223
chr1	25573131	25573231	C1orf63|ENST00000565733.1	0.021950682633223
chr1	25573118	25573218	C1orf63|ENST00000570063.1	0.021950682633223
chr1	26232957	26233057	STMN1|ENST00000426559.2|ENST00000455785.2	0.023088322735435
chr1	26232908	26233008	STMN1|ENST00000465604.1	0.023088322735435
chr1	26758707	26758807	DHDDS|ENST00000427245.2	0.023088322735435
chr1	26758714	26758814	DHDDS|ENST00000527611.1	0.023088322735435
chr1	26758720	26758820	DHDDS|ENST00000374186.3	0.023088322735435
chr1	26758730	26758830	DHDDS|ENST00000525682.2|ENST00000236342.7	0.023088322735435
chr1	26758731	26758831	DHDDS|ENST00000526219.1	0.023088322735435
chr1	26758733	26758833	DHDDS|ENST00000374185.3	0.023088322735435
chr1	26758736	26758836	DHDDS|ENST00000487944.1	0.023088322735435
chr1	26758746	26758846	DHDDS|ENST00000360009.2	0.023088322735435
chr1	26758757	26758857	DHDDS|ENST00000533087.1	0.023088322735435
chr1	26758758	26758858	DHDDS|ENST00000531312.1	0.023088322735435
chr1	26758759	26758859	DHDDS|ENST00000525165.1	0.023088322735435
chr1	26758762	26758862	DHDDS|ENST00000525326.1|ENST00000525546.1|ENST00000528557.1	0.023088322735435
chr1	27097620	27097720	ARID1A|ENST00000430799.2	0.0182836981381297
chr1	27215431	27215531	GPN2|ENST00000461282.1	0.0182836981381297
chr1	27493472	27493572	SLC9A1|ENST00000374084.2	0.0182836981381297
chr1	28157225	28157325	PPP1R8|ENST00000236412.7	0.0193287006838864
chr1	28157233	28157333	PPP1R8|ENST00000373931.4	0.0193287006838864
chr1	29009976	29010076	GMEB1|ENST00000480454.1	0.0193287006838864
chr1	29063033	29063133	YTHDF2|ENST00000474884.1|ENST00000542507.1	0.0193287006838864
chr1	32573559	32573659	KPNA6|ENST00000471599.1	0.0220073329366199
chr1	33312816	33312916	S100PBP|ENST00000524535.1	0.0216026314681023
chr1	33858366	33858466	PHC2|ENST00000468406.1	0.0216026314681023
chr1	35544868	35544968	ZMYM1|ENST00000359858.4	0.0303557225779576
chr1	35544883	35544983	ZMYM1|ENST00000466390.1	0.0303557225779576
chr1	35544887	35544987	ZMYM1|ENST00000488455.1	0.0303557225779576
chr1	35544892	35544992	ZMYM1|ENST00000475654.1|ENST00000373329.1|ENST00000373330.1	0.0303557225779576
chr1	36235529	36235629	CLSPN|ENST00000318121.3|ENST00000373220.3|ENST00000520551.1	0.0228754987157214
chr1	36622716	36622816	MAP7D1|ENST00000530729.1	0.0228754987157214
chr1	36637469	36637569	MAP7D1|ENST00000462118.1	0.0228754987157214
chr1	36851485	36851585	STK40|ENST00000373129.3	0.0228754987157214
chr1	36851489	36851589	STK40|ENST00000373130.3	0.0228754987157214
chr1	36851497	36851597	STK40|ENST00000373132.3	0.0228754987157214
chr1	36851480	36851580	STK40|ENST00000482458.1	0.0228754987157214
chr1	36851477	36851577	STK40|ENST00000460017.1	0.0228754987157214
chr1	36930038	36930138	MRPS15|ENST00000373116.5	0.0228754987157214
chr1	39318367	39318467	RRAGC|ENST00000496778.1	0.0230666707326089
chr1	39342023	39342123	GJA9|ENST00000360786.3	0.0230666707326089
chr1	40038156	40038256	PABPC4|ENST00000421687.2	0.0236304200311227
chr1	40367554	40367654	MYCL|ENST00000372816.2	0.0236304200311227
chr1	40367591	40367691	MYCL|ENST00000372815.1	0.0236304200311227
chr1	40505805	40505905	CAP1|ENST00000372797.3	0.0236304200311227
chr1	40505812	40505912	CAP1|ENST00000372802.1	0.0236304200311227
chr1	40840220	40840320	SMAP2|ENST00000372708.1	0.000289423200592367
chr1	41445327	41445427	CTPS1|ENST00000541520.1	0.0208539988081699
chr1	43832258	43832358	ELOVL1|ENST00000470769.1	0.0202595069150564
chr1	43910823	43910923	SZT2|ENST00000460536.1	0.0202595069150564
chr1	44436686	44436786	DPH2|ENST00000459879.1	0.0215708884282729
chr1	45205390	45205490	KIF2C|ENST00000452259.1	0.0220086732476265
chr1	45205392	45205492	KIF2C|ENST00000372224.4	0.0220086732476265
chr1	45205397	45205497	KIF2C|ENST00000493027.1	0.0220086732476265
chr1	45798617	45798717	MUTYH|ENST00000462388.1	0.0220086732476265
chr1	51434267	51434367	CDKN2C|ENST00000396148.1	0.0202086901855014
chr1	53192026	53192126	ZYG11B|ENST00000443756.2	0.0244573255448043
chr1	53527754	53527854	PODN|ENST00000371500.3|ENST00000395871.2	0.0244573255448043
chr1	53527785	53527885	PODN|ENST00000312553.5	0.0244573255448043
chr1	54665683	54665783	CYB5RL|ENST00000421415.1	0.0308087711043804
chr1	54665684	54665784	CYB5RL|ENST00000490863.1	0.0308087711043804
chr1	54665709	54665809	CYB5RL|ENST00000528287.1	0.0308087711043804
chr1	54665685	54665785	CYB5RL|ENST00000542737.1|ENST00000537208.1	0.0308087711043804
chr1	54665740	54665840	MRPL37|ENST00000360840.5	0.0308087711043804
chr1	54665769	54665869	MRPL37|ENST00000605337.1	0.0308087711043804
chr1	55253465	55253565	TTC22|ENST00000448308.2	0.000451667791036478
chr1	61542846	61542946	NFIA|ENST00000407417.3	0.0315372936481566
chr1	63833161	63833261	ALG6|ENST00000371108.4	0.0324841218738046
chr1	63879227	63879327	ALG6|ENST00000465969.1	0.0324841218738046
chr1	65991272	65991372	LEPR|ENST00000462765.1	0.0196135585632062
chr1	67091431	67091531	SGIP1|ENST00000483060.1	0.032192342811576
chr1	67147877	67147977	SGIP1|ENST00000487507.1	0.032192342811576
chr1	78407296	78407396	NEXN|ENST00000470735.1	0.0305216524424212
chr1	82445473	82445573	LPHN2|ENST00000402328.2	0.0439135847130225
chr1	84864115	84864215	DNASE2B|ENST00000370665.3	0.0304654199419142
chr1	86862023	86862123	ODF2L|ENST00000370566.3	0.0382095011064604
chr1	86862003	86862103	ODF2L|ENST00000317336.7|ENST00000370567.1|ENST00000394731.1	0.0382095011064604
chr1	86862006	86862106	ODF2L|ENST00000478286.2	0.0382095011064604
chr1	86934426	86934526	CLCA1|ENST00000394711.1	0.0382095011064604
chr1	89732262	89732362	GBP5|ENST00000481145.1	0.0261173667221023
chr1	92752149	92752249	GLMN|ENST00000463560.1	0.0285870414903126
chr1	93297482	93297582	RPL5|ENST00000370321.3	0.0220885933614289
chr1	93297521	93297621	RPL5|ENST00000470843.1	0.0220885933614289
chr1	100598619	100598719	TRMT13|ENST00000370141.2	0.0246900238617225
chr1	100598621	100598721	TRMT13|ENST00000482437.1	0.0246900238617225
chr1	100598671	100598771	TRMT13|ENST00000370139.1	0.0246900238617225
chr1	101360368	101360468	EXTL2|ENST00000370113.3	0.0377836480056404
chr1	101360220	101360320	EXTL2|ENST00000450240.1	0.0377836480056404
chr1	101360367	101360467	EXTL2|ENST00000416479.1	0.0377836480056404
chr1	101360237	101360337	EXTL2|ENST00000494907.1	0.0377836480056404
chr1	101360361	101360461	EXTL2|ENST00000480774.1	0.0377836480056404
chr1	109399716	109399816	AKNAD1|ENST00000370001.3	0.000256614705255602
chr1	109773680	109773780	SARS|ENST00000471705.1	0.000256614705255602
chr1	110162359	110162459	AMPD2|ENST00000342115.4	0.0233046461417238
chr1	110162368	110162468	AMPD2|ENST00000469039.2	0.0233046461417238
chr1	110162369	110162469	AMPD2|ENST00000474459.1	0.0233046461417238
chr1	110162407	110162507	AMPD2|ENST00000528667.1	0.0233046461417238
