chr	start	stops	name	p-value
chr1	1327905	1328005	CCNL2|ENST00000418865.2	0.0184531934777362
chr1	1475833	1475933	TMEM240|ENST00000425828.1	0.0184531934777362
chr1	2518114	2518214	FAM213B|ENST00000419916.2	0.0184531934777362
chr1	2518119	2518219	FAM213B|ENST00000378424.4	0.0184531934777362
chr1	2518135	2518235	FAM213B|ENST00000537325.1	0.0184531934777362
chr1	2518137	2518237	FAM213B|ENST00000378427.1	0.0184531934777362
chr1	2518149	2518249	FAM213B|ENST00000378425.5	0.0184531934777362
chr1	2518156	2518256	FAM213B|ENST00000464043.1	0.0184531934777362
chr1	2518158	2518258	FAM213B|ENST00000444521.2	0.0184531934777362
chr1	2518172	2518272	FAM213B|ENST00000465233.1	0.0184531934777362
chr1	3541466	3541566	TPRG1L|ENST00000378344.2	0.0184531934777362
chr1	6508427	6508527	ESPN|ENST00000475228.1	0.0121197142110501
chr1	8014251	8014351	PARK7|ENST00000493373.1	0.0119338937304838
chr1	8424898	8424998	RERE|ENST00000464367.1	0.0119338937304838
chr1	8483479	8483579	RERE|ENST00000460659.1	0.0119338937304838
chr1	10500080	10500180	APITD1|ENST00000464507.1	0.0128346349802442
chr1	11083155	11083255	TARDBP|ENST00000496840.1	0.0126107874066344
chr1	12891264	12891364	PRAMEF11|ENST00000535591.1|ENST00000437584.1	0.0146453248278615
chr1	15850687	15850787	CASP9|ENST00000400777.3	8.17912266254368e-05
chr1	15850695	15850795	CASP9|ENST00000474305.2	8.17912266254368e-05
chr1	15850712	15850812	CASP9|ENST00000440484.1	8.17912266254368e-05
chr1	15850710	15850810	CASP9|ENST00000546969.1	8.17912266254368e-05
chr1	16378718	16378818	CLCNKB|ENST00000431772.1	0.0126155561261291
chr1	19407800	19407900	UBR4|ENST00000459947.1	0.0111979565042227
chr1	24151949	24152049	HMGCL|ENST00000374490.3	0.013069424589514
chr1	24151918	24152018	HMGCL|ENST00000436439.2	0.013069424589514
chr1	24165110	24165210	HMGCL|ENST00000374487.2|ENST00000374483.4	0.013069424589514
chr1	26503794	26503894	CNKSR1|ENST00000361530.6	0.0121146169704016
chr1	27950573	27950673	FGR|ENST00000374004.1	0.0140752572746803
chr1	27998729	27998829	IFI6|ENST00000361157.6	0.0140752572746803
chr1	31842437	31842537	FABP3|ENST00000497275.1	0.0133459150369916
chr1	32538667	32538767	TMEM39B|ENST00000476968.1	0.0121256600404662
chr1	32829879	32829979	FAM229A|ENST00000415596.1	0.0121256600404662
chr1	33338081	33338181	FNDC5|ENST00000496770.1	4.32811545951988e-07
chr1	33338083	33338183	FNDC5|ENST00000465346.1	4.32811545951988e-07
chr1	36621676	36621776	MAP7D1|ENST00000527764.1	0.0120739927204906
chr1	36689933	36690033	THRAP3|ENST00000469141.2	0.0120739927204906
chr1	36689934	36690034	THRAP3|ENST00000478853.1	0.0120739927204906
chr1	36939431	36939531	CSF3R|ENST00000469380.1	0.0120739927204906
chr1	39338950	39339050	MYCBP|ENST00000495043.1	0.0142552676595083
chr1	39922278	39922378	MACF1|ENST00000497964.1	0.0142552676595083
chr1	40323071	40323171	TRIT1|ENST00000469476.2	0.0131243056801692
chr1	40323080	40323180	TRIT1|ENST00000462243.2	0.0131243056801692
