chr	start	stops	name	p-value
chr10	27961802	27964160	UTR:MKX	0.0432494505525262
chr10	27961803	27964160	UTR:MKX	0.04313758089934
chr10	48001602	48001786	UTR:ASAH2C	0.0399794488815479
chr10	50025289	50025454	UTR:WDFY4	0.0439117667669013
chr10	5498954	5499258	UTR:NET1	0.0260684929253167
chr10	5498954	5500426	UTR:NET1	0.0222031983058569
chr10	74653338	74653556	UTR:OIT3	1.96496251279101e-06
chr10	78644638	78647026	UTR:KCNMA1	0.0483383303850904
chr10	81072503	81076276	UTR:ZMIZ1	0.00104419532054162
chr10	93388198	93389686	UTR:PPP1R3C	0.044584676574778
chr10	94454522	94455403	UTR:HHEX	0.0074340505257247
chr10	95347	95504	UTR:TUBB8	0.000108180704255767
chr11	105481450	105481724	UTR:GRIA4	0.00311284389122781
chr1	11082708	11084100	UTR:TARDBP	0.0411774138706332
chr11	111754601	111756699	UTR:C11orf1	0.0475998739576962
chr1	111690263	111690336	UTR:CEPT1	0.00136753611598488
chr11	118047146	118047388	UTR:SCN2B	0.000788666215626425
chr11	125763380	125763682	UTR:PUS3	0.00445961204851156
chr11	125763381	125763682	UTR:PUS3	0.00439579194831166
chr11	12958766	12959581	UTR:TEAD1	0.0185534358479377
chr1	117653681	117654929	UTR:TRIM45	0.0272490140502975
chr11	19197504	19197962	UTR:ZDHHC13	3.10658524745817e-06
chr11	196737	197046	UTR:ODF3	0.00589769981359133
chr11	196760	197046	UTR:ODF3	0.00462029015063323
chr11	2150341	2154219	UTR:IGF2	0.0348766487565767
chr11	2150347	2154219	UTR:IGF2	0.0344918655097312
chr1	12820881	12823847	UTR:C1orf158	0.000103412462624243
chr11	31447833	31449511	UTR:DNAJC24	0.0402355539672139
chr1	145039609	145040002	UTR:PDE4DIP	0.041710350518272
chr1	150445807	150449042	UTR:RPRD2	0.0349141776803661
chr1	153516088	153516237	UTR:S100A4	0.000146078931235144
chr1	153516096	153516237	UTR:S100A4	0.000110872390625862
chr1	154242768	154243328	UTR:UBAP2L	0.00757253137679998
chr1	154242768	154243329	UTR:UBAP2L	0.0076365158244712
chr1	158326517	158326986	UTR:CD1E	0.00472734358962866
chr1	158326517	158327312	UTR:CD1E	0.0269342509014557
chr1	158326553	158327287	UTR:CD1E	0.018004221332916
chr1	158326683	158327282	UTR:CD1E	0.00598702532549005
chr1	158326683	158327289	UTR:CD1E	0.00639348503925212
chr1	158326683	158327319	UTR:CD1E	0.00837285386322405
chr1	158326683	158327343	UTR:CD1E	0.0102563987422935
chr11	58385176	58388515	UTR:ZFP91	0.0181457924278779
chr11	62609040	62609281	UTR:WDR74	1.43433803096505e-14
chr11	64011498	64011596	UTR:FKBP2	0.0367559942414984
chr11	64011498	64011598	UTR:FKBP2	0.0384419150765248
chr11	64011498	64011604	UTR:FKBP2	0.0436992532279596
chr1	1663680	1663896	UTR:SLC35E2	7.26890797864177e-07
chr11	66406142	66406364	UTR:RBM4	0.0178824679085812
chr11	67165653	67166008	UTR:PPP1CA	0.00283735155579683
chr11	67165671	67166008	UTR:PPP1CA	0.00224751793519668
chr11	67165901	67166008	UTR:PPP1CA	7.64145802328724e-06
chr11	68659959	68660070	UTR:MRPL21	0.000410513830922654
chr1	171560983	171562650	UTR:PRRC2C	0.0217342481180658
chr11	75274466	75274551	UTR:SERPINH1	0.0229180956504412
chr11	75691103	75691163	UTR:UVRAG	0.00993861501823036
chr11	75694430	75694557	UTR:UVRAG	0.00623577725272356
chr11	76066661	76070617	UTR:PRKRIR	0.000323136704997221
chr11	77779349	77781035	UTR:NDUFC2	0.0424004365115366
chr11	77779394	77780921	UTR:NDUFC2	0.026691958504141
chr11	78363875	78369105	UTR:TENM4	0.0205590902336193
chr11	89924912	89925779	UTR:NAALAD2	0.036656976319058
chr11	89924912	89926062	UTR:NAALAD2	0.0267443932825233
chr11	94110476	94113317	UTR:GPR83	0.00210314796479242
chr11	94230234	94232743	UTR:ANKRD49	0.000727493135938307
chr11	94231695	94232728	UTR:ANKRD49	0.000716259940744992
chr11	94231695	94232749	UTR:ANKRD49	0.000831160531838971
chr1	200375826	200376148	UTR:ZNF281	0.000583227706088844
chr1	2004900	2005368	UTR:PRKCZ	0.0227690431284697
chr1	201175210	201182541	UTR:IGFN1	2.2329213778179e-05
chr1	203771779	203772144	UTR:ZC3H11A	0.000522726691875971
chr1	203821524	203821558	UTR:ZC3H11A	0.0462174615718557
chr1	204518807	204527248	UTR:MDM4	0.0065188489315534
chr12	11183934	11184006	UTR:TAS2R31	0.0112961918764363
chr12	121104700	121105114	UTR:CABP1	0.00640028670955407
chr12	121104700	121105127	UTR:CABP1	0.00715231955222927
chr12	121842651	121842916	UTR:RNF34	7.71078274035095e-05
chr12	123253622	123255611	UTR:DENR	0.00238530223165189
chr12	13364402	13364444	UTR:EMP1	3.61028302047886e-08
chr1	21545076	21546450	UTR:ECE1	0.00228142462266069
chr12	16762667	16762971	UTR:LMO3	8.52248725262023e-09
chr1	229728857	229730046	UTR:TAF5L	0.0318872115733731
chr1	236925916	236926148	UTR:ACTN2	3.11585564378447e-06
chr1	244218669	244220778	UTR:ZBTB18	5.75038377832748e-06
chr1	24480646	24483622	UTR:IFNLR1	0.0230501480919903
chr1	25291062	25291501	UTR:RUNX3	0.00760298377595982
chr12	53614000	53614197	UTR:RARG	0.00753576167868607
chr12	54121187	54121529	UTR:CALCOCO1	0.0391756119002146
chr12	56110075	56110501	UTR:BLOC1S1	0.0336964976284447
chr12	56110296	56110501	UTR:BLOC1S1	0.00581280914392081
chr12	56110314	56110501	UTR:BLOC1S1	0.00459336693503405
chr12	56365406	56366568	UTR:CDK2	0.000417624832940028
chr12	56727266	56727527	UTR:PAN2	0.00198731631569466
chr12	56727270	56727533	UTR:PAN2	0.0020373933083523
chr12	58145500	58145660	UTR:CDK4	0.0016867065400464
chr12	62810979	62811211	UTR:USP15	0.0167861279989493
chr1	26603781	26605298	UTR:CEP85	0.0170296097007573
chr1	26603781	26605299	UTR:CEP85	0.0170760224739378
chr12	66531925	66531946	UTR:TMBIM4	0.00077035093157908
chr12	69158667	69162470	UTR:SLC35E3	0.0305021614202666
chr12	69186124	69186335	UTR:AC124890.1	0.00447577021276689
chr12	70747692	70748773	UTR:CNOT2	0.00754213767289299
chr12	75816858	75817820	UTR:GLIPR1L2	0.0462096736214532
chr12	76438669	76442211	UTR:NAP1L1	0.0173123900458974
chr12	76441374	76442211	UTR:NAP1L1	0.00800059033015047
chr12	76441411	76442211	UTR:NAP1L1	0.00634130528948375
chr12	76441809	76442211	UTR:NAP1L1	0.0482423248579913
chr1	27860545	27861427	UTR:AHDC1	0.0344356080750316
chr12	81239342	81239499	UTR:LIN7A	0.0307332874808638
chr12	91544559	91545340	UTR:DCN	0.0405782724396412
chr13	100529932	100530447	UTR:CLYBL	0.00949517386151111
chr13	21353013	21357863	UTR:XPO4	0.0495778928482756
chr13	25820338	25823372	UTR:MTMR6	0.00897113666931584
chr1	33957319	33958236	UTR:ZSCAN20	0.000129595649784588
chr13	43681381	43683045	UTR:DNAJC15	0.0397738912970183
chr13	44465584	44468067	UTR:LACC1	0.0273639439534075
chr13	44465584	44468068	UTR:LACC1	0.0274298423037427
chr1	3607235	3607469	UTR:TP73	0.0321397843256296
chr14	100704634	100705127	UTR:YY1	0.0309679282379331
chr14	105196070	105196229	UTR:ADSSL1	0.0325298081511018
chr1	41975683	41976124	UTR:HIVEP3	0.0429111360528035
chr14	20666529	20666605	UTR:OR11G2	0.0017239620676826
chr14	21730759	21733675	UTR:HNRNPC	0.0236213275196015
chr14	36988562	36988898	UTR:NKX2-1	0.00418329872509045
chr1	43828797	43828874	UTR:CDC20	0.0216927086321854
chr14	73075741	73079273	UTR:DPF3	0.0492444007459868
chr14	74077648	74077745	UTR:ACOT6	0.0425397333533799
chr14	75475888	75476292	UTR:EIF2B2	0.00612113977509226
chr14	88934113	88934433	UTR:PTPN21	0.045047985006583
chr14	92583981	92584148	UTR:NDUFB1	0.0193276769544494
chr15	101170252	101170414	UTR:ASB7	0.00191620218289545
chr15	24924482	24928593	UTR:NPAP1	0.0263099131286643
