chr	start	stops	name	p-value
chr1	1289644	1292144	MXRA8|ENST00000474033.1	0.0243235934800672
chr1	1289854	1292354	MXRA8|ENST00000473097.1	0.0243235934800672
chr1	1289627	1292127	MXRA8|ENST00000478517.1	0.0243235934800672
chr1	1290396	1292896	MXRA8|ENST00000476718.1	0.0243235934800672
chr1	1475737	1478237	TMEM240|ENST00000378733.4	0.000487019587006912
chr1	1475833	1478333	TMEM240|ENST00000425828.1	5.39710709698945e-05
chr1	1481867	1484367	SSU72|ENST00000378726.1	0.0243235934800672
chr1	1507855	1510355	AL645728.1|ENST00000366221.2	0.0243235934800672
chr1	2484578	2487078	TNFRSF14|ENST00000426449.1	0.00377870974242768
chr1	2484730	2487230	TNFRSF14|ENST00000434817.1	0.00377870974242768
chr1	2484741	2487241	TNFRSF14|ENST00000435221.2	0.00377870974242768
chr1	2484919	2487419	TNFRSF14|ENST00000451778.1	0.00377870974242768
chr1	2485161	2487661	TNFRSF14|ENST00000409119.1	0.000487019587006912
chr1	2485305	2487805	TNFRSF14|ENST00000355716.4	0.000487019587006912
chr1	2485325	2487825	TNFRSF14|ENST00000475523.1	0.000487019587006912
chr1	2485344	2487844	TNFRSF14|ENST00000442392.2	0.000487019587006912
chr1	2485345	2487845	TNFRSF14|ENST00000482074.2	0.000487019587006912
chr1	2485496	2487996	TNFRSF14|ENST00000496064.1	0.000487019587006912
chr1	2485510	2488010	TNFRSF14|ENST00000463471.2	0.000487019587006912
chr1	2525512	2528012	MMEL1|ENST00000469962.1	0.0243235934800672
chr1	2706236	2708736	TTC34|ENST00000401095.3	0.0243235934800672
chr1	2706280	2708780	TTC34|ENST00000574621.2	0.0243235934800672
chr1	8011851	8014351	PARK7|ENST00000493373.1	0.00125733621990447
chr1	8716430	8718930	RERE|ENST00000400907.2	0.0108871712533339
chr1	11793641	11796141	AGTRAP|ENST00000376637.3	0.0456344466550052
chr1	11793674	11796174	AGTRAP|ENST00000476512.1	0.0456344466550052
chr1	11793681	11796181	AGTRAP|ENST00000400895.2	0.0456344466550052
chr1	11793687	11796187	AGTRAP|ENST00000494437.1	0.0456344466550052
chr1	11793699	11796199	AGTRAP|ENST00000491346.1	0.0456344466550052
chr1	11793704	11796204	AGTRAP|ENST00000376629.4	0.0456344466550052
chr1	11793710	11796210	AGTRAP|ENST00000376627.2	0.0456344466550052
chr1	11793712	11796212	AGTRAP|ENST00000314340.5	0.0456344466550052
chr1	11793730	11796230	AGTRAP|ENST00000452018.2	0.0456344466550052
chr1	11793732	11796232	AGTRAP|ENST00000510878.1	0.0456344466550052
chr1	11803358	11805858	AGTRAP|ENST00000476309.1	0.0456344466550052
chr1	11803555	11806055	AGTRAP|ENST00000514733.1	0.0456344466550052
chr1	11803566	11806066	AGTRAP|ENST00000513739.1	0.0456344466550052
chr1	12183456	12185956	TNFRSF8|ENST00000413146.2	0.0342141826055393
chr1	12183491	12185991	TNFRSF8|ENST00000479933.2	0.0342141826055393
chr1	12891264	12893764	PRAMEF11|ENST00000535591.1|ENST00000437584.1	1.25241105535743e-05
chr1	12914441	12916941	PRAMEF2|ENST00000240189.2	0.0342141826055393
chr1	12946025	12948525	PRAMEF4|ENST00000235349.5	7.60104300917535e-10
chr1	15681787	15684287	FHAD1|ENST00000483120.1	0.0245734688360396
chr1	17547482	17549982	PADI1|ENST00000483501.1	0.0290368951195642
chr1	17632190	17634690	PADI4|ENST00000375453.1	0.00134253974974057
chr1	17632192	17634692	PADI4|ENST00000375448.4	0.00134253974974057
chr1	20999513	21002013	KIF17|ENST00000463389.1	0.0181124403818089
chr1	21058084	21060584	SH2D5|ENST00000517430.1	0.0181124403818089
chr1	21057668	21060168	SH2D5|ENST00000519434.1	0.0181124403818089
chr1	23670829	23673329	HNRNPR|ENST00000478691.1	0.0334894990328727
chr1	23670803	23673303	HNRNPR|ENST00000374616.3	0.0334894990328727
chr1	23670815	23673315	HNRNPR|ENST00000374612.1	0.0334894990328727
chr1	23670755	23673255	HNRNPR|ENST00000302271.6	0.0334894990328727
chr1	23670774	23673274	HNRNPR|ENST00000427764.2	0.0334894990328727
chr1	23670788	23673288	HNRNPR|ENST00000606561.1	0.0334894990328727
chr1	23670773	23673273	HNRNPR|ENST00000426846.2	0.0334894990328727
chr1	23670810	23673310	HNRNPR|ENST00000490652.1	0.0334894990328727
chr1	24393069	24395569	MYOM3|ENST00000338909.5	0.0230525463880942
chr1	25573026	25575526	C1orf63|ENST00000566395.1	0.00287168318704654
chr1	25573131	25575631	C1orf63|ENST00000565733.1	0.0199173267338153
chr1	25573118	25575618	C1orf63|ENST00000570063.1	0.0199173267338153
chr1	25572507	25575007	C1orf63|ENST00000475766.2	0.00287168318704654
chr1	26232957	26235457	STMN1|ENST00000426559.2|ENST00000455785.2	0.022698613097207
chr1	26232644	26235144	STMN1|ENST00000399728.1	0.022698613097207
chr1	26232908	26235408	STMN1|ENST00000465604.1	0.022698613097207
chr1	26231980	26234480	STMN1|ENST00000446334.1	0.022698613097207
chr1	26633127	26635627	UBXN11|ENST00000314675.7|ENST00000475591.1|ENST00000436301.2|ENST00000423664.1	0.000431418654137261
chr1	26633131	26635631	UBXN11|ENST00000472155.1	0.000431418654137261
chr1	26633111	26635611	UBXN11|ENST00000374223.1	0.000431418654137261
chr1	26633123	26635623	UBXN11|ENST00000357089.4	0.000431418654137261
chr1	26633124	26635624	UBXN11|ENST00000494942.1	0.000431418654137261
chr1	26633136	26635636	UBXN11|ENST00000374221.3	0.000431418654137261
chr1	26633126	26635626	UBXN11|ENST00000535108.1	0.000431418654137261
chr1	26633100	26635600	UBXN11|ENST00000374215.1	0.000431418654137261
chr1	26633067	26635567	UBXN11|ENST00000421827.2	0.000431418654137261
chr1	26670576	26673076	AIM1L|ENST00000527815.1	0.022698613097207
chr1	26670443	26672943	AIM1L|ENST00000308182.5	0.022698613097207
chr1	26699226	26701726	ZNF683|ENST00000403843.1|ENST00000349618.3	0.00343612712039223
chr1	26699266	26701766	ZNF683|ENST00000436292.1|ENST00000374204.1	0.00343612712039223
chr1	26697236	26699736	ZNF683|ENST00000451801.1	0.00343612712039223
chr1	26697241	26699741	ZNF683|ENST00000454975.1	0.00343612712039223
chr1	26699235	26701735	ZNF683|ENST00000453132.1	0.00343612712039223
chr1	26699191	26701691	ZNF683|ENST00000423508.1	0.00343612712039223
chr1	27666013	27668513	SYTL1|ENST00000318074.5	0.0123135255355053
chr1	27666048	27668548	SYTL1|ENST00000483926.1	0.0123135255355053
chr1	28877097	28879597	TRNAU1AP|ENST00000373830.3	0.0142703445720136
chr1	28877099	28879599	TRNAU1AP|ENST00000495995.1	0.0142703445720136
chr1	28877109	28879609	TRNAU1AP|ENST00000411406.3	0.0142703445720136
chr1	28877111	28879611	TRNAU1AP|ENST00000480930.1	0.0142703445720136
chr1	28877118	28879618	TRNAU1AP|ENST00000491577.1	0.0142703445720136
chr1	28877119	28879619	TRNAU1AP|ENST00000464880.1	0.0142703445720136
chr1	28877245	28879745	TRNAU1AP|ENST00000497790.1	0.0142703445720136
chr1	28877259	28879759	TRNAU1AP|ENST00000495215.1	0.0142703445720136
chr1	28877684	28880184	TRNAU1AP|ENST00000464093.1	0.0142703445720136
chr1	32127361	32129861	COL16A1|ENST00000466829.1	0.020051067905547
chr1	32790290	32792790	HDAC1|ENST00000490081.1	0.020051067905547
chr1	32790375	32792875	HDAC1|ENST00000482310.1	0.020051067905547
chr1	33310416	33312916	S100PBP|ENST00000524535.1	0.0191065694079924
chr1	35656175	35658675	SFPQ|ENST00000470472.1	0.0451789708180002
chr1	36863488	36865988	LSM10|ENST00000476041.1	0.0221630090790811
chr1	36863493	36865993	LSM10|ENST00000315732.2	0.0221630090790811
chr1	36863479	36865979	LSM10|ENST00000489912.1	0.0221630090790811
chr1	40503405	40505905	CAP1|ENST00000372797.3	0.0240946954008705
chr1	40503412	40505912	CAP1|ENST00000372802.1	0.0240946954008705
chr1	40503495	40505995	CAP1|ENST00000449311.1	0.0240946954008705
chr1	40503755	40506255	CAP1|ENST00000421589.1	0.0240946954008705
chr1	40503892	40506392	CAP1|ENST00000414893.1	0.0240946954008705
chr1	40503904	40506404	CAP1|ENST00000414281.1	0.0240946954008705
chr1	40503905	40506405	CAP1|ENST00000420216.1	0.0240946954008705
chr1	40503921	40506421	CAP1|ENST00000372792.2	0.0240946954008705
chr1	40503924	40506424	CAP1|ENST00000372798.1	0.0240946954008705
chr1	40503925	40506425	CAP1|ENST00000340450.3	0.0240946954008705
chr1	40503933	40506433	CAP1|ENST00000372805.3	0.0240946954008705
chr1	40503937	40506437	CAP1|ENST00000435719.1	0.0240946954008705
chr1	40503939	40506439	CAP1|ENST00000427843.1	0.0240946954008705
chr1	40503952	40506452	CAP1|ENST00000417287.1|ENST00000424977.1	0.0240946954008705
chr1	40504054	40506554	CAP1|ENST00000446031.1	0.0240946954008705
chr1	40837820	40840320	SMAP2|ENST00000372708.1	0.0240946954008705
chr1	41328018	41330518	CITED4|ENST00000372638.2	0.0174263025412764
chr1	41442927	41445427	CTPS1|ENST00000541520.1	0.0023911118223561
chr1	41443280	41445780	CTPS1|ENST00000470271.1	0.0023911118223561
chr1	41443757	41446257	CTPS1|ENST00000475060.1	0.000271835429829814
chr1	41707782	41710282	SCMH1|ENST00000337495.5	0.0174263025412764
chr1	41707788	41710288	SCMH1|ENST00000372597.1|ENST00000372596.1	0.0174263025412764
chr1	41707826	41710326	SCMH1|ENST00000488592.1	0.0174263025412764
