chr	start	stops	name	p-value
chr10	101085087	101085385	TFP.FOXA1	0.0490304162622733
chr10	101099430	101099704	TFP.MAFK	0.0451735450418468
chr10	101132087	101132745	TFP.CEBPB	0.00579691349308475
chr10	101132101	101132892	TFP.CEBPB	0.00825076680003139
chr10	101132110	101132956	TFP.CEBPB	0.00937897731110409
chr10	101421116	101421738	TFP.JUN	0.00520134631872419
chr10	101421141	101421590	TFP.CEBPB	0.00276467669397947
chr10	101421160	101421657	TFP.JUND	0.00336876897884667
chr10	101421182	101421618	TFP.STAT3	0.00261079719123898
chr10	101537787	101538029	TFP.CTCF	0.0400063598571381
chr10	101559441	101559739	TFP.CTCF	0.0490304162622733
chr10	101559472	101559707	TFP.RAD21	0.0388722629754924
chr10	101586734	101586949	TFP.CTCF	0.000651212310786636
chr10	101665853	101666696	TFP.MYC	0.00931576591158322
chr10	101665855	101666662	TFP.JUND	0.00857225277340406
chr10	101665919	101666674	TFP.CTCF	0.00754781547099193
chr10	101666318	101666603	TFP.CTCF	0.0469432430475579
chr10	101670571	101670843	TFP.MAFK	0.0448514238919403
chr10	101805452	101806240	TFP.CTCF	0.00819110654466306
chr10	101805456	101806208	TFP.RAD21	0.0074905194419743
chr10	101805465	101806186	TFP.RAD21	0.00691012148619375
chr10	101805547	101806205	TFP.CTCF	0.00579691349308475
chr10	101805574	101806274	TFP.ZNF263	0.00652911266980658
chr10	101805579	101806153	TFP.RAD21	0.0044539677858858
chr10	101805581	101806192	TFP.CTCF	0.00502532981670659
chr10	101805629	101806190	TFP.CTCF	0.00426084918772252
chr10	101805635	101806240	TFP.CTCF	0.00493050479203292
chr10	101805644	101806220	TFP.CTCF	0.00448403200704061
chr10	101805647	101806174	TFP.SMC3	0.00377472121959067
chr10	101805652	101806192	TFP.CTCF	0.00395734264346249
chr10	101805652	101806241	TFP.CTCF	0.00468174045452549
chr10	101805659	101806403	TFP.CTCF	0.00733870085188939
chr10	101805665	101806332	TFP.CTCF	0.00595044402768922
chr10	101805674	101806158	TFP.CTCF	0.00319961077976724
chr10	101805677	101806189	TFP.CTCF	0.00356903561233425
chr10	101805709	101806218	TFP.CTCF	0.00352854782253355
chr10	101805710	101806215	TFP.CTCF	0.00347490169132878
chr10	101805712	101806266	TFP.CTCF	0.0041585171259442
chr10	101805713	101806188	TFP.SMC3	0.00308490878669309
chr10	101805716	101806171	TFP.RAD21	0.00283710367992236
chr10	101805716	101806204	TFP.RAD21	0.00325122241106713
chr10	101805719	101806238	TFP.CTCF	0.00366434966372212
chr10	101805727	101806227	TFP.CTCF	0.00340838736898604
chr10	101805731	101806229	TFP.CTCF	0.00338195090480503
chr10	101805734	101806167	TFP.CTCF	0.00257587996934101
chr10	101805735	101806215	TFP.CTCF	0.00314838843182709
chr10	101805736	101806189	TFP.RAD21	0.00281286290902102
chr10	101805741	101806233	TFP.CTCF	0.00330322276181144
chr10	101805748	101806211	TFP.CTCF	0.00293504952762664
chr10	101805752	101806206	TFP.CTCF	0.00282497099659817
chr10	101805753	101806167	TFP.RAD21	0.00235992716374671
chr10	101805754	101806192	TFP.RAD21	0.00263419913453854
chr10	101805756	101806249	TFP.CTCF	0.0033162835208843
chr10	101805757	101806180	TFP.CTCF	0.00246110147432379
chr10	101805759	101806189	TFP.CTCF	0.00254118579351749
