name	ct	len	pval	p.adj	den
TERT	5	556	2.63963295665803e-11	1.9559680208836e-08	0.00899280575539568
RP11-511I2.2	2	207	1.03156838460183e-06	0.000763360604605356	0.00966183574879227
RP11-60A8.1	2	295	2.34932293952106e-06	0.00173614965230606	0.00677966101694915
RAB3B	2	466	5.79305980019651e-06	0.00427527813254502	0.00429184549356223
RNU6-2	2	580	1.43976702514648e-05	0.0106110829753295	0.00344827586206897
TMEM259	2	637	1.70035532952584e-05	0.0125146152253102	0.00313971742543171
ASS1P11	1	35	1.84148470677714e-05	0.013534912594812	0.0285714285714286
RP1-202O8.2	1	78	1.86369780711404e-05	0.0136795419042171	0.0128205128205128
RNA5SP51	2	113	1.87975186399259e-05	0.0137785811630657	0.0176991150442478
KB-1615E4.2	1	99	2.01294454508227e-05	0.0147347540700022	0.0101010101010101
SAMD7	1	101	2.82661919059901e-05	0.0206625862832788	0.0099009900990099
RP11-797A18.6	1	172	3.21226544076625e-05	0.0234495377175936	0.00581395348837209
ALDH3B1	2	1071	3.22646026029716e-05	0.0235208952975663	0.00186741363211951
CNOT6	2	842	3.45150764231583e-05	0.0251269756360593	0.00237529691211401
RP11-510N19.2	1	173	3.975116188637e-05	0.028899094691391	0.00578034682080925
RP5-1011O1.3	1	64	4.13272118524599e-05	0.0300035558048859	0.015625
RP11-404O18.1	1	62	4.2574827806785e-05	0.0308667501599191	0.0161290322580645
FCF1P7	1	178	4.79187660997749e-05	0.034693186656237	0.00561797752808989
RP11-98L5.4	1	181	4.79295470261487e-05	0.034693186656237	0.00552486187845304
RN7SL114P	1	114	4.8013242532563e-05	0.034693186656237	0.0087719298245614
MC2R	1	148	5.04129312943746e-05	0.0363477234632441	0.00675675675675676
AC005329.7	1	206	5.25623743351522e-05	0.0378449095213096	0.00485436893203883
IGF1	1	112	5.48466044258955e-05	0.0394347085822189	0.00892857142857143
OR7E43P	1	87	5.59520791025836e-05	0.040173592795655	0.0114942528735632
RP11-232C2.1	1	109	5.78311714151125e-05	0.0414649499046357	0.00917431192660551
CTD-2325P2.3	1	199	5.83232028689151e-05	0.0417594132541432	0.0050251256281407
SPECC1	2	788	6.2295813494484e-05	0.0445415066485561	0.00253807106598985
AC144836.1	1	168	6.28606789332409e-05	0.044882524758334	0.00595238095238095
RNU6-1286P	1	66	6.63348670825181e-05	0.0472967602298354	0.0151515151515152
METTL11B	1	152	6.80691711691939e-05	0.048465249872466	0.00657894736842105
RP11-711K1.7	1	128	7.05234484136286e-05	0.0501421718220899	0.0078125
PFDN1	1	196	8.07977237989865e-05	0.0573663838972804	0.00510204081632653
GOLGA8UP	1	132	8.10725862908646e-05	0.057480463680223	0.00757575757575758
OR10J8P	1	110	8.61809204989461e-05	0.0610160917132538	0.00909090909090909
SNORD28	1	197	8.6855403701569e-05	0.0614067704170093	0.0050761421319797
HNRNPUP1	1	55	8.84030786725276e-05	0.0624125735428045	0.0181818181818182
AC018890.4	1	201	9.70570514945424e-05	0.0684252213036524	0.00497512437810945
ADIRF	1	226	0.000100287263644527	0.0706022336057472	0.00442477876106195
AFAP1-AS1	1	162	0.000101085893167374	0.071063382896664	0.00617283950617284
STRA6	2	1940	0.000103132592381927	0.0723990798521128	0.00103092783505155
CCDC50	2	587	0.000110435908380224	0.0774155717745372	0.00340715502555366
RP11-64C12.8	1	150	0.00011047502787187	0.0774155717745372	0.00666666666666667
AMER2	2	718	0.000110865436473206	0.0774949400947713	0.00278551532033426
SAMD9	1	299	0.000113176165312479	0.07899696338811	0.00334448160535117
IL1R1	2	1034	0.000114762829661053	0.0799896922737536	0.00193423597678917
KIRREL3-AS1	1	291	0.000118284175052552	0.0823257858365762	0.00343642611683849
SLC38A8	1	151	0.000121295795896814	0.0843005781482858	0.00662251655629139
RNA5SP432	1	151	0.000121295795896814	0.0843005781482858	0.00662251655629139
CTD-2089N3.3	2	555	0.000124718756462916	0.0864300982288008	0.0036036036036036
STAC2	1	204	0.000126735381258403	0.0877008838308146	0.00490196078431373
RTN3P1	1	87	0.000128638858794883	0.088889451427264	0.0114942528735632
RP11-966I7.2	2	471	0.000139580145474549	0.096310300377439	0.00424628450106157
RP11-83B20.1	1	432	0.000143007777590687	0.0985323587599832	0.00231481481481481
SYT13	1	187	0.000144757230911008	0.0995929748667734	0.0053475935828877
MFSD2B	1	199	0.000147055527325635	0.101027147272711	0.0050251256281407
AP003354.1	1	237	0.000155596818454562	0.10673941745983	0.00421940928270042
ATAD3C	1	284	0.000158218020260947	0.108379343878749	0.00352112676056338
C14orf23	2	504	0.000158672585605424	0.10853204855411	0.00396825396825397
FREM1	1	222	0.000159694866011639	0.10907159348595	0.0045045045045045
MAG	1	151	0.000160246625261595	0.109288198428408	0.00662251655629139
RP11-173E2.1	1	131	0.000161924123000423	0.110270327763288	0.00763358778625954
CTSS	1	490	0.000171049345309093	0.116313554810183	0.00204081632653061
PAEP	1	309	0.000172279699073519	0.116977915670919	0.00323624595469256
DUOXA2	1	226	0.000176735113823767	0.119826407172514	0.00442477876106195
TROVE2	2	658	0.000182743628971638	0.123717436813799	0.00303951367781155
UCHL5	2	619	0.000184285631111392	0.124577086631301	0.00323101777059774
ALDOC	1	184	0.00018638943580529	0.125812869168571	0.00543478260869565
SNORA40	1	266	0.000189561736461452	0.127764610375019	0.0037593984962406
RP11-401P9.5	1	172	0.0001937780665211	0.1304126387687	0.00581395348837209
SNAP47	2	983	0.000196535472652082	0.132071837622199	0.00203458799593082
MTERFD2	1	217	0.000199721224749094	0.134012941806642	0.00460829493087558
RP11-456H18.2	1	132	0.000205813278739586	0.137894896755523	0.00757575757575758
BATF2	1	351	0.000208597089293883	0.139551452737607	0.00284900284900285
TLE2	1	305	0.000216369219301793	0.144534638493598	0.00327868852459016
RNY1	1	336	0.000217458589574893	0.145044879246453	0.00297619047619048
RP11-344E13.3	1	397	0.000220761821064452	0.147027372828925	0.00251889168765743
LHX1	2	1153	0.000220861804256622	0.147027372828925	0.00173460537727667
LUZPP1	1	162	0.000224123266896914	0.148817849219551	0.00617283950617284
OSM	1	256	0.00022596948260134	0.149817766964689	0.00390625
ELTD1	1	120	0.000230860879095074	0.152829901960939	0.00833333333333333
RNU5A-8P	1	384	0.000249893893596531	0.165179863667307	0.00260416666666667
LAD1	1	491	0.000254664185117104	0.168078362177289	0.00203665987780041
RP11-241G9.3	1	393	0.00025810712258223	0.170092593781689	0.00254452926208651
CTB-131B5.5	1	332	0.00026673034205793	0.175508565074118	0.00301204819277108
UTS2B	2	888	0.000268733148103495	0.176557678303996	0.00225225225225225
C1orf173	1	139	0.00028202430525881	0.185007944249779	0.00719424460431655
NDST4	1	176	0.000292880454860645	0.191836697933722	0.00568181818181818
DEFB133	1	170	0.000313034781234678	0.204724746927479	0.00588235294117647
EXOC3L1	1	427	0.000313368886901144	0.204724746927479	0.00234192037470726
NUP85	1	304	0.000319908735965657	0.208580495849608	0.00328947368421053
MED6	1	396	0.000325761546759673	0.212070766940547	0.00252525252525253
NTF6B	1	324	0.000338543107998635	0.220053020199112	0.00308641975308642
CCDC144NL	1	277	0.000341331734659889	0.221524295794268	0.0036101083032491
CCBE1	2	882	0.000343869598058877	0.222827499542152	0.00226757369614512
AC087269.1	1	296	0.000349274381697851	0.225980524958509	0.00337837837837838
CLDN23	1	296	0.000349274381697851	0.225980524958509	0.00337837837837838
LNPEP	2	1089	0.000353600491665884	0.228072317124495	0.00183654729109275
RNA5SP40	1	352	0.000380065594207668	0.244762242669738	0.00284090909090909
TNFSF12	1	440	0.000394534808328406	0.253685881755165	0.00227272727272727
TNFSF12-TNFSF13	1	440	0.000394534808328406	0.253685881755165	0.00227272727272727
POM121L12	1	121	0.000396193545239454	0.25396006249849	0.00826446280991736
SHCBP1L	1	226	0.000401575787631003	0.257008504083842	0.00442477876106195
RP5-874C20.3	1	315	0.000405667431046419	0.259221488438662	0.00317460317460317
GPR35	1	398	0.000408119639319859	0.26038032988607	0.00251256281407035
KLK2	1	219	0.000423607847778507	0.269838199034909	0.0045662100456621
DDX53	1	205	0.000425602901013789	0.270683445044769	0.0048780487804878
RPS15	1	300	0.000426681068777635	0.270942478673798	0.00333333333333333
PSG6	1	219	0.000434760139923163	0.275637928711285	0.0045662100456621
