chr	start	stops	name	p-value
chr10	127574467	127581831	Ultra-Sensitive	0.000449087418424
chr10	127574470	127581814	Ultra-Sensitive	0.000438004716559558
chr10	127589512	127590467	Ultra-Sensitive	0.000229902238312062
chr10	127589562	127590375	Ultra-Sensitive	9.83560243834996e-05
chr10	127589573	127590388	Ultra-Sensitive	9.96600167557802e-05
chr10	127590829	127592238	Ultra-Sensitive	0.00888472532976648
chr10	127590874	127592232	Ultra-Sensitive	0.00766666423552429
chr10	127590879	127592372	Ultra-Sensitive	0.00129873115679233
chr10	127592662	127593451	Ultra-Sensitive	5.87556612432382e-11
chr10	127593784	127594775	Ultra-Sensitive	0.0490181630644216
chr10	127595423	127596583	Ultra-Sensitive	0.00147819119684642
chr10	127595486	127596425	Ultra-Sensitive	0.000627812660311089
chr10	127595893	127596533	Ultra-Sensitive	0.000124401585981705
chr10	127597358	127599296	Ultra-Sensitive	2.93485783808047e-06
chr10	127597450	127599300	Ultra-Sensitive	9.72152462755866e-05
chr10	127598176	127599289	Ultra-Sensitive	3.93720701880619e-05
chr10	127601579	127604618	Ultra-Sensitive	1.01027386652285e-06
chr10	127601881	127603431	Ultra-Sensitive	0.0142792587906382
chr10	127603648	127604692	Ultra-Sensitive	0.000784574999884138
chr10	127613121	127616024	Ultra-Sensitive	1.0144377141987e-06
chr10	127613302	127616170	Ultra-Sensitive	5.59809953163459e-07
chr10	42832076	42832803	Ultra-Sensitive	0.0267477943452856
chr1	143534258	143535518	Ultra-Sensitive	0.042945775886746
chr1	143534262	143535561	Ultra-Sensitive	0.0472244951759531
chr1	143539113	143539631	Ultra-Sensitive	0.0109138451007701
chr1	148549781	148551098	Ultra-Sensitive	0.000100490382136916
chr11	59327731	59328090	Ultra-Sensitive	0.0126673061206003
chr11	62608723	62609295	Ultra-Sensitive	4.42475714811897e-15
chr11	62608765	62609333	Ultra-Sensitive	1.27491924177668e-19
chr11	62608794	62609397	Ultra-Sensitive	1.33189310065554e-17
chr11	62608900	62609311	Ultra-Sensitive	6.63659041612261e-15
chr11	65194080	65195060	Ultra-Sensitive	0.0286948705482841
chr1	16892104	16893877	Ultra-Sensitive	0.0404382243314027
chr12	56583959	56584297	Ultra-Sensitive	2.74651809149872e-06
chr12	98897817	98898201	Ultra-Sensitive	0.0476452530467899
chr13	28033557	28034148	Ultra-Sensitive	0.0491982962455699
chr14	106322617	106326857	Ultra-Sensitive	0.0138742369903774
chr17	45212730	45214517	Ultra-Sensitive	0.0083969476584804
chr17	45212732	45214517	Ultra-Sensitive	0.00835604073016256
chr17	45212753	45214517	Ultra-Sensitive	0.00793475321235717
chr17	45212758	45214517	Ultra-Sensitive	0.00783664718118088
chr17	45212760	45214517	Ultra-Sensitive	0.00779764001357463
chr17	56736172	56736756	Ultra-Sensitive	0.0127966707059952
chr17	56736233	56736730	Ultra-Sensitive	0.00670871431707023
chr18	15409264	15409846	Ultra-Sensitive	5.80930852705776e-16
chr19	12904018	12905977	Ultra-Sensitive	0.000782774391356634
chr19	39902722	39903113	Ultra-Sensitive	0.0201556938401383
chr19	39902742	39903107	Ultra-Sensitive	0.0159845522891388
chr19	893202	893659	Ultra-Sensitive	4.60435842498845e-05
chr19	893247	893659	Ultra-Sensitive	2.37368465398695e-05
chr2	133015021	133015492	Ultra-Sensitive	2.67156413132498e-09
chr22	22492271	22492754	Ultra-Sensitive	0.00497625872602562
chr2	62957742	62958107	Ultra-Sensitive	0.000130517219365472
chr3	169489806	169490198	Ultra-Sensitive	0.0151236058214261
chr6	26286520	26286916	Ultra-Sensitive	0.0240269087710938
chr6	26286545	26286917	Ultra-Sensitive	0.0194940173360006
chr6	27721077	27721458	Ultra-Sensitive	0.0279222814421586
chr6	27870185	27870949	Ultra-Sensitive	0.0342998437765646
chr6	27870194	27870974	Ultra-Sensitive	0.0368595366538918
chr6	28831351	28831741	Ultra-Sensitive	0.00761341117162974
chr6	28831394	28831741	Ultra-Sensitive	0.00466124977553668
chr6	28848951	28849312	Ultra-Sensitive	0.0197263599830399
chr6	28949418	28950119	Ultra-Sensitive	0.0222003211766575
chr8	128230523	128234003	Ultra-Sensitive	0.00233029546524052
chr8	128230592	128233934	Ultra-Sensitive	0.00151670581724915
chr8	128230631	128235087	Ultra-Sensitive	0.00967723035702003
chr8	96281799	96282183	Ultra-Sensitive	0.00134874662533342
chr8	96281816	96282187	Ultra-Sensitive	0.000402099304915461
chr9	137029497	137029946	Ultra-Sensitive	0.015521093512896
chr9	137029516	137029957	Ultra-Sensitive	0.0147203853763099
chr9	35657624	35658292	Ultra-Sensitive	1.13633372347047e-09
chr9	35657837	35658246	Ultra-Sensitive	9.80004614632178e-11
chrX	18692933	18693307	Ultra-Sensitive	0.00277703334165938
