chr	start	stops	name	p-value
chr1	1191715	1194215	UBE2J2|ENST00000467339.1	0.00818160691641876
chr1	2935546	2938046	ACTRT2|ENST00000378404.2	0.00818160691641876
chr1	5937526	5940026	NPHP4|ENST00000506941.1	0.00518495143482494
chr1	6103481	6105981	KCNAB2|ENST00000378083.3	0.0462228989909174
chr1	6103674	6106174	KCNAB2|ENST00000458166.2	0.0462228989909174
chr1	6580069	6582569	PLEKHG5|ENST00000377748.1|ENST00000377737.2	0.0462228989909174
chr1	6580121	6582621	PLEKHG5|ENST00000377740.3	0.0462228989909174
chr1	6637561	6640061	ZBTB48|ENST00000319084.5	0.000447327609035917
chr1	6637577	6640077	ZBTB48|ENST00000435905.1	0.000447327609035917
chr1	6637608	6640108	ZBTB48|ENST00000377674.4	0.000447327609035917
chr1	6637648	6640148	ZBTB48|ENST00000488936.1	0.000447327609035917
chr1	8877524	8880024	RERE|ENST00000337907.3	0.0176472336061136
chr1	9646432	9648932	TMEM201|ENST00000377376.4	0.00115085814140295
chr1	9646480	9648980	TMEM201|ENST00000340305.5|ENST00000340381.6	0.0103876155340279
chr1	9745734	9748234	PIK3CD|ENST00000484851.1	0.00010417330970826
chr1	11837374	11839874	C1orf167|ENST00000449278.1	0.0137286796061857
chr1	12946025	12948525	PRAMEF4|ENST00000235349.5	0.0133607860496596
chr1	16197497	16199997	SPEN|ENST00000471538.1|ENST00000438066.1	0.0108302670402493
chr1	20352423	20354923	PLA2G5|ENST00000465698.1	0.0152059163937
chr1	20352427	20354927	PLA2G5|ENST00000460175.1	0.0152059163937
chr1	20352519	20355019	PLA2G5|ENST00000469069.1|ENST00000489871.1	0.0152059163937
chr1	20352564	20355064	PLA2G5|ENST00000498348.1	0.0152059163937
chr1	21620917	21623417	ECE1|ENST00000527991.1	0.00901458622321684
chr1	21894296	21896796	ALPL|ENST00000374830.1	0.00901458622321684
chr1	22201199	22203699	HSPG2|ENST00000427897.1	0.0112809735363321
chr1	22201701	22204201	HSPG2|ENST00000498495.1	0.0112809735363321
chr1	24285549	24288049	CNR2|ENST00000536471.1	0.0150856448333822
chr1	24304427	24306927	SRSF10|ENST00000338597.5	0.0150856448333822
chr1	24304742	24307242	SRSF10|ENST00000497214.1	0.0150856448333822
chr1	25878872	25881372	LDLRAP1|ENST00000462394.1	0.000231928947303268
chr1	28535320	28537820	DNAJC8|ENST00000470967.1	0.00184518725454004
chr1	31192098	31194598	MATN1|ENST00000477320.1	0.00200693893910408
chr1	32042854	32045354	TINAGL1|ENST00000498429.1	0.000158492174325159
chr1	32169920	32172420	COL16A1|ENST00000373672.3|ENST00000373668.3	0.013232543424788
chr1	32169768	32172268	COL16A1|ENST00000271069.6	0.013232543424788
chr1	32169661	32172161	COL16A1|ENST00000532877.1	0.013232543424788
chr1	33116166	33118666	ZBTB8OS|ENST00000341885.5	0.0121834159345277
chr1	33116185	33118685	ZBTB8OS|ENST00000468695.1	0.0121834159345277
chr1	33116150	33118650	ZBTB8OS|ENST00000492007.1	0.0121834159345277
chr1	33116155	33118655	ZBTB8OS|ENST00000373506.3	0.0121834159345277
chr1	33116126	33118626	ZBTB8OS|ENST00000478041.1|ENST00000465588.1	0.0121834159345277
chr1	33116136	33118636	ZBTB8OS|ENST00000473294.2|ENST00000483138.1|ENST00000466361.1	0.0121834159345277
chr1	33116161	33118661	ZBTB8OS|ENST00000436661.1|ENST00000373501.2	0.0121834159345277
chr1	33116151	33118651	ZBTB8OS|ENST00000476493.1	0.0121834159345277
chr1	33116504	33119004	ZBTB8OS|ENST00000479075.1	0.0121834159345277
chr1	33363357	33365857	TMEM54|ENST00000463914.1	0.00143064785926589
chr1	36547439	36549939	TEKT2|ENST00000469024.1	0.0150880464257524
chr1	38048947	38051447	GNL2|ENST00000489146.1	0.010931932989545
chr1	39313746	39316246	RRAGC|ENST00000474456.1	0.0164798708223968
chr1	39930922	39933422	MACF1|ENST00000462103.1	0.0164798708223968
chr1	41198487	41200987	NFYC|ENST00000440226.3	0.0143210300600857
chr1	42501596	42504096	HIVEP3|ENST00000489103.1	0.00976192405552404
chr1	45308616	45311116	PTCH2|ENST00000447098.2	0.000228864405242049
chr1	45308735	45311235	PTCH2|ENST00000372192.3	0.000228864405242049
chr1	50489585	50492085	AGBL4|ENST00000371839.1|ENST00000371838.1	0.022723105877137
chr1	50489572	50492072	AGBL4|ENST00000371836.1	0.022723105877137
chr1	50317190	50319690	AGBL4|ENST00000497451.1	0.022723105877137
chr1	53164038	53166538	SELRC1|ENST00000371538.3	0.00236644438847258
chr1	53163740	53166240	SELRC1|ENST00000486918.1	0.00236644438847258
chr1	54872092	54874592	SSBP3|ENST00000371320.3	0.00829616639684189
chr1	55199862	55202362	TTC4|ENST00000486091.1	0.0134546419785441
chr1	60539408	60541908	C1orf87|ENST00000450089.2	0.0172750724661391
chr1	60539442	60541942	C1orf87|ENST00000371201.3	0.0172750724661391
chr1	62161913	62164413	TM2D1|ENST00000488410.1	0.0134590971551471
chr1	63786230	63788730	FOXD3|ENST00000371116.2	0.0184088284959269
chr1	64684047	64686547	UBE2U|ENST00000608956.1	0.0170440309321878
chr1	70223358	70225858	LRRC7|ENST00000035383.5	0.0275767378118476
chr1	70223370	70225870	LRRC7|ENST00000415775.2	0.0275767378118476
chr1	75213307	75215807	TYW3|ENST00000449696.3	0.0377204466412095
chr1	78003681	78006181	AK5|ENST00000466393.1	0.01605085646116
chr1	93911188	93913688	FNBP1L|ENST00000271234.7|ENST00000370256.4|ENST00000260506.8	0.0169927014873457
chr1	93911339	93913839	FNBP1L|ENST00000604705.1|ENST00000370253.2	0.0169927014873457
chr1	109731494	109733994	KIAA1324|ENST00000464345.1	0.0200325163599351
chr1	110284384	110286884	GSTM3|ENST00000540225.1	0.0178336910446968
chr1	111506701	111509201	LRIF1|ENST00000369763.4	4.50215188564629e-06
chr1	111506587	111509087	LRIF1|ENST00000485275.2	4.50215188564629e-06
chr1	113246275	113248775	RHOC|ENST00000473074.1	0.0170740548196107
chr1	114695062	114697562	SYT6|ENST00000607941.1	0.00628135562680885
chr1	114695539	114698039	SYT6|ENST00000609117.1	0.00628135562680885
chr1	114695579	114698079	SYT6|ENST00000608203.1	0.00628135562680885
chr1	114695602	114698102	SYT6|ENST00000609577.1	0.00628135562680885
chr1	114695544	114698044	SYT6|ENST00000608879.1	0.00628135562680885
chr1	116383747	116386247	NHLH2|ENST00000320238.3	3.13296131995091e-05
chr1	116383362	116385862	NHLH2|ENST00000429731.1	0.000320576375717903
chr1	117209053	117211553	IGSF3|ENST00000318837.6	0.0200810511631402
chr1	117638368	117640868	TTF2|ENST00000480701.1	0.00283583385299767
chr1	120190396	120192896	ZNF697|ENST00000421812.2	0.0288885723163275
chr1	144837850	144840350	PDE4DIP|ENST00000469668.2	0.013144065668598
chr1	144837429	144839929	PDE4DIP|ENST00000528060.1	0.013144065668598
chr1	144995022	144997522	PDE4DIP|ENST00000369356.4	0.013144065668598
chr1	144995082	144997582	PDE4DIP|ENST00000534536.1|ENST00000464103.1	0.013144065668598
chr1	144995049	144997549	PDE4DIP|ENST00000528129.1	0.013144065668598
chr1	145724418	145726918	PDZK1|ENST00000443667.1	0.013144065668598
chr1	149899483	149901983	SF3B4|ENST00000457312.1	0.0275851115093354
chr1	150129100	150131600	PLEKHO1|ENST00000502767.1	0.0043892426259468
chr1	150291425	150293925	PRPF3|ENST00000324862.6	0.0275851115093354
chr1	150291428	150293928	PRPF3|ENST00000496202.1	0.0275851115093354
chr1	150299721	150302221	PRPF3|ENST00000467514.1	0.0043892426259468
chr1	150897818	150900318	SETDB1|ENST00000481219.1	0.0275851115093354
chr1	151489346	151491846	CGN|ENST00000416743.1	0.02466397201035
chr1	151682801	151685301	CELF3|ENST00000470688.1	0.02466397201035
chr1	151682013	151684513	CELF3|ENST00000419910.2	0.02466397201035
chr1	151823639	151826139	THEM5|ENST00000453881.2	0.02466397201035
chr1	152480820	152483320	LCE5A|ENST00000334269.2	0.012529820730671
chr1	153002322	153004822	SPRR1B|ENST00000392661.3	0.0423084580227337
chr1	153386500	153389000	S100A7A|ENST00000368729.4	0.0423084580227337
chr1	153387199	153389699	S100A7A|ENST00000368728.2	0.00793105441626678
chr1	153387920	153390420	S100A7A|ENST00000329256.2	0.0423084580227337
chr1	153522612	153525112	S100A4|ENST00000368714.1	0.0423084580227337
chr1	153540366	153542866	S100A2|ENST00000368710.1	0.0423084580227337
