chr	start	stops	name	p-value
chr10	101911564	101911890	UTR:ERLIN1	0.0105749726478564
chr10	105062552	105063664	UTR:PCGF6	0.0346556539523333
chr10	114925313	114926083	UTR:TCF7L2	0.0291612772739706
chr10	118467570	118467757	UTR:HSPA12A	0.00713007009156976
chr10	118885817	118886097	UTR:KIAA1598	0.0106567910829417
chr10	135053807	135055433	UTR:VENTX	0.0487967457478795
chr10	135233666	135233999	UTR:MTG1	0.0101963743830223
chr10	135233666	135234174	UTR:MTG1	0.0155124308922012
chr10	15253641	15254916	UTR:FAM171A1	0.0469185396288919
chr10	26790103	26790867	UTR:APBB1IP	0.0432145675863512
chr10	27530987	27531017	UTR:ACBD5	0.00109434541921388
chr10	27530987	27531019	UTR:ACBD5	0.00116725851092238
chr10	27530987	27531059	UTR:ACBD5	0.00262438554474318
chr10	43881064	43882087	UTR:HNRNPF	0.0374287935297095
chr10	44872611	44873199	UTR:CXCL12	0.0229713308986386
chr10	50190553	50191000	UTR:WDFY4	0.014726849847211
chr10	50190617	50191000	UTR:WDFY4	0.0126318969796959
chr10	50190617	50191001	UTR:WDFY4	0.0126646653923595
chr10	50916660	50918012	UTR:C10orf53	0.0438720492740565
chr10	5498954	5499258	UTR:NET1	0.0129895242958918
chr10	61005889	61007376	UTR:FAM13C	0.0456076146413347
chr10	61005892	61007376	UTR:FAM13C	0.0455177617600901
chr10	61005893	61007376	UTR:FAM13C	0.0454878088900989
chr10	61005895	61007376	UTR:FAM13C	0.0454279002855665
chr10	61005938	61007376	UTR:FAM13C	0.0441389410119938
chr10	70136950	70138321	UTR:RUFY2	0.0369210063784359
chr10	70137931	70138321	UTR:RUFY2	0.0106466855761096
chr10	75391411	75391690	UTR:MYOZ1	0.00740986254556778
chr10	76602357	76602615	UTR:KAT6B	0.00652021791321929
chr10	76936009	76937536	UTR:SAMD8	0.0379675476270771
chr10	81850552	81851091	UTR:TMEM254	0.0129684628248159
chr10	81850670	81851088	UTR:TMEM254	0.0100721253916005
chr10	81850670	81852313	UTR:TMEM254	0.0390002236467434
chr10	88853689	88853827	UTR:GLUD1	0.004307244642383
chr10	88853735	88853844	UTR:GLUD1	0.00340366580400935
chr10	90639490	90640395	UTR:STAMBPL1	0.0426787974931476
chr1	10092889	10093728	UTR:UBE4B	0.0256517440846651
chr1	109358519	109358795	UTR:AKNAD1	0.00798488930219482
chr1	110169347	110169416	UTR:AMPD2	0.00169235207687984
chr11	102192567	102192631	UTR:BIRC3	0.00318569733916881
chr11	103907307	103907550	UTR:DDI1	0.0132546010269457
chr11	10673571	10673729	UTR:MRVI1	0.00550651987296705
chr11	10673571	10673732	UTR:MRVI1	0.00561077554462074
chr11	10673571	10673848	UTR:MRVI1	0.00963349207049431
chr11	10673571	10673923	UTR:MRVI1	0.0122255832225643
chr1	11082708	11084100	UTR:TARDBP	0.0327348307281921
chr11	111784321	111784573	UTR:CRYAB	0.00783055548406496
chr1	11129615	11129787	UTR:EXOSC10	0.00410500648175823
chr11	117772765	117772956	UTR:TMPRSS13	0.00644704244197726
chr11	118527530	118528735	UTR:PHLDB1	0.039513799003924
chr11	118527530	118528741	UTR:PHLDB1	0.0397065276625343
chr11	118894106	118894844	UTR:TRAPPC4	0.0243918961819864
chr11	119216981	119217084	UTR:C1QTNF5	0.00277873875868639
chr11	120355783	120359743	UTR:ARHGEF12	0.00746169634392661
chr11	120355783	120360645	UTR:ARHGEF12	0.0110302543768122
chr11	124616299	124617102	UTR:NRGN	0.0337428968766692
chr1	11255077	11256038	UTR:ANGPTL7	0.0227172896798461
chr1	114356432	114357529	UTR:PTPN22	0.0374651856986382
chr1	114356432	114357591	UTR:PTPN22	0.0395395628443946
chr1	114356436	114357529	UTR:PTPN22	0.03733119873662
chr1	115110177	115110753	UTR:BCAS2	0.0292845071594271
chr1	1168645	1170421	UTR:B3GALT6	0.0424931477825665
chr1	1189293	1190585	UTR:UBE2J2	0.0310979711712767
chr1	120057265	120057677	UTR:HSD3B1	0.0189889949312351
chr1	120057265	120057681	UTR:HSD3B1	0.0191715475595846
chr11	27062762	27063025	UTR:BBOX1	0.0107944433307835
chr11	27062859	27063025	UTR:BBOX1	0.00682706804172179
chr11	31824251	31825594	UTR:PAX6	0.0475203168656923
chr11	31833640	31834371	UTR:PAX6	0.0261567295996044
chr11	31834119	31834474	UTR:PAX6	0.0127906221590865
chr11	32452085	32452359	UTR:WT1	0.0111314471323788
chr11	32815894	32816156	UTR:CCDC73	0.0106465842004484
chr11	35827932	35829775	UTR:TRIM44	0.0492917053419005
chr11	36250944	36251817	UTR:LDLRAD3	0.0254506159873803
chr1	145416933	145417543	UTR:HFE2	0.0112844971805352
chr1	145416933	145417545	UTR:HFE2	0.0113212819888006
chr11	46624410	46625082	UTR:HARBI1	0.0187593488140571
chr11	47615699	47616211	UTR:C1QTNF4	0.0153124820477602
chr1	151090729	151091147	UTR:GABPB2	0.0123685917615785
chr1	151090729	151092396	UTR:GABPB2	0.0484084707952244
chr1	151137734	151138395	UTR:LYSMD1	0.0194874006031003
chr1	151376699	151377280	UTR:POGZ	0.0171495336220573
chr1	151376974	151377280	UTR:POGZ	0.00906984027870164
chr1	153954126	153954577	UTR:RAB13	0.0154071742833694
chr1	158326517	158326986	UTR:CD1E	0.0327972919799085
chr1	158326683	158326738	UTR:CD1E	0.00390392118539597
chr1	158326683	158327282	UTR:CD1E	0.0416933127141826
chr1	158326683	158327289	UTR:CD1E	0.0421699641812461
chr1	158326683	158327319	UTR:CD1E	0.0442100299185041
chr1	158326683	158327343	UTR:CD1E	0.0458389041519348
chr11	62368922	62369312	UTR:MTA2	0.0126896765182835
chr11	64757170	64757284	UTR:BATF2	0.00337351956873021
chr11	64947699	64948241	UTR:AP003068.23	0.0159361697999986
chr1	165630730	165631033	UTR:MGST3	0.0111313890583543
chr11	6640426	6640585	UTR:TPP1	0.00739594023894708
chr11	66452722	66453712	UTR:SPTBN2	0.0249875905725527
chr11	66795030	66795306	UTR:SYT12	0.00703093535988401
chr1	167097842	167098366	UTR:DUSP27	0.0148688443625675
chr1	167097842	167098402	UTR:DUSP27	0.0158820857571242
chr11	68553211	68553492	UTR:CPT1A	0.0079984123028225
chr1	168664696	168665789	UTR:DPT	0.0431745126831112
chr1	169346271	169346621	UTR:BLZF1	0.0127265453437237
chr11	70313960	70318976	UTR:SHANK2	0.014667853876204
chr1	174128547	174128795	UTR:RABGAP1L	0.00912447304318041
chr1	174128654	174128795	UTR:RABGAP1L	0.00519812282282876
chr11	75672487	75672593	UTR:UVRAG	0.00286605086677816
chr11	7569574	7569730	UTR:PPFIBP2	0.00725690978949266
chr1	177914466	177915457	UTR:SEC16B	0.0377704625805612
chr11	82996169	82997041	UTR:CCDC90B	0.0358037205118935
chr1	184041978	184043346	UTR:TSEN15	0.0483663026111781
chr1	184041994	184043340	UTR:TSEN15	0.0476075934850798
chr11	86662324	86663952	UTR:PRSS23	0.0469418351555055
chr11	89231164	89231355	UTR:NOX4	0.00555140817025693
chr1	190446577	190446759	UTR:FAM5C	0.0140880211683258
chr1	192335251	192336415	UTR:RGS21	0.00227732778336356
chr11	93400772	93400973	UTR:KIAA1731	0.00755807234370913
chr11	94230234	94232743	UTR:ANKRD49	0.00426453451031483
chr11	94231695	94232728	UTR:ANKRD49	0.0382070991859127
chr11	94231695	94232749	UTR:ANKRD49	0.0389682449428061
chr1	19444316	19445343	UTR:UBR4	0.0368431577994265
chr1	196762640	196763203	UTR:CFHR3	0.0341135551342702
chr1	197898386	197899273	UTR:LHX9	0.0319535672686309
chr1	197898386	197904608	UTR:LHX9	0.0225856613412733
chr1	200011716	200012093	UTR:NR5A2	0.0156522437415027
chr1	2004900	2005368	UTR:PRKCZ	6.60246595472417e-05
chr1	202549601	202557697	UTR:PPP1R12B	0.0245911423183286
chr1	202549685	202557697	UTR:PPP1R12B	0.0241235823417467
chr1	207268910	207269240	UTR:C4BPB	0.0132475594627027
chr1	207504452	207504641	UTR:CD55	0.00760919000087704
chr1	209955660	209956172	UTR:C1orf74	0.0218237765039963
chr12	103344366	103344624	UTR:PAH	0.0115459178639522
chr12	10541409	10541474	UTR:KLRK1	0.00413436813317423
chr12	10541409	10541575	UTR:KLRK1	0.01052411772029
chr12	108912135	108913307	UTR:FICD	0.041312891172976
chr12	109679474	109680244	UTR:ACACB	0.0172396994706927
chr12	110810704	110811951	UTR:ANAPC7	0.027767610655499
chr12	110811282	110811951	UTR:ANAPC7	0.0149957034299464
chr12	110811486	110811951	UTR:ANAPC7	0.0104473889111128
chr12	110906168	110906680	UTR:FAM216A	0.0114971727893772
chr12	110906219	110906680	UTR:FAM216A	0.0103579933254283
chr12	110906228	110906330	UTR:FAM216A	0.00230123799525399
chr12	111157484	111158883	UTR:PPP1CC	0.0379107480293651
chr12	111157712	111157941	UTR:PPP1CC	0.00630787630209951
chr12	111157787	111157941	UTR:PPP1CC	0.00424644148096895
chr12	117657879	117658074	UTR:NOS1	0.0053206688686467
chr12	117768874	117769294	UTR:NOS1	0.0114241808764682
chr12	121890985	121891147	UTR:KDM2B	0.00589084166336366
chr12	121954149	121954651	UTR:KDM2B	0.0181399721854217
chr12	125603186	125603311	UTR:AACS	0.00329156277110008
chr12	12618707	12619840	UTR:LOH12CR1	0.0406670805766811
chr1	212988495	212989959	UTR:TATDN3	0.0451586998804997
chr1	212988495	212989968	UTR:TATDN3	0.0454298116316834
chr12	13127797	13128244	UTR:HEBP1	0.018639383130642
chr1	213224588	213224851	UTR:RPS6KC1	0.00797284536545713
chr1	213224596	213224746	UTR:RPS6KC1	0.00455519218293704
chr1	213224603	213224851	UTR:RPS6KC1	0.00751986157572461
chr12	133252063	133253084	UTR:POLE	0.0476316375123328
chr12	133475585	133475799	UTR:CHFR	0.0101800651520542
chr12	15091442	15092016	UTR:ERP27	0.0228282752914725
chr12	1675158	1675916	UTR:FBXL14	0.0216985403857576
chr12	19556978	19557150	UTR:AEBP2	0.00677111128274543
chr12	21689122	21689890	UTR:GYS2	0.0434020565590605
chr12	26985714	26986131	UTR:ITPR2	0.0148201473654752
chr1	227963579	227964670	UTR:SNAP47	0.0351101948518663
chr1	227963579	227964671	UTR:SNAP47	0.0351417953662051
chr1	2286615	2286889	UTR:MORN1	0.00667872192858512
chr12	299242	300236	UTR:SLC6A12	0.0283561774819129
chr12	299251	300236	UTR:SLC6A12	0.0281031306263377
chr12	299301	300236	UTR:SLC6A12	0.0266960952053211
chr12	34175215	34175534	UTR:ALG10	0.0224077329808493
