chr	start	stops	name	p-value
chr10	102283693	102283848	UTR:NDUFB8	0.021630201418231
chr10	102295615	102295715	UTR:HIF1AN	0.0140103263489634
chr10	102732468	102732669	UTR:SEMA4G	0.027956886538753
chr10	102789976	102790141	UTR:PDZD7	0.0230091439758176
chr10	105353783	105361575	UTR:SH3PXD2A	0.0377571288165554
chr10	105353785	105361575	UTR:SH3PXD2A	0.0377333535396271
chr10	106013951	106014257	UTR:GSTO1	0.0492445004132261
chr10	11371013	11374591	UTR:CELF2	0.0183198110892406
chr10	11371013	11376357	UTR:CELF2	0.0498160573186856
chr10	11372418	11374591	UTR:CELF2	0.0438406806731913
chr10	121140326	121140439	UTR:GRK5	0.0153923089147133
chr10	121347663	121347760	UTR:TIAL1	0.0132276909313076
chr10	121347675	121347760	UTR:TIAL1	0.0116010311910026
chr10	124457224	124457251	UTR:C10orf120	0.0034834270240016
chr10	124457224	124457376	UTR:C10orf120	0.0194492685520232
chr10	124596919	124597070	UTR:CUZD1	0.0193225863002219
chr10	124713694	124713919	UTR:C10orf88	0.028651975372943
chr10	124813278	124817827	UTR:ACADSB	0.0228750539407249
chr10	126676420	126678089	UTR:CTBP2	0.0246450241118629
chr10	128202416	128202508	UTR:C10orf90	0.0123935158666193
chr10	129537226	129539450	UTR:FOXI2	0.0354785835890855
chr10	129894922	129897456	UTR:MKI67	0.0050049056170014
chr10	13141581	13141958	UTR:OPTN	0.0489045956064134
chr10	133769464	133773331	UTR:PPP2R2D	0.00416881408116244
chr10	14013799	14014369	UTR:FRMD4A	0.0498333972296406
chr10	14867556	14867619	UTR:CDNF	0.00563696290713324
chr10	14944508	14946314	UTR:SUV39H2	0.000668128364346559
chr10	17202303	17202373	UTR:TRDMT1	0.0119827968064153
chr10	18240767	18240954	UTR:SLC39A12	0.0407478503494202
chr10	18240820	18240954	UTR:SLC39A12	0.0293746376795424
chr10	23003255	23003484	UTR:PIP4K2A	0.0342153124887276
chr10	24508554	24508724	UTR:KIAA1217	0.0188465571312519
chr10	26589887	26593487	UTR:GAD2	0.00743811306892592
chr10	31650355	31651730	UTR:AL117340.1	0.0215921888201044
chr10	38734344	38734535	UTR:AL133216.1	2.20148821410781e-05
chr10	38736591	38736649	UTR:AL133216.1	0.000118784088348283
chr10	43971143	43971258	UTR:ZNF487P	0.0222875464146585
chr10	45486395	45486517	UTR:RASSF4	0.0196678217376789
chr10	48001602	48001786	UTR:ASAH2C	4.81561392654544e-06
chr10	50151374	50151494	UTR:WDFY4	0.0195154360585606
chr10	50154904	50155014	UTR:WDFY4	0.0179041436335012
chr10	50918052	50918307	UTR:C10orf53	0.0410049303919234
chr10	52514497	52515125	UTR:ASAH2B	0.00323659102277747
chr10	52514497	52516948	UTR:ASAH2B	0.0419147212130145
chr10	5454513	5454655	UTR:NET1	0.000174627779408263
chr10	6130949	6131156	UTR:RBM17	0.0310842179173978
chr10	62703728	62704005	UTR:RHOBTB1	0.0266221127883178
chr10	63808969	63809238	UTR:ARID5B	0.0272553005791543
chr10	64430058	64430134	UTR:ZNF365	0.0123731812786286
chr10	72972683	72972742	UTR:UNC5B	0.00875071297985389
chr10	74927923	74928097	UTR:FAM149B1	0.0211066618915797
chr10	75302560	75302643	UTR:USP54	0.0116669096790624
chr10	75434032	75434359	UTR:AGAP5	0.0451645287749833
chr10	75434044	75434359	UTR:AGAP5	0.043544597693185
chr10	75528567	75528642	UTR:SEC24C	0.0105484813429526
chr10	75676276	75676399	UTR:C10orf55	0.0172396715553765
chr10	75676276	75676400	UTR:C10orf55	0.0173785777622351
chr10	75676320	75677254	UTR:PLAU	0.00814697830961023
chr10	75676320	75677255	UTR:PLAU	0.0081636382110198
chr10	75898563	75898689	UTR:AP3M1	0.0176563298884484
chr10	82126704	82127829	UTR:DYDC2	0.0172427920063312
chr10	84618889	84618980	UTR:NRG3	0.0147475804549338
chr10	85961657	85961676	UTR:CDHR1	0.003200650146893
chr10	93788687	93788887	UTR:BTAF1	0.0234023320406596
chr10	94050682	94050844	UTR:CPEB3	0.0238489915294279
chr10	95178	95241	UTR:TUBB8	0.0144305501687014
chr10	95347	95504	UTR:TUBB8	6.31814275906711e-10
chr10	97050672	97050781	UTR:PDLIM1	0.0109422686511497
chr10	98031155	98031297	UTR:BLNK	0.0181339127568522
chr10	98031155	98031333	UTR:BLNK	0.0226775260940725
chr10	98766239	98766477	UTR:ARHGAP19	0.030202444938284
chr10	98820396	98820544	UTR:ARHGAP19	0.0188926805104167
chr10	99092254	99093630	UTR:FRAT2	0.0133888777422194
chr1	100436008	100436200	UTR:SLC35A3	0.0218011160062244
chr1	101455760	101456006	UTR:AC093157.1	0.0373316779408747
chr1	101455779	101455966	UTR:DPH5	0.0285102155383735
chr1	10458648	10458808	UTR:PGD	0.0204543589365281
chr1	10765548	10765601	UTR:CASZ1	0.00682349073622722
chr11	101828898	101828989	UTR:KIAA1377	0.0131943926775605
chr11	102401431	102401484	UTR:MMP7	0.00607293843386224
chr11	102582525	102584081	UTR:MMP8	0.0144663298101994
chr1	110453232	110453645	UTR:CSF1	0.000918203183371713
chr1	110453254	110453645	UTR:CSF1	0.000824296721433849
chr11	105481450	105481724	UTR:GRIA4	1.31068310132182e-05
chr11	105948215	105948437	UTR:AASDHPPT	0.0337088226257496
chr11	10651084	10651258	UTR:MRVI1	0.0180760595111844
chr11	10673571	10673923	UTR:MRVI1	0.036221780074737
chr11	10876492	10876665	UTR:ZBED5	0.0179731353801491
chr11	10879408	10880343	UTR:ZBED5	0.00459578103894974
chr1	110950207	110950290	UTR:LAMTOR5	0.00860260782214929
chr1	110950242	110950330	UTR:LAMTOR5	0.00911841171289895
chr11	1095150	1095354	UTR:MUC2	0.0327926709508807
chr11	111164113	111166831	UTR:C11orf92	0.0370433586829355
chr11	111164170	111166831	UTR:C11orf92	0.0356563859148418
chr11	111222976	111224988	UTR:POU2AF1	0.0213942964278348
chr11	111965528	111965936	UTR:SDHD	0.0437305622267239
chr11	114121274	114121374	UTR:ZBTB16	0.0138644029677887
chr11	114121274	114121398	UTR:ZBTB16	0.0171624831749046
chr11	115047014	115047196	UTR:CADM1	0.0231901877165454
chr11	117688104	117688240	UTR:DSCAML1	0.0164338409273405
chr11	119216482	119216638	UTR:C1QTNF5	0.021103052047281
chr1	112016413	112016652	UTR:C1orf162	0.0334176670437838
chr1	112016490	112016652	UTR:C1orf162	0.0227779829504384
chr1	112162768	112162969	UTR:RAP1A	0.0281818142353484
chr11	125109958	125110164	UTR:PKNOX2	0.0307630040090125
chr11	125495035	125495907	UTR:CHEK1	0.00817477601530527
chr11	125525212	125525401	UTR:CHEK1	0.0282613878344713
chr1	113458827	113459737	UTR:SLC16A1	0.00734068333034216
chr11	1464718	1464865	UTR:BRSK2	0.0237423916508499
chr1	115289163	115289480	UTR:CSDE1	0.038363089109798
chr1	116382836	116383362	UTR:NHLH2	0.00210463407481107
chr1	116915881	116916133	UTR:ATP1A1	0.0309312341060059
chr1	116948512	116948770	UTR:ATP1A1OS	0.031655636924662
chr1	117119841	117119936	UTR:IGSF3	0.0122850219819368
chr1	11751785	11751910	UTR:DRAXIN	0.0157379720885558
chr1	1256414	1256473	UTR:CPSF3L	0.0109299109900022
chr11	3022151	3022346	UTR:CARS	0.0472765728550752
chr11	3022159	3022346	UTR:CARS	0.0453827665231589
chr11	30431770	30433017	UTR:MPPED2	0.0141108539980274
chr11	43364002	43366079	UTR:API5	0.0496753453234259
chr11	44881153	44881291	UTR:TSPAN18	0.0156512331229735
chr1	145039609	145040002	UTR:PDE4DIP	0.00144126461410567
chr1	145075862	145076077	UTR:PDE4DIP	0.0291395747489043
chr1	145075862	145076186	UTR:PDE4DIP	0.0435791890144134
chr11	45168893	45169132	UTR:PRDM11	0.0298705517909777
chr1	145293370	145293527	UTR:NBPF10	0.0213653397532397
chr1	145509208	145509451	UTR:RBM8A	0.032869999903385
chr1	145542275	145542533	UTR:ITGA10	0.0348624033251922
