chr	start	stops	name	p-value
chr1	2005058	2005158	PRKCZ|ENST00000495347.1	0.00669630240640634
chr1	25571699	25571799	C1orf63|ENST00000491378.1	0.00201063685350427
chr1	27998729	27998829	IFI6|ENST00000361157.6	0.0288530761323638
chr1	33282268	33282368	S100PBP|ENST00000530710.1	0.0266290386838024
chr1	33338081	33338181	FNDC5|ENST00000496770.1	0.00949795566770405
chr1	33338083	33338183	FNDC5|ENST00000465346.1	0.00949795566770405
chr1	33858366	33858466	PHC2|ENST00000468406.1	0.00303698164066063
chr1	40840220	40840320	SMAP2|ENST00000372708.1	0.00149046669074019
chr1	52897110	52897210	ZCCHC11|ENST00000494469.1	0.00380836864931999
chr1	62175090	62175190	TM2D1|ENST00000472989.1	0.0445612876391245
chr1	62271082	62271182	INADL|ENST00000484937.1	0.00445088762904939
chr1	63836341	63836441	ALG6|ENST00000603108.1|ENST00000263440.4	0.0457555356999671
chr1	79472403	79472503	ELTD1|ENST00000370742.3	0.00269787436832999
chr1	107683342	107683442	NTNG1|ENST00000370068.1	0.00016007261567745
chr1	114695579	114695679	SYT6|ENST00000608203.1	0.0287833983709081
chr1	114695602	114695702	SYT6|ENST00000609577.1	0.0287833983709081
chr1	114695544	114695644	SYT6|ENST00000608879.1	0.0287833983709081
chr1	145039848	145039948	PDE4DIP|ENST00000533259.1	0.0181225709256544
chr1	145039865	145039965	PDE4DIP|ENST00000485062.2	0.0181225709256544
chr1	145039851	145039951	PDE4DIP|ENST00000530940.1	0.0181225709256544
chr1	151010775	151010875	BNIPL|ENST00000392802.3	0.00460680147299004
chr1	173545890	173545990	SLC9C2|ENST00000466087.1	0.000267112291542563
chr1	204889660	204889760	NFASC|ENST00000401399.1	0.00019537291357813
chr1	227922078	227922178	JMJD4|ENST00000485807.1	0.0330586402123451
chr1	227922072	227922172	JMJD4|ENST00000465251.1	0.0330586402123451
chr1	230819969	230820069	COG2|ENST00000482012.1	0.0471848265373968
chr1	243349801	243349901	CEP170|ENST00000521911.1	0.0336251139888163
chr2	9552846	9552946	ITGB1BP1|ENST00000465527.1	0.0306286902744466
chr2	15731507	15731607	DDX1|ENST00000434671.1	0.00598145048341163
chr2	44550481	44550581	PREPL|ENST00000444696.1	0.048813856766201
chr2	79313973	79314073	REG1B|ENST00000454188.1	0.000120578782623365
chr2	85109099	85109199	TRABD2A|ENST00000436322.1	0.0386392025302206
chr2	86668171	86668271	KDM3A|ENST00000312912.5	0.0350529818467484
chr2	112579333	112579433	ANAPC1|ENST00000485325.1	7.49235976205745e-05
chr2	149226194	149226294	MBD5|ENST00000416015.1	0.0434701450268654
chr2	151343614	151343714	RND3|ENST00000472416.1	0.034484149374524
chr2	157435495	157435595	GPD2|ENST00000492005.1	0.0039821969687465
chr2	162272742	162272842	TBR1|ENST00000463544.1	0.0292227632422849
chr2	162274306	162274406	TBR1|ENST00000410035.1	0.000567791599125363
chr2	165551247	165551347	COBLL1|ENST00000493713.1	3.22700231254446e-05
