chr	start	stops	name	p-value
chr10	101380092	101380121	UTR:SLC25A28	0.00795246040484105
chr10	103530080	103530088	UTR:FGF8	0.00185082919705086
chr10	104678073	104678237	UTR:CNNM2	0.0294292357378721
chr10	104678113	104678237	UTR:CNNM2	0.0223345277515286
chr10	105361469	105361575	UTR:SH3PXD2A	0.0204217211402892
chr10	117822952	117823911	UTR:GFRA1	0.00283782312565591
chr10	118897567	118897812	UTR:VAX1	0.00683381938529739
chr10	124596919	124597614	UTR:CUZD1	0.0192932203874162
chr10	124897244	124899995	UTR:HMX3	0.0111001990145444
chr10	127662083	127662162	UTR:FANK1	0.0305399923860206
chr10	128191228	128191356	UTR:C10orf90	0.0489988605442006
chr10	14654487	14654551	UTR:FAM107B	0.0167585833289847
chr10	14920846	14920959	UTR:SUV39H2	0.0293939283576547
chr10	14987103	14987188	UTR:DCLRE1C	0.0221943226027832
chr10	14996009	14996431	UTR:DCLRE1C	0.00591026645779971
chr10	18331759	18332216	UTR:SLC39A12	0.0371081768450836
chr10	18331759	18332221	UTR:SLC39A12	0.0378404689493699
chr10	23257234	23257291	UTR:ARMC3	0.0239223135449914
chr10	27443139	27443288	UTR:YME1L1	0.0473668605793461
chr10	3112436	3112507	UTR:PFKP	0.0285650254275321
chr10	43133921	43133987	UTR:ZNF33B	0.0257560975119293
chr10	48355072	48355142	UTR:ZNF488	0.0329308165577828
chr10	48355074	48355142	UTR:ZNF488	0.0320055897873903
chr10	48355100	48355142	UTR:ZNF488	0.019894441966669
chr10	4875541	4875646	UTR:AKR1E2	0.0408608305773625
chr10	5029966	5032190	UTR:AKR1C2	0.0196398916238176
chr10	50530446	50530590	UTR:C10orf71	0.00232742900370021
chr10	52100146	52100224	UTR:SGMS1	0.0234417392752575
chr10	52226649	52226692	UTR:SGMS1	0.0129937261024492
chr10	5566923	5567048	UTR:CALML3	0.000484440149684043
chr10	57359731	57360488	UTR:MTRNR2L5	0.0374440126756763
chr10	5754785	5754881	UTR:FAM208B	0.0235391645640009
chr10	5855221	5855350	UTR:GDI2	0.0314984793862791
chr10	5855221	5855374	UTR:GDI2	0.0372451312990622
chr10	5855221	5855392	UTR:GDI2	0.0415320939621325
chr10	5955709	5955802	UTR:FBXO18	0.0228122619798939
chr10	5956140	5956232	UTR:FBXO18	0.0225698374412985
chr10	61718429	61719081	UTR:C10orf40	0.0216882856071148
chr10	62060112	62060240	UTR:ANK3	0.0359456663212597
chr10	62538211	62538328	UTR:CDK1	0.0329094653003051
chr10	70044837	70045018	UTR:PBLD	0.0402525741352075
chr10	70046783	70048686	UTR:PBLD	0.0103539175849746
chr10	71078599	71078703	UTR:HK1	0.0281082444137094
chr10	71812635	71812756	UTR:H2AFY2	0.0326249939940797
chr10	72141255	72141414	UTR:LRRC20	0.0474932908346226
chr10	72543135	72543281	UTR:TBATA	0.0436987847164995
chr10	72575725	72575882	UTR:SGPL1	0.0469105302534412
chr10	75910959	75911036	UTR:ADK	0.0116911509774817
chr10	75910986	75911036	UTR:ADK	0.00760774771006607
chr10	75936443	75936630	UTR:ADK	0.0281494097783295
chr10	75936520	75936630	UTR:ADK	0.0166585160653723
chr10	76936447	76936589	UTR:SAMD8	0.0282636576680782
chr10	77161483	77161590	UTR:ZNF503	0.0260306800673064
chr10	81272867	81276188	UTR:EIF5AL1	0.0391539514113711
chr10	81904663	81904820	UTR:PLAC9	0.0337602561245696
chr10	81904663	81905115	UTR:PLAC9	0.00469582564106129
chr10	81904754	81904793	UTR:PLAC9	0.00849797885669102
chr10	84745358	84746723	UTR:NRG3	0.0174703511475036
chr10	88852338	88852411	UTR:GLUD1	0.0206395448718373
chr10	92500577	92502241	UTR:HTR7	0.0394143833347993
chr10	92500579	92502241	UTR:HTR7	0.0392988695230256
chr10	92500579	92502245	UTR:HTR7	0.0395300673131331
chr10	92500579	92502285	UTR:HTR7	0.0418793550180042
chr10	93237957	93238022	UTR:HECTD2	0.013452095074316
chr10	96162260	96162370	UTR:TBC1D12	0.0346009151853834
chr10	97515408	97515523	UTR:ENTPD1	0.0203377443366988
chr10	97712079	97712179	UTR:RP11-248J23.6	0.0177093076679476
chr1	10042756	10045556	UTR:NMNAT1	0.0179978251600566
chr1	100598705	100598724	UTR:TRMT13	0.00474009613235213
chr1	10075887	10076078	UTR:RBP7	0.0357289993839339
chr1	101360188	101360387	UTR:EXTL2	0.00286635887808926
chr1	1017197	1018275	UTR:C1orf159	0.0287879759694367
chr1	1017202	1018275	UTR:C1orf159	0.0285450070770593
chr1	109010072	109010287	UTR:NBPF6	0.0472212770435359
chr1	110009249	110009465	UTR:SYPL2	0.0496395231354608
chr1	110035219	110035356	UTR:ATXN7L2	0.0317851258124253
chr1	110035219	110035426	UTR:ATXN7L2	0.047622687812739
chr11	101827157	101827674	UTR:KIAA1377	0.0234526509399703
chr11	102192567	102192631	UTR:BIRC3	0.0141413363653705
chr11	10715082	10715123	UTR:MRVI1	0.0105368891187535
chr11	10879408	10879583	UTR:ZBED5	0.0441848454493462
chr11	111367236	111367827	UTR:BTG4	0.000186530641747125
chr11	111473114	111473287	UTR:SIK2	0.000465093185867379
chr11	113576943	113577024	UTR:TMPRSS5	0.0277500986473963
chr11	113576943	113577028	UTR:TMPRSS5	0.0290997722077264
chr11	113576943	113577030	UTR:TMPRSS5	0.0297738860996239
chr11	113576943	113577065	UTR:TMPRSS5	0.0414932576136959
chr11	113576943	113577068	UTR:TMPRSS5	0.0424909754386438
chr11	113576946	113577024	UTR:TMPRSS5	0.0267365770282977
chr11	113700101	113700189	UTR:USP28	0.0301107624782911
chr11	114183196	114184007	UTR:NNMT	0.0350629520318912
chr11	118509879	118509969	UTR:PHLDB1	0.0256493026102947
chr11	118986754	118987831	UTR:C2CD2L	0.0401168197578568
chr11	119215583	119215714	UTR:C1QTNF5	0.0389719631066021
chr1	112045976	112046382	UTR:ADORA3	0.011403041743074
chr11	120856966	120857970	UTR:GRIK4	0.0309105071953856
chr11	123811277	123811344	UTR:OR4D5	0.0344019244825258
chr11	124180662	124180733	UTR:OR8D1	0.0240948307367176
chr11	126525980	126526041	UTR:RP11-115C10.1	0.0280945036591191
chr11	12785725	12785779	UTR:TEAD1	0.0108981730801036
chr11	12785725	12785824	UTR:TEAD1	0.0198866259011072
chr11	128781078	128781168	UTR:KCNJ5	0.027833480044405
chr1	112938802	112938894	UTR:CTTNBP2NL	0.0350015032774577
chr11	129762956	129763047	UTR:NFRKB	0.0204701451108525
chr11	130780164	130780268	UTR:SNX19	0.0334463428908983
chr11	130784588	130784644	UTR:SNX19	0.0181549330427438
chr11	130784591	130784644	UTR:SNX19	0.0171909964268552
chr1	113257923	113258099	UTR:PPM1J	0.0378415148223846
chr1	113263040	113263256	UTR:FAM19A3	0.00111628964418971
chr1	113499460	113499635	UTR:SLC16A1	0.0376307194300481
chr1	11354937	11355221	UTR:UBIAD1	0.00374041215051561
chr1	1138887	1138973	UTR:TNFRSF18	0.0204323208451956
chr1	115212603	115212732	UTR:DENND2C	0.0459368344408885
chr1	116193897	116194034	UTR:VANGL1	0.0395762385487738
chr11	16809206	16810636	UTR:PLEKHA7	0.0466523564920371
chr11	16809214	16810636	UTR:PLEKHA7	0.0461911794124077
chr11	18034557	18034709	UTR:SERGEF	0.0494308317320533
chr11	18316566	18316716	UTR:HPS5	0.0487970158183853
chr11	18813071	18813187	UTR:PTPN5	0.0379553804205405
chr1	12227059	12227148	UTR:TNFRSF1B	0.0241861790528561
chr11	2291562	2292182	UTR:ASCL2	0.0158028069072673
