chr	start	stops	name	p-value
chr1	1051461	1053961	C1orf159|ENST00000379339.1	0.00182096874442105
chr1	1051736	1054236	C1orf159|ENST00000448924.1|ENST00000294576.5|ENST00000437760.1|ENST00000462097.1	3.80598384515359e-05
chr1	1051475	1053975	C1orf159|ENST00000379325.3|ENST00000434641.1	0.00182096874442105
chr1	1051478	1053978	C1orf159|ENST00000421241.2	0.00182096874442105
chr1	1051469	1053969	C1orf159|ENST00000477196.1|ENST00000467751.1|ENST00000480643.1	0.00182096874442105
chr1	1051623	1054123	C1orf159|ENST00000482816.1	3.80598384515359e-05
chr1	1051741	1054241	C1orf159|ENST00000475119.1	3.80598384515359e-05
chr1	1051467	1053967	C1orf159|ENST00000472741.1	0.00182096874442105
chr1	1141951	1144451	TNFRSF18|ENST00000328596.6|ENST00000379265.5	0.00182096874442105
chr1	1142071	1144571	TNFRSF18|ENST00000379268.2	0.00182096874442105
chr1	1550288	1552788	MIB2|ENST00000503789.1	0.00182096874442105
chr1	1550440	1552940	MIB2|ENST00000378708.1	0.00182096874442105
chr1	1550457	1552957	MIB2|ENST00000506488.1	0.00182096874442105
chr1	2002658	2005158	PRKCZ|ENST00000495347.1	0.00182096874442105
chr1	2002925	2005425	PRKCZ|ENST00000461106.2	0.00182096874442105
chr1	2003627	2006127	PRKCZ|ENST00000461465.1	0.00182096874442105
chr1	2003794	2006294	PRKCZ|ENST00000470596.1	0.00182096874442105
chr1	2004183	2006683	PRKCZ|ENST00000496325.1	0.00182096874442105
chr1	3686852	3689352	SMIM1|ENST00000444870.2	0.00182096874442105
chr1	3686889	3689389	SMIM1|ENST00000452264.1	0.00182096874442105
chr1	3687127	3689627	SMIM1|ENST00000561886.1	0.00182096874442105
chr1	3753700	3756200	CEP104|ENST00000460038.1	0.00182096874442105
chr1	9714644	9717144	C1orf200|ENST00000377320.3	0.00421910727024083
chr1	15253796	15256296	KAZN|ENST00000376028.4|ENST00000400798.2	0.00283641635538028
chr1	54722939	54725439	SSBP3|ENST00000420121.1	0.00180649531440401
chr1	68620867	68623367	WLS|ENST00000491811.1	0.0038204622816113
chr1	144904714	144907214	PDE4DIP|ENST00000530062.1	0.0454334561411998
