chr	start	stops	name	p-value
chr1	118840	118990	DHS.MCV-1	0.0275487140155859
chr1	136280	136430	DHS.MCV-1	0.0275487140155859
chr1	136960	137110	DHS.MCV-1	0.0275487140155859
chr1	237020	237170	DHS.MCV-2	0.0275487140155859
chr1	237640	237790	DHS.MCV-65	0.0275487140155859
chr1	238720	238870	DHS.MCV-1	0.0275487140155859
chr1	521440	521590	DHS.MCV-59	0.0275487140155859
chr1	706265	706415	DHS.MCV-1	0.000391954717535023
chr1	710600	710750	DHS.MCV-2	0.0275487140155859
chr1	747440	747590	DHS.MCV-1	3.81215037400713e-06
chr1	750140	750290	DHS.MCV-1	0.0275487140155859
chr1	757940	758090	DHS.MCV-1	0.0275487140155859
chr1	762980	763130	DHS.MCV-37	0.0275487140155859
chr1	775005	775155	DHS.MCV-2	3.81215037400713e-06
chr1	787405	787555	DHS.MCV-3	0.0275487140155859
chr1	798905	799055	DHS.MCV-1	0.0275487140155859
chr1	799705	799855	DHS.MCV-1	0.0275487140155859
chr1	811685	811835	DHS.MCV-16	0.0275487140155859
chr1	811905	812055	DHS.MCV-10	0.0275487140155859
chr1	824105	824255	DHS.MCV-15	0.0275487140155859
chr1	847460	847610	DHS.MCV-10	0.0275487140155859
chr1	868580	868730	DHS.MCV-12	0.0275487140155859
chr1	880785	880935	DHS.MCV-5	0.0275487140155859
chr1	914225	914375	DHS.MCV-7	0.0275487140155859
chr1	933080	933230	DHS.MCV-3	0.0275487140155859
chr1	934920	935070	DHS.MCV-39	0.0275487140155859
chr1	965740	965890	DHS.MCV-1	0.000391954717535023
chr1	1004285	1004435	DHS.MCV-35	0.0275487140155859
chr1	1010125	1010275	DHS.MCV-10	0.0275487140155859
chr1	1088380	1088530	DHS.MCV-1	0.0275487140155859
chr1	1119560	1119710	DHS.MCV-2	0.0275487140155859
chr1	1149205	1149355	DHS.MCV-6	0.0275487140155859
chr1	1151805	1151955	DHS.MCV-7	0.0275487140155859
chr1	1183645	1183795	DHS.MCV-1	3.81215037400713e-06
chr1	1189205	1189355	DHS.MCV-1	0.0275487140155859
chr1	1233785	1233935	DHS.MCV-3	0.0275487140155859
chr1	1234805	1234955	DHS.MCV-1	0.0275487140155859
chr1	1239100	1239250	DHS.MCV-3	0.0275487140155859
chr1	1246600	1246750	DHS.MCV-1	0.0275487140155859
chr1	1256340	1256490	DHS.MCV-15	0.0275487140155859
chr1	1275225	1275375	DHS.MCV-2	0.0275487140155859
chr1	1345760	1345910	DHS.MCV-3	0.0275487140155859
chr1	1362765	1362915	DHS.MCV-52	0.000391954717535023
chr1	1431085	1431235	DHS.MCV-10	0.0275487140155859
chr1	1431345	1431495	DHS.MCV-2	0.0275487140155859
chr1	1475885	1476035	DHS.MCV-95	0.0275487140155859
