chr	start	stops	name	p-value
chr10	100025347	100026257	TFP.ZNF263	0.0389573508521173
chr10	100082789	100083416	TFP.E2F6	0.0197112557802248
chr10	100082803	100083411	TFP.E2F6	0.0186145953999268
chr10	100082816	100083367	TFP.FOSL1	0.0154866817366834
chr10	100082817	100083680	TFP.JUNB	0.035408367463178
chr10	100082820	100083413	TFP.EGR1	0.0177676826173704
chr10	100082824	100083464	TFP.JUND	0.0204768079791693
chr10	100082848	100083832	TFP.MAX	0.0448026894705457
chr10	100082877	100083331	TFP.FOS	0.0107482018503869
chr10	100082889	100083472	TFP.EP300	0.0172124314150908
chr10	100082891	100083750	TFP.TFAP2C	0.0351124038972095
chr10	100082896	100083490	TFP.TFAP2A	0.0178236209569651
chr10	100082905	100083240	TFP.SPI1	0.00601304636322269
chr10	100082917	100083377	TFP.JUN	0.0110191220557489
chr10	100082924	100083341	TFP.JUND	0.00914437984475191
chr10	100082928	100083344	TFP.JUN	0.00910264774092233
chr10	100082935	100083345	TFP.FOS	0.00885405919761339
chr10	100082935	100083352	TFP.FOS	0.00914437984475191
chr10	100082940	100083743	TFP.CEBPB	0.0310720388916072
chr10	100082945	100083425	TFP.MAX	0.0119436954627652
chr10	100082948	100083383	TFP.USF1	0.00991015668971882
chr10	100082951	100083455	TFP.MYC	0.013096309516952
chr10	100082957	100083419	TFP.JUN	0.0111100935210141
chr10	100082973	100083423	TFP.MAX	0.0105692552347255
chr10	100185210	100186235	TFP.CTCF	0.0481708360006516
chr10	100185223	100186134	TFP.CTCF	0.0390342704742462
chr10	100185265	100186194	TFP.CTCF	0.0404286799937574
chr10	100185319	100186130	TFP.CTCF	0.0316372779360205
chr10	100185373	100186143	TFP.CTCF	0.0287835938792272
chr10	100254710	100255668	TFP.SETDB1	0.042713980082154
chr10	100275665	100276621	TFP.TRIM28	0.0425548574581494
chr10	100275754	100276657	TFP.GATA3	0.0384205392780941
chr10	100276039	100276691	TFP.GATA2	0.021194311377342
chr10	10034606	10035021	TFP.RAD21	0.000117964787109948
chr10	10034620	10034971	TFP.RAD21	6.22342102290661e-05
chr10	10034621	10034960	TFP.CTCF	5.44608798358661e-05
chr10	100407069	100408100	TFP.TRIM28	0.0486712144014681
chr10	10098897	10099342	TFP.RAD21	0.0277729515768554
chr10	10098919	10099310	TFP.RAD21	0.0218893583566336
chr10	10098924	10099346	TFP.CTCF	0.0251969121095907
chr10	10098939	10099315	TFP.RAD21	0.0203588766656192
chr10	10098942	10099329	TFP.CTCF	0.0214766992238025
chr10	10098943	10099326	TFP.CTCF	0.021067324820288
chr10	10098944	10099277	TFP.CTCF	0.0162345754711515
chr10	100991840	100994148	TFP.YY1	0.0454506936179744
chr10	100993138	100994152	TFP.PAX5	0.0472583917320758
chr10	100993499	100994227	TFP.ELF1	0.0259738241041218
chr10	100993577	100994171	TFP.PAX5	0.0178236209569651
chr10	100993581	100994511	TFP.EGR1	0.040506691673666
chr10	100993668	100994148	TFP.PAX5	0.0119436954627652
chr10	100993695	100994210	TFP.PAX5	0.0136400960503153
chr10	100993713	100994184	TFP.SPI1	0.0115235605486494
chr10	101155299	101156522	TFP.HDAC2	0.0199654141923906
chr10	101155332	101156455	TFP.FOXA1	0.0170317830266015
chr10	101155335	101156437	TFP.FOXA2	0.0164410929075684
chr10	101155355	101156399	TFP.FOXA1	0.0148565211896297
chr10	101155365	101156371	TFP.TCF4	0.0138562443430398
chr10	101155382	101156598	TFP.EP300	0.0197536585020164
chr10	101155392	101156457	TFP.EP300	0.0154222379486425
chr10	101155403	101156520	TFP.FOSL2	0.0168621029546163
chr10	101155411	101156498	TFP.EP300	0.0160246621326987
chr10	101155452	101156186	TFP.FOS	0.00761583428748837
chr10	101155455	101156452	TFP.RXRA	0.0136237916027377
chr10	101155456	101156858	TFP.HNF4A	0.0256955844797791
chr10	101155463	101156205	TFP.SIN3A	0.00777542530882426
chr10	101155485	101156272	TFP.JUND	0.00870093819802178
chr10	101155506	101156158	TFP.SP1	0.0060675898559012
chr10	101155512	101156544	TFP.HNF4G	0.0145373735377416
chr10	101155529	101155972	TFP.GATA2	0.00287110085299563
chr10	101155590	101156555	TFP.JUND	0.0128112551651992
chr10	101155721	101156534	TFP.JUN	0.00925698961731804
chr10	101467584	101469120	TFP.GATA1	0.00270833144116196
chr10	101686560	101687034	TFP.TCF4	0.00327495446027512
chr10	101686702	101687741	TFP.NR3C1	0.0147231776882587
chr10	102100191	102102501	TFP.EP300	0.000954839077184071
chr10	102100680	102102495	TFP.JUND	0.000391704114511129
chr10	102100741	102102537	TFP.SIN3A	0.000376622918613506
chr10	102101602	102102468	TFP.FOXA1	2.33985967492176e-05
chr10	102101608	102102565	TFP.FOXA2	3.44216356614237e-05
chr10	102101609	102102446	TFP.FOXA1	2.05074768855917e-05
chr10	102101625	102102485	TFP.FOXA1	2.27773655915457e-05
chr10	102101646	102102503	TFP.FOSL2	2.24713261927121e-05
chr10	102120662	102123787	TFP.SP1	0.00283493130883183
chr10	102121816	102122468	TFP.CTCF	0.0064640843557117
chr10	102122223	102123747	TFP.FOSL2	0.0317838561341735
chr10	102122261	102124075	TFP.JUND	0.00470723559377485
chr10	102268558	102268806	TFP.CTCF	0.0437439283206784
chr10	102499661	102501407	TFP.SP1	0.0406241233647379
chr10	102729679	102731588	TFP.EP300	0.0476280444080369
chr10	102729747	102731522	TFP.FOXA1	0.0418396464145963
chr10	102729769	102731597	TFP.EP300	0.0440957350588958
chr10	102729813	102731713	TFP.TCF4	0.0472306275110779
chr10	102729856	102731779	TFP.TCF12	0.0482486663244269
chr10	102729883	102731545	TFP.ELF1	0.0371808296597853
chr10	102730797	102731536	TFP.RXRA	0.00821678922821719
chr10	102730798	102731541	TFP.FOXA1	0.00830194089890725
chr10	102730838	102731564	TFP.SRF	0.00794279235443654
chr10	102730871	102731552	TFP.HNF4A	0.00702703995186165
