chr	start	stops	name	p-value
chr10	112723882	112724116	UTR:SHOC2	0.000714203378752722
chr10	3822518	3823665	UTR:KLF6	0.003579110827117
chr10	75572258	75574263	UTR:CAMK2G	0.00827851258169541
chr11	108236232	108239826	UTR:ATM	0.0105077374663045
chr11	108236232	108239829	UTR:ATM	0.0105164609674651
chr11	119531701	119535459	UTR:PVRL1	0.00767781418519003
chr1	114695387	114695482	UTR:SYT6	0.000176204268191756
chr1	114695387	114695602	UTR:SYT6	0.000398732468703745
chr11	34172534	34173936	UTR:ABTB2	0.00509431290521984
chr1	150978787	150979333	UTR:FAM63A	0.00123232188122429
chr1	152274650	152275178	UTR:FLG	0.00191510112491684
chr11	66406142	66406364	UTR:RBM4	0.000629829769505938
chr11	66406190	66406364	UTR:RBM4	0.000493684915830371
chr11	66406197	66406364	UTR:RBM4	0.000473828865351688
chr1	171711049	171711202	UTR:VAMP4	0.000322809018115154
chr1	171711049	171711214	UTR:VAMP4	0.000348122842483034
chr1	171711049	171711387	UTR:VAMP4	0.000712990605362789
chr11	72425196	72425366	UTR:ARAP1	0.000295652183334409
chr1	198189928	198190240	UTR:NEK7	0.00154538716551325
chr12	111786126	111788358	UTR:CUX2	0.00408810465200976
chr12	123253622	123255611	UTR:DENR	1.51327890999761e-05
chr12	3048607	3050306	UTR:TULP3	0.0054142441262109
chr1	237060941	237061434	UTR:MTR	0.00291882732393507
chr1	237060941	237063718	UTR:MTR	0.0163275248217289
chr1	237060941	237067281	UTR:MTR	0.036875909436903
chr1	243665064	243668553	UTR:AKT3	0.00573771053777816
chr1	243666483	243668553	UTR:AKT3	0.00340823802001035
chr12	50869644	50873779	UTR:LARP4	0.00675130686536523
chr12	50869644	50873787	UTR:LARP4	0.00676432313873012
chr12	54762916	54764042	UTR:ZNF385A	0.00328375235516325
chr12	54762918	54764042	UTR:ZNF385A	0.0032779295934526
chr12	54762919	54764042	UTR:ZNF385A	0.00327501819948646
chr12	54762923	54764042	UTR:ZNF385A	0.00326337253621579
chr12	54762936	54764042	UTR:ZNF385A	0.00322552316473101
chr12	6960116	6960173	UTR:CDCA3	0.000185116325940307
chr12	6960116	6960173	UTR:U47924.25	0.000185116325940307
chr12	6960116	6960422	UTR:CDCA3	0.00099336948086611
chr12	70747692	70748773	UTR:CNOT2	6.37349166023245e-06
chr12	71551458	71551567	UTR:TSPAN8	0.000469637210941162
chr12	71551458	71551679	UTR:TSPAN8	0.00095196408346633
chr1	47681961	47685394	UTR:TAL1	0.0103220583195778
chr1	47681962	47685394	UTR:TAL1	0.010319067601175
chr1	47681963	47685394	UTR:TAL1	0.0103160768734832
chr14	96954677	96955764	UTR:AK7	0.00394720340595753
chr1	55162864	55165822	UTR:MROH7	0.00839007283945096
chr1	57460450	57463801	UTR:DAB1	0.00952304876065373
chr15	99676527	99678217	UTR:TTC23	0.00474651979234655
chr15	99677757	99678217	UTR:TTC23	0.00129425209518236
chr15	99677780	99678217	UTR:TTC23	0.00122958039820305
chr16	13329263	13334272	UTR:SHISA9	0.0169388742345603
chr16	14042201	14046202	UTR:ERCC4	0.00887051194925822
chr16	15737123	15737784	UTR:NDE1	0.00156967191550987
chr16	19868615	19871824	UTR:GPRC5B	0.00847381887964285
chr16	19870292	19871824	UTR:GPRC5B	0.00405470923465874
chr16	29753783	29755600	UTR:C16orf54	0.00258752392419278
chr16	54145824	54155853	UTR:FTO	0.0380622212550429
chr16	66637934	66638385	UTR:CMTM3	0.00116820243901253
chr16	66638002	66638352	UTR:CMTM3	0.00090670920237967
chr16	89936677	89937727	UTR:SPIRE2	0.0029522455663922
chr17	26864451	26865914	UTR:FOXN1	0.00396402257687522
chr17	32612686	32612827	UTR:CCL11	0.000370814183704916
chr17	33455771	33459458	UTR:NLE1	0.00965007339901413
chr17	33458365	33459458	UTR:NLE1	0.00287077180713311
chr17	33459089	33459458	UTR:NLE1	0.000970129603288635
chr17	38033059	38034149	UTR:ZPBP2	0.00296743602946763
chr17	54911459	54911621	UTR:DGKE	0.000507863020921583
chr17	54911467	54911621	UTR:DGKE	0.000482789589023181
chr17	58235918	58236325	UTR:CA4	0.000599978567255476
chr18	71983047	71983344	UTR:C18orf63	0.00123667118156093
chr18	71983109	71983344	UTR:C18orf63	0.000978640750216978
chr19	12129014	12129107	UTR:ZNF433	0.000121339049807374
chr19	14857707	14857774	UTR:EMR2	0.000156627266900364
chr19	46994447	46996817	UTR:PNMAL2	0.0079451401869173
chr19	46994452	46995341	UTR:PNMAL2	0.00298790276282027
chr19	48373722	48374714	UTR:SULT2A1	0.0021828338341167
chr19	55769802	55770363	UTR:PPP6R1	0.00347259582259794
chr19	7793842	7794254	UTR:CLEC4G	0.00201810815961166
chr20	61598849	61599949	UTR:SLC17A9	0.00395073930497328
chr2	197184545	197184628	UTR:HECW2	0.000278892091727021
chr2	237993954	237994607	UTR:COPS8	0.00166253906174596
chr2	238395810	238396080	UTR:MLPH	0.000806330280628352
chr2	242031052	242034978	UTR:SNED1	0.0109782284198117
chr2	242031052	242034983	UTR:SNED1	0.0109921305994799
chr2	86014010	86015189	UTR:ATOH8	0.00212720801858443
chr2	97536114	97536494	UTR:SEMA4C	0.00101965284672102
chr3	128751664	128751809	UTR:EFCC1	0.000301815599354743
chr3	157223066	157223198	UTR:VEPH1	0.000416627591852363
