chr	start	stops	name	p-value
chr10	127592662	127593451	Ultra-Sensitive	0.0370415082134327
chr10	127597306	127597883	Ultra-Sensitive	0.0208995250918455
chr10	127601579	127604618	Ultra-Sensitive	0.00703996870360865
chr10	127601881	127603431	Ultra-Sensitive	0.000393823201902513
chr10	127607179	127607747	Ultra-Sensitive	0.0202989033468605
chr10	127607187	127607599	Ultra-Sensitive	0.01111225585344
chr10	35310244	35310797	Ultra-Sensitive	0.000264668566294522
chr1	144997253	144998162	Ultra-Sensitive	0.00652069065814234
chr1	145112313	145113321	Ultra-Sensitive	0.0079490665040008
chr1	145112319	145113233	Ultra-Sensitive	0.006589730715942
chr1	145112373	145113253	Ultra-Sensitive	0.00612684127478215
chr1	145112420	145113367	Ultra-Sensitive	0.00705371439944516
chr11	62608723	62609295	Ultra-Sensitive	0.000192639076231465
chr11	62608765	62609333	Ultra-Sensitive	5.14114669831683e-06
chr11	62608794	62609397	Ultra-Sensitive	6.49489627974445e-06
chr11	62608900	62609311	Ultra-Sensitive	7.31392634922075e-05
chr11	65194080	65195060	Ultra-Sensitive	4.1296827247329e-05
chr11	65194209	65196168	Ultra-Sensitive	0.000567688817827422
chr13	28033551	28034216	Ultra-Sensitive	0.000535420949158571
chr13	28033556	28034212	Ultra-Sensitive	0.000514787528516719
chr13	28033557	28034148	Ultra-Sensitive	0.000380747060796438
chr15	65588190	65588784	Ultra-Sensitive	0.00421756866301497
chr17	36907949	36908314	Ultra-Sensitive	0.0496811976292174
chr17	45212730	45214517	Ultra-Sensitive	1.3607355538671e-06
chr17	45212732	45214517	Ultra-Sensitive	1.35206610471574e-06
chr17	45212753	45214517	Ultra-Sensitive	1.26372660762765e-06
chr17	45212758	45214517	Ultra-Sensitive	1.24340380842048e-06
chr17	45212760	45214517	Ultra-Sensitive	1.23534975337558e-06
chr17	45214726	45214885	Ultra-Sensitive	0.000405713689380436
chr17	45214726	45214887	Ultra-Sensitive	0.000415882659392234
chr17	45214726	45214892	Ultra-Sensitive	0.000441844415856895
chr17	45214726	45214897	Ultra-Sensitive	0.000468575494534225
chr19	1021262	1021709	Ultra-Sensitive	0.0446848179267253
chr19	39902722	39903113	Ultra-Sensitive	0.0018698160205873
chr19	39902742	39903107	Ultra-Sensitive	0.00163398577369611
chr19	45981392	45982404	Ultra-Sensitive	0.0103330269360663
chr19	893202	893659	Ultra-Sensitive	0.0456610287771877
chr19	893247	893659	Ultra-Sensitive	0.0412601142256361
chr20	26188666	26190662	Ultra-Sensitive	0.00507582395441821
chr2	133015021	133015492	Ultra-Sensitive	1.64201042230472e-14
chr2	211423433	211424151	Ultra-Sensitive	0.0178749090388858
chr3	134315073	134315530	Ultra-Sensitive	0.00560479176211305
chr4	80273384	80274041	Ultra-Sensitive	0.00343700932080213
chr4	80273391	80274888	Ultra-Sensitive	0.0306846096425897
chr4	80273392	80274040	Ultra-Sensitive	0.00330777172681026
chr4	80273402	80274040	Ultra-Sensitive	0.00316771561529707
chr5	30015713	30016193	Ultra-Sensitive	0.0346744631532295
chr6	27721077	27721458	Ultra-Sensitive	0.00831562404159737
chr6	27763543	27763930	Ultra-Sensitive	0.00856738740306876
chr6	28510812	28511136	Ultra-Sensitive	0.00367088713311087
chr6	28574726	28575098	Ultra-Sensitive	0.00479674464870613
chr6	28909302	28909627	Ultra-Sensitive	0.003692904656913
chr6	28949418	28950119	Ultra-Sensitive	0.00102089677273613
chr7	148638201	148638769	Ultra-Sensitive	0.00647068369710408
chr7	148638338	148638767	Ultra-Sensitive	0.00376378035319982
chr8	67026089	67026567	Ultra-Sensitive	0.00398629367857995
chr9	137029497	137029946	Ultra-Sensitive	0.00224785406707483
chr9	137029516	137029957	Ultra-Sensitive	0.00217025460266467
chr9	35657624	35658292	Ultra-Sensitive	0.000265508603356628
chr9	35657837	35658246	Ultra-Sensitive	6.3153823065465e-05
