gene	len	ct	mu	sigma	region	p-value
HMGN2	273	0	121.903507602641	0.0236069799037587	reg27	0.00140059007557119
DNAJC8	798	0	124.98459651806	0.0236069799037587	reg29	0.0115233879439619
GMEB1	1722	0	124.98459651806	0.0236069799037587	reg29	0.0474373998555081
EXO5	1122	0	132.132507613239	0.0236069799037587	reg41	0.0304360257830913
CCDC163P	630	0	148.072333824019	0.0236069799037587	reg46	0.00794845697707932
NDC1	2025	0	114.967792193852	0.0236069799037587	reg55	0.0432163324313908
LDLRAD1	682	0	114.967792193852	0.0236069799037587	reg55	0.00566694536215844
ALG6	1530	0	136.975740473859	0.0236069799037587	reg64	0.0448741542906393
CRYZ	990	1	227.243167557487	0.0236069799037587	reg76	0.0341836865760313
LHX8	1071	0	227.243167557487	0.0236069799037587	reg76	0.0393878734248342
LRRC39	1076	0	114.833372989275	0.0236069799037587	reg101	0.0208933058106645
TTF2	3489	0	130.135898462107	0.0236069799037587	reg118	0.0462216558544112
GJA5	1077	0	137.594834017078	0.0236069799037587	reg148	0.018702775204129
MTMR11	2165	0	129.713697335162	0.0236069799037587	reg151	0.0191025229395036
PLEKHO1	1243	0	129.713697335162	0.0236069799037587	reg151	0.0410752280093482
SEMA6C	2889	0	130.136102366461	0.0236069799037587	reg152	0.0354540470583673
AL589765.1	414	0	130.136102366461	0.0236069799037587	reg152	0.00482164601061322
RIIAD1	393	0	130.136102366461	0.0236069799037587	reg152	0.00436003019895976
CRNN	1488	0	207.056332805153	0.0236069799037587	reg153	0.0161041628113843
AQP10	994	0	123.170217176847	0.0236069799037587	reg155	0.0283909699734715
ADAR	3825	0	123.170217176847	0.0236069799037587	reg155	0.0194575440512983
ATF6	2013	0	151.496258882413	0.0236069799037587	reg162	0.0126531380643309
DCAF6	2856	0	120.501996599568	0.0236069799037587	reg168	0.039285394725417
TBX19	1447	2	130.499661339689	0.0236069799037587	reg169	0.0431429671583344
HMCN1	16908	11	140.259597636746	0.0236069799037587	reg186	0.0332061176147381
IGFN1	11145	1	124.646446604293	0.0236069799037587	reg202	0.00258658184009992
C1orf186	519	0	130.065251769278	0.0236069799037587	reg208	0.00808753353200567
DTL	2193	0	122.460265447461	0.0236069799037587	reg213	0.00996065153496379
NID1	3744	1	139.359490018257	0.0236069799037587	reg235	0.013856126974839
ERO1LB	1408	0	139.359490018257	0.0236069799037587	reg235	0.0457653176729225
MTR	4201	0	168.774400365501	0.0236069799037587	reg240	0.0374132506922366
OR6F1	927	0	194.284844986954	0.0236069799037587	reg248	0.0268747047944411
OR2L2	939	0	194.284844986954	0.0236069799037587	reg248	0.0275152353654168
OR2M7	939	0	194.284844986954	0.0236069799037587	reg248	0.0275152353654168
OR2T11	951	0	194.284844986954	0.0236069799037587	reg248	0.0281618513652216
ADARB2	2429	0	230.764720640136	0.0236069799037587	reg1680	0.0286783076088808
IL15RA	1269	0	152.605583407316	0.0236069799037587	reg1685	0.00406247068080084
PRKCQ	2121	1	152.605583407316	0.0236069799037587	reg1685	0.00211103202318679
SFMBT2	2768	0	122.60725683564	0.0236069799037587	reg1686	0.0269785505569725
GATA3	1335	0	127.754526984794	0.0236069799037587	reg1687	0.000215759122811419
BAMBI	783	0	131.234782708414	0.0236069799037587	reg1707	0.000705754927967675
PARD3	4110	0	103.990680744963	0.0236069799037587	reg1713	0.0431541573575567
ANKRD30A	4383	2	264.070304340907	0.0236069799037587	reg1716	0.016998800398897
ZNF485	1326	0	157.001517725814	0.0236069799037587	reg1723	0.0460657970507647
CCAR1	3630	1	123.643902268631	0.0236069799037587	reg1749	0.00107459858788304
PLA2G12B	588	0	122.631980765995	0.0236069799037587	reg1753	0.00579001407247297
NUDT13	1059	0	122.631980765995	0.0236069799037587	reg1753	0.0176867670923684
DNAJC9	783	0	141.411178914979	0.0236069799037587	reg1754	0.0127225907358587
PTEN	1212	1	136.093649641646	0.0236069799037587	reg1768	5.92488474585738e-06
FAS	1027	0	120.900425243745	0.0236069799037587	reg1769	0.0225684621045849
TNKS2	3501	0	118.435677571352	0.0236069799037587	reg1772	0.0232292052997345
C10orf137	4040	0	135.573825015408	0.0236069799037587	reg1806	0.0479332876928657
MTG1	1005	0	257.901787459992	0.0236069799037587	reg1813	0.0327503881829774
OR6A2	984	1	168.43837346649	0.0236069799037587	reg1821	0.0242309095003841
IPO7	3117	0	136.781482688032	0.0236069799037587	reg1823	0.0250637203401259
MICAL2	3651	1	91.9357665843932	0.0236069799037587	reg1826	0.00446298891818954
RRAS2	687	0	163.891837127529	0.0236069799037587	reg1828	0.0101683339437569
NUCB2	1271	0	142.369044313196	0.0236069799037587	reg1831	0.00277889789660461
MPPED2	954	0	141.535966552872	0.0236069799037587	reg1844	0.0222193116460503
FBXO3	1479	0	121.496987521333	0.0236069799037587	reg1847	0.0410020417692849
CREB3L1	1622	0	126.066088811322	0.0236069799037587	reg1860	0.0380845689650841
PSMC3	1408	0	139.00663399616	0.0236069799037587	reg1861	0.0466645736242803
OR4C3	990	1	139.00663399616	0.0236069799037587	reg1861	0.0246761188894526
OR4A15	1035	0	222.324062348058	0.0236069799037587	reg1870	0.0387017088012963
OR5L2	936	0	222.324062348058	0.0236069799037587	reg1870	0.00298277380802002
OR5W2	933	1	222.324062348058	0.0236069799037587	reg1870	0.0320883664352741
OR5F1	945	0	222.324062348058	0.0236069799037587	reg1870	0.0328411927210055
CNTF	603	0	171.686905251904	0.0236069799037587	reg1872	0.000562699720676092
MS4A14	2259	0	158.973039627994	0.0236069799037587	reg1874	0.0227574608555175
CPSF7	1545	0	131.938799597899	0.0236069799037587	reg1875	0.0401778230749816
PACS1	3001	0	115.63651463667	0.0236069799037587	reg1879	0.00454345693392341
KLC2	2317	0	125.769097400469	0.0236069799037587	reg1880	0.0142302541674684
ALDH3B1	1487	1	261.178542813098	0.0236069799037587	reg1881	0.0391388986941884
DEFB108B	222	0	284.022789188472	0.0236069799037587	reg1885	0.0485134326040814
KLHL35	1752	0	124.561253622677	0.0236069799037587	reg1889	0.0412092348709274
MMP1	1410	1	114.94135326496	0.0236069799037587	reg1916	0.029173623188714
MMP13	1534	0	114.94135326496	0.0236069799037587	reg1916	0.00323148701389306
CASP1	1287	0	157.935908449979	0.0236069799037587	reg1918	0.0305110185545352
TMPRSS5	1453	1	119.443884561367	0.0236069799037587	reg1927	0.0297083096554154
USP28	3439	0	119.443884561367	0.0236069799037587	reg1927	0.0264576117737274
OR10G6	999	1	160.844842549075	0.0236069799037587	reg1937	0.00150134218377579
OR10G9	936	1	160.844842549075	0.0236069799037587	reg1937	0.0182642366034735
ADIPOR2	1161	0	118.937501476433	0.0236069799037587	reg1950	0.0190389423429172
AICDA	601	0	262.840454588133	0.0236069799037587	reg1957	0.00851674585910482
APOLD1	843	1	120.958399295994	0.0236069799037587	reg1961	0.013940146844414
FGD4	2999	1	139.174276153415	0.0236069799037587	reg1981	0.00273863713930947
NELL2	2821	1	163.203040748242	0.0236069799037587	reg1994	0.0307659909831786
LARP4	2240	0	135.159454250423	0.0236069799037587	reg1999	0.0115232250031899
ACVRL1	1662	0	136.590127631485	0.0236069799037587	reg2001	0.0445473068439407
ACVR1B	1883	0	136.590127631485	0.0236069799037587	reg2001	0.00688700082615186
KRT82	1542	0	136.590127631485	0.0236069799037587	reg2001	0.0389611391916018
KRT6B	1695	2	136.590127631485	0.0236069799037587	reg2001	0.0461321084349069
EIF4B	1851	0	132.06440184179	0.0236069799037587	reg2002	0.00742500180578365
NABP2	636	0	114.721539861542	0.0236069799037587	reg2005	0.00619812499831174
BAZ2A	5740	2	138.452745873522	0.0236069799037587	reg2006	0.0320505146410916
CTDSP2	834	0	130.025673533246	0.0236069799037587	reg2007	0.0119552276088431
TMEM5	1332	1	153.169832291689	0.0236069799037587	reg2013	0.0342004169749732
AC025262.1	141	0	147.745418336292	0.0236069799037587	reg2014	0.0324872073267699
IGF1	663	0	116.582968129658	0.0236069799037587	reg2051	0.00914762205536783
CCDC63	1692	0	133.894126547744	0.0236069799037587	reg2060	0.0397568129543633
TMEM116	1032	0	133.602760724959	0.0236069799037587	reg2061	0.0138185417559191
RAB35	1436	0	122.422481713671	0.0236069799037587	reg2069	0.0251087462091136
ZNF664	786	0	143.443256744907	0.0236069799037587	reg2073	0.0128931775121843
IFT88	2626	1	167.885423645845	0.0236069799037587	reg2103	0.0142304128107198
ATP8A2	3567	0	141.630430563277	0.0236069799037587	reg2108	0.0307664708720513
SLC7A1	1890	0	126.179354020956	0.0236069799037587	reg2112	0.00677700465938505
TRPC4	2949	0	167.913522086317	0.0236069799037587	reg2120	0.00559430021581642
UTP14C	2301	0	143.224347465183	0.0236069799037587	reg2134	0.00086504178559308
KLF5	1374	0	107.722798267323	0.0236069799037587	reg2155	0.026973970582571
SLC15A1	2127	1	115.459119778818	0.0236069799037587	reg2181	0.0489063528388408
OR4N2	924	0	308.504905245626	0.0236069799037587	reg2217	0.034745448753801
CMTM5	672	0	134.2650737237	0.0236069799037587	reg2220	0.00832262619927423
COCH	1793	0	119.158954643605	0.0236069799037587	reg2228	0.0478892935060963
ABHD12B	1089	1	128.30064376297	0.0236069799037587	reg2248	0.0224299577727096
SAMD4A	2265	0	106.775058708885	0.0236069799037587	reg2252	0.00767122489961078
SLC39A9	930	0	102.222925613367	0.0236069799037587	reg2266	0.00861744844325128
ACOT2	1452	0	135.013188011316	0.0236069799037587	reg2271	0.00262308259364149
VRTN	2109	0	135.013188011316	0.0236069799037587	reg2271	0.00733390829622182
NPC2	1048	0	135.013188011316	0.0236069799037587	reg2271	0.0162457059914693
C14orf166B	1881	0	146.119522537812	0.0236069799037587	reg2274	0.0363975112194012
VIPAS39	1560	0	146.119522537812	0.0236069799037587	reg2274	0.0258935663873063
ZC3H14	2669	0	123.177837400889	0.0236069799037587	reg2286	0.0201916341161762
SERPINA4	1284	0	123.942446682002	0.0236069799037587	reg2292	0.0274553996916011
TRAF3	1707	0	123.024805360276	0.0236069799037587	reg2300	0.0325350826615509
NDN	966	0	302.764219535462	0.0236069799037587	reg2328	0.0439420037785042
HERC2	14505	4	221.862906891424	0.0236069799037587	reg2332	0.024460469086041
MEIS2	1638	0	133.995294835477	0.0236069799037587	reg2341	0.0420337534648346
TRIP4	1844	0	113.885719436223	0.0236069799037587	reg2368	0.0419306886262323
NEO1	4446	1	112.470529370953	0.0236069799037587	reg2377	0.0107378974103783
UBL7	1143	0	140.535037393719	0.0236069799037587	reg2378	0.0248707110631611
PSMA4	809	0	141.13570520531	0.0236069799037587	reg2382	0.0136747505957672
RGMA	1415	0	138.853929279385	0.0236069799037587	reg2397	0.00581196967875535
SOX8	1341	1	176.716356882379	0.0236069799037587	reg2407	0.0382351065323516
GNPTG	1002	0	176.716356882379	0.0236069799037587	reg2407	0.0224725724257187
NTN3	1743	0	151.226413348483	0.0236069799037587	reg2408	0.0335550980662842
ZNF263	2057	0	121.441716169422	0.0236069799037587	reg2409	0.00693322485302011
C16orf71	1614	0	140.411060882361	0.0236069799037587	reg2410	0.0344586559501907
KNOP1	1377	0	122.033626388207	0.0236069799037587	reg2425	0.0270190545439254
SULT1A2	1011	1	161.736578259369	0.0236069799037587	reg2434	0.00106512384399855
RABEP2	1741	0	161.736578259369	0.0236069799037587	reg2434	0.0444927974863686
NFATC2IP	1260	0	161.736578259369	0.0236069799037587	reg2434	0.024769771486824
C16orf92	502	0	141.334184490963	0.0236069799037587	reg2436	0.000267923896076134
CNOT1	7374	1	124.060134672195	0.0236069799037587	reg2464	0.0496341587008378
CBFB	595	0	121.428125842344	0.0236069799037587	reg2473	5.9564727512009e-09
CTCF	2184	0	121.428125842344	0.0236069799037587	reg2473	0.0119290033639899
CDH1	2649	0	121.71180360103	0.0236069799037587	reg2474	0.00200689228392787
TIMM22	585	1	180.768862347426	0.0236069799037587	reg2497	0.00493653772424309
GSG2	2397	0	186.848779405841	0.0236069799037587	reg2499	0.0169234567645443
GGT6	1500	0	136.030129300773	0.0236069799037587	reg2500	0.0299897529991606
EIF4A1	1446	0	131.283009751374	0.0236069799037587	reg2503	0.0048543858753779
FXR2	2027	0	131.283009751374	0.0236069799037587	reg2503	0.00141499437014019
SHBG	1209	0	131.283009751374	0.0236069799037587	reg2503	0.00295758145663955
TP53	1378	0	131.283009751374	0.0236069799037587	reg2503	3.04258719503115e-28
ADPRM	1029	0	157.784810152016	0.0236069799037587	reg2506	0.0326878041088724
MAP2K4	1233	0	143.656314379406	0.0236069799037587	reg2507	0.000291175817024925
ALDH3A1	1362	1	265.660626640322	0.0236069799037587	reg2516	0.0337203825858546
MAP2K3	1523	0	265.660626640322	0.0236069799037587	reg2516	0.0043473054074698
KCNJ12	1302	0	265.660626640322	0.0236069799037587	reg2516	0.0310729605148578
UBBP4	861	1	265.660626640322	0.0236069799037587	reg2516	0.0144521159951892
NF1	8710	3	144.726206450268	0.0236069799037587	reg2525	0.0289738836564667
HNF1B	1766	1	152.858555038838	0.0236069799037587	reg2532	0.0495096970325439
SMARCE1	1382	0	128.219330527656	0.0236069799037587	reg2534	0.0287429974523658
KRT34	1311	1	166.553345875102	0.0236069799037587	reg2535	0.0409419430345483
AARSD1	1239	0	144.04784892208	0.0236069799037587	reg2536	0.00238238282916506
HOXB9	753	0	88.7621609500091	0.0236069799037587	reg2542	0.011909128734505
LRRC59	1163	0	95.0316521425281	0.0236069799037587	reg2544	0.0239948095859229
ANKRD62	2754	0	153.2171160459	0.0236069799037587	reg2589	0.024396069454143
TUBB6	1510	0	153.2171160459	0.0236069799037587	reg2589	0.0448546846611665
GREB1L	6025	1	119.386414841867	0.0236069799037587	reg2596	0.0314561398003887
LAMA3	10418	1	101.735310008607	0.0236069799037587	reg2598	0.0277851286507481
CDH2	2819	0	186.336186471194	0.0236069799037587	reg2602	0.041506029242608
CELF4	1532	1	146.330591852815	0.0236069799037587	reg2611	0.0379188227447005
SIGLEC15	1091	0	145.649254137526	0.0236069799037587	reg2620	0.0166032563938705
