name	ct	len	pval	p.adj	den
RPL18AP14	2	32	3.01372986900384e-08	4.91237968647626e-06	0.0625
SAE1	2	1879	5.59529872035646e-05	0.00906438392697747	0.00106439595529537
RPL35P2	1	33	0.000120957126432318	0.0194740973556032	0.0303030303030303
ZC3H4	2	3243	0.000142926325115158	0.0228682120184253	0.000616712920135677
RP11-296A18.6	1	92	0.000362751027018849	0.0576774132959971	0.0108695652173913
RP1-13D10.3	1	166	0.00049671756640172	0.0784813754914718	0.00602409638554217
RNU6-647P	1	134	0.000520646519287318	0.081741503528109	0.00746268656716418
GABRR3	1	101	0.000663724033744727	0.103540949264177	0.0099009900990099
INSL3	1	151	0.000889455266703481	0.13786556633904	0.00662251655629139
PSG9	1	97	0.00101113091417481	0.155714160782921	0.0103092783505155
PRAC1	1	201	0.00115611509824969	0.176885610032202	0.00497512437810945
OR4N2	1	214	0.00124200967065114	0.188785469938974	0.00467289719626168
RNA5SP330	1	258	0.00153036578263424	0.231085233177771	0.00387596899224806
AC007041.1	1	252	0.00161934109888968	0.242901164833452	0.00396825396825397
RP1-292B18.4	1	460	0.00178930087517683	0.266605830401347	0.00217391304347826
PRAC2	1	282	0.00199605603517219	0.295416293205484	0.00354609929078014
RP11-290F20.2	1	418	0.00211938339057717	0.311549358414844	0.00239234449760766
UPB1	1	708	0.00213225246231126	0.311549358414844	0.00141242937853107
RP11-465K16.1	1	223	0.00233940815681223	0.339214182737774	0.00448430493273543
OPN1SW	1	486	0.00234865972789768	0.339214182737774	0.00205761316872428
AP000619.6	1	336	0.00240942692300126	0.34454804998918	0.00297619047619048
L3MBTL2	1	353	0.00245166745591312	0.348136778739663	0.0028328611898017
MPL	1	640	0.00252353917920069	0.355819024267297	0.0015625
AGBL2	1	580	0.00262755422743486	0.367857591840881	0.00172413793103448
RNU6-537P	1	524	0.00278404421032644	0.386982145235376	0.00190839694656489
AC108448.3	1	687	0.00280895668491366	0.387636022518085	0.00145560407569141
AC011747.3	1	538	0.0028427901747312	0.389462253938175	0.00185873605947955
IGLVV-58	1	654	0.00289289932334424	0.393434307974817	0.00152905198776758
HTATSF1P	1	711	0.00296788125918598	0.400663969990108	0.00140646976090014
HIST1H4B	1	435	0.00301764962383703	0.404365049594162	0.00229885057471264
MKS1	1	555	0.00324762117589874	0.431933616394532	0.0018018018018018
SLC4A1AP	1	557	0.00355265180191148	0.468950037852315	0.00179533213644524
SUPT7L	1	557	0.00355265180191148	0.468950037852315	0.00179533213644524
RP11-231L11.1	1	614	0.0036641446910626	0.476338809838139	0.00162866449511401
RP11-61A14.1	1	679	0.00376854172130754	0.486141882048672	0.00147275405007364
RPL13P	1	465	0.00382678138891826	0.489828017781537	0.0021505376344086
LINC00221	1	506	0.00383649421120619	0.489828017781537	0.00197628458498024
RP4-811H24.9	1	779	0.00386111844541053	0.489828017781537	0.00128369704749679
CTD-2192J16.11	1	765	0.00390363234472447	0.489828017781537	0.00130718954248366
CALHM3	1	728	0.00413071185005257	0.512208269406519	0.00137362637362637
CDIPT-AS1	1	957	0.00414208262204268	0.512208269406519	0.00104493207941484
H2AFX	1	942	0.00430994170168856	0.525812887606005	0.00106157112526539
NRAS	1	479	0.00438461880387682	0.530538875269095	0.00208768267223382
AC097468.7	1	765	0.00439856562740866	0.530538875269095	0.00130718954248366
WNT10A	1	809	0.00457932422198188	0.544939582415843	0.00123609394313968
GRIN2C	1	731	0.00465769021742012	0.549607445655575	0.00136798905608755
AC002310.7	1	916	0.00466802825310943	0.549607445655575	0.00109170305676856
PARP14	1	1002	0.00468141855934256	0.549607445655575	0.000998003992015968
HOTTIP	1	730	0.00470164651602081	0.549607445655575	0.00136986301369863
