chr	start	stops	name	p-value
chr11	33409000	33412100	DRM:CD59(;REG)	0.00241405663858371
chr11	33409000	33412100	DRM:LMO2(PPI;)	0.00241405663858371
chr11	348200	349000	DRM:IRF7(;)	0.0196435636540883
chr11	348200	349000	DRM:PKP3(;)	0.0196435636540883
chr11	47958800	47961800	DRM:ACP2(;)	0.00558984449481863
chr11	47958800	47961800	DRM:NR1H3(PPI;REG)	0.00558984449481863
chr11	47958800	47961800	DRM:SPI1(PPI;REG)	0.00558984449481863
chr1	157399800	157400400	DRM:FCRL5(;)	0.000176505965669152
chr1	162426900	162427000	DRM:DDR2(;)	0.0294243153042352
chr1	162426900	162427000	DRM:RGS5(;)	0.0294243153042352
chr12	51054700	51056600	DRM:SMAGP(;)	0.00190317185277924
chr1	26467200	26467600	DRM:NR0B2(PPI;REG)	0.0433442094373143
chr1	29775000	29775700	DRM:EPB41(PPI;REG)	0.00477072421949899
chr13	78034200	78034700	DRM:SCEL(;)	0.0273807050690243
chr1	40468600	40470200	DRM:CAP1(PPI;)	0.00320772755554348
chr1	40468600	40470200	DRM:COL9A2(;)	0.00320772755554348
chr14	54965800	54966300	DRM:ENSG00000256668.1(;)	0.000560570804063172
chr14	93789200	93789500	DRM:SERPINA10(;)	0.0178400455888575
chr15	22517700	22521100	DRM:ENSG00000256531.1(;)	0.0182691149753324
chr15	40369700	40370000	DRM:DLL4(;)	0.0080225118638886
chr15	93876500	93877700	DRM:RGMA(;)	0.00784247985782324
chr15	93876500	93877700	DRM:ST8SIA2(;)	0.00784247985782324
chr15	97527100	97528000	DRM:NR2F2(;REG)	0.0344114764944619
chr16	2713500	2714900	DRM:PRSS21(;)	0.0239663435744463
chr16	78739600	78741000	DRM:VAT1L(;)	0.0253003827941234
chr16	81807400	81808400	DRM:SDR42E1(;)	0.0168773152536828
chr16	81839100	81839500	DRM:SDR42E1(;)	0.00262787385525765
chr16	87177000	87179800	DRM:BANP(;REG)	0.0470957693538
chr17	36139600	36139800	DRM:SRCIN1(;)	0.00245593293742164
chr17	36139600	36139800	DRM:TBC1D3(;)	0.00245593293742164
chr17	38267000	38271600	DRM:TNS4(;)	0.0264220845222266
chr17	41849000	41851000	DRM:BRCA1(PPI;REG)	0.0302063106610302
chr17	41849000	41851000	DRM:SLC4A1(;)	0.0302063106610302
chr17	57913400	57927100	DRM:TMEM49(;REG)	0.0463813154681029
chr17	59414500	59416800	DRM:BCAS3(;REG)	0.00778158991541755
chr17	60535600	60537200	DRM:BRIP1(;)	6.25752474628343e-06
chr1	79926400	79927700	DRM:IFI44L(;)	0.0266792861524737
chr18	60291600	60293500	DRM:BCL2(PPI;)	0.0412007200840322
chr19	47964400	47964500	DRM:CARD8(;REG)	0.0410605965830145
chr19	50748800	50749300	DRM:BCL2L12(;)	0.0450075499741874
chr19	50748800	50749300	DRM:CD37(;)	0.0450075499741874
chr19	50748800	50749300	DRM:CLEC11A(;)	0.0450075499741874
chr19	50748800	50749300	DRM:IL4I1(;REG)	0.0450075499741874
chr19	50748800	50749300	DRM:NAPSA(;)	0.0450075499741874
chr19	57430800	57431400	DRM:ZNF460(;)	0.0114781225721638
chr19	57430800	57431400	DRM:ZNF805(;)	0.0114781225721638
chr19	57445400	57446700	DRM:ZNF460(;)	0.014347502698654
chr19	57445400	57446700	DRM:ZNF805(;)	0.014347502698654
chr19	7708300	7709500	DRM:C3(PPI;REG)	0.0305860601060785
chr20	53297400	53297700	DRM:BCAS1(;REG)	0.0304299989565752
chr2	130240900	130241500	DRM:FAM128B(;)	0.030960792963405
chr2	240660100	240660300	DRM:ANKMY1(;)	4.68917523491338e-09
chr2	240660100	240660300	DRM:CAPN10(;)	4.68917523491338e-09
chr2	60415700	60416600	DRM:PUS10(;REG)	0.0231137949344707
chr2	69081100	69081500	DRM:ANTXR1(;)	0.0310578343582537
chr3	138630700	138632300	DRM:MRAS(PPI;)	0.0285788672513637
chr3	33010100	33010900	DRM:CLASP2(PPI;)	0.00585779477497834
chr3	33010100	33010900	DRM:FBXL2(;)	0.00585779477497834
chr3	46100300	46101300	DRM:ALS2CL(;)	1.74262137368555e-06
chr3	46100300	46101300	DRM:LZTFL1(;REG)	1.74262137368555e-06
chr4	74625100	74625500	DRM:AFP(;REG)	0.00158518458316694
chr4	74625100	74625500	DRM:ALB(;)	0.00158518458316694
chr5	130557100	130557500	DRM:CSF2(PPI;)	0.0470541212581446
chr5	175857000	175857600	DRM:SFXN1(;)	0.0411446154513395
chr5	78881600	78883200	DRM:ARSB(;REG)	0.00328202420384308
chr5	78881600	78883200	DRM:JMY(;)	0.00328202420384308
chr6	1067600	1069300	DRM:IRF4(;REG)	0.00760926835956785
chr6	127724400	127725700	DRM:PTPRK(PPI;)	0.00958834455038386
chr6	150769500	150769700	DRM:RAET1G(;)	0.00531347133104831
chr6	43347400	43349500	DRM:DLK2(;)	0.000859737535129125
chr6	52459300	52464100	DRM:GCLC(;)	0.0261745248055743
chr8	118203500	118204100	DRM:EIF3H(PPI;)	0.00232759104853889
chr8	38501100	38503000	DRM:FGFR1(PPI;)	0.000793959304162871
chr8	55076100	55076200	DRM:TCEA1(;)	4.62927987607832e-08
chrX	2434500	2435500	DRM:GYG2(;)	0.0171920069252404
chrX	2434500	2435500	DRM:XG(;)	0.0171920069252404
chrX	36518600	36519900	DRM:PRRG1(;)	0.00854924821628584
