gene	len	ct	mu	sigma	region	p-value
PANK4	2322	1	186.296730124902	0.0236069799037587	reg2	0.0171214237377384
SMIM1	241	0	186.296730124902	0.0236069799037587	reg2	0.0201945618274616
CEP104	2997	0	186.296730124902	0.0236069799037587	reg2	0.0274541093636983
ERRFI1	1464	0	120.07375764023	0.0236069799037587	reg9	0.00164917271906253
TMEM201	2020	0	143.457225885518	0.0236069799037587	reg10	0.0478153807617012
PEX14	1145	0	129.196803187074	0.0236069799037587	reg11	0.018596751778653
MAD2L2	767	0	126.928795504057	0.0236069799037587	reg12	0.00896282781082967
CATSPER4	1503	0	121.903507602641	0.0236069799037587	reg27	0.0251417211724509
ARID1A	6858	3	141.776251607553	0.0236069799037587	reg28	0.029150271886264
C1orf50	1609	0	120.941269110175	0.0236069799037587	reg44	0.029005127925163
MMACHC	849	0	148.072333824019	0.0236069799037587	reg46	0.010515367134902
OSBPL9	2409	1	108.610364237959	0.0236069799037587	reg53	0.0125427766291128
ANGPTL3	1383	0	136.975740473859	0.0236069799037587	reg64	0.0374189905052225
ASB17	888	0	149.813207237191	0.0236069799037587	reg77	0.0474365137422278
ST6GALNAC5	1011	0	148.830743619121	0.0236069799037587	reg78	0.0480185781651642
DNASE2B	1086	0	134.856521328555	0.0236069799037587	reg85	0.0312669212811628
HFM1	4312	1	153.276899967581	0.0236069799037587	reg93	0.0142614350018756
BRDT	2844	0	153.276899967581	0.0236069799037587	reg93	0.0232815939917437
FAM69A	1287	0	130.713887861791	0.0236069799037587	reg94	0.0291219032678699
GSTM4	897	0	104.104879432171	0.0236069799037587	reg111	0.0146298891823964
SLC16A1	1568	0	137.439358882274	0.0236069799037587	reg114	0.0400501171590722
ITGA10	3504	1	137.594834017078	0.0236069799037587	reg148	0.011515880790044
SETDB1	4085	0	129.713697335162	0.0236069799037587	reg151	0.00130228421914186
RPTN	2355	0	207.056332805153	0.0236069799037587	reg153	0.0354798286248144
RUSC1	2836	0	119.774587930762	0.0236069799037587	reg156	0.0151693284606001
CD5L	1044	0	182.758900817329	0.0236069799037587	reg158	0.039598716507753
FCER1G	402	0	151.496258882413	0.0236069799037587	reg162	0.00249608767740547
DUSP27	3477	0	120.501996599568	0.0236069799037587	reg168	0.0478319198984271
LAMC1	4830	2	123.140317425324	0.0236069799037587	reg184	0.0357991908848768
AC096677.1	726	0	124.646446604293	0.0236069799037587	reg202	0.00740569828513331
LMOD1	1803	0	124.646446604293	0.0236069799037587	reg202	0.0403000297561089
ELF3	1116	0	124.646446604293	0.0236069799037587	reg202	0.0167191564431664
SLC30A1	1524	1	154.485352194591	0.0236069799037587	reg212	0.0497330833986927
MIA3	5921	2	167.208304446179	0.0236069799037587	reg223	0.0375891126856831
LIN9	1925	0	116.329593328298	0.0236069799037587	reg227	0.0107645796844102
JMJD4	1392	0	127.830909418127	0.0236069799037587	reg228	0.0395249290333565
CAPN9	2073	0	123.198920997009	0.0236069799037587	reg231	0.0108201506961171
RBM34	1380	0	139.359490018257	0.0236069799037587	reg235	0.0310451683114401
VIM	1478	0	172.241211090972	0.0236069799037587	reg1695	0.0191626865917839
C10orf67	1106	1	152.090264658978	0.0236069799037587	reg1702	0.039081346417404
GPR158	3648	1	174.587823647506	0.0236069799037587	reg1704	0.0453753505119099
CXCL12	747	0	157.001517725814	0.0236069799037587	reg1723	0.0233782448306287
AIFM2	1122	1	123.148473548734	0.0236069799037587	reg1750	0.0310721256617792
SLC29A3	1428	0	127.211457632676	0.0236069799037587	reg1752	0.0213839502389555
FUT11	1576	0	141.411178914979	0.0236069799037587	reg1754	0.0413452182239729
PLAU	1330	1	141.411178914979	0.0236069799037587	reg1754	0.0304317401153347
PTEN	1212	1	136.093649641646	0.0236069799037587	reg1768	0.00118429542857681
POLR2L	204	0	163.507488655022	0.0236069799037587	reg1816	0.0343269464248337
