name	ct	len	pval	p.adj	den
RN7SL391P	2	41	8.11605719852615e-07	0.00170843004028975	0.0487804878048781
RP11-247A12.2	3	205	1.08125721931529e-06	0.00227496518943937	0.0146341463414634
RP11-247A12.8	3	205	1.08125721931529e-06	0.00227496518943937	0.0146341463414634
RP11-624L4.1	3	217	1.46721613214496e-06	0.0030840883097687	0.0138248847926267
PRNT	2	68	1.55753325215002e-06	0.0032723773627672	0.0294117647058824
RXRB	4	277	1.7508638111563e-06	0.00367681400342823	0.0144404332129964
RP11-343C2.10	2	131	2.57035496742386e-06	0.00539517507662268	0.0152671755725191
UBE2V1	3	125	3.48946801109751e-06	0.00732090388728257	0.024
CHMP1B	3	79	4.28943856101149e-06	0.0089949526624411	0.0379746835443038
DGKI	3	292	6.46057074671358e-06	0.0135413562851117	0.0102739726027397
PPM1E	1	16	9.17016421297934e-06	0.0192114940261917	0.0625
RP11-30K9.5	2	121	1.58114998468628e-05	0.0331092806793307	0.0165289256198347
VARS	2	147	1.76309109618522e-05	0.0369014966431567	0.0136054421768707
VWA7	2	147	1.76309109618522e-05	0.0369014966431567	0.0136054421768707
LRPPRC	3	210	1.85108773672615e-05	0.0387062445749439	0.0142857142857143
AC079354.1	1	27	2.53322659818922e-05	0.0529444359021547	0.037037037037037
RP11-346I3.4	3	174	2.56345544337178e-05	0.0535505842120364	0.0172413793103448
RRS1	3	174	2.56345544337178e-05	0.0535505842120364	0.0172413793103448
KMO	2	139	2.65959152637718e-05	0.0555056751554918	0.0143884892086331
CD1B	1	13	2.96959097919602e-05	0.0619456678260291	0.0769230769230769
SORCS1	2	75	2.97315698295497e-05	0.0619903230946112	0.0266666666666667
SLC30A6	3	313	3.04613129907816e-05	0.0634813762727888	0.00958466453674121
RP11-563N4.1	3	313	3.04613129907816e-05	0.0634813762727888	0.00958466453674121
MIR3935	2	234	4.08116407295545e-05	0.0849698359989324	0.00854700854700855
RP11-142A5.1	2	95	4.40016855273173e-05	0.0915675075823473	0.0210526315789474
FOXB1	1	42	4.88322072058622e-05	0.101570990988193	0.0238095238095238
TSC22D1	4	966	5.09512974131709e-05	0.105927747321982	0.0041407867494824
FOXL1	1	49	7.49685562071445e-05	0.155784659798446	0.0204081632653061
SH2D3C	2	262	7.67795788884085e-05	0.159471185351224	0.00763358778625954
RPLP1	3	234	8.60551956740618e-05	0.178650586219352	0.0128205128205128
AC140061.8	1	50	8.67437639149315e-05	0.179993310123483	0.02
AC140061.7	1	50	8.67437639149315e-05	0.179993310123483	0.02
CEACAM6	1	23	8.76340568446432e-05	0.181665399838945	0.0434782608695652
H3F3A	2	123	9.46110837695135e-05	0.196034165570432	0.016260162601626
RP11-396C23.4	2	123	9.46110837695135e-05	0.196034165570432	0.016260162601626
FHL2	2	252	0.000101940596050731	0.211017033825014	0.00793650793650794
GAPDHP16	1	50	0.000105403264254345	0.218079353742239	0.02
PIK3CA	3	309	0.000110683452342775	0.228893379444858	0.00970873786407767
RP11-360P21.2	3	309	0.000110683452342775	0.228893379444858	0.00970873786407767
C21orf90	1	34	0.000117124557081683	0.241979334930756	0.0294117647058824
MT2A	3	486	0.000117219824330994	0.242058937243503	0.00617283950617284
KIAA0907	2	156	0.000122946435660243	0.253761443202741	0.0128205128205128
RP11-714L20.1	1	22	0.000125894895451784	0.259721169317029	0.0454545454545455
FCF1P7	1	47	0.000127144981562299	0.262172951981461	0.0212765957446809
GHITM	5	581	0.000134835758839769	0.277896498968763	0.00860585197934595
ADHFE1	3	293	0.000136919644241007	0.282054467136474	0.0102389078498294
TCF7	1	62	0.000144693963754161	0.297924871369818	0.0161290322580645
TOP1MT	2	155	0.000154920474873421	0.318826337289501	0.0129032258064516
GCC1	2	168	0.000167857547830885	0.345282975888131	0.0119047619047619
C2orf50	2	208	0.000179794252709975	0.369656983571709	0.00961538461538462
