chr	start	stops	name	p-value
chr1	1556002	1558502	MIB2|ENST00000512004.1	0.00687969906215578
chr1	1556461	1558961	MIB2|ENST00000508455.1	0.00687969906215578
chr1	1556682	1559182	MIB2|ENST00000514234.1	0.00687969906215578
chr1	1557624	1560124	MIB2|ENST00000467597.1	0.00687969906215578
chr1	1557967	1560467	MIB2|ENST00000508148.1	0.00687969906215578
chr1	2484578	2487078	TNFRSF14|ENST00000426449.1	0.00687969906215578
chr1	2484730	2487230	TNFRSF14|ENST00000434817.1	0.00687969906215578
chr1	2484741	2487241	TNFRSF14|ENST00000435221.2	0.00687969906215578
chr1	2484919	2487419	TNFRSF14|ENST00000451778.1	0.00687969906215578
chr1	2485161	2487661	TNFRSF14|ENST00000409119.1	0.00687969906215578
chr1	2485305	2487805	TNFRSF14|ENST00000355716.4	0.00687969906215578
chr1	2485325	2487825	TNFRSF14|ENST00000475523.1	0.00687969906215578
chr1	2485344	2487844	TNFRSF14|ENST00000442392.2	0.00687969906215578
chr1	2485345	2487845	TNFRSF14|ENST00000482074.2	0.00687969906215578
chr1	2485496	2487996	TNFRSF14|ENST00000496064.1	0.00687969906215578
chr1	2485510	2488010	TNFRSF14|ENST00000463471.2	0.00687969906215578
chr1	6671245	6673745	PHF13|ENST00000377648.4	0.00624063148373236
chr1	6671322	6673822	PHF13|ENST00000495385.1	0.00624063148373236
chr1	16539104	16541604	ARHGEF19|ENST00000270747.3	0.0028846532158932
chr1	20394201	20396701	PLA2G5|ENST00000375108.3	0.00803291202197935
chr1	20394288	20396788	PLA2G5|ENST00000478803.1	0.00803291202197935
chr1	23768764	23771264	ASAP3|ENST00000475814.1	0.00686202970852626
chr1	26394124	26396624	TRIM63|ENST00000374272.3	0.00555957795519938
chr1	26394927	26397427	TRIM63|ENST00000483052.1	0.00555957795519938
chr1	27998729	28001229	IFI6|ENST00000361157.6	0.00482457897233581
chr1	27998689	28001189	IFI6|ENST00000339145.4	0.00482457897233581
chr1	27998709	28001209	IFI6|ENST00000362020.4	0.00482457897233581
chr1	46664115	46666615	POMGNT1|ENST00000371984.3	0.0050228384319337
chr1	46664098	46666598	POMGNT1|ENST00000371986.3	0.0050228384319337
chr1	46664032	46666532	POMGNT1|ENST00000497439.1	0.0050228384319337
chr1	46663774	46666274	POMGNT1|ENST00000489985.1	0.0050228384319337
chr1	55230187	55232687	PARS2|ENST00000371279.3	0.0070957504314146
chr1	97269867	97272367	PTBP2|ENST00000462433.1	0.00953024359873018
chr1	100315726	100318226	AGL|ENST00000370161.2	0.00673537573342275
chr1	109203744	109206244	HENMT1|ENST00000402983.1	0.00959772905454431
chr1	109203677	109206177	HENMT1|ENST00000370031.1	0.00959772905454431
chr1	109204148	109206648	HENMT1|ENST00000370032.5	0.00959772905454431
chr1	109203802	109206302	HENMT1|ENST00000420055.1	0.00959772905454431
chr1	109203686	109206186	HENMT1|ENST00000493676.1	0.00959772905454431
chr1	109232445	109234945	PRPF38B|ENST00000370025.4	0.00959772905454431
chr1	109232446	109234946	PRPF38B|ENST00000370022.5	0.00959772905454431
chr1	109232449	109234949	PRPF38B|ENST00000467302.1	0.00959772905454431
chr1	109232463	109234963	PRPF38B|ENST00000370021.1	0.00959772905454431
chr1	111420359	111422859	CD53|ENST00000476408.1	0.00757859260059187
chr1	114695062	114697562	SYT6|ENST00000607941.1	0.00462634073328473
chr1	147372446	147374946	GJA8|ENST00000240986.4	0.00433570205105884
chr1	150978961	150981461	FAM63A|ENST00000493834.2	0.00562972596740505
chr1	150978396	150980896	PRUNE|ENST00000467771.1	0.00562972596740505
chr1	150978426	150980926	PRUNE|ENST00000462440.1	0.00562972596740505
chr1	150978443	150980943	PRUNE|ENST00000475722.1	0.00562972596740505
chr1	150978453	150980953	PRUNE|ENST00000450884.1|ENST00000271620.3|ENST00000271619.8	0.00562972596740505
chr1	150978454	150980954	PRUNE|ENST00000368937.1	0.00562972596740505
chr1	150978458	150980958	PRUNE|ENST00000431193.1	0.00562972596740505
chr1	150978459	150980959	PRUNE|ENST00000368936.1	0.00562972596740505
chr1	150978506	150981006	PRUNE|ENST00000368935.1	0.00562972596740505
chr1	158670486	158672986	OR6K2|ENST00000359610.2	0.0180602478455553
chr1	160249872	160252372	PEX19|ENST00000467711.1	0.00586106527331918
chr1	164543521	164546021	PBX1|ENST00000560469.1	0.00818752479443691
chr1	166135462	166137962	FAM78B|ENST00000435676.1	0.0108059101721209
chr1	166135618	166138118	FAM78B|ENST00000456900.1	0.0108059101721209
chr1	166135471	166137971	FAM78B|ENST00000441649.1	0.0108059101721209
chr1	166135952	166138452	FAM78B|ENST00000354422.3	0.0108059101721209
chr1	166136206	166138706	FAM78B|ENST00000338353.3	0.0108059101721209
chr1	182922158	182924658	SHCBP1L|ENST00000483655.1	0.00820828341756158
chr1	182922505	182925005	SHCBP1L|ENST00000367547.3	0.00820828341756158
chr1	182922660	182925160	SHCBP1L|ENST00000488956.1	0.00820828341756158
chr1	182922246	182924746	SHCBP1L|ENST00000497549.2	0.00820828341756158
chr1	192542357	192544857	RGS1|ENST00000367459.3	0.0119989503673557
chr1	192542393	192544893	RGS1|ENST00000474373.1	0.0119989503673557
chr1	192542403	192544903	RGS1|ENST00000462589.1|ENST00000583155.1|ENST00000469578.2	0.0119989503673557
chr1	192542405	192544905	RGS1|ENST00000498352.1	0.0119989503673557
chr1	196756390	196758890	CFHR3|ENST00000461558.2	0.012069249421214
chr1	228393331	228395831	OBSCN|ENST00000284548.11|ENST00000570156.2	0.0098840263815642
chr1	228393361	228395861	OBSCN|ENST00000422127.1|ENST00000366707.4|ENST00000366709.4	0.0098840263815642
chr1	241910349	241912849	WDR64|ENST00000425826.2	0.00704980641761766
chr2	15651427	15653927	NBAS|ENST00000427792.1	0.00659159487553862
chr2	24233269	24235769	MFSD2B|ENST00000495018.1	0.00588773759246832
chr2	30966384	30968884	CAPN13|ENST00000450650.1	0.0109855545096493
chr2	63822182	63824682	MDH1|ENST00000484538.1	0.00699106083463604
