chr	start	stops	name	p-value
chr10	101151270	101154085	UTR:CNNM1	0.00255059830383713
chr10	101151270	101154087	UTR:CNNM1	0.00256233614162525
chr10	101295475	101296278	UTR:NKX2-3	0.00887992581554146
chr10	101635333	101636910	UTR:DNMBP	0.00122287364934384
chr10	101841382	101841634	UTR:CPN1	0.0260911755034959
chr10	1094943	1095110	UTR:IDI1	0.0191989658296102
chr10	11372418	11376357	UTR:CELF2	0.0245984754016249
chr10	114575139	114578503	UTR:VTI1A	0.000561553288020898
chr10	114925390	114927437	UTR:TCF7L2	0.0277027997052409
chr10	118618544	118618649	UTR:ENO4	0.000317257374305252
chr10	123237847	123239097	UTR:FGFR2	0.00915619995638015
chr10	123237847	123239373	UTR:FGFR2	0.0198057807248604
chr10	123237854	123239373	UTR:FGFR2	0.0194663485674632
chr10	123238585	123239373	UTR:FGFR2	0.0085881304381081
chr10	123241348	123241688	UTR:FGFR2	0.0455874215688666
chr10	123241369	123241688	UTR:FGFR2	0.0406819630153296
chr10	125767183	125769667	UTR:CHST15	0.0380531047190028
chr10	125767185	125769667	UTR:CHST15	0.0379312865696163
chr10	127684068	127684127	UTR:FANK1	0.00278597689803039
chr10	129249688	129250781	UTR:DOCK1	0.000366822783427246
chr10	129883336	129883369	UTR:PTPRE	0.0371536570928019
chr10	134155716	134155756	UTR:LRRC27	0.036644533980573
chr10	134188569	134195010	UTR:LRRC27	0.00192988085697148
chr10	134188743	134193422	UTR:LRRC27	0.000263972551728715
chr10	134188743	134195010	UTR:LRRC27	0.0014997080618851
chr10	13483089	13483745	UTR:BEND7	0.00755288291926685
chr10	14964999	14965674	UTR:DCLRE1C	0.0438466741506723
chr10	16865962	16866976	UTR:CUBN	0.0151633069945251
chr10	17279267	17279584	UTR:VIM	0.000102197514585349
chr10	17279267	17279592	UTR:VIM	0.00011466569346487
chr10	21845868	21846111	UTR:MLLT10	0.0354719071030523
chr10	22045465	22045618	UTR:DNAJC1	3.30928470073125e-05
chr10	26500889	26501456	UTR:MYO3A	0.0445730451421067
chr10	27283969	27284001	UTR:ANKRD26	0.0369259188950415
chr10	27399382	27400908	UTR:YME1L1	0.0372098712934992
chr10	27826977	27828203	UTR:RAB18	0.0166308029058142
chr10	27961802	27964160	UTR:MKX	4.67605733641982e-05
chr10	27961803	27964160	UTR:MKX	4.65765870537886e-05
chr10	30601758	30602540	UTR:MTPAP	0.0102470158443042
