name	ct	len	pval	p.adj	den
BTG2	100	674	0	0	0.148367952522255
BCL2	376	2241	0	0	0.167782240071397
D86994.1	9	242	0	0	0.0371900826446281
SEL1L3	32	2186	0	0	0.0146386093321134
BCL2L11	34	2119	0	0	0.0160453043888627
GADD45B	14	1341	0	0	0.0104399701715138
XBP1	27	1022	0	0	0.0264187866927593
IGHJ6	1420	935	0	0	1.51871657754011
IGHJ2	39	125	0	0	0.312
IGHJ1	15	61	0	0	0.245901639344262
IGLV2-23	9	242	0	0	0.0371900826446281
IGHV1-18	14	476	0	0	0.0294117647058824
CTA-292E10.6	27	1533	0	0	0.0176125244618395
RCSD1	10	739	0	0	0.013531799729364
EBF1	23	2359	0	0	0.00974989402289106
MIR4322	49	880	0	0	0.0556818181818182
ITPKB	15	1408	0	0	0.0106534090909091
AL901608.1	21	649	0	0	0.0323574730354391
RP11-211G3.2	181	803	0	0	0.225404732254047
AL928742.1	52	822	0	0	0.0632603406326034
IGHM	104	1120	0	0	0.0928571428571429
D87024.1	43	525	0	0	0.0819047619047619
OSBPL10	30	3132	0	0	0.00957854406130268
FAM81A	15	1532	0	0	0.0097911227154047
ARID5B	14	981	0	0	0.0142711518858308
IGLV4-69	27	621	0	0	0.0434782608695652
hsa-mir-4538	277	1179	0	0	0.234944868532655
hsa-mir-4539	247	1305	0	0	0.189272030651341
MYO1E	15	711	0	0	0.0210970464135021
ZFP36L1	74	2466	0	0	0.0300081103000811
IL4R	27	927	0	0	0.029126213592233
BIRC3	35	718	0	0	0.0487465181058496
HIST1H2BC	16	678	0	0	0.023598820058997
IGLV1-41	14	462	0	0	0.0303030303030303
AL122127.4	301	1185	0	0	0.254008438818565
AL122127.5	245	1292	0	0	0.189628482972136
AL122127.1	308	1204	0	0	0.255813953488372
AL122127.2	236	1236	0	0	0.190938511326861
AL122127.3	574	741	0	0	0.774628879892038
NEAT1	43	1926	0	0	0.0223260643821391
HIST1H2AC	16	662	0	0	0.0241691842900302
FNBP1	12	1192	0	0	0.0100671140939597
RP11-731F5.1	109	1082	0	0	0.100739371534196
MIR142	81	1598	0	0	0.0506883604505632
RP11-397D12.4	21	614	0	0	0.0342019543973941
IRF8	31	2482	0	0	0.0124899274778405
IGLV2-5	43	549	0	0	0.0783242258652095
S1PR2	24	1013	0	0	0.0236920039486673
IGLV3-1	236	620	0	0	0.380645161290323
ZNF860	28	1013	0	0	0.0276406712734452
SOCS1	34	1371	0	0	0.024799416484318
PIM2	16	607	0	0	0.0263591433278418
MYC	77	1042	0	0	0.0738963531669866
DUSP2	60	1613	0	0	0.037197768133912
BCL11A	28	2892	0	0	0.00968188105117566
PIM1	76	1650	0	0	0.0460606060606061
STAT1	13	1324	0	0	0.00981873111782477
HIST1H1E	20	649	1.11022302462516e-16	3.80140363631654e-13	0.0308166409861325
IGLV7-46	8	358	1.11022302462516e-16	3.80140363631654e-13	0.0223463687150838
IGHJ3P	1364	843	1.11022302462516e-16	3.80140363631654e-13	1.61803084223013
CD83	23	491	1.11022302462516e-16	3.80140363631654e-13	0.0468431771894094
SGK1	61	1407	1.11022302462516e-16	3.80140363631654e-13	0.0433546552949538
IGLC1	51	216	1.11022302462516e-16	3.80140363631654e-13	0.236111111111111
RP11-175K6.1	19	1057	1.11022302462516e-16	3.80140363631654e-13	0.0179754020813623
HIST1H2BO	15	742	1.11022302462516e-16	3.80140363631654e-13	0.0202156334231806
NOL9	21	623	1.11022302462516e-16	3.80140363631654e-13	0.0337078651685393
PAX5	19	1053	1.11022302462516e-16	3.80140363631654e-13	0.0180436847103514
IRF1	14	1076	1.11022302462516e-16	3.80140363631654e-13	0.0130111524163569
IGLJ1	66	406	1.11022302462516e-16	3.80140363631654e-13	0.16256157635468
IGLV3-4	26	397	1.11022302462516e-16	3.80140363631654e-13	0.0654911838790932
LTB	43	660	1.11022302462516e-16	3.80140363631654e-13	0.0651515151515152
CD74	14	769	1.11022302462516e-16	3.80140363631654e-13	0.0182054616384915
BTG1	43	1165	2.22044604925031e-16	7.56950058189432e-13	0.0369098712446352
IGHJ3	501	397	2.22044604925031e-16	7.56950058189432e-13	1.26196473551637
DNMT1	35	2193	2.22044604925031e-16	7.56950058189432e-13	0.0159598723210214
IGHG1	33	511	2.22044604925031e-16	7.56950058189432e-13	0.0645792563600783
HIST1H3J	16	1294	2.22044604925031e-16	7.56950058189432e-13	0.0123647604327666
hsa-mir-5571	35	304	2.22044604925031e-16	7.56950058189432e-13	0.115131578947368
LPP	27	2139	2.22044604925031e-16	7.56950058189432e-13	0.0126227208976157
ICAM1	13	1223	2.22044604925031e-16	7.56950058189432e-13	0.0106295993458708
IGHE	53	575	2.22044604925031e-16	7.56950058189432e-13	0.0921739130434783
RFTN1	26	1697	2.22044604925031e-16	7.56950058189432e-13	0.0153211549793754
TCL1A	30	1271	2.22044604925031e-16	7.56950058189432e-13	0.02360346184107
IGHJ2P	262	288	2.22044604925031e-16	7.56950058189432e-13	0.909722222222222
HIST1H2AM	14	727	2.22044604925031e-16	7.56950058189432e-13	0.0192572214580468
RP11-134P9.1	108	918	2.22044604925031e-16	7.56950058189432e-13	0.117647058823529
DTX1	98	2185	2.22044604925031e-16	7.56950058189432e-13	0.0448512585812357
IGLV3-6	9	446	2.22044604925031e-16	7.56950058189432e-13	0.0201793721973094
IGLV5-45	12	374	3.33066907387547e-16	1.13009601676595e-12	0.0320855614973262
IGLV8-61	11	365	3.33066907387547e-16	1.13009601676595e-12	0.0301369863013699
LRMP	14	1402	3.33066907387547e-16	1.13009601676595e-12	0.00998573466476462
IGHV4-39	13	327	3.33066907387547e-16	1.13009601676595e-12	0.0397553516819572
FOXO1	15	1294	3.33066907387547e-16	1.13009601676595e-12	0.0115919629057187
CIITA	155	1537	3.33066907387547e-16	1.13009601676595e-12	0.100845803513338
AC006483.1	11	748	3.33066907387547e-16	1.13009601676595e-12	0.0147058823529412
IGLV1-44	10	573	3.33066907387547e-16	1.13009601676595e-12	0.0174520069808028
AKAP2	12	1604	3.33066907387547e-16	1.13009601676595e-12	0.00748129675810474
TMSB4X	66	1188	4.44089209850063e-16	1.50279788613261e-12	0.0555555555555556
BCL6	264	3491	4.44089209850063e-16	1.50279788613261e-12	0.0756230306502435
SMIM20	19	1599	4.44089209850063e-16	1.50279788613261e-12	0.0118824265165729
IGHV3-48	44	476	4.44089209850063e-16	1.50279788613261e-12	0.092436974789916
IGHA2	56	952	4.44089209850063e-16	1.50279788613261e-12	0.0588235294117647
IGLVI-70	38	724	4.44089209850063e-16	1.50279788613261e-12	0.0524861878453039
hsa-mir-4537	538	905	4.44089209850063e-16	1.50279788613261e-12	0.594475138121547
CRIP1	11	1425	4.44089209850063e-16	1.50279788613261e-12	0.00771929824561404
BACH2	59	1631	4.44089209850063e-16	1.50279788613261e-12	0.0361741263028817
RP11-796E2.4	43	1205	4.44089209850063e-16	1.50279788613261e-12	0.0356846473029046
TAS1R1	21	720	4.44089209850063e-16	1.50279788613261e-12	0.0291666666666667
IGHJ4	855	557	5.55111512312578e-16	1.87239113103033e-12	1.53500897666068
CXCR4	54	1411	6.66133814775094e-16	2.24620322342162e-12	0.0382707299787385
HIST1H2BD	15	741	6.66133814775094e-16	2.24620322342162e-12	0.0202429149797571
IGLV4-60	12	542	6.66133814775094e-16	2.24620322342162e-12	0.022140221402214
ST6GAL1	37	3397	7.7715611723761e-16	2.61823895897351e-12	0.0108919634972034
KCNMA1	12	1103	8.88178419700125e-16	2.99138491755002e-12	0.0108794197642792
IGHV3-23	11	247	8.88178419700125e-16	2.99138491755002e-12	0.0445344129554656
LL22NC03-22A12.12	8	404	1.11022302462516e-15	3.73701070088828e-12	0.0198019801980198
IGHJ5	1117	699	1.11022302462516e-15	3.73701070088828e-12	1.59799713876967
ACTB	29	2703	1.4432899320127e-15	4.85522733129073e-12	0.0107288198298187
UHRF2	11	1194	2.77555756156289e-15	9.334200079536e-12	0.00921273031825796
MALAT1	11	1886	9.76996261670138e-15	3.284661431735e-11	0.00583244962884411
IGLV6-57	8	564	2.1094237467878e-14	7.08977321295379e-11	0.0141843971631206
NCOA3	9	658	2.26485497023532e-14	7.60991269999067e-11	0.013677811550152
MIR17HG	15	2100	2.36477504245158e-14	7.94327936759487e-11	0.00714285714285714
NFKBIA	10	1690	2.66453525910038e-14	8.94750940005906e-11	0.00591715976331361
HIST4H4	10	1045	5.12923037376822e-14	1.72188263647399e-10	0.00956937799043062
IL21R	9	1321	9.61453139325386e-14	3.22663673557599e-10	0.00681302043906132
ZFAND6	10	1342	1.29229960066368e-13	4.33566516022665e-10	0.00745156482861401
IGLVI-68	8	733	1.50324197534246e-13	5.04187358529862e-10	0.0109140518417462
KIAA0226L	13	1991	2.25375273998907e-13	7.55683293718334e-10	0.00652938221998995
LRRC32	10	1537	3.96793709001031e-13	1.33005251257146e-09	0.00650618087182824
AP000769.7	8	809	4.7617465526173e-13	1.59566126978206e-09	0.00988875154511743
ETS1	8	976	1.18993703779324e-12	3.98628907660736e-09	0.00819672131147541
C7orf10	9	831	1.94899651972946e-12	6.52718934457397e-09	0.0108303249097473
BCL2A1	6	463	5.46129808043361e-12	1.82844259732917e-08	0.0129589632829374
RP11-757F18.5	7	631	8.80684414283905e-12	2.94765073460823e-08	0.0110935023771791
FAM69A	8	1238	1.2070899835237e-11	4.03892308487031e-08	0.00646203554119548
HLA-B	7	1053	1.56820112451328e-11	5.24563276149692e-08	0.00664767331433998
GCSAM	7	661	1.62438951178956e-11	5.43195852742429e-08	0.010590015128593
HIST1H2AH	7	620	2.07150963049685e-11	6.92505669475096e-08	0.0112903225806452
MIR3143	7	617	2.21357376872788e-11	7.39776353508859e-08	0.0113452188006483
AL928742.2	7	176	2.4089952255224e-11	8.04845304847035e-08	0.0397727272727273
RP11-132N15.3	8	1233	2.72690758862382e-11	9.10787134600355e-08	0.0064882400648824
HIST1H2BK	7	646	2.84988699306155e-11	9.5157726698325e-08	0.0108359133126935
XXbac-BPG248L24.12	6	621	4.399069997163e-11	1.46840956505301e-07	0.00966183574879227
MCL1	7	991	6.50791642797799e-11	2.17169171201625e-07	0.0070635721493441
IGHG3	7	161	7.19849735375533e-11	2.40141871721278e-07	0.0434782608695652
CTD-2562J15.6	7	1064	8.46810399579567e-11	2.82411268259786e-07	0.00657894736842105
PPP1R16B	7	1102	9.35260757728429e-11	3.11815936626658e-07	0.00635208711433757
PLEKHA2	7	1373	1.19267706821802e-10	3.97519266837065e-07	0.00509832483612527
AC002310.13	6	716	1.44263267998213e-10	4.80685208970044e-07	0.00837988826815642
ZNF764	6	722	1.51997858743869e-10	5.06304867475826e-07	0.00831024930747922
MGAT3	8	2245	1.75031877880372e-10	5.82856153341638e-07	0.00356347438752784
BLK	6	812	2.00706673503248e-10	6.68152516092313e-07	0.00738916256157635
POU2AF1	10	4317	2.20730989042295e-10	7.34592731532757e-07	0.00231642344220524
HIST1H2BN	7	774	6.43512021447634e-10	2.14096449535628e-06	0.00904392764857881
HIST1H2AK	7	772	7.20806858645062e-10	2.39740361185348e-06	0.00906735751295337
PLCG2	9	3490	1.18208864918756e-09	3.93044475854865e-06	0.00257879656160458
MYBL1	7	1348	1.21197973879106e-09	4.02862065174148e-06	0.00519287833827893
TOX	8	1028	1.33315014583246e-09	4.43005793460127e-06	0.00778210116731518
SIAH2	7	981	1.52606005610068e-09	5.06957150636644e-06	0.00713557594291539
IGHV4-34	7	259	1.58678847839155e-09	5.26972453673835e-06	0.027027027027027
EZR-AS1	6	812	1.73737968456322e-09	5.7681005527499e-06	0.00738916256157635
IGLV3-19	5	337	1.76987480227098e-09	5.87421446873737e-06	0.0148367952522255
VMP1	6	1010	2.01677197164685e-09	6.69164940192424e-06	0.00594059405940594
SIAH2-AS1	6	774	2.21452911564057e-09	7.34559307657978e-06	0.00775193798449612
IGLL5	4	164	2.94907831488445e-09	9.77914369215682e-06	0.024390243902439
TBL1XR1	8	1538	3.56236340426364e-09	1.1809234685134e-05	0.00520156046814044
PVT1	8	1017	3.80457421123026e-09	1.26083589360171e-05	0.00786627335299902
HIST1H2BPS2	6	716	4.9109825095428e-09	1.62700850541153e-05	0.00837988826815642
IGHV3-21	6	199	6.797425067262e-09	2.25130718227717e-05	0.0301507537688442
RNF144B	5	456	7.56382612099316e-09	2.50438282866083e-05	0.0109649122807018
HIST1H1C	5	481	8.8865700353935e-09	2.94145468171525e-05	0.0103950103950104
HIST1H2AL	6	743	9.00168561912551e-09	2.97865777136863e-05	0.00807537012113055
PTMA	9	2805	1.05390312032938e-08	3.48631152204959e-05	0.00320855614973262
RP11-25K19.1	8	1235	1.16365665991935e-08	3.8482125743533e-05	0.00647773279352227
PELI1	5	687	1.29982622443237e-08	4.2972254979734e-05	0.00727802037845706
RP11-43D2.2	6	597	2.31303518560821e-08	7.64458128843515e-05	0.0100502512562814
STAR	2	41	2.56077909988051e-08	8.46081414600519e-05	0.0487804878048781
RP11-75N4.2	3	145	2.82063605805405e-08	9.31656089975252e-05	0.0206896551724138
EZR	6	1280	2.84678860484888e-08	9.40009597321101e-05	0.0046875
IGHG2	3	24	2.86185942721673e-08	9.44699796924242e-05	0.125
IGLV3-9	4	268	2.86965807783091e-08	9.46987165684199e-05	0.0149253731343284
FAM53B	6	1488	3.33659139206688e-08	0.000110074150024286	0.00403225806451613
IGLV7-43	4	413	4.07299385329907e-08	0.000134327337281803	0.00968523002421308
FAM102A	5	1169	6.50429301529698e-08	0.000214446540714341	0.00427715996578272
IGLV3-25	4	333	7.52757903788037e-08	0.000248109005088537	0.012012012012012
RP11-191G24.1	5	1001	8.95208148721238e-08	0.000294971085003648	0.004995004995005
STK17B	6	1545	9.44575018202443e-08	0.000311143010995885	0.00388349514563107
CHMP7	5	901	1.20002642711725e-07	0.000395168702449711	0.00554938956714761
ETV6	6	1323	1.23677879715345e-07	0.000407147580022915	0.00453514739229025
AC132192.1	5	932	1.48941047384277e-07	0.000490164986941655	0.00536480686695279
SLC2A5	4	712	1.55501727272522e-07	0.000511600682726598	0.00561797752808989
ITPKB-IT1	4	778	1.5987530799233e-07	0.000525829887986773	0.0051413881748072
LRRK2	6	963	1.83527864239252e-07	0.000603439617618662	0.00623052959501558
DOCK10	6	1504	2.03888202099378e-07	0.000670180520300656	0.00398936170212766
RASSF6	4	455	2.11109535186438e-07	0.000693705932622635	0.00879120879120879
AC079630.4	5	584	2.30929173561378e-07	0.000758602335149128	0.00856164383561644
AL662800.1	4	781	2.42810170636432e-07	0.000797388600370041	0.00512163892445583
RP11-4M23.3	3	372	2.47022114430173e-07	0.000810973601674259	0.00806451612903226
RNU4-2	4	647	2.49877510016816e-07	0.00082009798787519	0.00618238021638331
RP3-455J7.4	4	619	2.90023663196415e-07	0.000951567638947437	0.00646203554119548
HIST1H1D	4	436	2.98576935842121e-07	0.000979332349562156	0.00917431192660551
AC012123.1	6	906	2.98747105498265e-07	0.000979591758928811	0.00662251655629139
IGJ	4	570	3.01567620875076e-07	0.0009885386612285	0.00701754385964912
HIST1H2AG	5	697	3.08354727751592e-07	0.00101047844284197	0.00717360114777618
LTA	4	957	3.56026352732464e-07	0.00116634233155155	0.00417972831765935
HIST1H2BJ	5	725	3.74945873460319e-07	0.00122794773558255	0.00689655172413793
KLHL6	3	348	3.752773622967e-07	0.0012286580841594	0.00862068965517241
FBXO10	4	642	3.79438961028988e-07	0.00124190371944788	0.00623052959501558
ZNF143	5	1120	4.01312468478743e-07	0.00131309439686245	0.00446428571428571
RP11-514P8.2	3	412	4.67472315301976e-07	0.00152910194335276	0.00728155339805825
PRIM1	4	729	5.51370635704096e-07	0.00180298197875239	0.00548696844993141
KLHL21	6	2333	5.70886238060453e-07	0.00186622711221962	0.00257179597085298
RGS16	4	712	6.67454149838598e-07	0.00218124016167254	0.00561797752808989
TCF3	6	2783	9.78143839147627e-07	0.0031955959224953	0.00215594681997844
CTD-2369P2.2	2	138	1.07895407708281e-06	0.00352386401575244	0.0144927536231884
JUND	5	1739	1.09967721240167e-06	0.00359044609849146	0.00287521564117309
HIST1H3B	4	544	1.11170851324616e-06	0.00362861658723546	0.00735294117647059
NFKBIZ	5	1446	1.12354532599834e-06	0.00366612839873259	0.00345781466113416
SNRNP27	3	476	1.15528862587588e-06	0.00376855149760713	0.00630252100840336
HIST1H3D	5	1139	1.20996169250542e-06	0.00394568507926019	0.00438981562774363
RRAGC	4	1048	1.31386205870498e-06	0.00428319031137825	0.00381679389312977
IKZF3	4	1054	1.52947729015196e-06	0.00498456648860524	0.00379506641366224
CXCR5	3	565	1.91872057309084e-06	0.00625119162712995	0.00530973451327434
KLF2	4	984	2.05176347045644e-06	0.00668259362327661	0.0040650406504065
SNHG3	4	1081	2.13752627142849e-06	0.00695978553977117	0.00370027752081406
MIR636	4	1038	2.34795922227082e-06	0.00764260726849153	0.00385356454720617
AC084262.2	2	113	3.06307995900923e-06	0.00996726218661603	0.0176991150442478
IGLV1-40	3	457	3.5510132881944e-06	0.0115514462264964	0.00656455142231947
HERPUD1	5	2081	3.79330200461769e-06	0.0123358181190167	0.00240269101393561
INSIG1	5	1546	4.35971715029293e-06	0.0141734404556023	0.00323415265200517
RP11-356I2.4	4	849	4.581599008735e-06	0.0148901967783888	0.00471142520612485
RP3-405J10.2	1	19	5.52811328979885e-06	0.0179608400785565	0.0526315789473684
AC017116.11	3	736	6.03468449578148e-06	0.0196006552422983	0.00407608695652174
HIST1H4D	3	388	6.05432410705209e-06	0.0196583903755981	0.0077319587628866
LL22NC03-102D1.18	3	348	6.08606424656877e-06	0.0197553645443622	0.00862068965517241
TNFAIP3	4	917	6.38690936527464e-06	0.0207255208903162	0.00436205016357688
CFLAR	7	2938	6.85635887776037e-06	0.0222420281994546	0.00238257317903336
PGAM2	3	810	6.9066125737427e-06	0.0223981445766476	0.0037037037037037
LAPTM5	3	665	6.93140696161887e-06	0.0224716213695684	0.00451127819548872
RP1-40E16.11	2	184	7.45742587771048e-06	0.0241695172696597	0.0108695652173913
BATF	2	256	7.67035853288522e-06	0.0248519616465481	0.0078125
MIS12	3	674	7.75398980445985e-06	0.0251151729766455	0.00445103857566766
DERL2	3	674	7.75398980445985e-06	0.0251151729766455	0.00445103857566766
SEMA7A	4	984	8.09950953495342e-06	0.0262181123646442	0.0040650406504065
RASAL1	4	1225	8.70194827684578e-06	0.028159504623873	0.00326530612244898
SNORD118	3	724	8.75352427331944e-06	0.0283176510241884	0.00414364640883978
CTD-2639E6.4	1	15	8.88304473489754e-06	0.0287277666726586	0.0666666666666667
RP11-895M11.3	4	1291	9.25992432332379e-06	0.0299373353373058	0.00309837335398916
RP11-44H4.1	3	539	9.30485921413204e-06	0.0300733049800748	0.00556586270871985
RP11-414H17.5	4	1106	9.53229575439973e-06	0.0307988475824655	0.00361663652802893
SLAMF6	2	266	9.53780621359979e-06	0.0308071140699273	0.0075187969924812
MFSD11	5	2509	9.67272358542992e-06	0.0312332244573532	0.00199282582702272
MIR650	3	459	9.71805209781795e-06	0.0313698721717564	0.0065359477124183
IGLV2-8	3	459	9.71805209781795e-06	0.0313698721717564	0.0065359477124183
