chr	start	stops	name	p-value
chr1	10781350	10781564	Ultra-conserved	2.11001364010093e-13
chr1	163939954	163940178	Ultra-conserved	0.0312289159190573
chr1	243896034	243896291	Ultra-conserved	0.0388547288784839
chr13	98008819	98009070	Ultra-conserved	0.0348768912571971
chr14	36020188	36020484	Ultra-conserved	0.0399502146027048
chr14	97431367	97431619	Ultra-conserved	0.00053366144692962
chr14	97879289	97879527	Ultra-conserved	0.0458831565579771
chr18	36063631	36063837	Ultra-conserved	0.044117361541525
chr2	162273026	162273232	Ultra-conserved	0.0156107356745386
chr2	163045021	163045228	Ultra-conserved	0.027860462586046
chr22	19395908	19396119	Ultra-conserved	0.0174172137524396
chr3	70871839	70872090	Ultra-conserved	0.0384121712906426
chr4	13009869	13010092	Ultra-conserved	0.0357730410096843
chr5	77358528	77358806	Ultra-conserved	0.0315129151173418
chr7	114058184	114058452	Ultra-conserved	0.0453828501666026
chr7	115319460	115319698	Ultra-conserved	0.00401697045531855
chr8	25775920	25776147	Ultra-conserved	0.0364905103064191
